gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC	loop_logFC_signed	boundary_flag	ATAC_FC	H2AK119ub_FC	H3K27ac_FC	H3K27me3_FC
1700112J16Rik	-1.102814	0.003524	12.971077	TRUE	-0.234236	-0.357967	8	1	3	FALSE	NA	2	2	0	1.26123758633303	-0.8262233049498271	TRUE	TRUE	2	0	2.0768818606272355	7.971439386110065	0.23357561538028937	10.28189686211759	0.112941	0.070823	-0.67327185248009	-0.8262233049498271	0	-0.34007177338468503	-0.303139043600799	-1.5434441514467	-0.835499861384401
Elfn1	0.766621	0.209197	10.459663	FALSE	0.148183	0.510163	7	5	0	TRUE	Mutant	6	0	6	0.449464771299967	0.4205598058224758	TRUE	TRUE	3	1	6.76649406324899	2.6166541523308853	-0.1333357000929926	10.249812515486884	0.019268	0.059958	1.637694619848769	0.4205598058224758	1	1.36592373770773	-0.471236925065333	1.13641894004867	-0.920496412255632
Prkn	-0.701138	0	2915.043135	TRUE	-0.216563	-1.112915	8	0	5	TRUE	Control	6	6	0	0.385078257244124	-0.34165442431418	TRUE	TRUE	3	1	6.76649406324899	2.1919343928909227	0.15822177904269147	10.116650235182604	0.037624	0.009303	-2.015768579948571	-0.34165442431418	1	-1.77071512521226	1.0951256585274	-2.766069040042	3.19553933253411
Chrm3	1.465968	0	263.386528	TRUE	0.069369	0.166595	8	1	3	TRUE	Mutant	3	0	3	1.01311171109921	0.7137465605502691	TRUE	TRUE	3	1	3.249284911282674	6.334699711886706	-0.4693814906838058	10.114603132485572	0.004872	0.040488	3.0546478840339737	0.7137465605502691	1	2.20240745506103	1.08795744993498	1.41210234452297	-0.444695109439492
Zfpm2	0.078007	0.8752	11820.592977	FALSE	0.342108	0.3766	6	3	1	FALSE	NA	6	6	0	0.44204187897156	-0.3750127169333112	TRUE	TRUE	2	0	6.76649406324899	2.56768972103188	0.6935184113633914	10.027702195644263	0.114143	0.158799	0.47635588645087046	-0.3750127169333112	0	1.08541167399629	1.34399919109302	-1.20344208776155	NA
Smarcad1	0.063678	0.690423	643.599787	FALSE	-0.093637	-0.118041	4	1	2	FALSE	NA	5	0	5	0.766215405486298	0.6160926730832484	TRUE	TRUE	2	0	5.594091012593551	4.70607078136899	-0.36590800569309534	9.934253788269446	0.050088	0.009514	-2.396218247639258	0.6160926730832484	0	0.303826559609988	NA	0.155157129855543	0.07435390446489
Bmp5	-3.439223	0	190.292861	TRUE	-0.331682	-1.366607	10	3	4	FALSE	NA	5	5	0	0.612124974859398	-0.5669904225364606	TRUE	TRUE	2	0	5.594091012593551	3.6896273290787183	0.6490642101719808	9.93278255184425	0.116293	0.04122	-1.4963252557793998	-0.5669904225364606	0	-2.19660625437639	1.19467412066326	-3.41089483522492	NA
Mecom	0.229871	0.503222	116.171511	FALSE	0.218205	0.524602	9	9	0	TRUE	Control	4	3	1	0.700302472863938	-0.3834388678265101	TRUE	TRUE	3	1	4.421687961938113	4.271282141265392	0.16522291067095696	9.85819301387446	0	0.235904	17.847846471220034	-0.3834388678265101	1	1.02203085381964	0.95737301137609	0.110903080477459	1.22255874775921
Adgrl3	0.235708	0.311258	7772.264111	FALSE	1.358229	1.491678	4	1	0	TRUE	Mutant	1	1	0	0.484179398379988	-0.484179398379988	TRUE	TRUE	3	1	0.9044788099717967	2.8456460193185427	5.02603782137846	9.776162650668798	0.427273	0.514815	0.26889536144511716	-0.484179398379988	1	1.32101181519223	1.31960743085127	1.66212364713048	NA
Kif16b	-0.553443	0	861.075578	TRUE	-0.293515	-0.388569	4	2	0	FALSE	NA	6	6	0	0.429980825583048	-0.374419421330654	TRUE	TRUE	2	0	6.76649406324899	2.488130083910999	0.4863284057529747	9.740952552912963	0.269873	0.284437	0.07582822479252047	-0.374419421330654	0	0.959741143624128	1.20872986778163	-1.09131905310179	1.14320094314577
Upp2	-0.190328	0.318145	1458.481998	FALSE	-0.185556	-0.594701	6	1	3	TRUE	Control	4	4	0	0.70289507114376	-0.5076451678867222	TRUE	TRUE	3	1	4.421687961938113	4.288383979031845	0.02601466065193162	9.736086601621889	0.045172	0.020148	-1.1647524890773286	-0.5076451678867222	1	-1.19038197850809	1.77136740146111	-2.27051701944931	2.86698414987052
Meis1	-0.004311	0.99074	4944.128006	FALSE	-0.925042	-2.091316	12	3	4	TRUE	Mutant	3	3	0	0.397922226690063	-0.36266897555362	TRUE	TRUE	3	1	3.249284911282674	2.276658464279571	3.1790224701887917	9.704965845751037	0.069122	0.016948	-2.0279656770157204	-0.36266897555362	1	1.90114691077593	1.28843518440536	-1.94601312099123	2.00325819324947
Cntnap5a	1.943539	0	424.565281	TRUE	-0.01733	0.179691	6	2	4	FALSE	NA	3	0	3	1.13005308385977	0.7359043749177493	FALSE	TRUE	1	0	3.249284911282674	7.106092796848055	-0.6912644923910574	9.664113215739672	0.097075	0.010991	-3.1426607544423373	0.7359043749177493	0	2.47745068047314	2.25483927015454	2.46129828183571	-0.611776162732878
Epha7	-0.700786	2.88e-4	1097.15127	TRUE	-0.018836	-0.196932	3	1	2	TRUE	Control	5	5	0	0.617617780486554	-0.5017015785972104	FALSE	TRUE	2	1	5.594091012593551	3.7258601197310095	-0.6848432352460101	9.63510789707855	0.397654	0.435074	0.1297468089706399	-0.5017015785972104	1	-0.231317704389072	1.23495120450617	-1.55392301814789	0.85872055579218
Stk39	-0.358433	4.4e-5	3316.874989	FALSE	-0.479683	-0.396024	5	2	2	FALSE	NA	4	0	4	0.632482333743561	0.5200806423381688	TRUE	TRUE	2	0	4.421687961938113	3.8239127876860257	1.2801083527511032	9.525709102375242	0.231167	0.158648	-0.543103275388166	0.5200806423381688	0	0.772415827488186	0.871864690482053	0.314872447917759	0.20767889157316
9330158H04Rik	0.076522	0.944038	12.923298	FALSE	0.133257	0.811813	10	5	2	FALSE	NA	2	0	2	1.20985702512776	0.82969186748064	TRUE	TRUE	2	0	2.0768818606272355	7.6325122067932	-0.1969769246261781	9.512417142794256	0.024973	0.058571	1.2297842462713986	0.82969186748064	0	1.81380077956147	1.16750358545006	1.76090811357466	-0.966043935235402
Dcun1d4	0.043382	0.852978	510.166686	FALSE	-1.44088	-2.197232	7	0	7	TRUE	Mutant	1	0	1	0.386416386328686	0.386416386328686	TRUE	TRUE	3	1	0.9044788099717967	2.20076123918364	5.378443747205361	9.483683796360795	0.493006	0	-18.91124860540834	0.386416386328686	1	-0.622463703630268	1.13892197754424	-1.37688289013684	NA
Slitrk3	0.1302	0.701446	198.888011	FALSE	0.29925	0.381326	7	1	2	FALSE	NA	5	0	5	0.560276907298576	0.5164872175920194	TRUE	TRUE	2	0	5.594091012593551	3.3476162867856023	0.5107812010563257	9.45248850043548	0.176188	0.236492	0.4246736262449648	0.5164872175920194	0	1.1150419200126	0.509426777707035	0.247805087035619	NA
Paxx	-0.454121	0.010412	132.372786	FALSE	-2.53849	-5.612921	7	0	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	10.058414567242188	9.4422911653882	0.189368	0.143719	-0.3979393382589428	0	0	-0.578094516969034	0.566384956911982	-1.44775130227429	NA
Tfap2b	-0.051894	0.902032	355.278974	FALSE	0.030792	0.033259	20	9	9	FALSE	NA	3	0	3	1.08216431156954	0.8351920798380483	FALSE	TRUE	1	0	3.249284911282674	6.790198884198255	-0.6338654461183961	9.405618349362534	0.009967	0.075072	2.9129181623616067	0.8351920798380483	0	1.65162293863627	1.30349542331261	-1.54861345429089	-0.388357457854174
Mef2c	-0.556124	0.008171	1124.731019	TRUE	-0.282469	-1.02546	11	0	11	TRUE	Mutant	4	4	0	0.587775891771127	-0.4938682085089328	TRUE	TRUE	3	1	4.421687961938113	3.5290108263299467	0.4392306591233642	9.389929447391424	0.173777	0	-17.406885925404517	-0.4938682085089328	1	-1.30174067944079	1.23491528955005	-2.28577947322599	2.60081661470757
Srek1ip1	-0.079742	0.83563	229.073369	FALSE	-0.259771	-0.632004	11	3	6	TRUE	Control	5	5	0	0.423119202591063	-0.3706749062798184	TRUE	TRUE	3	1	5.594091012593551	2.442868014528022	0.3424513133874506	9.379410340509022	0.161145	0.1061	-0.6029301242699725	-0.3706749062798184	1	-0.810569855717267	1.44693092294971	-2.24071040328155	1.07354503211562
Pard3b	0.018485	0.970133	363.534974	FALSE	-0.019438	-0.00664	8	2	4	TRUE	Control	5	0	5	0.57729766027078	0.4811867801853692	FALSE	TRUE	2	1	5.594091012593551	3.459892129232542	-0.682276437901177	9.371706703924916	0.053271	0.01875	-1.5064099079754354	0.4811867801853692	1	1.88730885825887	1.50688078761778	0.0648205540749244	0.748828367578665
Oxr1	-0.135906	0.707093	10830.371184	FALSE	-0.284091	-0.488527	10	1	2	FALSE	NA	6	6	0	0.377653187997741	-0.372371597885175	TRUE	TRUE	2	0	6.76649406324899	2.1429556017513103	0.4461465150923327	9.355596180092633	0.068614	0.038238	-0.8434792045689955	-0.372371597885175	0	1.71664324038911	1.30324456805654	-1.90124683849334	NA
Plekhf1	-1.2615	0	98.899067	TRUE	-1.393035	-2.164936	7	4	1	FALSE	NA	2	2	0	0.365227924008328	-0.339674874739025	TRUE	TRUE	2	0	2.0768818606272355	2.060993482665557	5.174443051252643	9.312318394545436	0.202	0.120525	-0.7450180352400123	-0.339674874739025	0	2.78073119675478	NA	-1.7362969370523	NA
Pax3	-0.016396	0.97381	298.169588	FALSE	0.166906	0.366948	11	4	2	FALSE	NA	2	2	0	1.15123088946283	-1.052913500072506	TRUE	TRUE	2	0	2.0768818606272355	7.245790257303778	-0.05350489164231389	9.2691672262887	0.061116	0.110079	0.8489067413153268	-1.052913500072506	0	0.481417887320076	0.839028191503141	-0.462861858488359	-0.375570127160165
