gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_atac_up	n_atac_down	net_atac
Hbp1	chr12	31926253	31950534	0.0962832005344143	1.0494767682502e-10	Hypermethylated	1	3	-2
Def8	chr8	123423526	123463269	0.0511202032010212	1.06889508536275e-10	Hypermethylated	0	0	0
Chst11	chr10	82985497	83195899	0.0442367639920598	1.18936936712436e-10	Hypermethylated	0	1	-1
Nsmce2	chr15	59374246	59601683	0.0314895295450849	1.2376397713365e-10	Hypermethylated	0	0	0
Mob1b	chr5	88720854	88764219	0.0774534642937956	1.27972977710834e-10	Hypermethylated	0	0	0
Ctbp2	chr7	132987562	133124353	0.0539709962486237	1.27972977710834e-10	Hypermethylated	0	0	0
Dnajc7	chr11	100582817	100620187	0.0884301784222115	1.45124828652046e-10	Hypermethylated	0	0	0
Scamp1	chr13	94201309	94285856	0.0627985839213171	1.52957881994699e-10	Hypermethylated	0	0	0
Smap1	chr1	23844845	23922316	0.0727752313344863	1.5376037107305e-10	Hypermethylated	0	0	0
Birc6	chr17	74528294	74703355	0.0318587077199606	1.55061289715898e-10	Hypermethylated	0	0	0
Tmem41b	chr7	109972186	109986928	0.131763546559865	1.72439802617694e-10	Hypermethylated	0	0	0
Gpr87	chr3	59178922	59195103	0.0779059331714279	1.89595468805604e-10	Hypermethylated	0	0	0
Nptn	chr9	58582239	58657954	0.0701424424706448	1.89595468805604e-10	Hypermethylated	0	0	0
Tomm70a	chr16	57121702	57156704	0.0712371746897276	1.90433389274241e-10	Hypermethylated	0	0	0
Btbd10	chr7	113315625	113369391	0.076661001988769	1.9847667511575e-10	Hypermethylated	0	0	0
Otulin	chr15	27542634	27630692	0.0537874864506571	1.9847667511575e-10	Hypermethylated	0	2	-2
Ric3	chr7	109034311	109083330	0.0900514541301134	2.0736608166329e-10	Hypermethylated	0	1	-1
Dscam	chr16	96590839	97170751	-0.0215246311770578	2.10485293485831e-10	Hypomethylated	10	0	10
Nrg1	chr8	31814550	32884796	-0.0130741027859376	2.29766926286892e-10	Hypomethylated	2	0	2
Hbs1l	chr10	21295978	21368897	0.0467649289827368	2.58171015178109e-10	Hypermethylated	0	0	0
Snx18	chr13	113592178	113618563	0.102416341339675	2.62619419676263e-10	Hypermethylated	0	0	0
Igf1r	chr7	67952826	68233667	0.0284502525230497	2.73909830862094e-10	Hypermethylated	0	0	0
Fbxo33	chr12	59200654	59219724	0.096491794244143	2.79639559654932e-10	Hypermethylated	0	0	0
Dennd1b	chr1	138963434	139178959	0.0272851831927641	2.89665973915752e-10	Hypermethylated	0	0	0
Plekha1	chr7	130865755	130913311	0.0740936302723914	3.33943801126539e-10	Hypermethylated	0	0	0
Ctnna2	chr6	76881636	77979698	0.0141066510120366	3.37316267241503e-10	Hypermethylated	0	0	0
Ptprd	chr4	75941237	78211960	0.00985556237774943	3.40681186561417e-10	Hypermethylated	2	0	2
Rlf	chr4	121145372	121215083	0.0561102969198627	3.53071583210419e-10	Hypermethylated	0	0	0
Npepps	chr11	97205841	97280637	0.0517008971379775	3.53071583210419e-10	Hypermethylated	0	0	0
Ptch1	chr13	63508327	63573597	0.0609937431223874	3.69451886517958e-10	Hypermethylated	1	0	1
Uhrf2	chr19	30030512	30093721	0.0555908786023694	3.93210265282405e-10	Hypermethylated	0	0	0
Stim2	chr5	53998498	54121056	0.04691990330149	4.06743128422811e-10	Hypermethylated	0	0	0
Nr2f1	chr13	78188972	78199756	0.168562457978304	4.17159886493793e-10	Hypermethylated	2	0	2
Astn2	chr4	65380802	66404610	0.0204667444647567	4.34175952918277e-10	Hypermethylated	5	2	3
Numa1	chr7	101934110	102014963	0.0854003654689462	4.34175952918277e-10	Hypermethylated	0	0	0
Rp9	chr9	22411046	22469742	0.0677170669039195	4.4350737947256e-10	Hypermethylated	0	0	0
Pkig	chr2	163658385	163726157	0.0895184331581519	4.56103879730898e-10	Hypermethylated	0	0	0
Rell1	chr5	63908896	63968896	0.0617594779135108	4.56219862026274e-10	Hypermethylated	0	3	-3
Tpd52	chr3	8925592	9004722	0.0556450340540033	4.62555445368221e-10	Hypermethylated	0	0	0
Arsb	chr13	93771629	93943015	0.041730053082329	4.91843404660827e-10	Hypermethylated	0	0	0
Cytip	chr2	58129136	58195531	0.0567646336426294	4.98847309206946e-10	Hypermethylated	0	1	-1
Tmem131	chr1	36792190	36943665	0.0405085785757866	5.73565543886493e-10	Hypermethylated	1	1	0
Grid2	chr6	63255875	64704322	0.0127163595100603	5.76639584396963e-10	Hypermethylated	0	0	0
Raly	chr2	154791095	154867260	0.0752687743528663	5.79842293442424e-10	Hypermethylated	1	0	1
Metap1	chr3	138458955	138489514	0.0664278397370547	6.00409386944338e-10	Hypermethylated	0	0	0
Ranbp2	chr10	58446919	58494355	0.0638190184431939	6.24366155982862e-10	Hypermethylated	0	0	0
Lats2	chr14	57689661	57758387	0.0610703778655071	6.38022921660053e-10	Hypermethylated	0	0	0
Tbc1d4	chr14	101442359	101609190	0.0313962351005936	6.89686877084598e-10	Hypermethylated	0	2	-2
Slc35g2	chr9	100552187	100571089	0.0967940047180009	7.26522256090718e-10	Hypermethylated	0	0	0
Atp6v0a1	chr11	101009451	101063718	0.0611595258754191	7.50918139556475e-10	Hypermethylated	0	0	0
Slain2	chr5	72914303	72978828	0.0576079310333999	7.5771276402619e-10	Hypermethylated	0	0	0
Pspc1	chr14	56720709	56778315	0.0666209537793628	7.96937425661444e-10	Hypermethylated	0	0	0
Ankrd28	chr14	31698767	31830650	0.040933632047974	1.07166956983557e-09	Hypermethylated	0	0	0
Osbpl8	chr10	111164751	111297248	0.0412095134538943	1.14688537244667e-09	Hypermethylated	1	0	1
Astn1	chr1	158362272	158691780	0.0241607966290187	1.23531447019377e-09	Hypermethylated	0	0	0
Marchf1	chr8	65617899	66471636	-0.0148879581859559	1.25662758216541e-09	Hypomethylated	1	0	1
Phc3	chr3	30899370	30969414	0.0518288473370219	1.36882564847086e-09	Hypermethylated	0	0	0
Pcdhgb7	chr18	37751599	37841872	0.053238457133251	1.36882564847086e-09	Hypermethylated	0	0	0
Kcnh1	chr1	192190773	192510158	0.0413511959821478	1.41746715043894e-09	Hypermethylated	3	2	1
Erc1	chr6	119570795	119848166	0.0352302804429467	1.42257712683267e-09	Hypermethylated	1	0	1
Smarca2	chr19	26605049	26778321	0.0390823795012725	1.42257712683267e-09	Hypermethylated	1	1	0
Gpr176	chr2	118277109	118373418	0.0472311163730433	1.45021339678363e-09	Hypermethylated	0	1	-1
Npas3	chr12	53248156	54072174	-0.0119294429480719	1.46490646095677e-09	Hypomethylated	1	0	1
Mllt10	chr2	18055236	18212387	0.0450696906599923	1.48008380813847e-09	Hypermethylated	0	0	0
Dnajc3	chr14	118937975	118981696	0.0529771269271598	1.49939708489405e-09	Hypermethylated	0	0	0
Galntl6	chr8	57774051	58912639	0.0137154028078502	1.59938931245277e-09	Hypermethylated	0	0	0
Gcnt1	chr19	17326140	17372843	0.063214258679082	1.64269685760566e-09	Hypermethylated	0	6	-6
Cbl	chr9	44142975	44234048	0.0487272923526625	1.71961042502474e-09	Hypermethylated	0	0	0
Pcca	chr14	122534323	122891099	0.0310708679627527	1.80448086471475e-09	Hypermethylated	0	0	0
Lancl3	chrX	9199901	9268084	0.109575072883513	1.80448086471475e-09	Hypermethylated	0	0	0
Ss18	chr18	14624197	14682913	0.0449629355547458	1.87288590123644e-09	Hypermethylated	0	0	0
AU040320	chr4	126753543	126870069	0.0484281488570379	2.12300345148694e-09	Hypermethylated	0	0	0
Shprh	chr10	11149426	11217594	0.0488945009903201	2.12300345148694e-09	Hypermethylated	0	1	-1
Abcd3	chr3	121758773	121815301	0.0435516166048704	2.32199632367563e-09	Hypermethylated	0	0	0
Utrn	chr10	12382187	12869364	0.0177951702361667	2.70299453250639e-09	Hypermethylated	2	7	-5
Mical2	chr7	112225855	112413105	0.0577837966678886	2.74488301207079e-09	Hypermethylated	0	0	0
Gm42372	chr7	16983085	16988151	0.223487889156674	2.76712817902483e-09	Hypermethylated	0	0	0
Nav1	chr1	135434579	135688104	-0.0383526313197362	2.77696426153879e-09	Hypomethylated	2	0	2
Tmem266	chr9	55326912	55438344	0.05860678333845	2.94292501032392e-09	Hypermethylated	0	0	0
Gdap2	chr3	100162380	100206980	0.0481421229861507	3.01095367976155e-09	Hypermethylated	1	3	-2
Hmg20a	chr9	56418608	56496935	0.060175677011828	3.24575130241152e-09	Hypermethylated	0	0	0
Ralyl	chr3	13471654	14182286	0.0209337057083755	3.28778515205746e-09	Hypermethylated	1	0	1
Mrps27	chr13	99344785	99415561	0.0507561172418602	3.31142315770346e-09	Hypermethylated	0	0	0
Wnk1	chr6	119923968	120038671	0.0499318079481028	3.349898725032e-09	Hypermethylated	0	0	0
Pcdhga10	chr18	37746992	37841872	0.0490273263607144	3.35784118012534e-09	Hypermethylated	0	0	0
Qrich1	chr9	108516805	108560162	0.072470693640417	3.36638183243483e-09	Hypermethylated	0	0	0
Ecpas	chr4	58798910	58912748	0.0476653845905425	3.82897657365384e-09	Hypermethylated	0	0	0
Gpd2	chr2	57237634	57370718	0.0314645482055546	4.01506366946417e-09	Hypermethylated	0	4	-4
Syt12	chr19	4445907	4477446	0.119321234534603	4.02597270478955e-09	Hypermethylated	0	2	-2
Mtmr10	chr7	64287652	64340805	0.0641156064836885	4.03023012267614e-09	Hypermethylated	0	0	0
Eml1	chr12	108370956	108539616	0.0362441161527048	4.03071403975031e-09	Hypermethylated	0	0	0
Fam210a	chr18	68260186	68300332	0.0746693212563876	4.09094793377318e-09	Hypermethylated	0	0	0
Abca5	chr11	110269368	110337715	0.0447855184358289	4.22052502479633e-09	Hypermethylated	0	0	0
H6pd	chr4	149979474	150009022	0.111660976386445	4.24162862022737e-09	Hypermethylated	0	1	-1
Tmem168	chr6	13580686	13608099	0.0707221363249066	4.24162862022737e-09	Hypermethylated	0	0	0
Grin2a	chr16	9567897	9995559	0.0308565770024382	4.24162862022737e-09	Hypermethylated	0	1	-1
Gm49380	chr9	44066326	44113499	0.0964746967657488	4.25901316706559e-09	Hypermethylated	0	0	0
Cdk13	chr13	17710314	17805096	0.0555601986395533	4.33546136377059e-09	Hypermethylated	1	0	1
Kcnq1	chr7	143106361	143427041	-0.0288225985510472	4.4011055979716e-09	Hypomethylated	0	0	0
Papss1	chr3	131564767	131643670	0.0487523612168634	4.49827649921713e-09	Hypermethylated	0	3	-3
Pcdhga1	chr18	37661792	37841872	0.0290728326680691	4.56500132295314e-09	Hypermethylated	0	0	0
Ankhd1	chr18	36559986	36658912	0.0426193914992882	4.71412640473916e-09	Hypermethylated	0	0	0
Scn1a	chr2	66270777	66440839	-0.0348005709747621	4.8960748514814e-09	Hypomethylated	1	0	1
Dennd11	chr6	40401374	40436134	0.0998823322856696	4.98622504859965e-09	Hypermethylated	0	1	-1
Thrsp	chr7	97412937	97417729	0.250150044285509	5.11006354864207e-09	Hypermethylated	0	1	-1
Tmem178	chr17	80944631	81001815	0.0579087247129631	5.17270694582606e-09	Hypermethylated	1	2	-1
Eea1	chr10	95940649	96045517	0.0412038793049732	5.22254988831019e-09	Hypermethylated	1	1	0
Rbm33	chr5	28317120	28419238	0.0596578679313512	5.25896594526845e-09	Hypermethylated	0	0	0
Btrc	chr19	45363733	45530012	0.0353995689246728	5.48482137019437e-09	Hypermethylated	0	0	0
Nrg3	chr14	38368951	39473087	0.0136413085358429	5.58392408341834e-09	Hypermethylated	1	0	1
Pithd1	chr4	135975459	135987263	0.14332740328267	5.94007914318216e-09	Hypermethylated	0	0	0
Csnk1g3	chr18	53862121	53955547	0.0465329449614288	6.10395974846984e-09	Hypermethylated	1	0	1
Nlgn1	chr3	25426214	26332459	0.0143985833192182	6.14921750967621e-09	Hypermethylated	3	0	3
Atl1	chr12	69892613	69966416	0.0492690004414689	6.81321616722006e-09	Hypermethylated	0	0	0
Man2a1	chr17	64600735	64755109	0.0287138223113997	6.82914270857524e-09	Hypermethylated	0	0	0
Pcdhga2	chr18	37668952	37841869	0.0290916626444497	6.85050008953336e-09	Hypermethylated	0	0	0
Slc16a13	chr11	70216788	70221063	0.221753329334603	7.08659275905118e-09	Hypermethylated	0	0	0
Kif5c	chr2	49619297	49774777	0.0465203938450276	7.1632033343517e-09	Hypermethylated	0	4	-4
Zcchc2	chr1	105990405	106034073	0.0583910864641135	7.42127324354995e-09	Hypermethylated	0	0	0
Vwa8	chr14	78849051	79202309	0.0219031692568955	7.57367962184405e-09	Hypermethylated	0	0	0
Nipsnap2	chr5	129725062	129758326	0.0588625141574868	7.78770788947617e-09	Hypermethylated	0	0	0
Dock1	chr7	134670653	135173638	-0.01566051388127	7.98814884282517e-09	Hypomethylated	1	0	1
Ppt2	chr17	34616661	34628509	0.0884014593439003	8.03981102537424e-09	Hypermethylated	0	0	0
Adgrb3	chr1	25067475	25829706	0.0173704960137107	8.14823940393405e-09	Hypermethylated	5	0	5
Tbc1d15	chr10	115197871	115251466	0.0521496169471868	8.14823940393405e-09	Hypermethylated	0	0	0
Psme4	chr11	30771725	30880360	0.0447402657037597	8.48551951630436e-09	Hypermethylated	0	0	0
B230118H07Rik	chr2	101560780	101649531	0.0443331445087499	8.79524907591614e-09	Hypermethylated	0	0	0
Plcb4	chr2	135659010	136014592	0.0240481116002028	8.96876485858008e-09	Hypermethylated	6	0	6
Smg1	chr7	118131307	118243669	0.0517176030578788	8.97664162504527e-09	Hypermethylated	0	0	0
Usp3	chr9	66514636	66593141	0.066077026160278	9.27960565807404e-09	Hypermethylated	0	0	0
Taf3	chr2	9914551	10048595	0.0335900111166636	9.33180896428957e-09	Hypermethylated	0	0	0
R3hdm1	chr1	128103300	128237735	0.0402871333949225	9.50555944014413e-09	Hypermethylated	0	0	0
Manea	chr4	26324505	26346890	0.0927339454948329	9.72609105359888e-09	Hypermethylated	0	1	-1
Rnf217	chr10	31493192	31609183	0.0427416198801198	9.95652955436079e-09	Hypermethylated	2	0	2
Mcc	chr18	44425059	44812181	0.024034500079161	9.960396568227e-09	Hypermethylated	0	0	0
Grip1	chr10	119453829	120087260	-0.0106818631180303	1.00489087775599e-08	Hypomethylated	2	0	2
Ccng1	chr11	40748551	40755310	0.106718944428884	1.00696166802696e-08	Hypermethylated	0	0	0
1110059E24Rik	chr19	21581201	21652975	0.0443306920728149	1.023206993235e-08	Hypermethylated	0	0	0
Cipc	chr12	86947042	86965361	0.108098756694788	1.03194191376469e-08	Hypermethylated	0	0	0
Wrap73	chr4	154142371	154167419	0.134630774020832	1.0337282795934e-08	Hypermethylated	0	1	-1
Rnf130	chr11	50025345	50125718	0.0476429071181936	1.03607304056923e-08	Hypermethylated	0	0	0
Mitf	chr6	97807051	98021348	0.0249401089776569	1.04610013774983e-08	Hypermethylated	1	1	0
Ppm1d	chr11	85311243	85347065	0.082415834790824	1.04851019969267e-08	Hypermethylated	0	0	0
Dpys	chr15	39768486	39857469	0.0426583528463594	1.05038262231748e-08	Hypermethylated	0	0	0
Me2	chr18	73769902	73815448	0.0460273396343436	1.05380754135312e-08	Hypermethylated	0	0	0
Slc2a3	chr6	122727808	122801639	0.0550984713902791	1.1016711467755e-08	Hypermethylated	0	2	-2
Tmem104	chr11	115187486	115247022	0.0784623766806004	1.13061467952307e-08	Hypermethylated	0	0	0
Mrtfb	chr16	13256480	13417528	0.0357377462546997	1.13170542162109e-08	Hypermethylated	0	0	0
Pcsk5	chr19	17432318	17837631	-0.0173432138991769	1.2138843092548e-08	Hypomethylated	4	0	4
Ranbp9	chr13	43402674	43481281	0.0522341047831776	1.41473800820283e-08	Hypermethylated	0	1	-1
Mrps9	chr1	42851232	42905682	0.0512810223984351	1.42051269994376e-08	Hypermethylated	0	0	0
Rnf169	chr7	99920253	99980447	0.070494371671328	1.45138847146973e-08	Hypermethylated	0	0	0
Smg6	chr11	74925822	75164447	0.034611373115157	1.46229490543082e-08	Hypermethylated	0	0	0
Map2k5	chr9	63163767	63377901	0.0281197082374967	1.52491459950057e-08	Hypermethylated	0	3	-3
Pacrg	chr17	10403011	10840310	0.0185194662116732	1.52590808898858e-08	Hypermethylated	0	1	-1
Vps13c	chr9	67840395	67995637	0.0293184929091922	1.53231812667022e-08	Hypermethylated	1	0	1
Ppm1h	chr10	122678761	122945794	0.0304373199556628	1.56262416879944e-08	Hypermethylated	0	0	0
Speg	chr1	75375296	75432319	0.0927003825015508	1.60716846863913e-08	Hypermethylated	0	1	-1
Mpp7	chr18	7347958	7626865	0.0249806774086635	1.60837694303969e-08	Hypermethylated	0	0	0
Gpat4	chr8	23171264	23208345	0.0800083037967956	1.60839228048751e-08	Hypermethylated	0	1	-1
Uri1	chr7	37959991	38023550	0.0534835414101053	1.62384511599392e-08	Hypermethylated	0	0	0
Snap25	chr2	136713452	136782427	0.0499922798041119	1.7818125741827e-08	Hypermethylated	2	4	-2
Sphkap	chr1	83254138	83408199	0.0469900698408046	1.81536580418832e-08	Hypermethylated	2	1	1
Mprip	chr11	59661304	59780859	0.0607055825510627	1.85396710320771e-08	Hypermethylated	0	0	0
Retreg3	chr11	101096321	101119892	0.0782107450584523	1.86452664495109e-08	Hypermethylated	0	0	0
Aftph	chr11	20685083	20741588	0.059385904972044	1.89577942513317e-08	Hypermethylated	0	0	0
Rasa2	chr9	96539299	96631616	0.038010182371981	1.89898531448787e-08	Hypermethylated	0	2	-2
Herc3	chr6	58831464	58920397	0.0475634179988147	1.92286593859325e-08	Hypermethylated	0	0	0
Clmp	chr9	40685961	40785318	0.0619700983562205	1.96245490136835e-08	Hypermethylated	0	2	-2
Rab2a	chr4	8535643	8607777	0.0601282592601958	2.05118610555424e-08	Hypermethylated	1	0	1
Wdr25	chr12	108893630	109028451	-0.0348135565814333	2.10821941662661e-08	Hypomethylated	0	0	0
Ttc17	chr2	94300766	94406688	0.0404747898773616	2.2649779605694e-08	Hypermethylated	0	0	0
Gpbp1	chr13	111425679	111490110	0.0711493789176134	2.26584023365103e-08	Hypermethylated	0	0	0
Ica1	chr6	8630526	8778487	0.0359280104416588	2.27183291466346e-08	Hypermethylated	0	0	0
Mindy2	chr9	70599013	70657173	0.0781087839830516	2.27183291466346e-08	Hypermethylated	0	0	0
Saraf	chr8	34154562	34170844	0.101627289225834	2.28851993450927e-08	Hypermethylated	0	0	0
4932438A13Rik	chr3	36863103	37053032	0.0269330341859282	2.32047010898965e-08	Hypermethylated	0	0	0
Spty2d1	chr7	46990395	47008410	0.0861203150980816	2.34973639145349e-08	Hypermethylated	1	0	1
Fem1c	chr18	46501745	46525970	0.0828710553214005	2.34973639145349e-08	Hypermethylated	0	0	0
Relch	chr1	105663860	105755190	0.0492268287424709	2.38495839547064e-08	Hypermethylated	0	0	0
Meis1	chr11	18879816	19018984	0.0396837091189979	2.48707414634073e-08	Hypermethylated	5	5	0
Mcur1	chr13	43538392	43560190	0.0731648861725049	2.48863560010042e-08	Hypermethylated	0	0	0
Ccnt1	chr15	98538688	98570922	0.0693471089163638	2.58109535442053e-08	Hypermethylated	0	0	0
Arhgap10	chr8	77250365	77517952	-0.0251706419540108	2.68678682637425e-08	Hypomethylated	0	0	0
Dmxl1	chr18	49832669	49965472	0.0343968148377436	2.76057647723352e-08	Hypermethylated	0	0	0
Sp3	chr2	72936426	72980445	0.0710650058220001	2.89580050320016e-08	Hypermethylated	0	1	-1
Psip1	chr4	83455679	83486458	0.0689090249965664	2.89580050320016e-08	Hypermethylated	0	0	0
Pcdhgb6	chr18	37742093	37841872	0.0438644392081183	2.89580050320016e-08	Hypermethylated	0	0	0
Irs1	chr1	82233100	82291415	0.0568487714892706	2.94298817580216e-08	Hypermethylated	1	0	1
Nxn	chr11	76257197	76399139	0.0547070531614204	2.96625806816881e-08	Hypermethylated	0	1	-1
Kmt2a	chr9	44803354	44881295	0.0427703236963092	3.0515921290192e-08	Hypermethylated	0	0	0
Dlc1	chr8	36567750	36953142	-0.0181941582027156	3.0965962794283e-08	Hypomethylated	2	0	2
Plekhf1	chr7	38216971	38228015	0.164610050748213	3.10344448265957e-08	Hypermethylated	0	4	-4
Prkag2	chr5	24862743	25100641	0.037644905119085	3.11031181048082e-08	Hypermethylated	1	0	1
Ttc39b	chr4	83220299	83324254	0.0386027768150605	3.22601469101541e-08	Hypermethylated	0	1	-1
Dnajc1	chr2	18195653	18392829	0.0324138326261341	3.25672282540769e-08	Hypermethylated	0	0	0
Ube2d2a	chr18	35771557	35809493	0.08218830765473	3.26100886097297e-08	Hypermethylated	0	0	0
Itm2b	chr14	73362225	73385288	0.0704725599903589	3.30043094878188e-08	Hypermethylated	0	1	-1
Zc3h7a	chr16	11136591	11176392	0.0343750888826401	3.30043094878188e-08	Hypermethylated	0	0	0
Kat6a	chr8	22859534	22943258	0.0488888942718465	3.34911415142496e-08	Hypermethylated	0	0	0
Arl8b	chr6	108783098	108825277	0.0616372779345628	3.42693636896066e-08	Hypermethylated	0	0	0
Kctd12	chr14	102976580	102982636	0.175873042893464	3.45373957353902e-08	Hypermethylated	0	0	0
Klf9	chr19	23141225	23168133	0.0785518152647884	3.57229510037033e-08	Hypermethylated	0	0	0
Il16	chr7	83642824	83745725	0.064959618471241	3.61429619996513e-08	Hypermethylated	0	1	-1
Nrxn1	chr17	90033630	91093070	-0.0156643810160133	3.8435276075262e-08	Hypomethylated	0	0	0
Herc1	chr9	66350449	66508774	0.0385992138355544	3.94223601371592e-08	Hypermethylated	0	1	-1
Nln	chr13	104023056	104109613	-0.0389455635072258	4.01051950102537e-08	Hypomethylated	0	0	0
Cnot1	chr8	95719450	95807463	0.0354382893129358	4.04858153348066e-08	Hypermethylated	0	0	0
Anp32b	chr4	46450901	46472656	0.088755629313976	4.26051047954486e-08	Hypermethylated	0	1	-1
Ppp2r5e	chr12	75450880	75596244	0.0436555205732144	4.26051047954486e-08	Hypermethylated	1	0	1
Far1	chr7	113513833	113571510	0.0516500158759843	4.28395593519967e-08	Hypermethylated	0	0	0
Vsnl1	chr12	11325241	11436612	0.0532171065820739	4.29062907341994e-08	Hypermethylated	0	0	0
Ubap1	chr4	41348995	41390524	0.0758266089368974	4.33848652355552e-08	Hypermethylated	0	0	0
Ctcf	chr8	105636567	105682921	0.0601982595897675	4.34164328520319e-08	Hypermethylated	0	0	0
Ralbp1	chr17	65848417	65885797	0.0697988734241857	4.59607165484944e-08	Hypermethylated	0	0	0
Olfm1	chr2	28192991	28230735	0.107112500115628	4.69353822477162e-08	Hypermethylated	0	0	0
Prnp	chr2	131909927	131938428	0.124948679895894	4.69353822477162e-08	Hypermethylated	0	0	0
Hsd17b12	chr2	94032688	94157963	0.0340112796377804	4.71174692221733e-08	Hypermethylated	0	0	0
Col9a1	chr1	24177609	24252683	0.0440608824596733	4.81668222804248e-08	Hypermethylated	0	3	-3
Frs2	chr10	117069426	117148533	0.046744940829777	4.94734543491497e-08	Hypermethylated	0	0	0
Dtna	chr18	23415134	23659714	0.030547229189203	4.98406136918208e-08	Hypermethylated	0	0	0
Mrpl48	chr7	100545750	100608300	0.0586277723027148	5.03963242407605e-08	Hypermethylated	0	0	0
Oprm1	chr10	6758505	7038197	0.0277281859087339	5.09849550679835e-08	Hypermethylated	2	0	2
Usp15	chr10	123105005	123196994	0.034298922001927	5.13595311172157e-08	Hypermethylated	0	0	0
Pitpnc1	chr11	107207891	107470698	0.0296359075045345	5.14548796609093e-08	Hypermethylated	0	1	-1
Pten	chr19	32757496	32826159	0.0556703966197469	5.1703706560802e-08	Hypermethylated	0	0	0
Ahctf1	chr1	179744893	179803679	0.0420360887733784	5.40317095129719e-08	Hypermethylated	0	0	0
Kpna3	chr14	61365210	61439873	0.0547151746610815	5.75247837792431e-08	Hypermethylated	0	0	0
Cabp1	chr5	115168688	115194380	0.0661095583738942	5.84059750515686e-08	Hypermethylated	1	1	0
Scai	chr2	39066213	39190733	0.0409219342935487	6.03863806971184e-08	Hypermethylated	0	0	0
Smarca4	chr9	21616168	21704229	0.0599560774311891	6.16868777904097e-08	Hypermethylated	0	0	0
Pbx1	chr1	168119363	168432269	0.0229862468028339	6.19334215328542e-08	Hypermethylated	2	1	1
Eef2k	chr7	120842830	120907449	0.0870846633501604	6.20548214582352e-08	Hypermethylated	1	1	0
Hivep2	chr10	13966074	14151373	0.0311085403397233	6.38534631954446e-08	Hypermethylated	3	0	3
Mad1l1	chr5	140008688	140321551	-0.0379653159946855	6.4337103529119e-08	Hypomethylated	2	0	2
Polr3g	chr13	81673842	81711012	0.0414692515656646	6.61905584730583e-08	Hypermethylated	0	0	0
Castor1	chr11	4218224	4222408	-0.298132698958837	6.67216899424426e-08	Hypomethylated	1	0	1
Adarb1	chr10	77290725	77418269	0.0467153615316256	6.69111798552168e-08	Hypermethylated	1	1	0
Gpcpd1	chr2	132529081	132587728	0.0562640018010679	6.72439117580763e-08	Hypermethylated	0	0	0
Kif1b	chr4	149176318	149307692	0.0421645817440139	6.75418787901226e-08	Hypermethylated	0	0	0
Clk1	chr1	58410188	58424065	0.10921571675269	6.88776632415257e-08	Hypermethylated	0	0	0
Sspn	chr6	145931640	145965222	0.0686354328632145	6.98871671481297e-08	Hypermethylated	3	0	3
Lrrc36	chr8	105413570	105464085	0.0516207839925158	7.20332781682914e-08	Hypermethylated	0	0	0
Chchd6	chr6	89383145	89595651	0.0413676583565084	7.33934891572443e-08	Hypermethylated	0	1	-1
Pcmtd2	chr2	181837853	181857460	0.0966713865900532	7.53838628199135e-08	Hypermethylated	0	0	0
Arhgap32	chr9	32116135	32268445	-0.0272965642550699	7.70932651799261e-08	Hypomethylated	3	0	3
Cog3	chr14	75702349	75754557	0.0486542438868003	7.70932651799261e-08	Hypermethylated	0	0	0
Gprc5c	chr11	114851151	114872616	0.15942306289361	8.23926322445526e-08	Hypermethylated	0	0	0
Gsr	chr8	33652522	33698162	0.0532389951890416	8.24123751811642e-08	Hypermethylated	0	1	-1
Ppp4r1	chr17	65782572	65841925	0.0528805910593996	8.33336185691584e-08	Hypermethylated	0	0	0
Lrig3	chr10	125966167	126015358	-0.0466492649194283	8.45590940700393e-08	Hypomethylated	1	0	1
Pcdhga3	chr18	37674306	37841872	0.0277403157032307	8.82763992089046e-08	Hypermethylated	0	0	0
Crtc3	chr7	80586626	80688876	0.0580265513382299	8.94576894759202e-08	Hypermethylated	0	0	0
Csnk2a1	chr2	152226838	152281851	0.0669997033970824	9.29921869456856e-08	Hypermethylated	0	0	0
C2cd3	chr7	100372232	100470151	0.0364701895008808	9.29921869456856e-08	Hypermethylated	0	0	0
Kcnk12	chr17	87745800	87797993	0.088767564182277	9.29921869456856e-08	Hypermethylated	1	3	-2
Phip	chr9	82866158	82975515	0.0379519080871098	9.34362202263641e-08	Hypermethylated	0	0	0
Mef2a	chr7	67231162	67372857	0.0439842189191626	9.39028555231374e-08	Hypermethylated	0	2	-2
Gpatch8	chr11	102475914	102556391	0.0472370878377472	9.5623822797111e-08	Hypermethylated	0	0	0
Snx2	chr18	53176315	53220864	0.0585251390784906	1.00497836017751e-07	Hypermethylated	0	0	0
Ccdc186	chr19	56787480	56822189	0.0604089290827905	1.00903067853912e-07	Hypermethylated	0	0	0
B3gat2	chr1	23761752	23849157	0.0537709056518625	1.02167167311103e-07	Hypermethylated	0	2	-2
Rbfox2	chr15	77078989	77307003	0.0351739252885303	1.02363930784366e-07	Hypermethylated	0	0	0
Rnf144a	chr12	26300963	26415253	0.0492097736322568	1.05250282281953e-07	Hypermethylated	0	0	0
Ppp1r9a	chr6	4902916	5165660	0.0204763627583215	1.09084691755013e-07	Hypermethylated	0	0	0
Tcf12	chr9	71842687	72111870	0.0292061196508279	1.09084691755013e-07	Hypermethylated	0	1	-1
Phf20l1	chr15	66577559	66647975	0.0494926789476662	1.13327814059824e-07	Hypermethylated	0	0	0
