gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Sp1	chr15	102406142	102436403	0.0421038409391374	1.82355963405686e-14	Hypermethylated	1	1	0
Ppm1b	chr17	84956740	85023990	0.0234651763365765	1.88938332852413e-14	Hypermethylated	1	1	0
Tmeff1	chr4	48585173	48663130	-0.0152892941001577	1.91444798498274e-14	Hypomethylated	1	1	0
Tmcc2	chr1	132356314	132391280	0.0360520311111805	1.92603587991658e-14	Hypermethylated	2	2	0
Eed	chr7	89954653	89980982	0.0396405141579977	1.92763752705351e-14	Hypermethylated	0	1	1
Gm49711	chr16	92058315	92187340	0.014802612060602	1.94889130711146e-14	Hypermethylated	0	0	0
Champ1	chr8	13869640	13881638	0.0484071243233906	1.95535459484908e-14	Hypermethylated	0	0	0
Eln	chr5	134702592	134747322	-0.0311610164410915	1.96140097448917e-14	Hypomethylated	1	0	-1
5031439G07Rik	chr15	84943935	84988550	-0.0326524808623219	1.96711869561539e-14	Hypomethylated	1	1	0
Unc5a	chr13	54949410	55006017	0.0299033223128579	1.97575686640814e-14	Hypermethylated	11	4	-7
Pxmp4	chr2	154585757	154603707	0.0414028461600333	1.99503723145728e-14	Hypermethylated	0	0	0
Wdr33	chr18	31804089	31907396	0.0182167440252984	2.01870664893782e-14	Hypermethylated	0	0	0
Prdx3	chr19	60864050	60874555	0.0678900561675668	2.0226273143825e-14	Hypermethylated	0	0	0
Grhl1	chr12	24572282	24617390	-0.0215527697797131	2.18369499285101e-14	Hypomethylated	2	2	0
Sh3gl1	chr17	56016749	56036634	0.0548010611632701	2.19639018510827e-14	Hypermethylated	0	0	0
Arhgef28	chr13	97899468	98206438	-0.0097274459156016	2.20335411002641e-14	Hypomethylated	1	2	1
Bcas3	chr11	85353166	85826057	-0.00829443370084615	2.22064119468063e-14	Hypomethylated	0	0	0
Zgpat	chr2	181364927	181383627	0.0643865941421917	2.24740854546562e-14	Hypermethylated	0	0	0
Ttc33	chr15	5185524	5218335	0.0310379793269917	2.25566032580887e-14	Hypermethylated	0	0	0
Nsmf	chr2	25054354	25062880	-0.0791395766191703	2.2684570230071e-14	Hypomethylated	2	1	-1
Sclt1	chr3	41626719	41742513	0.0182359908572955	2.33613894789728e-14	Hypermethylated	0	1	1
Oprl1	chr2	181715015	181720984	0.0927219191864334	2.39282827886478e-14	Hypermethylated	1	3	2
Dtd1	chr2	144599896	144768757	0.0151065082026099	2.39972023472259e-14	Hypermethylated	2	1	-1
Btaf1	chr19	36926078	37012751	0.0211917998850825	2.40563959175116e-14	Hypermethylated	0	0	0
Kpna6	chr4	129643979	129672766	0.0321765823113292	2.42944753946679e-14	Hypermethylated	0	0	0
Sf3b3	chr8	110810238	110846786	0.0286541664157517	2.44478562677464e-14	Hypermethylated	0	0	0
Gm42416	chr18	36952740	37840199	0.00638126125951288	2.47925555030854e-14	Hypermethylated	0	0	0
Gm49804	chr17	27580779	27635221	0.0237364743866598	2.51183041563368e-14	Hypermethylated	0	0	0
Wdr26	chr1	181173227	181212000	0.0264574017274746	2.54138582296225e-14	Hypermethylated	2	1	-1
Lrrk1	chr7	66226911	66388349	-0.0133617254694065	2.59759210260041e-14	Hypomethylated	1	1	0
Morc3	chr16	93832120	93876072	0.0244475407172638	2.63139026946234e-14	Hypermethylated	0	0	0
Nup133	chr8	123897122	123949264	0.0204435864606366	2.65068620228385e-14	Hypermethylated	0	0	0
Mlf2	chr6	124931385	124937237	0.078489276621209	2.68017801145292e-14	Hypermethylated	0	0	0
Kcnab2	chr4	152390741	152477909	-0.0186850628871904	2.69958976776758e-14	Hypomethylated	6	5	-1
Galnt1	chr18	24205343	24286817	0.0215543907730636	2.716528489521e-14	Hypermethylated	0	0	0
Smarcd2	chr11	106263178	106272971	0.0590824116740995	2.77195332333541e-14	Hypermethylated	1	1	0
Nrde2	chr12	100125451	100159652	0.0261573028389098	2.78229166323219e-14	Hypermethylated	0	1	1
Scai	chr2	39066213	39190733	0.0217515477642827	2.79977475759178e-14	Hypermethylated	0	1	1
Atmin	chr8	116943392	116960444	0.0361372732124791	2.82305011971067e-14	Hypermethylated	0	0	0
Rab31	chr17	65651728	65772751	0.0149823865666878	2.88039744633728e-14	Hypermethylated	3	3	0
Tex15	chr8	33516737	33585581	-0.0231121734310366	2.92929312181595e-14	Hypomethylated	0	0	0
Pigb	chr9	73007418	73040377	0.0280957809221327	3.03640352141715e-14	Hypermethylated	0	0	0
Zdhhc5	chr2	84687969	84715179	0.0383689369056023	3.10994358845091e-14	Hypermethylated	0	0	0
Snrnp48	chr13	38204937	38227664	0.037515002437281	3.12936873301961e-14	Hypermethylated	0	1	1
Cops2	chr2	125830303	125859138	0.0381803323927872	3.12941355578447e-14	Hypermethylated	0	0	0
Csnk2a1	chr2	152226838	152281851	0.0342008285846567	3.13483611194528e-14	Hypermethylated	0	0	0
Atf6	chr1	170704673	170867770	0.0148100467320573	3.17412293773968e-14	Hypermethylated	0	0	0
Jdp2	chr12	85599026	85639877	0.0338495881484617	3.17412293773968e-14	Hypermethylated	5	2	-3
Etnk1	chr6	143167220	143232306	0.0205899822737632	3.18250470102829e-14	Hypermethylated	0	0	0
Unc5b	chr10	60762592	60831580	-0.0265179231828801	3.25258888377241e-14	Hypomethylated	5	3	-2
Sun1	chr5	139200636	139249839	0.0285259165388817	3.32072616673435e-14	Hypermethylated	0	0	0
Irx5	chr8	92357624	92376285	-0.0399906033080893	3.3618368300969e-14	Hypomethylated	5	3	-2
Gnai3	chr3	108107279	108146145	0.0273315641732853	3.36235288016394e-14	Hypermethylated	0	0	0
Tbl1x	chrX	77511012	77662982	0.0281870108370882	3.50603170542189e-14	Hypermethylated	0	0	0
Bckdhb	chr9	83925144	84124239	0.0120618097688584	3.50765870532816e-14	Hypermethylated	0	2	2
Tubgcp4	chr2	121170653	121198769	0.0386218622360851	3.51974761182328e-14	Hypermethylated	0	0	0
Dip2c	chr13	9276527	9668927	-0.0116780406543977	3.6392657561356e-14	Hypomethylated	2	1	-1
Abcc5	chr16	20331302	20426393	0.0170779212763248	3.72000960444746e-14	Hypermethylated	0	0	0
Mcrs1	chr15	99242816	99251960	0.0678856155630038	3.79436355595147e-14	Hypermethylated	0	0	0
Htt	chr5	34761739	34912533	0.0170028976509918	3.81040497450004e-14	Hypermethylated	0	0	0
Sfxn5	chr6	85213048	85333421	-0.0192924945183391	3.81450775439893e-14	Hypomethylated	4	2	-2
Ppt2	chr17	34616661	34628509	0.0494227081215791	3.81725497247796e-14	Hypermethylated	0	0	0
Evi5	chr5	107744794	107875106	0.016665355325331	3.83870384014746e-14	Hypermethylated	0	0	0
Cyld	chr8	88697027	88751944	0.0313182105888763	3.88489741038384e-14	Hypermethylated	1	1	0
Duoxa2	chr2	122298899	122302884	-0.0657821298499761	3.9508293491966e-14	Hypomethylated	1	2	1
Appbp2	chr11	85187261	85235129	0.0279155327182833	4.00963683872144e-14	Hypermethylated	0	0	0
Afap1l1	chr18	61730260	61786701	0.0218728016738335	4.09017866307543e-14	Hypermethylated	1	3	2
Gmppb	chr9	108049241	108052800	0.0985815847098349	4.10972060776529e-14	Hypermethylated	0	0	0
Slc38a1	chr15	96571417	96642912	-0.0173573754176739	4.11256812718524e-14	Hypomethylated	0	0	0
Cilk1	chr9	78109191	78172106	0.0200714441168517	4.18070669696132e-14	Hypermethylated	0	0	0
Sdhb	chr4	140961202	140979192	0.0415715449575083	4.22404690564509e-14	Hypermethylated	0	0	0
Usp37	chr1	74435510	74544283	0.0193060831029399	4.25694631790367e-14	Hypermethylated	0	0	0
Faf2	chr13	54621783	54664062	0.0268055058306998	4.25840172066805e-14	Hypermethylated	0	0	0
Ipo13	chr4	117894485	117914998	0.0441289612929283	4.35125128692363e-14	Hypermethylated	1	1	0
Acsl1	chr8	46471036	46536050	0.0220273560541102	4.35125128692363e-14	Hypermethylated	1	1	0
Ndufb3	chr1	58586383	58595963	0.0644232450679526	4.71548929841303e-14	Hypermethylated	0	0	0
Ttl	chr2	129065941	129096282	0.0309757606474137	4.77460697848344e-14	Hypermethylated	0	0	0
Bend7	chr2	4717830	4802141	-0.0160226258577729	4.78438101907193e-14	Hypomethylated	2	2	0
Cask	chrX	13517079	13851366	-0.0176479919346035	4.85433148396698e-14	Hypomethylated	0	0	0
Nacc1	chr8	84670478	84687901	0.0539766250805501	4.92303113357475e-14	Hypermethylated	0	0	0
R3hdm2	chr10	127380326	127499383	0.0197912099591527	4.93560641154024e-14	Hypermethylated	0	0	0
Bod1l	chr5	41787537	41844314	0.0220596971407502	4.97497123624805e-14	Hypermethylated	0	0	0
Tbca	chr13	94788909	94842921	0.0266346176767425	4.97497123624805e-14	Hypermethylated	6	4	-2
Ifnar1	chr16	91485237	91507440	0.0351865478518821	4.99344874371341e-14	Hypermethylated	1	1	0
Mmel1	chr4	154869584	154895527	0.0404436724369165	5.01694737022547e-14	Hypermethylated	0	0	0
Faf1	chr4	109676587	109963959	0.0134655637963703	5.19023899997917e-14	Hypermethylated	0	0	0
Avl9	chr6	56714898	56761911	0.0308001576311834	5.24487854053125e-14	Hypermethylated	0	0	0
Il1rapl2	chrX	137570607	138846945	-0.00546116383523731	5.33483678246144e-14	Hypomethylated	0	0	0
Prpf40a	chr2	53134703	53191701	0.0273522607954536	5.37121805640273e-14	Hypermethylated	0	3	3
Tbata	chr10	61171953	61188840	0.0660571552158957	5.45146845425844e-14	Hypermethylated	2	1	-1
Rabep1	chr11	70844777	70943104	0.0203586033608919	5.55901364228275e-14	Hypermethylated	0	0	0
Hsf1	chr15	76477421	76501912	0.0467033052191118	5.67647174411618e-14	Hypermethylated	0	0	0
Ppfia4	chr1	134296782	134332927	0.0380617851942505	5.73545934960968e-14	Hypermethylated	1	1	0
Dnajc18	chr18	35671102	35708413	0.0334975589153591	5.76752400295832e-14	Hypermethylated	0	0	0
Zeb1	chr18	5591859	5775466	0.0172233450785655	5.8385883411814e-14	Hypermethylated	0	0	0
Kcnc3	chr7	44590663	44604753	0.0477728431788267	6.02216049104488e-14	Hypermethylated	0	0	0
Adss	chr1	177762961	177796510	0.0325857225500978	6.33776590247257e-14	Hypermethylated	0	0	0
Ep400	chr5	110664372	110770716	0.0197522333422099	6.36365895971748e-14	Hypermethylated	0	0	0
Alas1	chr9	106233454	106248653	0.0403387349847327	6.37694213779436e-14	Hypermethylated	0	0	0
Osbpl5	chr7	143688761	143756984	-0.026519568144042	6.38633589313724e-14	Hypomethylated	5	3	-2
Ylpm1	chr12	84996320	85070514	0.0225659298764598	6.42003400370762e-14	Hypermethylated	0	0	0
Creb3l2	chr6	37327254	37442145	-0.0147583520585197	6.47451528737252e-14	Hypomethylated	1	1	0
Usp8	chr2	126707327	126759296	0.0218141203941248	6.63617401034535e-14	Hypermethylated	0	0	0
Tcp11l2	chr10	84576625	84614358	0.0302239543687551	6.75703002761471e-14	Hypermethylated	0	0	0
Medag	chr5	149411748	149431722	0.0403981203069284	6.77175538504026e-14	Hypermethylated	4	2	-2
Bicd1	chr6	149408885	149563328	0.0210116819419124	6.79230076600884e-14	Hypermethylated	1	1	0
Acox1	chr11	116171887	116199044	0.0291618628912897	7.05661472567981e-14	Hypermethylated	0	0	0
Cd300ld3	chr11	115042130	115048408	0.161333435039462	7.34428070236315e-14	Hypermethylated	0	0	0
Tmem169	chr1	72284368	72303103	0.0436403629842035	7.48301250051818e-14	Hypermethylated	0	0	0
Kdelr2	chr5	143403837	143421900	0.0421113070307554	7.49382365262361e-14	Hypermethylated	0	0	0
Bnip3	chr7	138890835	138909518	0.0430417020755703	7.65868323662359e-14	Hypermethylated	0	0	0
Rprd1b	chr2	158028496	158132296	0.0191098755278722	7.68950925296284e-14	Hypermethylated	1	1	0
Ap2a1	chr7	44900372	44929495	0.0356268047018977	8.13081209288089e-14	Hypermethylated	0	0	0
Gigyf2	chr1	87326997	87450795	0.0173581523371836	8.14469990023606e-14	Hypermethylated	0	0	0
Lhpp	chr7	132610637	132706419	0.0198837472252597	8.23882231185e-14	Hypermethylated	2	3	1
Smad3	chr9	63646766	63757993	-0.0177740392747049	8.45957614130259e-14	Hypomethylated	2	1	-1
2610001J05Rik	chr6	13867734	13871517	0.0804972115343481	8.69750918798106e-14	Hypermethylated	0	0	0
C1qtnf1	chr11	118428202	118449962	-0.0414876362118058	8.92536153155394e-14	Hypomethylated	2	2	0
Gm45234	chr6	124739188	124756020	0.045542851192851	9.00613505173493e-14	Hypermethylated	0	0	0
Vps29	chr5	122354368	122364983	0.0588834090923054	9.04356539538125e-14	Hypermethylated	0	0	0
Atp9b	chr18	80734140	80934059	0.0134661619286616	9.06082482455663e-14	Hypermethylated	0	0	0
Mysm1	chr4	94942039	94979099	0.0274905066741535	9.23400423988039e-14	Hypermethylated	0	0	0
Ergic2	chr6	148179078	148212373	0.0337419882192297	9.46691722009353e-14	Hypermethylated	0	0	0
Elp2	chr18	24602865	24639506	0.0245593075110442	9.59338094350119e-14	Hypermethylated	0	1	1
Xrn2	chr2	147012995	147077999	0.0233539538525067	9.83557000408459e-14	Hypermethylated	0	1	1
Sema6c	chr3	95160456	95174023	-0.0522898717778233	1.04242452755352e-13	Hypomethylated	1	1	0
Cnbp	chr6	87842614	87851105	0.0596529896225522	1.05865773842245e-13	Hypermethylated	0	0	0
Actr3	chr1	125392904	125435726	0.0338852111707109	1.06334775383913e-13	Hypermethylated	1	1	0
Cfap61	chr2	145934783	146215038	-0.0101530052381823	1.06992236244465e-13	Hypomethylated	0	0	0
Rc3h2	chr2	37370068	37422902	0.0290737288033872	1.07255355903338e-13	Hypermethylated	0	0	0
Btbd9	chr17	30215523	30576487	0.00927346485425151	1.07623080806157e-13	Hypermethylated	2	0	-2
Zbtb4	chr11	69765911	69784022	0.0525259367333946	1.11848825002562e-13	Hypermethylated	0	0	0
Flt1	chr5	147561603	147726010	-0.0121708991055576	1.11957691761724e-13	Hypomethylated	1	0	-1
Reep4	chr14	70545250	70548932	0.0874090757374456	1.13373275221083e-13	Hypermethylated	0	1	1
Cuedc2	chr19	46329811	46338701	0.0675512384009672	1.19531657962661e-13	Hypermethylated	0	0	0
Racgap1	chr15	99620495	99651655	0.0264553933919618	1.20326964315608e-13	Hypermethylated	0	0	0
Alkbh6	chr7	30308716	30314303	0.0616611827197165	1.2094787931103e-13	Hypermethylated	0	0	0
Atp6v0d1	chr8	105524464	105566046	0.0417184253069582	1.21801678428353e-13	Hypermethylated	1	0	-1
Ggct	chr6	54982579	54992949	0.0475523192472589	1.23164204874398e-13	Hypermethylated	1	1	0
Adamtsl3	chr7	82335693	82614449	-0.011064817827905	1.29075507741127e-13	Hypomethylated	2	0	-2
Zc3h3	chr15	75754429	75841914	0.0233311548444988	1.30356551222945e-13	Hypermethylated	2	1	-1
Ppt1	chr4	122836241	122859174	0.0437177380287543	1.32287601334661e-13	Hypermethylated	0	0	0
Gfra1	chr19	58235603	58455908	-0.0109007935225678	1.36614735620669e-13	Hypomethylated	5	7	2
Myef2	chr2	125084627	125123660	0.0323087556331032	1.37860069696962e-13	Hypermethylated	0	0	0
Trmt1l	chr1	151428541	151458160	0.026680798559521	1.38556413407622e-13	Hypermethylated	0	0	0
Hibadh	chr6	52546227	52640388	0.0185184584332682	1.40641928127775e-13	Hypermethylated	0	1	1
Abca8b	chr11	109932189	109995844	0.0231633380969912	1.41368210985744e-13	Hypermethylated	0	0	0
Sfrp5	chr19	42197970	42202251	-0.096304322244316	1.42494370792464e-13	Hypomethylated	2	1	-1
Gpr137	chr19	6938056	6942479	0.100420816247673	1.43390319781023e-13	Hypermethylated	0	1	1
Aifm3	chr16	17489610	17507484	0.0527448757378457	1.45069681320817e-13	Hypermethylated	0	1	1
Fbxo8	chr8	56551089	56593938	0.0330365855802539	1.45714607898396e-13	Hypermethylated	2	1	-1
Serinc5	chr13	92611090	92711946	0.0189528608587041	1.4712859607676e-13	Hypermethylated	3	2	-1
Nxpe4	chr9	48162022	48400024	-0.010241056967093	1.51940820654108e-13	Hypomethylated	0	0	0
Pcmtd2	chr2	181837853	181857460	0.0511063456032163	1.52129336423465e-13	Hypermethylated	0	0	0
Cacul1	chr19	60524695	60581024	0.0356641693848705	1.53520482140158e-13	Hypermethylated	2	2	0
Grid2	chr6	63255875	64704322	0.00602604385466898	1.55070846268964e-13	Hypermethylated	3	5	2
Thnsl1	chr2	21205723	21215008	0.0551417219232267	1.55779616700803e-13	Hypermethylated	1	3	2
Stard5	chr7	83631958	83653126	0.0493316118012742	1.56394296514536e-13	Hypermethylated	1	0	-1
Klhl9	chr4	88718291	88722464	0.0456224973436489	1.60234433864808e-13	Hypermethylated	0	0	0
Mcm3ap	chr10	76468926	76515856	0.019057462190842	1.6138315836414e-13	Hypermethylated	0	0	0
Celf5	chr10	81459226	81482708	-0.0467376663426103	1.64646607561475e-13	Hypomethylated	0	0	0
Parp16	chr9	65195352	65239223	0.0277298529786231	1.65954995934184e-13	Hypermethylated	1	1	0
Elavl3	chr9	22015004	22052022	0.0342856486825995	1.7004393739307e-13	Hypermethylated	2	1	-1
Srgap2	chr1	131285250	131527351	0.01812196501643	1.80771721051345e-13	Hypermethylated	1	1	0
Zfyve26	chr12	79232345	79296303	0.0170088506427267	1.81553435987045e-13	Hypermethylated	0	0	0
Hmcn2	chr2	31314414	31460737	-0.0163351519644158	1.82558619067015e-13	Hypomethylated	5	1	-4
Sap130	chr18	31634370	31723060	0.0169890706115656	1.82783777271337e-13	Hypermethylated	1	1	0
Bag2	chr1	33745483	33757794	0.0426646779677877	1.85035817900783e-13	Hypermethylated	1	1	0
Gtf2a1	chr12	91555261	91590486	0.0311735230274537	1.90162213182341e-13	Hypermethylated	2	1	-1
Ywhab	chr2	163994959	164018587	0.0359379771589508	1.90709475950446e-13	Hypermethylated	0	0	0
Hmgxb3	chr18	61131276	61177049	0.0203607642518278	1.91629623561396e-13	Hypermethylated	0	0	0
Cs	chr10	128337733	128362478	0.0382916184545337	1.96163055718962e-13	Hypermethylated	0	0	0
Nr6a1	chr2	38723369	38927687	-0.0143490249471729	2.00307560849453e-13	Hypomethylated	1	1	0
Flot2	chr11	78037930	78060433	0.0392440574068645	2.00957188562015e-13	Hypermethylated	0	0	0
Bphl	chr13	34037596	34074073	0.0307294906830439	2.0998801717224e-13	Hypermethylated	0	0	0
Senp5	chr16	31959671	32003286	0.0254236901167271	2.13118791446548e-13	Hypermethylated	0	0	0
Ccdc92	chr5	124834417	124862423	0.0405955466457124	2.13737099317791e-13	Hypermethylated	4	4	0
Gtf2f2	chr14	75896936	76010864	0.0159070851729316	2.18091832377584e-13	Hypermethylated	0	1	1
Nrap	chr19	56320034	56390036	-0.017365363649101	2.20251955070458e-13	Hypomethylated	2	2	0
Rab8b	chr9	66843663	66919686	0.0208323972231653	2.20901150803522e-13	Hypermethylated	0	0	0
Itch	chr2	155133508	155226854	0.0204857532715018	2.21037473455073e-13	Hypermethylated	0	0	0
Dcx	chrX	143855841	143933310	-0.0255939221141857	2.21224003401021e-13	Hypomethylated	1	2	1
Pou4f1	chr14	104461675	104467998	0.0702023618977153	2.25291328960059e-13	Hypermethylated	5	6	1
Smc3	chr19	53600397	53645832	0.0289916929203415	2.33500025760528e-13	Hypermethylated	0	0	0
Cryab	chr9	50751324	50756635	0.0806752190076967	2.4971248896118e-13	Hypermethylated	0	1	1
Poc1b	chr10	99107035	99198073	0.0146190231880192	2.50268154565034e-13	Hypermethylated	1	3	2
Chn1	chr2	73610659	73775345	-0.0142526622658542	2.5089361430113e-13	Hypomethylated	3	2	-1
Cab39	chr1	85793440	85851575	0.0298371872183686	2.58239335991351e-13	Hypermethylated	0	0	0
Lrfn3	chr7	30355488	30362771	0.0556728755524775	2.60803271195774e-13	Hypermethylated	0	0	0
Atg3	chr16	45158784	45188537	0.0416504365668853	2.61294763150315e-13	Hypermethylated	0	0	0
Wbp2	chr11	116078572	116086994	0.0661073207232095	2.65640207782278e-13	Hypermethylated	0	0	0
Psmd11	chr11	80428614	80473247	0.0310945961031939	2.71070211533348e-13	Hypermethylated	0	0	0
Nprl3	chr11	32225627	32267706	0.0320983426680765	2.73500410952832e-13	Hypermethylated	0	0	0
Fsip1	chr2	118130423	118256965	-0.015493041352067	2.74082377392967e-13	Hypomethylated	2	1	-1
Rnf19a	chr15	36239932	36283146	0.0319024362442619	2.75685647169424e-13	Hypermethylated	3	4	1
Hnrnpul1	chr7	25721164	25754756	0.0304619926941693	2.83516046755002e-13	Hypermethylated	0	0	0
Gldc	chr19	30098446	30175428	-0.0172358346216753	2.88954138402064e-13	Hypomethylated	1	1	0
Tprgl	chr4	154157484	154160665	0.096975640446691	2.89648165159948e-13	Hypermethylated	0	0	0
Slc35e2	chr4	155601415	155623339	0.0385729248668902	2.92748489938036e-13	Hypermethylated	0	0	0
Tet2	chr3	133463678	133545138	0.0200319513327178	2.93936945279032e-13	Hypermethylated	1	2	1
Ccdc155	chr7	45183623	45204891	0.0539850292424927	2.94305841155199e-13	Hypermethylated	0	0	0
Knop1	chr7	118842221	118856253	0.0532371069225835	2.98829420967935e-13	Hypermethylated	0	0	0
Naa30	chr14	49172225	49191030	0.0513139626549391	3.02228959838513e-13	Hypermethylated	0	0	0
Dicer1	chr12	104687741	104751951	-0.0198006281466013	3.03210176737788e-13	Hypomethylated	3	0	-3
Klf7	chr1	64029446	64122281	0.0192608092278544	3.07933931809812e-13	Hypermethylated	10	15	5
Yaf2	chr15	93284277	93336934	0.0231699791951631	3.09755956253375e-13	Hypermethylated	0	0	0
Trim24	chr6	37870810	37966295	0.0172670418106261	3.10066622535992e-13	Hypermethylated	0	0	0
Prkd1	chr12	50341230	50649097	-0.00963708217652492	3.14201088505984e-13	Hypomethylated	3	4	1
Afg1l	chr10	42312584	42478564	-0.0124160028252898	3.16604912580071e-13	Hypomethylated	0	0	0
Tdg	chr10	82629827	82650798	0.0363936878369341	3.24801446656838e-13	Hypermethylated	0	0	0
St6galnac6	chr2	32599708	32620805	0.0368685614355417	3.25589312444765e-13	Hypermethylated	0	0	0
Arel1	chr12	84918147	84970899	0.0247116246657321	3.26656209243878e-13	Hypermethylated	0	0	0
Glrx5	chr12	105032687	105042905	0.0472448313908451	3.26900058670813e-13	Hypermethylated	0	0	0
Rtl4	chrX	144688906	145122410	-0.0113537893837122	3.27962536203603e-13	Hypomethylated	1	0	-1
Pcnx2	chr8	125751507	125898316	0.0136638931413696	3.2900981196225e-13	Hypermethylated	0	0	0
Zkscan6	chr11	65807174	65829238	0.0432729129395051	3.2900981196225e-13	Hypermethylated	0	0	0
Tbc1d12	chr19	38836578	38919922	0.0197262400513099	3.31833644174378e-13	Hypermethylated	0	0	0
Synj1	chr16	90936091	91011307	0.018694776129868	3.43016104477123e-13	Hypermethylated	0	0	0
Actg2	chr6	83512904	83536264	0.041648188106324	3.4533768408281e-13	Hypermethylated	0	0	0
Ube2j1	chr4	33031415	33052362	0.0424713451934379	3.48911515449071e-13	Hypermethylated	0	0	0
Cd2ap	chr17	42792950	42876664	0.0199376938030946	3.60848079918664e-13	Hypermethylated	0	0	0
Chst3	chr10	60181531	60219259	-0.0288976653399724	3.64174589332525e-13	Hypomethylated	5	4	-1
Maoa	chrX	16619697	16687817	0.039205160952216	3.66553680183245e-13	Hypermethylated	0	1	1
Arhgap12	chr18	6024426	6136097	0.019100728663066	3.73945903805506e-13	Hypermethylated	1	2	1
Fam57a	chr11	76179670	76214826	0.0322420474523057	3.74728510588311e-13	Hypermethylated	0	0	0
Tmem87b	chr2	128818117	128854260	0.028892187223082	3.80446123487405e-13	Hypermethylated	0	0	0
Agap1	chr1	89454805	89897616	0.00875588427518559	3.83085270733103e-13	Hypermethylated	3	3	0
Dhx15	chr5	52150202	52190513	0.0331053210762882	3.88630744108604e-13	Hypermethylated	0	0	0
Eif3j1	chr2	122028545	122056597	0.0397675381371523	3.9567460969723e-13	Hypermethylated	0	0	0
Tcaf1	chr6	42668001	42710087	0.0329778228496028	3.97180644064941e-13	Hypermethylated	1	1	0
Usp13	chr3	32817545	32938070	-0.0141792918901953	4.11211068541577e-13	Hypomethylated	0	0	0
Mettl25	chr10	105763188	105841379	0.0157417606445415	4.16705292501021e-13	Hypermethylated	0	0	0
Cmklr1	chr5	113612353	113650425	0.0297049891462802	4.19101932418283e-13	Hypermethylated	0	0	0
Sertad2	chr11	20543252	20653020	0.0189386661517187	4.26317112383841e-13	Hypermethylated	1	1	0
Ccdc43	chr11	102684685	102697781	0.0461522588112359	4.28954407984795e-13	Hypermethylated	0	0	0
Msrb3	chr10	120781095	120899100	-0.0118263185013778	4.33063561464257e-13	Hypomethylated	1	0	-1
Capn2	chr1	182467259	182517607	0.0237903514953898	4.35282991940083e-13	Hypermethylated	1	1	0
Uimc1	chr13	55027879	55100299	0.0221110102234872	4.37597671845294e-13	Hypermethylated	0	0	0
Slc25a35	chr11	68968130	68974364	0.0751136179744273	4.5452782878355e-13	Hypermethylated	0	0	0
Sdc1	chr12	8771322	8793714	0.0411573359891155	4.56492476830035e-13	Hypermethylated	6	9	3
Mpst	chr15	78406415	78414012	-0.0609278408708467	4.56492476830035e-13	Hypomethylated	0	0	0
Nupl1	chr14	60184611	60251430	0.0226379174284671	4.59834811737216e-13	Hypermethylated	0	0	0
Tmem87a	chr2	120355311	120404112	0.0276597018498679	4.68722443634761e-13	Hypermethylated	0	0	0
Pard6a	chr8	105701147	105703495	0.0970776843509785	4.77326570134304e-13	Hypermethylated	1	0	-1
Thsd4	chr9	59966930	60522045	-0.00716851097911453	4.85488596931527e-13	Hypomethylated	1	3	2
Arfip2	chr7	105634202	105640415	0.0703260217959023	4.89295805922309e-13	Hypermethylated	0	0	0
Fads6	chr11	115279621	115297662	0.0442718572598912	4.89295805922309e-13	Hypermethylated	0	0	0
Pdlim7	chr13	55495794	55513675	-0.0443126149384774	5.03537143518659e-13	Hypomethylated	1	1	0
Zfp68	chr5	138603651	138619760	0.0336462676228785	5.13021437168596e-13	Hypermethylated	0	0	0
Ubtd1	chr19	41981762	42034642	0.0274907545947894	5.14925594860725e-13	Hypermethylated	0	0	0
Lrp1	chr10	127538160	127621147	0.0196831493203465	5.18439852745482e-13	Hypermethylated	0	0	0
E2f4	chr8	105297662	105305369	0.0864116216815704	5.30075903631027e-13	Hypermethylated	0	0	0
2810006K23Rik	chr5	124328088	124341843	0.0468691675278547	5.44356711637769e-13	Hypermethylated	0	0	0
Josd1	chr15	79674250	79687918	0.0490718812119447	5.4476680156353e-13	Hypermethylated	0	0	0
Timm17a	chr1	135295212	135313777	0.0395757767204361	5.45579810813391e-13	Hypermethylated	0	0	0
Gm42906	chr5	151063545	151428162	-0.00942558089715462	5.52615168327916e-13	Hypomethylated	0	0	0
Bsdc1	chr4	129461580	129488497	0.0328061076945676	5.58798203742066e-13	Hypermethylated	0	0	0
4931428F04Rik	chr8	105280408	105289863	0.0577413635879199	5.59957817107068e-13	Hypermethylated	0	0	0
Phactr2	chr10	13207716	13474411	-0.0101375644559949	5.6123856244644e-13	Hypomethylated	4	3	-1
Gmcl1	chr6	86691767	86733382	0.0291812388237449	5.73310105301608e-13	Hypermethylated	0	0	0
Rab5a	chr17	53479233	53507679	0.0455494486986787	5.79032715867098e-13	Hypermethylated	0	0	0
Pyroxd2	chr19	42725857	42752774	-0.032339448912909	5.80193617987378e-13	Hypomethylated	4	9	5
Cyb5a	chr18	84838703	84879870	0.0245192540856102	5.81582271996314e-13	Hypermethylated	0	1	1
Map2	chr1	66175272	66442582	0.0142481332921303	5.83984509908021e-13	Hypermethylated	1	0	-1
Tcp11l1	chr2	104657287	104712168	0.023236939264286	5.99637093431599e-13	Hypermethylated	0	0	0
Ppat	chr5	76913248	76951577	0.0254768861762051	6.05319154246092e-13	Hypermethylated	1	1	0
