chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr7	130545001	130560000	chr7	130545001	131415000	870000	15000	333824.5123378782	99.0%	0.031	4.418118305071834
chr5	26270001	26290000	chr5	26270001	27055000	785000	20000	135711.56019870567	99.0%	0.066	4.416702450906657
chr5	127220001	127255000	chr5	127220001	127645000	425000	35000	378500.0947135345	99.0%	0.014	4.411917085958772
chr5	5485001	5515000	chr5	5485001	5760000	275000	30000	273286.7473289222	98.0%	0.049	4.40871711252432
chr16	35805001	35825000	chr16	35015001	35825000	810000	20000	139838.03373992274	98.0%	0.0325	4.406266292856267
chr17	31675001	31705000	chr17	31675001	32135000	460000	30000	228044.36678539912	98.0%	0.0395	4.404379715156541
chr2	128565001	128590000	chr2	127860001	128590000	730000	25000	137401.02987346647	98.0%	0.0305	4.3909544524890105
chr10	37980001	38000000	chr10	37235001	38000000	765000	20000	163952.74715863907	95.0%	0.05	4.385412143694349
chr14	70750001	70770000	chr14	70465001	70770000	305000	20000	346671.4153485999	99.0%	0.034	4.379604176442959
chr10	107390001	107410000	chr10	106515001	107410000	895000	20000	173770.4159125867	98.0%	0.028	4.375476700285152
chr17	79880001	79900000	chr17	79880001	80315000	435000	20000	270303.08962949034	98.0%	0.04	4.359704245171767
chr10	128720001	128745000	chr10	128720001	128990000	270000	25000	428923.17999713187	99.0%	0.0235	4.358321600753456
chr13	113860001	113885000	chr13	113860001	114830000	970000	25000	110529.83238753983	98.0%	0.045	4.353706133513089
chr19	23130001	23150000	chr19	22425001	23150000	725000	20000	310099.437095124	95.0%	0.023	4.343039710187805
chr7	45300001	45315000	chr7	45300001	46000000	700000	15000	286491.3010025631	97.0%	0.0325	4.34286752276921
chr17	27900001	27920000	chr17	27900001	28170000	270000	20000	696562.6287256876	99.0%	0.0155	4.336233401282473
chr8	122440001	122455000	chr8	121580001	122455000	875000	15000	181563.19488085515	97.0%	0.04	4.330001080851098
chr2	112775001	112800000	chr2	112775001	113480000	705000	25000	144653.07097452477	98.0%	0.065	4.32231063238954
chr8	78805001	78825000	chr8	78805001	79410000	605000	20000	115555.26893051428	99.0%	0.058	4.321542721578855
chr2	11320001	11340000	chr2	11320001	11715000	395000	20000	192804.524235366	98.0%	0.051	4.316962290015896
chr13	97740001	97760000	chr13	97250001	97760000	510000	20000	197803.44409700012	99.0%	0.0395	4.3103818871548425
chr16	93600001	93620000	chr16	93600001	93885000	285000	20000	328115.29264929995	99.0%	0.021	4.304285526818701
chr15	8620001	8640000	chr15	8620001	9145000	525000	20000	190646.00262537456	98.0%	0.027	4.303392507065381
chr2	127575001	127595000	chr2	126615001	127595000	980000	20000	184809.35187343005	96.0%	0.031	4.301837309372268
chr19	16585001	16615000	chr19	15960001	16615000	655000	30000	114568.47059972612	95.0%	0.043	4.296806489161451
chr6	51585001	51620000	chr6	51585001	52020000	435000	35000	303393.3320844374	98.0%	0.079	4.296333014252112
chr17	8920001	8955000	chr17	8460001	8955000	495000	35000	288814.0339080876	98.0%	0.032	4.294138389005218
chr12	17250001	17270000	chr12	16800001	17270000	470000	20000	215286.96204438378	99.0%	0.036000000000000004	4.283191688094872
chr1	177170001	177200000	chr1	176875001	177200000	325000	30000	422815.5544313181	99.0%	0.025	4.275593337146144
chr2	138255001	138290000	chr2	138255001	139380000	1125000	35000	150776.47503421843	98.0%	0.032	4.268704986676105
chr9	62550001	62570000	chr9	62550001	62985000	435000	20000	355409.33663215337	99.0%	0.031	4.26726510485719
chr2	142800001	142820000	chr2	141520001	142820000	1300000	20000	64169.407902400344	98.0%	0.022	4.261992978796661
chr8	118875001	118890000	chr8	118370001	118890000	520000	15000	419668.8672491175	99.0%	0.035500000000000004	4.2467977334819995
chr13	69680001	69700000	chr13	69680001	70595000	915000	20000	115887.27746253645	99.0%	0.052	4.231898515104917
chr18	80725001	80745000	chr18	80170001	80745000	575000	20000	153964.16569355378	95.0%	0.052	4.224417315733275
chr3	108900001	108920000	chr3	108125001	108920000	795000	20000	192090.46575663393	97.0%	0.057	4.222964680670608
chr11	115150001	115170000	chr11	115150001	115520000	370000	20000	480693.50744980766	99.0%	0.0125	4.219180935888593
chr17	83260001	83280000	chr17	83260001	83870000	610000	20000	201676.02434315556	97.0%	0.0305	4.1964488633359585
chr15	59815001	59845000	chr15	58890001	59845000	955000	30000	125687.63097798539	97.0%	0.027	4.191791243552666
chr6	29010001	29035000	chr6	28215001	29035000	820000	25000	361554.1207520269	95.0%	0.009	4.1883238262054885
chr5	5740001	5760000	chr5	5480001	5760000	280000	20000	211884.7645539942	99.0%	0.07050000000000001	4.187352700856904
chr12	76170001	76200000	chr12	75545001	76200000	655000	30000	168623.2631967254	96.0%	0.042	4.1793779489425535
chr13	5855001	5875000	chr13	5855001	6655000	800000	20000	149123.87207165902	99.0%	0.0925	4.176656709488487
chr12	40825001	40845000	chr12	40825001	42070000	1245000	20000	83631.14499237943	95.0%	0.038	4.173260561531842
chr10	105825001	105855000	chr10	105825001	107415000	1590000	30000	51045.34171425787	97.0%	0.0765	4.167176912025772
chr15	82335001	82355000	chr15	81730001	82355000	625000	20000	214911.08922447186	96.0%	0.035	4.165618773945184
chr11	88955001	88975000	chr11	88955001	90490000	1535000	20000	142203.34449774458	97.0%	0.021	4.141519404569489
chr15	36600001	36620000	chr15	36600001	37045000	445000	20000	204780.750140611	98.0%	0.049	4.139291055689281
chr3	156915001	156935000	chr3	156355001	156935000	580000	20000	429398.30560153135	96.0%	0.025	4.132098464467389
chr2	106310001	106330000	chr2	105405001	106330000	925000	20000	75932.66049966983	96.0%	0.043	4.125559880078883
chr11	77805001	77830000	chr11	77805001	78180000	375000	25000	513902.0140068528	98.0%	0.019	4.11973216481353
chr7	72580001	72600000	chr7	72580001	74490000	1910000	20000	74749.23987804238	97.0%	0.0375	4.115322898149228
chr12	78075001	78105000	chr12	76555001	78105000	1550000	30000	66245.2986890133	95.0%	0.0335	4.114489244581538
chr1	118305001	118330000	chr1	118305001	118560000	255000	25000	324657.36784923484	99.0%	0.05	4.112454152937021
chr7	84260001	84290000	chr7	83865001	84290000	425000	30000	226332.1197930821	99.0%	0.025	4.1049965637549
chr17	26235001	26255000	chr17	25750001	26255000	505000	20000	239182.50395473698	98.0%	0.043	4.088385482161072
chr6	100880001	100900000	chr6	100880001	101275000	395000	20000	187855.29214933308	99.0%	0.09	4.086778427343212
chr19	56800001	56820000	chr19	56800001	57410000	610000	20000	165976.9112706432	96.0%	0.0385	4.07221001550594
chr1	159875001	159900000	chr1	159135001	159900000	765000	25000	168582.63011002503	98.0%	0.04	4.055062048781781
chr2	4905001	4925000	chr2	4905001	6055000	1150000	20000	91681.23878479877	95.0%	0.025	4.053719236346593
chr13	76295001	76320000	chr13	76020001	76320000	300000	25000	555001.4835451463	99.0%	0.03	4.051522367137865
chr16	41400001	41420000	chr16	41400001	42175000	775000	20000	132327.90521736373	99.0%	0.026	4.050479866019088
chr15	6900001	6920000	chr15	6900001	7265000	365000	20000	175783.1254049263	98.0%	0.099	4.0426810969679465
chr8	119770001	119790000	chr8	119770001	120175000	405000	20000	360372.0271480473	99.0%	0.035	4.031724642341422
chr19	9890001	9915000	chr19	9890001	10800000	910000	25000	142055.3675597237	95.0%	0.029	4.029123289813717
chr15	99455001	99475000	chr15	99300001	99475000	175000	20000	860002.4573278789	99.0%	0.022	4.02779979779181
chr4	62775001	62795000	chr4	62775001	63355000	580000	20000	155513.64694954417	97.0%	0.051	4.025552671290008
chr19	27450001	27470000	chr19	27450001	28375000	925000	20000	122728.84036402528	96.0%	0.035	4.013461773674009
chr3	88935001	88955000	chr3	88935001	89275000	340000	20000	437438.62527936354	99.0%	0.031	4.012864839469722
chr2	106940001	106965000	chr2	106325001	106965000	640000	25000	132784.9697975685	99.0%	0.044	3.992838754026608
chr10	111960001	111980000	chr10	110900001	111980000	1080000	20000	95699.05153188635	98.0%	0.029	3.9895988822598074
chr12	29540001	29560000	chr12	29540001	29905000	365000	20000	421524.53964976815	98.0%	0.03	3.981143455832768
chr9	103360001	103380000	chr9	103360001	103960000	600000	20000	184045.89290334427	99.0%	0.0265	3.978728556713637
chr11	101720001	101740000	chr11	101405001	101740000	335000	20000	440827.21939577674	99.0%	0.038	3.977942418706573
chr3	140960001	140980000	chr3	139610001	140980000	1370000	20000	111863.55303187369	95.0%	0.0365	3.9749007190684
chr6	17090001	17110000	chr6	17090001	17735000	645000	20000	133781.5407501303	97.0%	0.074	3.964673051570241
chr3	137855001	137875000	chr3	136660001	137875000	1215000	20000	69264.73674368091	95.0%	0.056	3.954161054175471
chr13	91355001	91380000	chr13	91355001	91655000	300000	25000	238893.5233773348	98.0%	0.0955	3.951931957893846
chr2	78020001	78045000	chr2	77505001	78045000	540000	25000	136477.6831482624	96.0%	0.0315	3.946249281166622
chr10	31290001	31310000	chr10	30530001	31310000	780000	20000	91013.67737428819	99.0%	0.091	3.943072524664702
chr11	117350001	117370000	chr11	117025001	117370000	345000	20000	322231.6834347729	99.0%	0.041	3.9345641483246445
chr4	86565001	86585000	chr4	86565001	86925000	360000	20000	395101.98593456345	99.0%	0.0175	3.9342904793741007
chr3	31425001	31445000	chr3	31190001	31445000	255000	20000	334950.7686460937	99.0%	0.058	3.9166665733803283
chr2	42635001	42665000	chr2	41520001	42665000	1145000	30000	90262.65271936376	96.0%	0.019	3.9152888016523075
chr2	66780001	66805000	chr2	65975001	66805000	830000	25000	95357.96064670903	97.0%	0.036	3.9133614270285464
chr11	75280001	75300000	chr11	74710001	75300000	590000	20000	359707.9378171829	96.0%	0.031	3.9127506038359745
chr9	3515001	3540000	chr9	3515001	4815000	1300000	25000	98248.84352132973	95.0%	0.034	3.908218296444931
chr13	70220001	70240000	chr13	69465001	70240000	775000	20000	121822.6348330182	95.0%	0.059	3.908156597349091
chr2	69420001	69440000	chr2	68245001	69440000	1195000	20000	73139.50186670688	96.0%	0.038	3.9042424970842053
chr10	19915001	19940000	chr10	19915001	20315000	400000	25000	323585.9326001107	98.0%	0.035	3.9025342010073123
chr7	127465001	127485000	chr7	126175001	127485000	1310000	20000	205823.58683423948	96.0%	0.015	3.9021683904037308
chr8	105685001	105705000	chr8	105240001	105705000	465000	20000	364817.984282259	97.0%	0.034	3.8977512343664094
chr11	76155001	76175000	chr11	75520001	76175000	655000	20000	280208.32884511206	99.0%	0.016	3.888499399734927
chr18	24695001	24715000	chr18	24695001	24970000	275000	20000	311109.9059184616	99.0%	0.048	3.88652134177438
chr5	122390001	122410000	chr5	122390001	122970000	580000	20000	200761.71088648247	96.0%	0.025	3.8855053577355227
chr12	9915001	9935000	chr12	9915001	10345000	430000	20000	287408.7939496133	98.0%	0.0605	3.881596630355851
chr4	33115001	33145000	chr4	33115001	33310000	195000	30000	465583.58206139744	99.0%	0.041	3.87506999917807
chr9	103485001	103505000	chr9	103485001	104165000	680000	20000	410357.38547417463	97.0%	0.016	3.87396597317675
chr18	44375001	44400000	chr18	44375001	44860000	485000	25000	216625.66658267198	98.0%	0.029	3.8655985346356077
chr9	90815001	90840000	chr9	90815001	92070000	1255000	25000	74944.34184166115	99.0%	0.036	3.865346508458273
chr8	113185001	113205000	chr8	111555001	113205000	1650000	20000	94509.24120251194	95.0%	0.029	3.8653361630695775
chr14	104025001	104045000	chr14	104025001	105350000	1325000	20000	42867.520932985055	96.0%	0.05	3.857187011566302
chr18	35935001	35965000	chr18	35935001	36470000	535000	30000	262150.94044592715	97.0%	0.024	3.8535130486959277
chr11	32700001	32720000	chr11	32270001	32720000	450000	20000	586537.4050515678	99.0%	0.012	3.8524320440315183
chr7	120085001	120110000	chr7	119790001	120110000	320000	25000	404006.1047761794	99.0%	0.0465	3.8434412288923783
chr11	93950001	93970000	chr11	93950001	94320000	370000	20000	365848.18559951324	99.0%	0.014499999999999999	3.841830979447839
chr16	84720001	84740000	chr16	84720001	85175000	455000	20000	172050.17406675403	99.0%	0.04	3.839382947499942
chr7	105805001	105825000	chr7	105365001	105825000	460000	20000	317756.45326182124	98.0%	0.0115	3.8289035171952075
chr18	47355001	47375000	chr18	47355001	48490000	1135000	20000	107450.29500714436	95.0%	0.027	3.8251285107943094
chr7	82855001	82880000	chr7	82855001	84160000	1305000	25000	91833.28874885655	98.0%	0.02	3.822544589156378
chr8	60495001	60515000	chr8	60495001	61085000	590000	20000	117739.16413824601	99.0%	0.053	3.8180211405744995
chr19	11760001	11780000	chr19	11760001	12015000	255000	20000	358725.8797200265	99.0%	0.031	3.8166911473748555
chr3	20810001	20830000	chr3	20810001	22320000	1510000	20000	66437.3019185749	95.0%	0.023	3.8151505944224193
chr1	60850001	60875000	chr1	59965001	60875000	910000	25000	77020.31528262555	98.0%	0.0315	3.809842442831452
chr2	180695001	180715000	chr2	180695001	181885000	1190000	20000	129659.63327981933	95.0%	0.034	3.8088386240053125
chr3	55625001	55650000	chr3	55625001	55925000	300000	25000	343559.2233904622	99.0%	0.0455	3.808558490179372
chr3	57820001	57840000	chr3	57820001	59140000	1320000	20000	99219.8910355764	96.0%	0.028	3.80342582929677
chr15	93210001	93230000	chr15	92270001	93230000	960000	20000	88537.3979730233	99.0%	0.0685	3.8026931926222174
chr13	48450001	48475000	chr13	47135001	48475000	1340000	25000	66158.10589442993	96.0%	0.076	3.802234108669253
chr5	86180001	86200000	chr5	86180001	86440000	260000	20000	316650.63793645275	99.0%	0.057499999999999996	3.801758986215536
chr14	121735001	121765000	chr14	121115001	121765000	650000	30000	394296.392305277	97.0%	0.0725	3.798359501768421
chr14	39100001	39120000	chr14	39100001	39515000	415000	20000	268204.88956515136	99.0%	0.071	3.7943656632540477
chr9	111465001	111500000	chr9	111465001	112460000	995000	35000	115732.22699931136	95.0%	0.028	3.7927127208481384
chr1	180765001	180785000	chr1	180765001	181230000	465000	20000	555031.8709780996	98.0%	0.074	3.7897333811259113
chr17	42185001	42205000	chr17	42185001	42490000	305000	20000	316602.0003602343	95.0%	0.057	3.7888774722401655
chr15	35285001	35305000	chr15	35285001	36390000	1105000	20000	110532.18365510562	97.0%	0.069	3.787869016017049
chr11	42605001	42630000	chr11	42030001	42630000	600000	25000	365048.32930400316	95.0%	0.026	3.785707147595459
chr19	7600001	7620000	chr19	7440001	7620000	180000	20000	501001.93573557906	99.0%	0.0375	3.78355123030887
chr19	29240001	29260000	chr19	28955001	29260000	305000	20000	228543.26191039212	99.0%	0.043	3.779103547985229
chr15	100025001	100045000	chr15	100025001	100695000	670000	20000	391796.1794007462	98.0%	0.025	3.7708108467199035
chr15	41960001	41980000	chr15	41280001	41980000	700000	20000	98105.02687278451	97.0%	0.047	3.7677184161635164
chr15	100300001	100320000	chr15	100045001	100320000	275000	20000	313488.1919351088	99.0%	0.035	3.765103968079717
chr14	15590001	15610000	chr14	15590001	16520000	930000	20000	155392.80863790866	95.0%	0.02	3.7565119826860265
chr7	143750001	143770000	chr7	143425001	143770000	345000	20000	381054.8125070685	99.0%	0.035	3.7536189656263943
chr9	63115001	63135000	chr9	62285001	63135000	850000	20000	159084.25961256324	98.0%	0.023	3.7519701385287774
chr13	44380001	44400000	chr13	43580001	44400000	820000	20000	264477.43036075326	98.0%	0.012	3.746898489560565
chr7	16610001	16630000	chr7	16610001	17090000	480000	20000	306701.028677325	99.0%	0.025500000000000002	3.7461157687040285
chr4	137070001	137095000	chr4	137070001	137585000	515000	25000	236438.37003324847	99.0%	0.039	3.743247924788074
chr16	90700001	90720000	chr16	90325001	90720000	395000	20000	263875.2255869803	99.0%	0.039	3.741703996246638
chr9	87235001	87255000	chr9	86785001	87255000	470000	20000	213229.6547196771	99.0%	0.0225	3.741165604278666
chr7	12760001	12780000	chr7	12760001	13065000	305000	20000	485621.8907421789	99.0%	0.017	3.7405194353573292
chr1	181530001	181555000	chr1	181240001	181555000	315000	25000	277175.82356649433	99.0%	0.043	3.730254813034831
chr13	108815001	108835000	chr13	108815001	110140000	1325000	20000	80067.40097707469	96.0%	0.031	3.7071167223207433
chr12	21400001	21420000	chr12	21095001	21420000	325000	20000	389129.2442289539	96.0%	0.039	3.6992761228891093
chr3	75705001	75725000	chr3	75215001	75725000	510000	20000	129964.72158907812	97.0%	0.07100000000000001	3.6949740107696565
chr2	50645001	50665000	chr2	50645001	52490000	1845000	20000	65454.40954317768	95.0%	0.041	3.6896759885530224
chr11	121790001	121810000	chr11	121330001	121810000	480000	20000	243094.02247363952	99.0%	0.028	3.686594944936598
chr5	67740001	67765000	chr5	67740001	69335000	1595000	25000	96602.46371276522	96.0%	0.032	3.68523552805568
chr7	98470001	98490000	chr7	98470001	98770000	300000	20000	294971.38451532926	99.0%	0.051500000000000004	3.6812777332487125
chr12	117755001	117775000	chr12	116510001	117775000	1265000	20000	81785.08903642921	96.0%	0.04	3.6762017783618286
chr15	67080001	67100000	chr15	66570001	67100000	530000	20000	281357.5495483951	98.0%	0.0505	3.675769695323245
chr13	107315001	107335000	chr13	107315001	108345000	1030000	20000	68788.17101239334	97.0%	0.079	3.6728831383940954
chr5	38780001	38800000	chr5	38780001	39570000	790000	20000	182621.94245828383	99.0%	0.02	3.66899047164722
chr6	122295001	122315000	chr6	120895001	122315000	1420000	20000	112499.26177828696	95.0%	0.08	3.6653898005864733
chr14	102975001	102995000	chr14	101525001	102995000	1470000	20000	86553.91030605942	97.0%	0.027	3.6620299832378844
chr15	32230001	32260000	chr15	31370001	32260000	890000	30000	115521.41693996284	95.0%	0.0305	3.6602037328553125
chr12	72080001	72100000	chr12	72080001	72400000	320000	20000	268436.04989312397	99.0%	0.034	3.653422643066673
chr3	136245001	136260000	chr3	136245001	137420000	1175000	15000	94184.23339162843	99.0%	0.036	3.6533196527531215
chr15	48775001	48805000	chr15	47515001	48805000	1290000	30000	75405.85493011863	95.0%	0.0245	3.651515421789736
chr2	92595001	92620000	chr2	92595001	92885000	290000	25000	343980.0594059733	99.0%	0.05	3.6512260945746635
chr2	170490001	170515000	chr2	170330001	170515000	185000	25000	582223.0125372179	99.0%	0.071	3.6489650449350566
chr19	9100001	9135000	chr19	8720001	9135000	415000	35000	299181.05746011256	98.0%	0.019	3.6447419795898326
chr18	25900001	25930000	chr18	25520001	25930000	410000	30000	277581.09652321035	97.0%	0.037500000000000006	3.643754080220269
chr4	139845001	139875000	chr4	139205001	139875000	670000	30000	148429.47226191222	96.0%	0.042499999999999996	3.642888836642522
chr13	18035001	18060000	chr13	18035001	19175000	1140000	25000	60835.563266996716	98.0%	0.078	3.6341031721640147
chr18	14490001	14510000	chr18	13560001	14510000	950000	20000	94312.77207463753	97.0%	0.0535	3.6339286384291247
chr19	53350001	53370000	chr19	53110001	53370000	260000	20000	692495.5171108228	99.0%	0.0235	3.62715401899491
chr15	42305001	42335000	chr15	40995001	42335000	1340000	30000	90621.58623902588	95.0%	0.03	3.627018103953021
chr17	63705001	63725000	chr17	63705001	64390000	685000	20000	197585.33187864666	98.0%	0.038	3.625088340760648
chr18	78585001	78605000	chr18	78585001	79120000	535000	20000	225951.63170559134	99.0%	0.027	3.625006618896757
chr14	23775001	23795000	chr14	23775001	24075000	300000	20000	317705.44017690286	99.0%	0.099	3.62428811811074
chr19	13960001	13980000	chr19	13960001	15230000	1270000	20000	52227.85628170358	96.0%	0.0615	3.6216636054208338
chr8	35705001	35730000	chr8	35705001	36490000	785000	25000	87897.75517397073	96.0%	0.068	3.620147485045665
chr11	66890001	66920000	chr11	66890001	67110000	220000	30000	389959.9087101678	99.0%	0.0285	3.6186571733648507
chr5	31040001	31060000	chr5	31040001	31250000	210000	20000	448124.2323539839	99.0%	0.049	3.6158418774878145
chr17	11595001	11620000	chr17	10510001	11620000	1110000	25000	101138.46845589721	95.0%	0.019	3.6151831283755214
chr6	18905001	18925000	chr6	18905001	20175000	1270000	20000	67792.06300155386	98.0%	0.031	3.6116088201925325
chr7	131100001	131120000	chr7	131100001	131415000	315000	20000	426768.04370911536	99.0%	0.044	3.6048719714491684
chr6	103665001	103685000	chr6	103305001	103685000	380000	20000	354650.67394093313	99.0%	0.0225	3.602784471440783
chr14	16360001	16380000	chr14	14705001	16380000	1675000	20000	93322.57532786834	97.0%	0.023	3.5875963873321832
chr1	85075001	85095000	chr1	83750001	85095000	1345000	20000	119833.89415380012	96.0%	0.046	3.5793328637995945
chr10	14195001	14215000	chr10	13425001	14215000	790000	20000	175873.03340515032	99.0%	0.0155	3.5735832180633675
chr14	55870001	55890000	chr14	54600001	55890000	1290000	20000	138172.1024960746	98.0%	0.041999999999999996	3.5697784242114152
chr1	154605001	154625000	chr1	154605001	155260000	655000	20000	304700.38937351387	99.0%	0.044	3.5691588266782723
chr11	72050001	72065000	chr11	72050001	72750000	700000	15000	307437.2265708906	95.0%	0.042499999999999996	3.555563323083589
chr11	22975001	23010000	chr11	22975001	23405000	430000	35000	287150.69288371346	99.0%	0.043	3.553671836611922
chr14	8315001	8335000	chr14	7980001	8335000	355000	20000	421181.6630227255	99.0%	0.045	3.5518757831872914
chr5	147835001	147865000	chr5	147325001	147865000	540000	30000	137345.2102681617	97.0%	0.08	3.547314721487882
chr11	25295001	25315000	chr11	23970001	25315000	1345000	20000	73480.60295733546	97.0%	0.034	3.53393954062157
chr18	26075001	26100000	chr18	25455001	26100000	645000	25000	169972.42904872182	97.0%	0.039	3.5298210451591396
chr17	14890001	14910000	chr17	14135001	14910000	775000	20000	98573.93110734125	97.0%	0.071	3.512495397600229
chr1	177785001	177805000	chr1	177785001	179130000	1345000	20000	69547.56324406911	97.0%	0.053	3.507525230833704
chr2	143535001	143555000	chr2	143535001	144600000	1065000	20000	151225.0557845553	96.0%	0.044	3.4990089692670683
chr14	29930001	29950000	chr14	28875001	29950000	1075000	20000	75337.66560954666	98.0%	0.036	3.4817782878980155
chr12	44195001	44215000	chr12	44195001	44630000	435000	20000	159583.11811059262	98.0%	0.066	3.4709031632588245
chr4	134900001	134925000	chr4	134430001	134925000	495000	25000	323166.3407133658	99.0%	0.026	3.4708775549814987
chr14	56370001	56390000	chr14	56370001	56805000	435000	20000	154720.2617414759	98.0%	0.055	3.4705147275846118
chr18	13385001	13410000	chr18	13385001	13950000	565000	25000	212764.6246878848	95.0%	0.031	3.457502253526174
chr4	59320001	59340000	chr4	59010001	59340000	330000	20000	203028.11121472975	99.0%	0.07100000000000001	3.4515917113050856
chr12	110830001	110850000	chr12	110420001	110850000	430000	20000	260089.17639164272	99.0%	0.0295	3.447074956997674
chr4	21530001	21550000	chr4	21530001	21870000	340000	20000	214056.15153951547	99.0%	0.056	3.4182404279571266
chr14	48365001	48390000	chr14	48365001	49225000	860000	25000	84018.77492040172	95.0%	0.0885	3.4180205263662224
chr12	40245001	40265000	chr12	40245001	40825000	580000	20000	158851.5548894298	99.0%	0.0885	3.4155030961542048
chr13	91620001	91655000	chr13	90945001	91655000	710000	35000	114797.94482061408	98.0%	0.038	3.414196839527757
chr2	78955001	78985000	chr2	78955001	79680000	725000	30000	110769.94067895005	96.0%	0.045	3.4132611253741896
chr14	28225001	28240000	chr14	28225001	29405000	1180000	15000	99735.30481831833	96.0%	0.035	3.407397942699043
chr5	98310001	98345000	chr5	97010001	98345000	1335000	35000	64200.33078457246	95.0%	0.058	3.4023701216208786
chr16	78300001	78320000	chr16	76990001	78320000	1330000	20000	92452.88932777707	95.0%	0.044	3.3991816754231254
chr13	52735001	52755000	chr13	52735001	53860000	1125000	20000	255611.30523046904	98.0%	0.019	3.397884347576294
chr12	59200001	59220000	chr12	58995001	59220000	225000	20000	373383.6064590139	99.0%	0.054	3.3945496011363616
chr11	108445001	108465000	chr11	108445001	109215000	770000	20000	111751.86063515727	98.0%	0.0445	3.3803483336132665
chr11	82165001	82190000	chr11	81240001	82190000	950000	25000	121025.4389353658	95.0%	0.031	3.3664300247429195
chr18	37805001	37825000	chr18	37805001	39490000	1685000	20000	202419.4113519489	95.0%	0.027	3.359809823481984
chr11	62740001	62760000	chr11	62740001	63045000	305000	20000	466616.62062214874	98.0%	0.029	3.35782158312823
chr18	56360001	56380000	chr18	56360001	56810000	450000	20000	143672.86501388944	97.0%	0.05	3.3571816439321474
chr2	153135001	153155000	chr2	152665001	153155000	490000	20000	294839.40976757306	98.0%	0.0295	3.3539883526373195
chr11	70215001	70240000	chr11	68700001	70240000	1540000	25000	153257.6336316647	95.0%	0.016	3.347217506054171
chr9	91535001	91555000	chr9	91535001	92065000	530000	20000	240243.7468553969	98.0%	0.0415	3.3454666456682003
chr12	75765001	75790000	chr12	75765001	76365000	600000	25000	198046.85049338412	99.0%	0.0155	3.3453933227807418
chr1	51460001	51480000	chr1	50915001	51480000	565000	20000	191156.78212574715	99.0%	0.049	3.3441262065641095
chr7	4935001	4950000	chr7	4315001	4950000	635000	15000	287845.2747553366	95.0%	0.029	3.335412984453024
chr12	113140001	113160000	chr12	112560001	113160000	600000	20000	231800.28263731167	96.0%	0.0365	3.328158466845926
chr10	25205001	25225000	chr10	24800001	25225000	425000	20000	473543.2275955566	99.0%	0.018	3.3227736262747607
chr6	51360001	51385000	chr6	51360001	51835000	475000	25000	230031.91687777717	98.0%	0.048	3.307239979595556
chr9	47120001	47140000	chr9	47120001	47730000	610000	20000	226463.01827187746	98.0%	0.018	3.3043229936967102
chr8	114065001	114085000	chr8	114065001	114675000	610000	20000	210558.1930697049	96.0%	0.06	3.29865528645502
chr11	95495001	95530000	chr11	94905001	95530000	625000	35000	332931.5796310375	99.0%	0.02	3.2939978621032266
chr5	23770001	23790000	chr5	23385001	23790000	405000	20000	191011.65614699465	98.0%	0.054	3.292588746468623
chr4	9755001	9775000	chr4	8665001	9775000	1110000	20000	92411.45465670731	96.0%	0.045	3.2838624144444073
chr4	5500001	5520000	chr4	5500001	6490000	990000	20000	101020.06195160927	96.0%	0.046	3.2748238228855713
chr16	92755001	92775000	chr16	92755001	93195000	440000	20000	278641.2739874221	98.0%	0.0515	3.2591481864283987
chr6	148210001	148230000	chr6	148210001	149365000	1155000	20000	79207.01378679498	95.0%	0.093	3.2575063611900656
chr3	107080001	107105000	chr3	107080001	108220000	1140000	25000	235094.4275547121	95.0%	0.044	3.249392499955095
chr9	42980001	43005000	chr9	42980001	43220000	240000	25000	369452.1289536434	99.0%	0.056	3.2429599391523443
chr6	14495001	14520000	chr6	13520001	14520000	1000000	25000	53110.33611334098	95.0%	0.0545	3.234476546130939
chr7	63305001	63325000	chr7	63305001	64440000	1135000	20000	135258.81156156614	96.0%	0.017	3.2323484889219656
chr1	157065001	157085000	chr1	156610001	157085000	475000	20000	146578.52358154944	98.0%	0.077	3.230359395107149
chr3	137250001	137270000	chr3	136775001	137270000	495000	20000	212270.97472410466	99.0%	0.041	3.2298306924984894
chr6	149100001	149120000	chr6	148890001	149120000	230000	20000	496043.0381153119	99.0%	0.0615	3.2251844360266246
chr8	36345001	36370000	chr8	36345001	36745000	400000	25000	214991.9406100677	99.0%	0.064	3.2215986554098044
chr9	58870001	58890000	chr9	58300001	58890000	590000	20000	277285.0836386952	99.0%	0.014499999999999999	3.2194694777925488
chr4	117270001	117290000	chr4	117270001	118435000	1165000	20000	125386.87345929055	96.0%	0.027	3.214735352229897
chr2	149335001	149355000	chr2	149335001	150400000	1065000	20000	84296.9237234345	98.0%	0.057	3.212039924493617
chr5	111195001	111215000	chr5	110600001	111215000	615000	20000	357286.37667606695	99.0%	0.018	3.209064400060591
chr11	50760001	50780000	chr11	50275001	50780000	505000	20000	226974.95372501214	98.0%	0.039	3.2024320022635218
chr2	98660001	98675000	chr2	97535001	98675000	1140000	15000	364596.9302885724	95.0%	0.0265	3.2020404335594845
chr14	68480001	68500000	chr14	67970001	68500000	530000	20000	111911.66075776474	97.0%	0.0785	3.199641138503585
chr15	103875001	103900000	chr15	103360001	103900000	540000	25000	258693.13418194494	98.0%	0.0535	3.198847268837123
