PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/Superenhancers_P60.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp
SE_12_052300236	chr6	119082734	119083734	+	0	NA	intron (NM_009781, intron 1 of 46)	intron (NM_009781, intron 1 of 46)	25261	NM_001159534	12288		NM_009781	ENSMUSG00000051331	Cacna1c	Cav1.2|Cchl1a1|D930026N18Rik|MBC|MELC-CC	calcium channel, voltage-dependent, L type, alpha 1C subunit	protein-coding	1.457	1.404
SE_12_052300120	chr11	75550080	75551080	+	0	NA	promoter-TSS (NR_039553)	promoter-TSS (NR_039553)	-849	NR_039553	100628624		NR_039553	ENSMUSG00000093100	Mir3971	mmu-mir-3971|mu-mir-3971	microRNA 3971	ncRNA	1.425	1.432
SE_12_052300624	chr7	132892380	132893380	+	0	NA	Intergenic	Intergenic	33655	NM_198017	109359		NM_198017	ENSMUSG00000030965	Abraxas2	Abro1|C430003P19Rik|Fam175b	BRISC complex subunit	protein-coding	1.477	1.367
SE_12_052300787	chr2	30343157	30344157	+	0	NA	intron (NM_198304, intron 43 of 43)	intron (NM_198304, intron 43 of 43)	15659	NM_001289710	227700		NM_139302	ENSMUSG00000026860	Sh3glb2	SPAS-1	SH3-domain GRB2-like endophilin B2	protein-coding	1.471	1.395
SE_12_052300023	chr15	85654234	85655234	+	0	NA	Intergenic	Intergenic	-49039	NR_110483	102800312		NR_110483		Lncppara	Lincppara|Mirlet7bhg|linc-Ppara	long noncoding RNA near Ppara	ncRNA	1.629	1.571
SE_12_052300416	chr3	107514804	107515804	+	0	NA	intron (NM_001293689, intron 1 of 11)	intron (NM_001293689, intron 1 of 11)	2714	NM_001293689	229706		NM_172271	ENSMUSG00000027894	Slc6a17	D130012J15Rik|Ntt4	solute carrier family 6 (neurotransmitter transporter), member 17	protein-coding	1.847	1.783
SE_12_052300762	chr11	119732765	119733765	+	0	NA	intron (NM_028898, intron 4 of 33)	intron (NM_028898, intron 4 of 33)	101100	NR_045312	319454		NR_045312	ENSMUSG00000085081	Rptoros	A430071A18Rik	regulatory associated protein of MTOR, complex 1, opposite strand	ncRNA	1.280	1.297
SE_12_052300894	chr3	107101632	107102632	+	0	NA	intron (NM_008417, intron 1 of 2)	CpG	565	NM_008417	16490		NM_008417	ENSMUSG00000040724	Kcna2	Akr6a4|Gm10672|Kca1-2|Kv1.2|Mk-2	potassium voltage-gated channel, shaker-related subfamily, member 2	protein-coding	1.806	1.757
SE_12_052300124	chr10	42230842	42231842	+	0	NA	intron (NM_001376967, intron 2 of 3)	intron (NM_001376967, intron 2 of 3)	45353	NM_001376967	56484		NM_019740	ENSMUSG00000048756	Foxo3	1110048B16Rik|2010203A17Rik|FKHRL1|Fkhr2|Foxo3a	forkhead box O3	protein-coding	1.760	1.781
SE_12_052300772	chr14	122222561	122223561	+	0	NA	intron (NM_029556, intron 1 of 7)	IAPLTR3|LTR|ERVK	10577	NR_015532	68245		NR_015532	ENSMUSG00000100585	1700108J01Rik	-	RIKEN cDNA 1700108J01 gene	ncRNA	1.219	1.175
SE_12_052300557	chr15	76520038	76521038	+	0	NA	intron (NM_130893, intron 1 of 1)	intron (NM_130893, intron 1 of 1)	1591	NM_130893	170729		NM_130893	ENSMUSG00000048385	Scrt1	-	scratch family zinc finger 1	protein-coding	1.268	1.213
SE_12_052300222	chr3	88220916	88221916	+	0	NA	intron (NR_168092, intron 2 of 7)	intron (NR_168092, intron 2 of 7)	-5746	NR_162800	114482879		NR_162800		Mir9b-1	Gm25641|mmu-mir-9b-1	microRNA 9b-1	ncRNA	1.656	1.532
SE_12_052300402	chr5	113310870	113311870	+	0	NA	promoter-TSS (NM_001254731)	promoter-TSS (NM_001254731)	-584	NM_001162965	52850		NM_172718	ENSMUSG00000042216	Sgsm1	2410098H20Rik|D5Bwg1524e|E130107M15|NuIP|Rutbc2	small G protein signaling modulator 1	protein-coding	1.343	1.298
SE_12_052300620	chr6	72239549	72240549	+	0	NA	Intergenic	Intergenic	-4472	NM_153778	71093		NM_153778	ENSMUSG00000037621	Atoh8	4933425C05Rik|Hath6|Math6|bHLHa21|okadin	atonal bHLH transcription factor 8	protein-coding	1.626	1.629
SE_12_052300856	chr5	74262804	74263804	+	0	NA	intron (NM_001114660, intron 5 of 8)	intron (NM_001114660, intron 5 of 8)	67978	NM_026878	68939		NM_026878	ENSMUSG00000049907	Rasl11b	1190017B18Rik	RAS-like, family 11, member B	protein-coding	0.702	0.660
SE_12_052300706	chr8	126530202	126531202	+	0	NA	Intergenic	Intergenic	-55637	NM_001159907	212728		NM_001159907	ENSMUSG00000090290	Tarbp1	Gm17296|Gm179	TAR RNA binding protein 1	protein-coding	1.636	1.591
SE_12_052300529	chr1	88356374	88357374	+	0	NA	intron (NM_134252, intron 18 of 26)	MLT1C|LTR|ERVL-MaLR	-50136	NM_029269	75396		NM_029269	ENSMUSG00000026295	Spp2	0610038O04Rik|pp-24|spp24	secreted phosphoprotein 2	protein-coding	1.532	1.546
SE_12_052300466	chr3	95278161	95279161	+	0	NA	intron (NM_173347, intron 1 of 7)	B3A|SINE|B2	3415	NM_173347	229589		NM_173347	ENSMUSG00000015711	Prune1	9230112O05Rik|C130058A12|DRES-17|HTCD37|PRUNEM1|Prune|Prune-M1	prune exopolyphosphatase	protein-coding	1.576	1.460
SE_12_052300441	chr14	64590073	64591073	+	0	NA	promoter-TSS (NR_037239)	promoter-TSS (NR_037239)	-84	NR_029813	387233		NR_029813	ENSMUSG00000065597	Mir124a-1	Mirn124a|Mirn124a-1	microRNA 124a-1	ncRNA	1.342	1.123
SE_12_052300712	chr19	45023235	45024235	+	0	NA	exon (NM_001130526, exon 3 of 5)	exon (NM_001130526, exon 3 of 5)	5600	NM_001130526	226154		NM_145503	ENSMUSG00000035342	Lzts2	LAPSER1|mKIAA1813	leucine zipper, putative tumor suppressor 2	protein-coding	1.672	1.658
SE_12_052300476	chr17	66242760	66243760	+	0	NA	Intergenic	Intergenic	119740	NM_001003919	320209		NM_001003919	ENSMUSG00000035842	Ddx11	4732462I11Rik|CHL1|CHLR1|KRG2|essa15a	DEAD/H box helicase 11	protein-coding	1.564	1.521
SE_12_052300324	chr10	127606455	127607455	+	0	NA	intron (NM_008512, intron 4 of 88)	B3|SINE|B2	14193	NM_008512	16971		NM_008512	ENSMUSG00000040249	Lrp1	A2mr|CD91|Lrp|b2b1554Clo	low density lipoprotein receptor-related protein 1	protein-coding	1.464	1.476
SE_12_052300937	chr13	20533914	20534914	+	0	NA	intron (NM_198093, intron 1 of 6)	L1Md_T|LINE|L1	61424	NM_198093	140580		NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding	1.626	1.430
SE_12_052300525	chr14	58092142	58093142	+	0	NA	intron (NM_013518, intron 2 of 2)	intron (NM_013518, intron 2 of 2)	19956	NM_013518	14180		NM_013518	ENSMUSG00000021974	Fgf9	Eks|FGF-9|Fgf4b|GAF|HBGF-9	fibroblast growth factor 9	protein-coding	1.592	1.432
SE_12_052300320	chr2	49656579	49657579	+	0	NA	intron (NM_008449, intron 1 of 25)	LTR16C|LTR|ERVL	37793	NM_008449	16574		NM_008449	ENSMUSG00000026764	Kif5c	KINN|Khc|NKHC|NKHC2	kinesin family member 5C	protein-coding	1.254	1.216
SE_12_052300793	chr11	102389858	102390858	+	0	NA	Intergenic	B1_Mm|SINE|Alu	-3045	NM_001362804	51799		NM_016759	ENSMUSG00000006575	Rundc3a	RPIP-8|Rap2ip|Rpip8	RUN domain containing 3A	protein-coding	1.311	1.285
SE_12_052301037	chr6	136545376	136546376	+	0	NA	intron (NM_019426, intron 1 of 14)	intron (NM_019426, intron 1 of 14)	27025	NM_019426	54343		NM_019426	ENSMUSG00000030213	Atf7ip	2610204M12Rik|5830415B17Rik|AM|Mcaf1	activating transcription factor 7 interacting protein	protein-coding	1.543	1.482
SE_12_052300748	chr7	127007981	127008981	+	0	NA	intron (NM_080638, intron 1 of 14)	intron (NM_080638, intron 1 of 14)	6113	NM_080638	78388		NM_080638	ENSMUSG00000030681	Mvp	2310009M24Rik|LRP|VAULT1	major vault protein	protein-coding	1.115	0.879
SE_12_052300752	chr6	125155949	125156949	+	0	NA	intron (NM_178787, intron 7 of 8)	intron (NM_178787, intron 7 of 8)	9324	NM_008084	14433		NM_008084	ENSMUSG00000057666	Gapdh	Gapd	glyceraldehyde-3-phosphate dehydrogenase	protein-coding	1.423	1.376
SE_12_052300577	chr14	73378319	73379319	+	0	NA	intron (NM_008410, intron 1 of 5)	B1F|SINE|Alu	6470	NM_008410	16432		NM_008410	ENSMUSG00000022108	Itm2b	Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2	integral membrane protein 2B	protein-coding	1.620	1.478
SE_12_052300034	chr8	23027905	23028905	+	0	NA	intron (NM_001110783, intron 1 of 43)	intron (NM_001110783, intron 1 of 43)	-6694	NM_001277281	11733		NM_031158	ENSMUSG00000031543	Ank1	Ank-1|nb|pale	ankyrin 1, erythroid	protein-coding	1.598	1.557
SE_12_052300802	chr18	32400833	32401833	+	0	NA	intron (NM_009668, intron 1 of 18)	Lx7|LINE|L1	-23049	NR_045403	402767		NR_045403		A830052D11Rik	-	RIKEN cDNA A830052D11 gene	ncRNA	1.557	1.470
SE_12_052300567	chr5	112514154	112515154	+	0	NA	intron (NM_019982, intron 1 of 16)	B4A|SINE|B4	62544	NM_019982	56747		NM_019982	ENSMUSG00000058153	Sez6l	AIG1|Acig1|BSRP-B|mKIAA0927	seizure related 6 homolog like	protein-coding	1.408	1.406
SE_12_052300145	chr4	85245115	85246115	+	0	NA	intron (NM_019535, intron 1 of 8)	intron (NM_019535, intron 1 of 8)	40159	NM_019535	20404		NM_019535	ENSMUSG00000028488	Sh3gl2	9530001L19Rik|B930049H17Rik|EEN-B1|EEN1|SH3PA|Sh3d2a	SH3-domain GRB2-like 2	protein-coding	1.188	1.125
SE_12_052300133	chr8	87501278	87502278	+	0	NA	intron (NR_125722, intron 1 of 3)	intron (NR_125722, intron 1 of 3)	28662	NR_125722	100040294		NR_033430	ENSMUSG00000097248	Cbln1os	C230036H16Rik|Gm2694|Synage|linc1582|lncRNA-PM	cerebellin 1 precursor protein opposite strand	ncRNA	1.567	1.500
SE_12_052300582	chr2	102113013	102114013	+	0	NA	intron (NM_178886, intron 2 of 5)	intron (NM_178886, intron 2 of 5)	72947	NM_178886	241576		NM_178886	ENSMUSG00000048058	Ldlrad3	6430500P08|Lrad3	low density lipoprotein receptor class A domain containing 3	protein-coding	1.302	1.132
SE_12_052300816	chr2	90490332	90491332	+	0	NA	intron (NM_008982, intron 1 of 23)	intron (NM_008982, intron 1 of 23)	-11658	NM_001135657	19271		NM_008982	ENSMUSG00000025314	Ptprj	BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|R-PTP-J|R-PTP-eta|RPTPJ|Scc-1|Scc1	protein tyrosine phosphatase receptor type J	protein-coding	1.384	1.300
SE_12_052300649	chr9	102272134	102273134	+	0	NA	intron (NM_173447, intron 1 of 15)	intron (NM_173447, intron 1 of 15)	32341	NR_106163	102466241		NR_106163	ENSMUSG00000098521	Mir7243	Gm27363|mmu-mir-7243	microRNA 7243	ncRNA	1.471	1.424
SE_12_052300494	chr3	85384310	85385310	+	0	NA	Intergenic	Intergenic	67291	NR_040542	73283		NR_040542	ENSMUSG00000099995	1700036G14Rik	-	RIKEN cDNA 1700036G14 gene	ncRNA	1.645	1.643
SE_12_052300030	chr17	66385277	66386277	+	0	NA	intron (NM_001114098, intron 4 of 14)	intron (NM_001114098, intron 4 of 14)	63973	NM_001114098	68617		NM_172963	ENSMUSG00000052105	Mtcl1	1110012J17Rik|Ccdc165|D130071O13|Kiaa0802|Soga2|mKIAA0802|t8219b25	microtubule crosslinking factor 1	protein-coding	1.610	1.535
SE_12_052300149	chr1	177460255	177461255	+	0	NA	Intergenic	Intergenic	14934	NM_013915	30928		NM_013915	ENSMUSG00000063659	Zbtb18	RP58|Zfp238|Znf238.|zfp-238	zinc finger and BTB domain containing 18	protein-coding	1.416	1.372
SE_12_052300645	chr6	108662642	108663642	+	0	NA	intron (NM_011498, intron 4 of 4)	intron (NM_011498, intron 4 of 4)	-2208	NR_104577	75394		NR_040757	ENSMUSG00000087341	0610040F04Rik	-	RIKEN cDNA 0610040F04 gene	ncRNA	0.939	0.971
SE_12_052300490	chr7	73605629	73606629	+	0	NA	Intergenic	Intergenic	-47734	NR_037569	69170		NR_037569	ENSMUSG00000101970	Chaserr	1810026B05Rik|linc2025	CHD2 adjacent suppressive regulatory RNA	ncRNA	1.479	1.419
SE_12_052300633	chr4	139461248	139462248	+	0	NA	intron (NM_001160319, intron 78 of 105)	intron (NM_001160319, intron 78 of 105)	-68800	NM_183148	212632		NM_183148	ENSMUSG00000041025	Iffo2	-	intermediate filament family orphan 2	protein-coding	1.393	1.307
SE_12_052300815	chr4	155094023	155095023	+	0	NA	intron (NM_001356327, intron 6 of 12)	MTD|LTR|ERVL-MaLR	7919	NM_001356327	76866		NM_001081100	ENSMUSG00000029049	Morn1	2900057D20Rik|4930417P05Rik	MORN repeat containing 1	protein-coding	1.347	1.314
SE_12_052300311	chr11	3746364	3747364	+	0	NA	intron (NM_152818, intron 2 of 13)	intron (NM_152818, intron 2 of 13)	-24637	NM_001302630	74309		NM_152818	ENSMUSG00000020435	Osbp2	1700095P05Rik|C630001G20Rik|Gm244|ORP-4|OSBPL1	oxysterol binding protein 2	protein-coding	1.408	1.401
SE_12_052300608	chr10	79711155	79712155	+	0	NA	3' UTR (NM_009768, exon 8 of 8)	3' UTR (NM_009768, exon 8 of 8)	-4979	NM_008226	15166		NM_008226	ENSMUSG00000020331	Hcn2	BCNG2|HAC1|trls	hyperpolarization-activated, cyclic nucleotide-gated K+ 2	protein-coding	1.418	1.381
SE_12_052300146	chr9	42084238	42085238	+	0	NA	intron (NM_011436, intron 5 of 47)	B3|SINE|B2	-7525	NM_001357261	20660		NM_011436	ENSMUSG00000049313	Sorl1	2900010L19Rik|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding	1.679	1.626
SE_12_052300161	chr5	139575995	139576995	+	0	NA	Intergenic	(CCTA)n|Simple_repeat|Simple_repeat	32597	NM_013702	22255		NM_013702	ENSMUSG00000029546	Uncx	Chx4|Uncx4.1	UNC homeobox	protein-coding	1.357	1.391
SE_12_052300171	chr17	56376562	56377562	+	0	NA	intron (NM_172132, intron 8 of 22)	intron (NM_172132, intron 8 of 22)	41847	NR_105943	102465590		NR_105943	ENSMUSG00000098339	Mir6977	Gm27922|mmu-mir-6977	microRNA 6977	ncRNA	1.468	1.390
SE_12_052300671	chr2	91126938	91127938	+	0	NA	intron (NM_008653, intron 17 of 31)	B1_Mus1|SINE|Alu	9294	NM_008653	17868		NM_008653	ENSMUSG00000002100	Mybpc3	-	myosin binding protein C, cardiac	protein-coding	1.629	1.601
SE_12_052300972	chr7	133080057	133081057	+	0	NA	intron (NM_009980, intron 2 of 10)	intron (NM_009980, intron 2 of 10)	1303	NM_001347623	13017		NM_009980	ENSMUSG00000030970	Ctbp2	D7Ertd45e|Gtrgeo6|Ribeye	C-terminal binding protein 2	protein-coding	1.384	1.243
SE_12_052300987	chr3	52096030	52097030	+	0	NA	intron (NM_001004176, intron 1 of 4)	MTD|LTR|ERVL-MaLR	8476	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding	1.794	1.750
SE_12_052300427	chr5	22313603	22314603	+	0	NA	intron (NM_001310464, intron 1 of 63)	(CA)n|Simple_repeat|Simple_repeat	30602	NM_011261	19699		NM_011261	ENSMUSG00000042453	Reln	reeler|rl	reelin	protein-coding	1.099	1.117
SE_12_052300108	chr18	64936948	64937948	+	0	NA	intron (NM_001114386, intron 1 of 30)	intron (NM_001114386, intron 1 of 30)	49692	NM_001114386	83814		NM_031881	ENSMUSG00000024589	Nedd4l	1300012C07Rik|NEDD4.2|Nedd4-2|Nedd4b	neural precursor cell expressed, developmentally down-regulated gene 4-like	protein-coding	1.700	1.560
SE_12_052300207	chr11	62024997	62025997	+	0	NA	intron (NM_001281818, intron 1 of 14)	MIRb|SINE|MIR	-51527	NM_001029936	432572		NM_001029936	ENSMUSG00000042331	Specc1	2810012G08Rik|B230396K10Rik|Cytsb	sperm antigen with calponin homology and coiled-coil domains 1	protein-coding	1.422	1.396
SE_12_052300819	chr11	114793839	114794839	+	0	NA	intron (NM_028055, intron 1 of 2)	intron (NM_028055, intron 1 of 2)	1553	NM_028055	72014		NM_028055	ENSMUSG00000000202	Btbd17	1500005I02Rik|Tango10a	BTB domain containing 17	protein-coding	1.296	1.279
SE_12_052300661	chr10	122812989	122813989	+	0	NA	intron (NM_001110218, intron 4 of 9)	intron (NM_001110218, intron 4 of 9)	134174	NR_106182	102466884		NR_106182	ENSMUSG00000099225	Mir8104	Gm27380|mmu-mir-8104	microRNA 8104	ncRNA	1.702	1.681
SE_12_052300646	chr8	110886787	110887787	+	0	NA	intron (NR_052009, intron 17 of 23)	intron (NR_052009, intron 17 of 23)	15201	NR_052009	234730		NM_172283	ENSMUSG00000033703	Fcsk	1110046B12Rik|Fuk	fucose kinase	protein-coding	1.554	1.470
SE_12_052300962	chr7	45195451	45196451	+	0	NA	intron (NM_201374, intron 4 of 19)	intron (NM_201374, intron 4 of 19)	8941	NM_201374	384619		NM_201374	ENSMUSG00000038292	Kash5	Ccdc155|Gm1434	KASH domain containing 5	protein-coding	1.210	1.062
SE_12_052300475	chr3	90272535	90273535	+	0	NA	exon (NM_201407, exon 15 of 28)	exon (NM_201407, exon 15 of 28)	2886	NR_105979	102465612		NR_105979	ENSMUSG00000099199	Mir7012	Gm27370|mmu-mir-7012	microRNA 7012	ncRNA	1.798	1.747
SE_12_052300351	chr11	53525093	53526093	+	0	NA	intron (NM_001361969, intron 1 of 9)	intron (NM_001361969, intron 1 of 9)	5405	NM_001361969	20362		NM_033144	ENSMUSG00000018398	Septin8	Sepl|Sept8	septin 8	protein-coding	1.434	1.419
SE_12_052300532	chr11	75856833	75857833	+	0	NA	intron (NM_029548, intron 4 of 7)	intron (NM_029548, intron 4 of 7)	53726	NM_029548	380714		NM_029548	ENSMUSG00000020847	Rph3al	Gm1753|Noc2	rabphilin 3A-like (without C2 domains)	protein-coding	1.316	1.297
SE_12_052300183	chr10	75674611	75675611	+	0	NA	intron (NM_172549, intron 29 of 36)	intron (NM_172549, intron 29 of 36)	-31103	NM_001162913	71733		NM_027890	ENSMUSG00000006342	Susd2	1200011D11Rik	sushi domain containing 2	protein-coding	1.741	1.730
SE_12_052300465	chr5	117031601	117032601	+	0	NA	Intergenic	Intergenic	83892	NM_178622	71954		NM_178622	ENSMUSG00000066900	Suds3	2400003N08Rik|2410008L21Rik|mSds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	protein-coding	1.289	1.281
SE_12_052300084	chr11	67656966	67657966	+	0	NA	intron (NM_008088, intron 5 of 13)	intron (NM_008088, intron 5 of 13)	-37860	NM_009038	19674		NM_009038	ENSMUSG00000020907	Rcvrn	CAR|S-modulin	recoverin	protein-coding	0.936	0.799
SE_12_052300068	chr16	24448008	24449008	+	0	NA	intron (NM_001145952, intron 1 of 11)	intron (NM_001145952, intron 1 of 11)	417	NM_001145952	210126		NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|B130055L10Rik|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding	1.403	1.394
SE_12_052300705	chr5	121246899	121247899	+	0	NA	intron (NM_181421, intron 1 of 75)	B2_Mm1t|SINE|B2	27180	NM_181421	269700		NM_181421	ENSMUSG00000042744	Hectd4	A130010L24|EG545802|Gm15800|mKIAA0614	HECT domain E3 ubiquitin protein ligase 4	protein-coding	1.283	1.276
SE_12_052300855	chr15	37717901	37718901	+	0	NA	intron (NM_134094, intron 1 of 6)	intron (NM_134094, intron 1 of 6)	16230	NM_001359843	52589		NM_134094	ENSMUSG00000051359	Ncald	D030020D09Rik|D15Ertd412e	neurocalcin delta	protein-coding	1.632	1.541
SE_12_052300078	chr4	128904021	128905021	+	0	NA	intron (NM_001370757, intron 3 of 3)	intron (NM_001370757, intron 3 of 3)	20477	NM_178110	67525		NM_178110	ENSMUSG00000041000	Trim62	6330414G21Rik|Dear1	tripartite motif-containing 62	protein-coding	1.443	1.287
SE_12_052300080	chr10	81412564	81413564	+	0	NA	intron (NM_026756, intron 2 of 8)	intron (NM_026756, intron 2 of 8)	3233	NR_106141	102465778		NR_106141	ENSMUSG00000105379	Mir1191b	mmu-mir-1191b	microRNA 1191b	ncRNA	1.324	1.222
SE_12_052300479	chr15	89102015	89103015	+	0	NA	intron (NM_001163319, intron 17 of 24)	intron (NM_001163319, intron 17 of 24)	13477	NM_027905	223776		NM_027905	ENSMUSG00000035757	Selenoo	1300018J18Rik|Selo	selenoprotein O	protein-coding	1.438	1.399
SE_12_052300397	chr8	105468378	105469378	+	0	NA	intron (NM_026481, intron 1 of 3)	intron (NM_026481, intron 1 of 3)	2544	NM_026481	67971		NM_026481	ENSMUSG00000014846	Tppp3	2700055K07Rik|CGI-38|Ceacam9|mmCGM8	tubulin polymerization-promoting protein family member 3	protein-coding	1.572	1.613
SE_12_052300469	chr2	163692846	163693846	+	0	NA	promoter-TSS (NM_011106)	promoter-TSS (NM_011106)	-691	NM_011106	18769		NM_011106	ENSMUSG00000035268	Pkig	PKIgamma	protein kinase inhibitor, gamma	protein-coding	1.718	1.671
SE_12_052300001	chr7	46504305	46505305	+	0	NA	intron (NM_013789, intron 10 of 10)	intron (NM_013789, intron 10 of 10)	108337	NM_001112739	16502		NM_008421	ENSMUSG00000058975	Kcnc1	C230009H10Rik|KShIIIB|KV4|Kcr2-1|Kv3.1|NGK2|Shaw	potassium voltage gated channel, Shaw-related subfamily, member 1	protein-coding	1.435	1.329
SE_12_052300526	chr14	122474854	122475854	+	0	NA	promoter-TSS (NR_045046)	promoter-TSS (NR_045046)	-30	NM_009574	22772		NM_009574	ENSMUSG00000061524	Zic2	HPE5|Ku	zinc finger protein of the cerebellum 2	protein-coding	1.432	1.349
SE_12_052300859	chr8	84637365	84638365	+	0	NA	intron (NM_001252059, intron 44 of 45)	intron (NM_001252059, intron 44 of 45)	24987	NM_010499	15936		NM_010499	ENSMUSG00000053560	Ier2	Ch1|Pip92	immediate early response 2	protein-coding	1.332	1.282
SE_12_052300709	chr2	139278289	139279289	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-215124	NM_001356507	228677		NM_175467	ENSMUSG00000039092	Sptlc3	C130053K05Rik	serine palmitoyltransferase, long chain base subunit 3	protein-coding	0.823	0.822
SE_12_052300683	chr7	45165049	45166049	+	0	NA	intron (NM_182993, intron 1 of 11)	intron (NM_182993, intron 1 of 11)	1628	NM_182993	72961		NM_182993	ENSMUSG00000070570	Slc17a7	2900052E22Rik|Vglut1	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	protein-coding	1.169	1.058
SE_12_052300916	chr13	76309158	76310158	+	0	NA	Intergenic	Intergenic	-37714	NM_001370926	238726		NM_001370926	ENSMUSG00000109228	Fam81b	Gm276	family with sequence similarity 81, member B	protein-coding	1.536	1.385
SE_12_052300727	chr12	77008538	77009538	+	0	NA	Intergenic	Intergenic	-46790	NM_001361663	17187		NM_008558	ENSMUSG00000059436	Max	bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding	1.237	1.155
SE_12_052300083	chr9	29556489	29557489	+	0	NA	intron (NM_172290, intron 1 of 7)	B1F1|SINE|Alu	-143537	NM_001357603	235106		NM_172290	ENSMUSG00000059974	Ntm	6230410L23Rik|B230210G24Rik|Hnt|Igdcc2	neurotrimin	protein-coding	1.540	1.364
SE_12_052301002	chr11	101654105	101655105	+	0	NA	Intergenic	RLTR53_Mm|LTR|ERVK	-10936	NM_025404	80981		NM_025404	ENSMUSG00000034936	Arl4d	1110036H21Rik|ARL6|Arf4l|Arfl4|Arl5	ADP-ribosylation factor-like 4D	protein-coding	1.364	1.383
SE_12_052300184	chr6	47668490	47669490	+	0	NA	promoter-TSS (NR_002841).5	promoter-TSS (NR_002841).5	-899	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA	0.979	0.835
SE_12_052300318	chr10	59961400	59962400	+	0	NA	Intergenic	B1_Mus1|SINE|Alu	-10130	NM_029083	74747		NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding	1.726	1.741
SE_12_052300282	chr11	31810967	31811967	+	0	NA	intron (NR_102312, intron 1 of 4)	intron (NR_102312, intron 1 of 4)	13080	NR_102314	414116		NR_102310	ENSMUSG00000085772	D630024D03Rik	-	RIKEN cDNA D630024D03 gene	ncRNA	1.098	1.008
SE_12_052300267	chr14	121641944	121642944	+	0	NA	intron (NM_001081039, intron 10 of 53)	L1MB4|LINE|L1	55973	NM_001347596	105445		NM_134074	ENSMUSG00000025558	Dock9	B230309H04Rik|D14Wsu89e|Zizimin1|mKIAA1058	dedicator of cytokinesis 9	protein-coding	1.565	1.489
SE_12_052300168	chr14	31408444	31409444	+	0	NA	intron (NM_011894, intron 3 of 8)	intron (NM_011894, intron 3 of 8)	8733	NM_001347585	24056		NM_011894	ENSMUSG00000021892	Sh3bp5	SH3BP-5|Sab	SH3-domain binding protein 5 (BTK-associated)	protein-coding	1.553	1.348
SE_12_052300902	chr8	84926795	84927795	+	0	NA	intron (NM_019945, intron 7 of 25)	intron (NM_019945, intron 7 of 25)	10058	NM_019945	56527		NM_019945	ENSMUSG00000053693	Mast1	9430008B02Rik|SAST|SAST170	microtubule associated serine/threonine kinase 1	protein-coding	1.431	1.392
SE_12_052300601	chr19	4307536	4308536	+	0	NA	Intergenic	Intergenic	-1814	NM_130863	110355		NM_130863	ENSMUSG00000024858	Grk2	Adrbk-1|Adrbk1|Bark-1|beta ARK|betaARK1	G protein-coupled receptor kinase 2	protein-coding	1.489	1.425
SE_12_052300178	chr6	47762618	47763618	+	0	NA	Intergenic	Intergenic	-10193	NR_002841	19799		NR_002841		Rn4.5s	-	4.5S RNA	rRNA	1.345	1.294
SE_12_052301016	chr17	24204277	24205277	+	0	NA	3' UTR (NM_010947, exon 6 of 6)	3' UTR (NM_010947, exon 6 of 6)	785	NM_001163847	224617		NM_173186	ENSMUSG00000036473	Tbc1d24	9630033P11|C530046L02Rik|mKIAA1171	TBC1 domain family, member 24	protein-coding	1.339	1.355
