PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
40643	chr8	13595042	13596042	+	52	NA	intron (NM_009025, intron 6 of 23)	intron (NM_009025, intron 6 of 23)	-33081	NM_025601	66501		NM_025601	ENSMUSG00000031452	1700029H14Rik	-	RIKEN cDNA 1700029H14 gene	protein-coding	-1.383	-1.730
30350	chr1	153002038	153003038	+	52	NA	intron (NM_175460, intron 1 of 10)	intron (NM_175460, intron 1 of 10)	47437	NM_175460	226518		NM_175460	ENSMUSG00000042751	Nmnat2	D030041I09Rik|PNAT1|PNAT2	nicotinamide nucleotide adenylyltransferase 2	protein-coding	-1.089	-1.383
64933-2	chr4	16012258	16013258	+	52	NA	intron (NM_001355616, intron 1 of 5)	intron (NM_001355616, intron 1 of 5)	1080	NM_001355615	209212		NM_145950	ENSMUSG00000041153	Osgin2	C230027H09Rik	oxidative stress induced growth inhibitor family member 2	protein-coding	-0.312	-0.160
17533	chr6	50366243	50367243	+	52	NA	intron (NM_001347213, intron 3 of 23)	intron (NM_001347213, intron 3 of 23)	16094	NM_027881	71720		NM_027881	ENSMUSG00000029822	Osbpl3	1200014M06Rik|6720421I08Rik|A530055M08|ORP-3|ORP3|OSBP3	oxysterol binding protein-like 3	protein-coding	-0.756	-0.731
55469	chr2	103796496	103797496	+	52	NA	promoter-TSS (NM_001111289)	promoter-TSS (NM_001111289)	82	NM_001111290	53872		NM_016739	ENSMUSG00000027184	Caprin1	Caprin-1|Gpiap|Gpiap1|Mmgpip137|P137|rng105	cell cycle associated protein 1	protein-coding	-0.309	-0.638
62083	chr8	86028503	86029503	+	52	NA	intron (NM_199446, intron 26 of 31)	intron (NM_199446, intron 26 of 31)	188015	NM_001364411	102093		NM_199446	ENSMUSG00000036879	Phkb	-	phosphorylase kinase beta	protein-coding	-2.157	-2.139
100111	chr6	90799323	90800323	+	52	NA	intron (NM_001356440, intron 1 of 13)	L2b|LINE|L2	10300	NM_001356440	232227		NM_182784	ENSMUSG00000034312	Iqsec1	BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding	-0.835	-1.003
43367	chr1	58585696	58586696	+	52	NA	promoter-TSS (NM_025597)	promoter-TSS (NM_025597)	-42	NM_001310599	213056		NM_172513	ENSMUSG00000038174	Hycc2	C130065N10Rik|D1Ertd53e|D630010C10|Fam126b	hyccin PI4KA lipid kinase complex subunit 2	protein-coding	-0.696	-0.590
27206	chr19	6576948	6577948	+	52	NA	Intergenic	Intergenic	-34378	NM_009203	20521		NM_009203	ENSMUSG00000061742	Slc22a12	OAT4L|Rst|Slc22al2|URAT1	solute carrier family 22 (organic anion/cation transporter), member 12	protein-coding	-3.519	-3.648
40319	chr10	58402104	58403104	+	52	NA	intron (NM_026148, intron 2 of 9)	intron (NM_026148, intron 2 of 9)	8231	NM_001346676	110829		NM_026148	ENSMUSG00000019920	Lims1	2310016J22Rik|4921524A02Rik|C430041B13Rik|Lims1l|PINCH|PINCH1	LIM and senescent cell antigen-like domains 1	protein-coding	-0.025	-0.197
26486	chr2	31087749	31088749	+	52	NA	intron (NM_001355105, intron 4 of 15)	intron (NM_001355105, intron 4 of 15)	8251	NM_001177650	14269		NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding	-2.061	-2.357
27947	chr19	10767238	10768238	+	52	NA	intron (NR_027805, intron 1 of 3)	intron (NR_027805, intron 1 of 3)	26791	NR_027805	403202		NM_207529	ENSMUSG00000067577	A430093F15Rik	Gm674	RIKEN cDNA A430093F15 gene	ncRNA	-1.744	-1.852
65086	chr4	120856160	120857160	+	52	NA	intron (NM_182929, intron 1 of 7)	intron (NM_182929, intron 1 of 7)	1861	NM_182929	242662		NM_182929	ENSMUSG00000032890	Rims3	A730060M23Rik|Nim3|Rim3|mKIAA0237	regulating synaptic membrane exocytosis 3	protein-coding	-0.993	-0.989
36520	chr12	90565719	90566719	+	52	NA	Intergenic	Intergenic	172819	NM_010050	13371		NM_010050	ENSMUSG00000007682	Dio2	5DII|DIOII	deiodinase, iodothyronine, type II	protein-coding	-2.045	-1.914
45651	chr15	89195580	89196580	+	52	NA	intron (NM_027081, intron 1 of 19)	CpG	394	NM_027081	69440		NM_027081	ENSMUSG00000015377	Dennd6b	1700027J05Rik|Fam116b	DENN domain containing 6B	protein-coding	-1.533	-1.763
79433	chr11	20830238	20831238	+	52	NA	intron (NM_173752, intron 1 of 4)	CpG	370	NM_173752	216551		NM_173752	ENSMUSG00000042363	Lgalsl	1110067D22Rik|A530071M23|Grpa|Hspc159|Lgalsla	galectin like	protein-coding	-1.107	-1.073
318753	chr2	92388027	92389027	+	52	NA	intron (NM_001202445, intron 3 of 11)	intron (NM_001202445, intron 3 of 11)	-1081	NR_105966	102466783		NR_105966	ENSMUSG00000099093	Mir7000	Gm27338|mmu-mir-7000	microRNA 7000	ncRNA	-1.527	-1.705
60483	chr11	40693140	40694140	+	52	NA	promoter-TSS (NM_134017)	promoter-TSS (NM_134017)	-958	NM_134017	108645		NM_134017	ENSMUSG00000042032	Mat2b	1110064C04Rik|2410018D16Rik|MAT-II|MATIIbeta|TGR	methionine adenosyltransferase 2 non-catalytic beta subunit methionine	protein-coding	-0.050	0.049
44140	chr6	71518933	71519933	+	52	NA	Intergenic	Intergenic	-24419	NM_025783	66700		NM_025783	ENSMUSG00000053119	Chmp3	25.1|4921505F14Rik|9130011K15Rik|CGI-49|D6Ertd286e|NEDF|Vps24	charged multivesicular body protein 3	protein-coding	-0.795	-0.843
33942	chr10	81320105	81321105	+	52	NA	promoter-TSS (NM_027381)	promoter-TSS (NM_027381)	-498	NM_027381	70312		NM_027381	ENSMUSG00000034889	Cactin	2510012J08Rik	cactin, spliceosome C complex subunit	protein-coding	-2.551	-2.474
23915	chr4	107801222	107802222	+	52	NA	promoter-TSS (NM_001080926)	promoter-TSS (NM_001080926)	342	NR_168096	105244644		NR_166675	ENSMUSG00000087200	Lrp8os3	Gm12908	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor, opposite strand 3	ncRNA	-0.818	-1.175
72788	chr8	71463860	71464860	+	52	NA	promoter-TSS (NM_053162)	promoter-TSS (NM_053162)	-566	NM_053162	94065		NM_053162	ENSMUSG00000034880	Mrpl34	0610007O17Rik|D8Bwg1484e	mitochondrial ribosomal protein L34	protein-coding	-1.176	-1.114
82040	chr15	86059188	86060188	+	52	NA	intron (NM_001379572, intron 1 of 18)	intron (NM_001379572, intron 1 of 18)	926	NM_001379572	223752		NM_172611	ENSMUSG00000035900	Gramd4	9930016O13	GRAM domain containing 4	protein-coding	-1.935	-2.288
76443	chr15	53748192	53749192	+	52	NA	intron (NM_177225, intron 2 of 4)	intron (NM_177225, intron 2 of 4)	-134413	NR_039538	100628567		NR_039538	ENSMUSG00000104794	Mir28c	mmu-mir-28c	microRNA 28c	ncRNA	-1.294	-1.177
35298	chr7	48789142	48790142	+	52	NA	intron (NM_028031, intron 1 of 16)	intron (NM_028031, intron 1 of 16)	639	NM_028031	243983		NM_028031	ENSMUSG00000030471	Zdhhc13	2410004E01Rik|C530010M18|HIP3RP|Hip14l|kojak|skc4	zinc finger, DHHC domain containing 13	protein-coding	-0.349	-0.403
26713	chr8	90844146	90845146	+	52	NA	intron (NM_177224, intron 1 of 39)	intron (NM_177224, intron 1 of 39)	15811	NM_177224	109151		NM_177224	ENSMUSG00000056608	Chd9	1810014J18Rik|9030205D12Rik|A330063D19Rik|AD013|PRIC320|mKIAA0308	chromodomain helicase DNA binding protein 9	protein-coding	-0.516	-0.828
54362	chr9	64555043	64556043	+	52	NA	intron (NM_001134399, intron 5 of 24)	intron (NM_001134399, intron 5 of 24)	169917	NM_001134399	214058		NM_172522	ENSMUSG00000036466	Megf11	2410080H04Rik|D130061K05	multiple EGF-like-domains 11	protein-coding	-1.841	-2.100
73120	chr18	39319113	39320113	+	52	NA	intron (NM_001361073, intron 20 of 21)	intron (NM_001361073, intron 20 of 21)	169666	NM_008173	14815		NM_008173	ENSMUSG00000024431	Nr3c1	GR|Grl-1|Grl1	nuclear receptor subfamily 3, group C, member 1	protein-coding	-1.567	-1.576
42599	chr9	7836950	7837950	+	52	NA	promoter-TSS (NM_001291503)	promoter-TSS (NM_001291503)	-393	NM_007465	11797		NM_007465	ENSMUSG00000057367	Birc2	Api1|Api2|Birc3|C-IAP1|C330006D17Rik|HIAP1|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF48|cIAP1|cIAP2|mcIAP1	baculoviral IAP repeat-containing 2	protein-coding	-0.250	-0.389
85948	chr1	51243116	51244116	+	52	NA	intron (NR_045151, intron 4 of 4)	intron (NR_045151, intron 4 of 4)	-45510	NM_138741	20324		NM_138741	ENSMUSG00000045954	Cavin2	Sdpr	caveolae associated 2	protein-coding	-1.250	-0.948
66370	chr3	138819640	138820640	+	52	NA	intron (NR_121195, intron 1 of 7)	intron (NR_121195, intron 1 of 7)	77932	NR_121195	56224		NM_019571	ENSMUSG00000028152	Tspan5	2810455A09Rik|4930505M03Rik|NET-4|Tm4sf9	tetraspanin 5	protein-coding	-1.535	-1.616
50516	chr17	13657466	13658466	+	52	NA	Intergenic	Intergenic	-102575	NR_151731	17356		NM_010806	ENSMUSG00000068036	Afdn	5033403D15Rik|AF6|Af-6|Afadin|Gm314|I-afadin|Mllt4|S-afadin	afadin, adherens junction formation factor	protein-coding	-0.816	-0.978
32334	chr1	64955985	64956985	+	52	NA	promoter-TSS (NR_165472)	promoter-TSS (NR_165472)	-94	NR_165472	115487094		NR_165472		Gm51627	-	predicted gene, 51627	ncRNA	-0.907	-0.797
45153	chr2	136738110	136739110	+	52	NA	intron (NM_001355254, intron 1 of 7)	intron (NM_001355254, intron 1 of 7)	24924	NM_001355254	20614		NM_011428	ENSMUSG00000027273	Snap25	Bdr|GENA70|SNAP-25|SUP|sp	synaptosomal-associated protein 25	protein-coding	-1.534	-1.616
71259	chr9	29305749	29306749	+	52	NA	intron (NM_001357601, intron 1 of 7)	intron (NM_001357601, intron 1 of 7)	106436	NM_001357601	235106		NM_172290	ENSMUSG00000059974	Ntm	6230410L23Rik|B230210G24Rik|Hnt|Igdcc2	neurotrimin	protein-coding	-2.287	-2.475
53428	chr19	5455517	5456517	+	52	NA	TTS (NM_010235)	TTS (NM_010235)	1546	NM_001243307	240514		NM_198616	ENSMUSG00000095098	Ccdc85b	-	coiled-coil domain containing 85B	protein-coding	-4.223	-4.345
25701	chr17	35073834	35074834	+	52	NA	non-coding (NR_163841, exon 2 of 3)	non-coding (NR_163841, exon 2 of 3)	158	NM_033478	114654		NM_033478	ENSMUSG00000073413	Ly6g6d	A930024F17Rik|G6d|G6f|MEGT1|NG25|NG32|g6f-ly6g6d	lymphocyte antigen 6 family member G6D	protein-coding	-1.928	-2.056
100273	chr11	19992282	19993282	+	52	NA	intron (NM_033523, intron 1 of 5)	intron (NM_033523, intron 1 of 5)	68340	NM_033523	114716		NM_033523	ENSMUSG00000045671	Spred2	-	sprouty-related EVH1 domain containing 2	protein-coding	-1.419	-1.464
48601	chr16	31428701	31429701	+	52	NA	non-coding (NR_152205, exon 1 of 1)	non-coding (NR_152205, exon 1 of 1)	448	NM_001122683	71911		NM_175177	ENSMUSG00000046598	Bdh1	2310032J20Rik|Bdh	3-hydroxybutyrate dehydrogenase, type 1	protein-coding	-1.850	-1.938
20968	chr17	65782233	65783233	+	52	NA	promoter-TSS (NM_001114131)	promoter-TSS (NM_001114131)	-622	NR_152099	70351		NM_146081	ENSMUSG00000061950	Ppp4r1	3110001J10Rik|Pp4r1	protein phosphatase 4, regulatory subunit 1	protein-coding	-1.272	-1.358
34582	chr9	56159940	56160940	+	52	NA	intron (NM_019793, intron 1 of 6)	CpG	630	NM_019793	56434		NM_019793	ENSMUSG00000032324	Tspan3	1700055K04Rik|TM4-A|Tm4sf8	tetraspanin 3	protein-coding	-1.072	-1.176
32185	chr4	134796781	134797781	+	52	NA	Intergenic	Intergenic	-29277	NM_145554	100017		NM_145554	ENSMUSG00000037295	Ldlrap1	ARH2|Arh|Arh1|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding	-1.874	-1.997
85148	chr9	28445584	28446584	+	52	NA	intron (NM_177906, intron 1 of 6)	intron (NM_177906, intron 1 of 6)	41756	NM_177906	330908		NM_177906	ENSMUSG00000062257	Opcml	2900075O15Rik|3732419F12|B930023M13Rik|C230027C17|Gm181|Obcam	opioid binding protein/cell adhesion molecule-like	protein-coding	-2.138	-2.169
68611	chr6	54061618	54062618	+	52	NA	intron (NM_001163640, intron 1 of 12)	intron (NM_001163640, intron 1 of 12)	22186	NM_001163640	69993		NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding	-1.683	-1.941
99263	chr5	22127346	22128346	+	52	NA	intron (NM_001310464, intron 8 of 63)	intron (NM_001310464, intron 8 of 63)	216859	NM_011261	19699		NM_011261	ENSMUSG00000042453	Reln	reeler|rl	reelin	protein-coding	-1.520	-1.790
42483	chr15	57589244	57590244	+	52	NA	Intergenic	Intergenic	-104923	NM_199449	387609		NM_199449	ENSMUSG00000071757	Zhx2	Afr-1|Afr1|Raf|mKIAA0854	zinc fingers and homeoboxes 2	protein-coding	-0.993	-0.782
29193-2	chr2	90543460	90544460	+	52	NA	intron (NM_008982, intron 1 of 23)	intron (NM_008982, intron 1 of 23)	36635	NM_008982	19271		NM_008982	ENSMUSG00000025314	Ptprj	BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|R-PTP-J|R-PTP-eta|RPTPJ|Scc-1|Scc1	protein tyrosine phosphatase receptor type J	protein-coding	-0.201	-0.186
59343	chr3	88831362	88832362	+	52	NA	intron (NR_160679, intron 1 of 3)	intron (NR_160679, intron 1 of 3)	685	NR_160678	319830		NR_015498	ENSMUSG00000098912	1500004A13Rik	5430404N14Rik	RIKEN cDNA 1500004A13 gene	ncRNA	-1.910	-1.989
164450	chr14	25536080	25537080	+	52	NA	intron (NM_183208, intron 2 of 23)	intron (NM_183208, intron 2 of 23)	2141	NR_037236	100526533		NR_037236	ENSMUSG00000093081	Mir3075	mir-3075|mmu-mir-3075	microRNA 3075	ncRNA	-2.020	-2.188
32474	chr8	70702728	70703728	+	52	NA	5' UTR (NM_001370846, exon 1 of 4)	5' UTR (NM_001370846, exon 1 of 4)	1203	NM_001370847	637079		NM_001370846	ENSMUSG00000110622	Iqcn	Gm16486	IQ motif containing N	protein-coding	-1.246	-1.414
28570	chr17	37028264	37029264	+	52	NA	Intergenic	Intergenic	-5366	NM_010814	17441		NM_010814	ENSMUSG00000076439	Mog	B230317G11Rik	myelin oligodendrocyte glycoprotein	protein-coding	-0.336	-0.533
46985	chr4	85370480	85371480	+	52	NA	intron (NM_019535, intron 3 of 8)	intron (NM_019535, intron 3 of 8)	165524	NM_019535	20404		NM_019535	ENSMUSG00000028488	Sh3gl2	9530001L19Rik|B930049H17Rik|EEN-B1|EEN1|SH3PA|Sh3d2a	SH3-domain GRB2-like 2	protein-coding	-1.394	-1.619
130329	chrX	158040109	158041109	+	52	NA	intron (NM_177751, intron 1 of 21)	intron (NM_177751, intron 1 of 21)	2588	NM_001310719	245684		NM_177751	ENSMUSG00000025658	Cnksr2	Cnk2|Ksr2	connector enhancer of kinase suppressor of Ras 2	protein-coding	-3.105	-3.259
42457	chr2	132292501	132293501	+	52	NA	intron (NM_001291039, intron 1 of 12)	intron (NM_001291039, intron 1 of 12)	7062	NM_001291039	110911		NM_138651	ENSMUSG00000058793	Cds2	5730450N06Rik|5730460C18Rik|D2Wsu127e	CDP-diacylglycerol synthase 2	protein-coding	-0.459	-0.560
38800	chr2	152794376	152795376	+	52	NA	intron (NM_001289716, intron 2 of 2)	intron (NM_001289716, intron 2 of 2)	-7585	NR_166047	102634681		NR_166047		Gm32211	-	predicted gene, 32211	pseudo	-0.634	-0.796
44559	chr12	35070688	35071688	+	52	NA	intron (NM_001014973, intron 1 of 25)	intron (NM_001014973, intron 1 of 25)	23999	NM_001014973	217463		NM_001014973	ENSMUSG00000020590	Snx13	Rgs-px1|mKIAA0713	sorting nexin 13	protein-coding	-0.531	-0.628
58503	chr18	13671737	13672737	+	52	NA	Intergenic	Intergenic	163846	NR_166720	102640755		NR_166720		Gm36747	-	predicted gene, 36747	ncRNA	-2.011	-1.958
24606	chr13	12124649	12125649	+	52	NA	Intergenic	Intergenic	-18204	NM_023868	20191		NM_023868	ENSMUSG00000021313	Ryr2	9330127I20Rik|RYR-2	ryanodine receptor 2, cardiac	protein-coding	-1.211	-1.289
42633	chr4	155397218	155398218	+	52	NA	intron (NM_008072, intron 1 of 8)	CpG	351	NM_008072	14403		NM_008072	ENSMUSG00000029054	Gabrd	-	gamma-aminobutyric acid (GABA) A receptor, subunit delta	protein-coding	-1.989	-2.009
62595	chr18	46524419	46525419	+	52	NA	intron (NM_173423, intron 1 of 2)	intron (NM_173423, intron 1 of 2)	1052	NM_173423	240263		NM_173423	ENSMUSG00000033319	Fem1c	2610312A07Rik|3632443A22Rik	fem 1 homolog c	protein-coding	-0.798	-0.957
100197	chr1	105992264	105993264	+	52	NA	intron (NM_001122675, intron 1 of 12)	intron (NM_001122675, intron 1 of 12)	2358	NM_001122676	227449		NM_001122675	ENSMUSG00000038866	Zcchc2	9930114B20Rik	zinc finger, CCHC domain containing 2	protein-coding	-0.536	-0.483
49909	chr4	106839726	106840726	+	52	NA	Intergenic	CpG	-35219	NM_001347159	329910		NM_025590	ENSMUSG00000034853	Acot11	1110020M10Rik|2010309H15Rik|BFIT|BFIT1|Thea|Them1|mKIAA0707	acyl-CoA thioesterase 11	protein-coding	-1.616	-1.693
20462-3	chr2	112591265	112592265	+	52	NA	intron (NR_149741, intron 1 of 4)	intron (NR_149741, intron 1 of 4)	20152	NR_149741	74268		NM_028844	ENSMUSG00000003604	Aven	1700013A01Rik|1700056A21Rik|mAven-L|mAven-S	apoptosis, caspase activation inhibitor	protein-coding	-0.176	-0.250
32960	chr14	70563142	70564142	+	52	NA	exon (NM_001379479, exon 8 of 19)	exon (NM_001379479, exon 8 of 19)	9408	NM_001379479	15460		NM_021877	ENSMUSG00000022096	Hr	ALUNC|bldy|hr|rh-bmh	lysine demethylase and nuclear receptor corepressor	protein-coding	-1.029	-1.188
85906	chr15	52413345	52414345	+	52	NA	Intergenic	Intergenic	118292	NM_172816	239436		NM_172816	ENSMUSG00000022315	Slc30a8	C820002P14Rik|ZnT-8|ZnT8	solute carrier family 30 (zinc transporter), member 8	protein-coding	-0.926	-0.788
29092	chr5	120698601	120699601	+	52	NA	intron (NM_008052, intron 2 of 9)	intron (NM_008052, intron 2 of 9)	12568	NM_008052	14357		NM_008052	ENSMUSG00000029603	Dtx1	Fxit1|mKIAA4160	deltex 1, E3 ubiquitin ligase	protein-coding	-0.949	-1.064
56471	chr13	43271229	43272229	+	52	NA	intron (NM_001033399, intron 1 of 1)	intron (NM_001033399, intron 1 of 1)	32443	NM_001033399	328232		NM_001033399	ENSMUSG00000051335	Gfod1	9630032O13	glucose-fructose oxidoreductase domain containing 1	protein-coding	-1.567	-1.696
24339	chr1	59387395	59388395	+	52	NA	Intergenic	Intergenic	-94252	NM_008057	14369		NM_008057	ENSMUSG00000041075	Fzd7	Fz7	frizzled class receptor 7	protein-coding	-1.212	-1.244
24729	chr12	86823646	86824646	+	52	NA	Intergenic	Intergenic	60668	NM_145836	238330		NM_145836	ENSMUSG00000034168	Irf2bpl	6430527G18Rik|Eap1	interferon regulatory factor 2 binding protein-like	protein-coding	-1.358	-1.318
54588	chr17	80061580	80062580	+	52	NA	non-coding (NR_152119, exon 1 of 14)	non-coding (NR_152119, exon 1 of 14)	188	NM_144802	72692		NM_144802	ENSMUSG00000024095	Hnrnpll	2510028H02Rik|2810036L13Rik|Hnrpll	heterogeneous nuclear ribonucleoprotein L-like	protein-coding	-1.066	-1.102
51983	chr8	69474230	69475230	+	52	NA	Intergenic	Intergenic	-79186	NR_038043	378466		NM_194351	ENSMUSG00000110444	Gm10033	9330175B10Rik|E230024E03Rik|Gm10311	predicted gene 10033	protein-coding	-0.160	-0.387
31763	chr19	10397723	10398723	+	52	NA	intron (NM_001373944, intron 1 of 11)	intron (NM_001373944, intron 1 of 11)	9133	NM_173067	54525		NM_018801	ENSMUSG00000024743	Syt7	B230112P13Rik	synaptotagmin VII	protein-coding	-1.385	-1.525
46807	chr10	69858467	69859467	+	52	NA	intron (NM_170688, intron 8 of 42)	intron (NM_170688, intron 8 of 42)	-66565	NM_170687	11735		NM_009670	ENSMUSG00000069601	Ank3	2900054D09Rik|Ank-3|AnkG|Ankyrin-3|Ankyrin-G	ankyrin 3, epithelial	protein-coding	-1.113	-1.263
58121	chr4	151089358	151090358	+	52	NA	intron (NM_001308446, intron 1 of 3)	intron (NM_001308446, intron 1 of 3)	288	NM_001308446	105704528		NM_001308446	ENSMUSG00000078491	Gm13090	-	predicted gene 13090	protein-coding	-1.722	-1.921
47609	chr19	36534446	36535446	+	52	NA	Intergenic	Intergenic	-19693	NM_172637	226098		NM_172637	ENSMUSG00000041180	Hectd2	4921524L07|A630025O09Rik	HECT domain E3 ubiquitin protein ligase 2	protein-coding	-0.927	-0.930
25658-3	chr4	82541959	82542959	+	52	NA	intron (NR_137202, intron 1 of 1)	intron (NR_137202, intron 1 of 1)	34470	NR_137202	102635783		NR_137202	ENSMUSG00000087413	Gm11266	-	predicted gene 11266	ncRNA	-2.146	-2.110
23971	chr12	77019732	77020732	+	52	NA	Intergenic	Intergenic	-57984	NM_001361663	17187		NM_008558	ENSMUSG00000059436	Max	bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding	-2.342	-2.266
22947	chr14	24955902	24956902	+	52	NA	Intergenic	Intergenic	-152859	NR_153781	102634576		NR_153781		Gm32123	-	predicted gene, 32123	ncRNA	-2.069	-2.282
35545-2	chr3	86849348	86850348	+	52	NA	intron (NM_001195498, intron 2 of 17)	intron (NM_001195498, intron 2 of 17)	71036	NM_001357460	70762		NM_027539	ENSMUSG00000028078	Dclk2	6330415M09Rik|CL2|CLICK2|Click-II|Dcamkl2	doublecortin-like kinase 2	protein-coding	-0.881	-0.827
51040	chr1	165459797	165460797	+	52	NA	promoter-TSS (NM_027430)	promoter-TSS (NM_027430)	166	NM_028759	74106		NM_028759	ENSMUSG00000026571	Dcaf6	1200006M05Rik|Iqwd1|PC326	DDB1 and CUL4 associated factor 6	protein-coding	-0.386	-0.425
57608	chr12	89982657	89983657	+	52	NA	intron (NM_172544, intron 15 of 19)	intron (NM_172544, intron 15 of 19)	170674	NM_001252074	18191		NM_172544	ENSMUSG00000066392	Nrxn3	-	neurexin III	protein-coding	-1.708	-1.795
50194	chr17	27485220	27486220	+	52	NA	intron (NM_001379317, intron 1 of 9)	intron (NM_001379317, intron 1 of 9)	10814	NM_001360192	268934		NM_001013385	ENSMUSG00000063239	Grm4	Gprc1d|mGluR4	glutamate receptor, metabotropic 4	protein-coding	-3.654	-3.937
101458	chr9	66586280	66587280	+	52	NA	intron (NM_001302116, intron 1 of 13)	intron (NM_001302116, intron 1 of 13)	6335	NM_001302116	235441		NM_144937	ENSMUSG00000032376	Usp3	-	ubiquitin specific peptidase 3	protein-coding	-1.448	-1.493
77867	chr5	28248551	28249551	+	52	NA	Intergenic	Intergenic	-3263	NM_001310512	269637		NM_175651	ENSMUSG00000044681	Cnpy1	1500012D20Rik|9630008K15Rik	canopy FGF signaling regulator 1	protein-coding	-1.327	-1.392
50084	chr10	25023464	25024464	+	52	NA	Intergenic	Intergenic	-96494	NM_007482	11846		NM_007482	ENSMUSG00000019987	Arg1	AI|Arg-1|PGIF	arginase, liver	protein-coding	-0.526	-0.608
57783	chr10	11061487	11062487	+	52	NA	intron (NM_016976, intron 2 of 8)	UCON28a|Unknown|Unknown	20344	NM_016976	14816		NM_016976	ENSMUSG00000019828	Grm1	4930455H15Rik|Gm10828|Gprc1a|mGluR1|nmf373|rcw|wobl	glutamate receptor, metabotropic 1	protein-coding	-1.517	-1.632
20356-2	chr9	91956241	91957241	+	52	NA	Intergenic	Intergenic	-236352	NM_001195693	100504689		NM_001195693	ENSMUSG00000095654	Plscr5	331000	phospholipid scramblase family, member 5	protein-coding	-2.658	-2.544
103194	chr8	125996049	125997049	+	52	NA	intron (NM_008430, intron 1 of 2)	intron (NM_008430, intron 1 of 2)	1447	NM_008430	16525		NM_008430	ENSMUSG00000033998	Kcnk1	TWIK-1	potassium channel, subfamily K, member 1	protein-coding	-1.736	-1.988
97395	chr5	88584661	88585661	+	52	NA	intron (NM_001359208, intron 2 of 13)	intron (NM_001359208, intron 2 of 13)	1648	NM_027530	52822		NM_027530	ENSMUSG00000029291	Rufy3	2810428M05Rik|6330416M07Rik|D5Bwg0860e|Ripx|Rpipx	RUN and FYVE domain containing 3	protein-coding	-0.368	-0.368
177956	chr7	16402043	16403043	+	52	NA	intron (NM_198631, intron 1 of 13)	intron (NM_198631, intron 1 of 13)	1347	NM_198631	330474		NM_198631	ENSMUSG00000059273	Zc3h4	Bwq1|Gm768|Kiaa1064-hp	zinc finger CCCH-type containing 4	protein-coding	-0.929	-1.151
44759	chr1	37864316	37865316	+	52	NA	intron (NM_001290720, intron 1 of 17)	CpG	266	NM_207228	211484		NM_207228	ENSMUSG00000060771	Tsga10	4933432N21Rik|Gm217|Mtsga10	testis specific 10	protein-coding	-0.856	-0.819
34700	chr1	155210083	155211083	+	52	NA	Intergenic	Intergenic	33949	NM_001370865	207792		NM_001370865	ENSMUSG00000033722	BC034090	6820428L09|mKIAA1614	cDNA sequence BC034090	protein-coding	-1.609	-1.769
52216	chr1	75393094	75394094	+	52	NA	intron (NM_007463, intron 6 of 40)	intron (NM_007463, intron 6 of 40)	-6491	NM_001173477	11790		NM_007463	ENSMUSG00000026207	Speg	APEG-1|Apeg1|BPEG|D1Bwg1450e|SPEGalpha|SPEGbeta|mKIAA1297	SPEG complex locus	protein-coding	-1.437	-1.555
31682	chr17	84877332	84878332	+	52	NA	Intergenic	(TTTA)n|Simple_repeat|Simple_repeat	-78909	NM_001159497	19043		NM_011151	ENSMUSG00000061130	Ppm1b	PP2CB	protein phosphatase 1B, magnesium dependent, beta isoform	protein-coding	-1.268	-1.408
49416-2	chr14	34548733	34549733	+	52	NA	intron (NM_001039072, intron 10 of 14)	CpG	-26432	NM_030062	78243		NM_030062	ENSMUSG00000021797	9230112D13Rik	-	RIKEN cDNA 9230112D13 gene	protein-coding	-0.628	-0.804
