PeakID (cmd=annotatePeaks.pl tss mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
NM_009772	chr2	127831359	127832359	-	0	NA	promoter-TSS (NM_009772)	promoter-TSS (NM_009772)	0	NM_009772	12235		NM_009772	ENSMUSG00000027379	Bub1	Bub1a|D2Xrf87	BUB1, mitotic checkpoint serine/threonine kinase	protein-coding	-0.979	-0.732
NM_133731	chr17	23997600	23998600	-	0	NA	promoter-TSS (NM_133731)	promoter-TSS (NM_133731)	0	NM_133731	70835		NM_133731	ENSMUSG00000045027	Prss22	4733401N09Rik|BSSP-4|SP001LA	serine protease 22	protein-coding	-0.489	-0.555
NM_001160317	chr1	132741297	132742297	-	0	NA	promoter-TSS (NM_182716)	promoter-TSS (NM_182716)	0	NM_001160317	269116		NM_182716	ENSMUSG00000026442	Nfasc	D430023G06Rik|NF|mKIAA0756	neurofascin	protein-coding	-1.987	-2.256
NM_029018	chr16	44943178	44944178	+	0	NA	promoter-TSS (NM_001128133)	promoter-TSS (NM_001128133)	0	NM_029018	74603		NM_027578	ENSMUSG00000036172	Cd200r3	4733401I18Rik|4833409J19Rik|mCD200RLb	CD200 receptor 3	protein-coding	-0.825	-0.790
NM_007394	chr2	58566328	58567328	-	0	NA	promoter-TSS (NM_007394)	promoter-TSS (NM_007394)	0	NM_007394	11477		NM_007394	ENSMUSG00000026836	Acvr1	ALK2|ActR-I|ActRIA|Acvr|Acvr1a|Acvrlk2|Alk-2|Alk8|D330013D15Rik|SKR1|Tsk7L	activin A receptor, type 1	protein-coding	-1.524	-1.244
NM_027702	chr7	42447602	42448602	-	0	NA	promoter-TSS (NM_027702)	promoter-TSS (NM_027702)	0	NM_027702	71162		NM_027702	ENSMUSG00000030463	4933421I07Rik	-	RIKEN cDNA 4933421I07 gene	protein-coding	-0.138	0.049
NR_151495	chr2	32063664	32064664	-	0	NA	promoter-TSS (NR_151495)	promoter-TSS (NR_151495)	0	NR_151495	241303		NM_175511	ENSMUSG00000050592	Fam78a	A130092J06Rik	family with sequence similarity 78, member A	protein-coding	-1.538	-1.867
NM_001195128	chr5	138819580	138820580	+	0	NA	promoter-TSS (NM_001195128)	promoter-TSS (NM_001195128)	0	NM_001195128	384244		NM_001195128	ENSMUSG00000094504	Foxl3	EG384244|Gm5294	forkhead box L3	protein-coding	-0.845	-0.756
NR_166186	chr2	14512094	14513094	+	0	NA	promoter-TSS (NR_166180)	promoter-TSS (NR_166180)	0	NR_166186	102634777		NR_166179	ENSMUSG00000084901	Gm13266	-	predicted gene 13266	ncRNA	-0.488	-0.394
NM_001291012	chr2	127788391	127789391	-	0	NA	promoter-TSS (NM_001291013)	promoter-TSS (NM_001291013)	0	NM_001291012	53885		NM_016902	ENSMUSG00000027378	Nphp1	-	nephronophthisis 1 (juvenile) homolog (human)	protein-coding	-0.946	-0.742
NM_001037746	chr12	57229912	57230912	+	0	NA	promoter-TSS (NM_001037746)	promoter-TSS (NM_001037746)	0	NM_001037746	328099		NM_001037746	ENSMUSG00000079104	Prps1l3	AU021838|AW536152|Gm5081	phosphoribosyl pyrophosphate synthetase 1-like 3	protein-coding	0.161	0.195
NM_020330	chr12	81567974	81568974	-	0	NA	promoter-TSS (NM_020330)	promoter-TSS (NM_020330)	0	NM_020330	56622		NM_020330	ENSMUSG00000008438	Adam21	Adam31	a disintegrin and metallopeptidase domain 21	protein-coding	-1.470	-1.392
NM_022316	chr12	81026308	81027308	+	0	NA	promoter-TSS (NM_001146217)	promoter-TSS (NM_001146217)	0	NM_022316	64075		NM_022316	ENSMUSG00000021136	Smoc1	2600002F22Rik|SRG	SPARC related modular calcium binding 1	protein-coding	-1.539	-1.639
NR_168961	chr16	13468361	13469361	+	0	NA	promoter-TSS (NR_168993)	promoter-TSS (NR_168993)	0	NR_168961	102635495		NR_153791		Gm32817	Gm45563	predicted gene, 32817	ncRNA	-0.948	-0.882
NM_027704	chr13	73963351	73964351	+	0	NA	promoter-TSS (NR_153830)	promoter-TSS (NR_153830)	0	NM_027704	71164		NM_027704	ENSMUSG00000069189	Zdhhc11	4933421L13Rik|DHHC-11|Zdhhc20	zinc finger, DHHC domain containing 11	protein-coding	-0.410	-0.508
NM_007392	chr19	34254873	34255873	-	0	NA	promoter-TSS (NM_007392)	promoter-TSS (NM_007392)	0	NM_007392	11475		NM_007392	ENSMUSG00000035783	Acta2	0610041G09Rik|Actvs|SMAalpha|SMalphaA|a-SMA|alphaSMA	actin alpha 2, smooth muscle, aorta	protein-coding	-1.072	-1.013
NM_026623	chr8	94036539	94037539	-	0	NA	promoter-TSS (NM_001093757)	promoter-TSS (NM_001093757)	0	NM_026623	68219		NM_026623	ENSMUSG00000031754	Nudt21	25kDa|3110048P04Rik|5730530J16Rik|Cpsf5	nudix hydrolase 21	protein-coding	-0.988	-0.854
NM_001039195	chr3	80802193	80803193	-	0	NA	promoter-TSS (NM_001039195)	promoter-TSS (NM_001039195)	0	NM_001039195	14800		NM_013540	ENSMUSG00000033981	Gria2	GluA2|GluR-B|Glur-2|Glur2|gluR-K2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	protein-coding	-0.909	-0.755
NM_011261	chr5	22344205	22345205	-	0	NA	promoter-TSS (NM_011261)	promoter-TSS (NM_011261)	0	NM_011261	19699		NM_011261	ENSMUSG00000042453	Reln	reeler|rl	reelin	protein-coding	-2.188	-2.128
NM_028033	chr9	98864267	98865267	+	0	NA	promoter-TSS (NM_028033)	promoter-TSS (NM_028033)	0	NM_028033	71979		NM_028033	ENSMUSG00000090470	Prr23a3	2410012M07Rik	proline rich 23A, member 3	protein-coding	0.191	0.168
NM_010312	chr5	137532806	137533806	-	0	NA	promoter-TSS (NM_010312)	promoter-TSS (NM_010312)	0	NM_010312	14693		NM_010312	ENSMUSG00000029713	Gnb2	Gnb-2|Hg2c1	guanine nucleotide binding protein (G protein), beta 2	protein-coding	-1.403	-1.109
NM_001277220	chr3	141931088	141932088	-	0	NA	promoter-TSS (NM_001277218)	promoter-TSS (NM_001277218)	0	NM_001277220	12167		NM_007560	ENSMUSG00000052430	Bmpr1b	ALK-6|Acvrlk6|Alk6|BMPR-1B|BMPR-IB|CFK-43a|SKR6	bone morphogenetic protein receptor, type 1B	protein-coding	-0.952	-0.782
NM_001291054	chr2	132815641	132816641	+	0	NA	promoter-TSS (NM_001291054)	promoter-TSS (NM_001291054)	0	NM_001291054	66634		NM_025676	ENSMUSG00000027353	Mcm8	5730432L01Rik	minichromosome maintenance 8 homologous recombination repair factor	protein-coding	-0.990	-0.842
NM_001356419	chr1	157458068	157459068	+	0	NA	promoter-TSS (NM_001356419)	promoter-TSS (NM_001356419)	0	NM_001356419	226527		NM_001033284	ENSMUSG00000033488	Cryzl2	-	crystallin zeta like 2	protein-coding	-1.019	-1.130
NM_001356482	chr1	37889977	37890977	+	0	NA	promoter-TSS (NM_001356262)	promoter-TSS (NM_001356262)	0	NM_001356482	107734		NM_027098	ENSMUSG00000026087	Mrpl30	2310001L22Rik|L30mt|MRP-L28|MRP-L30|Rpml28	mitochondrial ribosomal protein L30	protein-coding	-1.018	-0.892
NM_198958	chr17	3695761	3696761	-	0	NA	promoter-TSS (NM_198958)	promoter-TSS (NM_198958)	0	NM_198958	224480		NM_198958	ENSMUSG00000023802	Nox3	GP91-3|het|nmf250	NADPH oxidase 3	protein-coding	-0.678	-0.713
NM_001282084	chr9	70012048	70013048	+	0	NA	promoter-TSS (NR_104093)	promoter-TSS (NR_104093)	0	NM_001282084	235459		NM_199151	ENSMUSG00000033543	Gtf2a2	TFIIA-gamma|TfIIg|Tfiia2	general transcription factor II A, 2	protein-coding	-0.074	-0.031
NM_025889	chr19	4125460	4126460	+	0	NA	promoter-TSS (NM_001078649)	promoter-TSS (NM_001078649)	0	NM_025889	66990		NM_025889	ENSMUSG00000024845	Tmem134	2410001H17Rik	transmembrane protein 134	protein-coding	-3.150	-3.116
NM_019737	chr18	20745904	20746904	-	0	NA	promoter-TSS (NM_019737)	promoter-TSS (NM_019737)	0	NM_019737	56386		NM_019737	ENSMUSG00000056124	B4galt6	-	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	protein-coding	-0.756	-0.528
NM_146846	chr2	86690473	86691473	-	0	NA	promoter-TSS (NM_146846)	promoter-TSS (NM_146846)	0	NM_146846	258843		NM_146846	ENSMUSG00000075174	Or8k3b	MOR188-5|Olfr1087	olfactory receptor family 8 subfamily K member 3B	protein-coding	-0.431	-0.458
NM_013538	chr6	124829676	124830676	+	0	NA	promoter-TSS (NM_013538)	promoter-TSS (NM_013538)	0	NM_013538	14793		NM_013538	ENSMUSG00000023505	Cdca3	2410005A12Rik|C8|Grcc8|Tome-1	cell division cycle associated 3	protein-coding	-1.559	-1.451
NM_001168253	chr15	76008998	76009998	-	0	NA	promoter-TSS (NM_001168253)	promoter-TSS (NM_001168253)	0	NM_001168253	105732		NM_134087	ENSMUSG00000046761	Fam83h	-	family with sequence similarity 83, member H	protein-coding	-1.449	-1.310
NM_001166371	chr6	83913853	83914853	+	0	NA	promoter-TSS (NM_008717)	promoter-TSS (NM_008717)	0	NM_001166371	18139		NM_008717	ENSMUSG00000030016	Zfp638	Np220|Zfml|Znf638|mNP220	zinc finger protein 638	protein-coding	-0.807	-1.083
NM_001286079	chr12	70111535	70112535	-	0	NA	promoter-TSS (NM_008697)	promoter-TSS (NM_008697)	0	NM_001286079	18080		NM_008697	ENSMUSG00000021068	Nin	3110068G20Rik|mKIAA1565	ninein	protein-coding	-1.100	-1.052
NM_001033325	chr9	36638102	36639102	-	0	NA	promoter-TSS (NM_001033325)	promoter-TSS (NM_001033325)	0	NM_001033325	235973		NM_001033325	ENSMUSG00000070313	Pate14	A630095E13Rik|Gm191|Sslp-1|Sslp1	prostate and testis expressed 14	protein-coding	0.156	0.271
NM_025675	chr2	114654464	114655464	-	0	NA	promoter-TSS (NM_001356439)	promoter-TSS (NM_001356439)	0	NM_025675	66632		NM_025675	ENSMUSG00000057147	Dph6	5730421E18Rik|Atpbd4	diphthamine biosynthesis 6	protein-coding	-0.066	0.050
NM_026798	chr19	10555738	10556738	-	0	NA	promoter-TSS (NM_026798)	promoter-TSS (NM_026798)	0	NM_026798	68642		NM_026798	ENSMUSG00000024667	Tmem216	1110017C22Rik|2810441K11Rik|4921533J23Rik|A930021F15Rik	transmembrane protein 216	protein-coding	-1.448	-1.440
NM_001360926	chr1	166129721	166130721	+	0	NA	promoter-TSS (NM_021610)	promoter-TSS (NM_021610)	0	NM_001360926	59290		NM_021610	ENSMUSG00000000544	Gpa33	2010310L10Rik|2210401D16Rik|mA33	glycoprotein A33 transmembrane	protein-coding	-0.916	-0.808
NM_001017427	chr4	73790102	73791102	-	0	NA	promoter-TSS (NR_046041)	promoter-TSS (NR_046041)	0	NM_001017427	242505		NM_001017427	ENSMUSG00000043003	Rasef	RAB45	RAS and EF hand domain containing	protein-coding	0.185	0.321
NM_010314	chr6	3993508	3994508	+	0	NA	promoter-TSS (NM_010314)	promoter-TSS (NM_010314)	0	NM_010314	14699		NM_010314	ENSMUSG00000029663	Gngt1	G(y)1|Gng1|Hg3g1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	protein-coding	-0.575	-0.364
NM_133849	chr2	180103907	180104907	-	0	NA	promoter-TSS (NM_133849)	promoter-TSS (NM_133849)	0	NM_133849	99296		NM_133849	ENSMUSG00000039059	Hrh3	Eae8|H3R|HH3R	histamine receptor H3	protein-coding	-0.942	-0.888
NM_207143	chr7	103219220	103220220	+	0	NA	promoter-TSS (NM_207143)	promoter-TSS (NM_207143)	0	NM_207143	258246		NM_207143	ENSMUSG00000073954	Or52e3	MOR32-10|Olfr594	olfactory receptor family 52 subfamily E member 3	protein-coding	0.027	0.206
NM_001364285	chr12	73997277	73998277	+	0	NA	promoter-TSS (NM_172804)	promoter-TSS (NM_172804)	0	NM_001364285	238266		NM_172804	ENSMUSG00000044912	Syt16	Strep14|Syt14l|syt14r	synaptotagmin XVI	protein-coding	-1.374	-1.364
NM_025876	chr2	154372219	154373219	-	0	NA	promoter-TSS (NM_025876)	promoter-TSS (NM_025876)	0	NM_025876	66971		NM_025876	ENSMUSG00000027487	Cdk5rap1	2310066P17Rik	CDK5 regulatory subunit associated protein 1	protein-coding	-0.783	-0.625
NM_009568	chr7	24316166	24317166	-	0	NA	promoter-TSS (NM_001199321)	promoter-TSS (NM_001199321)	0	NM_009568	22756		NM_009568	ENSMUSG00000074282	Zfp94	-	zinc finger protein 94	protein-coding	-0.196	-0.127
NM_019448	chr10	78049342	78050342	+	0	NA	promoter-TSS (NM_019448)	promoter-TSS (NM_019448)	0	NM_019448	54427		NM_019448	ENSMUSG00000000730	Dnmt3l	D6Ertd14e|ecat7	DNA methyltransferase 3-like	protein-coding	-0.686	-0.647
NM_008606	chr10	75932002	75933002	-	0	NA	promoter-TSS (NM_001306184)	promoter-TSS (NM_001306184)	0	NM_008606	17385		NM_008606	ENSMUSG00000000901	Mmp11	MMP-11|SL-3|ST3|Stmy3	matrix metallopeptidase 11	protein-coding	-1.291	-1.307
NM_029162	chr5	38219954	38220954	-	0	NA	promoter-TSS (NR_153116)	promoter-TSS (NR_153116)	0	NM_029162	75079		NM_029162	ENSMUSG00000029127	Zbtb49	4930518A03Rik|Zfp509|Znf509	zinc finger and BTB domain containing 49	protein-coding	-0.568	-0.551
NM_001356587	chr5	115465642	115466642	+	0	NA	promoter-TSS (NM_001356587)	promoter-TSS (NM_001356587)	0	NM_001356587	18778		NM_011107	ENSMUSG00000029522	Pla2g1b	Pla2a|sPLA2IB	phospholipase A2, group IB, pancreas	protein-coding	-1.530	-1.599
NM_001378925	chr13	69801870	69802870	+	0	NA	promoter-TSS (NM_001378925)	promoter-TSS (NM_001378925)	0	NM_001378925	28077		NM_138596	ENSMUSG00000021598	Med10	D13Wsu50e	mediator complex subunit 10	protein-coding	-0.543	-0.693
NR_125904	chr10	77605597	77606597	+	0	NA	promoter-TSS (NR_125904)	promoter-TSS (NR_125904)	0	NR_125904	20610		NM_019929	ENSMUSG00000020265	Sumo3	2810014B19Rik|D10Ertd345e|SMT3A|SUMO-3|Smt3h1	small ubiquitin-like modifier 3	protein-coding	-1.069	-0.919
NM_001358043	chr3	16182665	16183665	+	0	NA	promoter-TSS (NM_001145919)	promoter-TSS (NM_001145919)	0	NM_001358043	229096		NM_172677	ENSMUSG00000047213	Ythdf3	9130022A11Rik	YTH N6-methyladenosine RNA binding protein 3	protein-coding	0.480	0.785
NR_130167	chr4	131009974	131010974	-	0	NA	promoter-TSS (NR_130167)	promoter-TSS (NR_130167)	0	NR_130167	77835		NR_130167	ENSMUSG00000086262	A930031H19Rik	A930004I12Rik	RIKEN cDNA A930031H19 gene	ncRNA	-1.746	-1.849
NM_029164	chr3	143030114	143031114	+	0	NA	promoter-TSS (NM_029164)	promoter-TSS (NM_029164)	0	NM_029164	102636203		NM_029164	ENSMUSG00000105652	4930519L02Rik	-	RIKEN cDNA 4930519L02 gene	protein-coding	-0.182	-0.143
NM_153400	chr5	110342535	110343535	-	0	NA	promoter-TSS (NM_001310700)	promoter-TSS (NM_001310700)	0	NM_153400	231602		NM_153400	ENSMUSG00000029503	P2rx2	P2X2a|P2x2	purinergic receptor P2X, ligand-gated ion channel, 2	protein-coding	-0.500	-0.569
NM_001362285	chr18	25753657	25754657	-	0	NA	promoter-TSS (NM_001362288)	promoter-TSS (NM_001362288)	0	NM_001362285	108013		NM_133195	ENSMUSG00000024268	Celf4	A230070D14Rik|BRUNOL-4|Brul4|Brunol4|C130060B05Rik	CUGBP, Elav-like family member 4	protein-coding	-1.662	-1.474
NM_001037762	chr2	30093135	30094135	-	0	NA	promoter-TSS (NM_025428)	promoter-TSS (NM_025428)	0	NM_001037762	66220		NM_025428	ENSMUSG00000015335	Zdhhc12	1190004A01Rik	zinc finger, DHHC domain containing 12	protein-coding	-2.373	-2.426
NM_146645	chr2	87989613	87990613	+	0	NA	promoter-TSS (NM_146645)	promoter-TSS (NM_146645)	0	NM_146645	258639		NM_146645	ENSMUSG00000062793	Or9m2	MOR173-3|Olfr1158	olfactory receptor family 9 subfamily M member 2	protein-coding	-0.625	-0.537
NM_001122893	chr10	39369299	39370299	+	0	NA	promoter-TSS (NR_168582)	promoter-TSS (NR_168582)	0	NM_001122893	14360		NM_008054	ENSMUSG00000019843	Fyn	-	Fyn proto-oncogene	protein-coding	-1.305	-1.279
NR_037271	chr2	28732778	28733778	+	0	NA	promoter-TSS (NR_037271)	promoter-TSS (NR_037271)	0	NR_037271	100526498		NR_037271	ENSMUSG00000092832	Mir3088	mir-3088|mmu-mir-3088	microRNA 3088	ncRNA	-1.232	-1.482
NM_010208	chr4	132973595	132974595	+	0	NA	promoter-TSS (NM_010208)	promoter-TSS (NM_010208)	0	NM_010208	14191		NM_010208	ENSMUSG00000028874	Fgr	Ali18|Mhdaali18	FGR proto-oncogene, Src family tyrosine kinase	protein-coding	-1.922	-1.844
NM_001164118	chr13	33935583	33936583	-	0	NA	promoter-TSS (NM_001164118)	promoter-TSS (NM_001164118)	0	NM_001164118	20719		NM_009254	ENSMUSG00000060147	Serpinb6a	4930482L21Rik|D330015H01Rik|PI-6|Serpinb6|Spi3|ovalbumin	serine (or cysteine) peptidase inhibitor, clade B, member 6a	protein-coding	0.039	0.186
NM_001109970-HOMER11	chrX	28954202	28955202	-	0	NA	promoter-TSS (NM_001102678).3	promoter-TSS (NM_001102678).3	0	NM_001109970	100039550		NM_001109970	ENSMUSG00000073247	Gm10486	-	predicted gene 10486	protein-coding		
NM_198702	chr5	81021093	81022093	+	0	NA	promoter-TSS (NM_198702)	promoter-TSS (NM_198702)	0	NM_198702	319387		NM_198702	ENSMUSG00000037605	Adgrl3	5430402I23Rik|CIRL-3|D130075K09Rik|Gm1379|LEC3|Lphn3|mKIAA0768	adhesion G protein-coupled receptor L3	protein-coding	-1.258	-1.416
NM_175938	chr13	23488357	23489357	-	0	NA	promoter-TSS (NM_001289615)	promoter-TSS (NM_001289615)	0	NM_175938	238555		NM_175938	ENSMUSG00000053216	Btn2a2	Btn2|D030063K05	butyrophilin, subfamily 2, member A2	protein-coding	-0.261	-0.269
NM_001372576	chr2	163202627	163203627	+	0	NA	promoter-TSS (NM_001372576)	promoter-TSS (NM_001372576)	0	NM_001372576	269389		NM_001098799	ENSMUSG00000074607	Tox2	Gcx1|RxHMG1	TOX high mobility group box family member 2	protein-coding	-0.246	-0.667
NR_169143	chr6	35256491	35257491	+	0	NA	promoter-TSS (NR_169143)	promoter-TSS (NR_169143)	0	NR_169143	67705		NM_001384235	ENSMUSG00000073155	Stmp1	1810058I24Rik|Mm47	short transmembrane mitochondrial protein 1	protein-coding	-0.391	-0.850
NM_001361502	chr17	35175552	35176552	-	0	NA	promoter-TSS (NM_019467)	promoter-TSS (NM_019467)	0	NM_001361502	11629		NM_019467	ENSMUSG00000024397	Aif1	AIF-1|D17H6S50E|G1|Iba1	allograft inflammatory factor 1	protein-coding	-1.578	-1.621
NM_001370631	chr2	150748580	150749580	+	0	NA	promoter-TSS (NM_172117)	promoter-TSS (NM_172117)	0	NM_001370631	12497		NM_172117	ENSMUSG00000033068	Entpd6	2700026H11Rik|Cd39l2|NTPDase-6	ectonucleoside triphosphate diphosphohydrolase 6	protein-coding	-0.361	-0.292
NM_001256480-HOMER2	chr2	176486249	176487249	-	0	NA	promoter-TSS (NM_001256480).2	promoter-TSS (NM_001256480).2	0	NM_001256480	100043915		NM_001256480	ENSMUSG00000078897	Gm4724	-	predicted gene 4724	protein-coding		
NR_039593	chr14	45657553	45658553	-	0	NA	promoter-TSS (NM_001039106)	promoter-TSS (NM_001039106)	0	NR_039593	100628600		NR_039593	ENSMUSG00000093167	Mir5131	mmu-mir-5131|mu-mir-5131	microRNA 5131	ncRNA	-0.203	-0.237
NM_001011758	chr2	85799768	85800768	-	0	NA	promoter-TSS (NM_001011758)	promoter-TSS (NM_001011758)	0	NM_001011758	257915		NM_001011758	ENSMUSG00000075209	Or9g20	MOR213-9|Olfr1016	olfactory receptor family 9 subfamily G member 20	protein-coding	-0.203	-0.205
NM_001172114	chr17	24527438	24528438	-	0	NA	promoter-TSS (NM_001172114)	promoter-TSS (NM_001172114)	0	NM_001172114	224619		NM_153792	ENSMUSG00000052752	Traf7	RFWD1	TNF receptor-associated factor 7	protein-coding	-2.325	-2.372
NM_001301402	chrX	164268931	164269931	+	0	NA	promoter-TSS (NM_027153)	promoter-TSS (NM_027153)	0	NM_001301402	69656		NM_027153	ENSMUSG00000031379	Pir	2310042L19Rik|Pirnl	pirin	protein-coding	-0.663	-0.616
NM_001356983	chr5	33657477	33658477	-	0	NA	promoter-TSS (NM_001040435)	promoter-TSS (NM_001040435)	0	NM_001356983	68366		NM_026698	ENSMUSG00000019295	Tmem129	0610039G24Rik|2410015J15Rik	transmembrane protein 129	protein-coding	-1.287	-1.365
NM_001376966	chr8	129263113	129264113	+	0	NA	promoter-TSS (NM_001376968)	promoter-TSS (NM_001376968)	0	NM_001376966	102635552		NM_001346808	ENSMUSG00000110605	Gm32856	-	predicted gene, 32856	protein-coding	0.569	0.605
NM_007478	chr15	98762618	98763618	-	0	NA	promoter-TSS (NM_007478)	promoter-TSS (NM_007478)	0	NM_007478	11842		NM_007478	ENSMUSG00000051853	Arf3	5430400P17Rik	ADP-ribosylation factor 3	protein-coding	-1.375	-1.313
NM_001357306	chr8	39005345	39006345	+	0	NA	promoter-TSS (NM_030254)	promoter-TSS (NM_030254)	0	NM_001357306	80286		NM_030254	ENSMUSG00000118664	Tusc3	N33	tumor suppressor candidate 3	protein-coding	-0.445	-0.542
NM_001357499	chr18	61554773	61555773	+	0	NA	promoter-TSS (NM_146087)	promoter-TSS (NM_146087)	0	NM_001357499	93687		NM_146087	ENSMUSG00000024576	Csnk1a1	2610208K14Rik|4632404G05Rik|5430427P18Rik|CK1a|Csnk1a	casein kinase 1, alpha 1	protein-coding	-1.461	-1.302
NM_008018	chr19	47463911	47464911	-	0	NA	promoter-TSS (NM_001164717)	promoter-TSS (NM_001164717)	0	NM_008018	14218		NM_008018	ENSMUSG00000053617	Sh3pxd2a	2310014D11Rik|C230050L11|EG329070|Fish|Gm5098|Sh3md1|TSK5|Tks5	SH3 and PX domains 2A	protein-coding	-0.771	-0.727
NM_001271472	chr15	83724539	83725539	-	0	NA	promoter-TSS (NM_001271473)	promoter-TSS (NM_001271473)	0	NM_001271472	64706		NM_022723	ENSMUSG00000016763	Scube1	7330410C13Rik|A630023E24Rik	signal peptide, CUB domain, EGF-like 1	protein-coding	-0.873	-1.169
NM_001025083	chrX	38110407	38111407	-	0	NA	promoter-TSS (NM_001025083)	promoter-TSS (NM_001025083)	0	NM_001025083	382282		NM_001025083	ENSMUSG00000071766	Rhox12	Gm1148	reproductive homeobox 12	protein-coding	-0.306	-0.194
NM_001111141	chr8	124897394	124898394	+	0	NA	promoter-TSS (NM_198103)	promoter-TSS (NM_198103)	0	NM_001111141	244666		NM_001111141	ENSMUSG00000031986	Sprtn	Gm505	SprT-like N-terminal domain	protein-coding	-2.234	-2.174
NM_028772	chr13	93673936	93674936	+	0	NA	promoter-TSS (NM_022884)	promoter-TSS (NM_022884)	0	NM_028772	74129		NM_028772	ENSMUSG00000042102	Dmgdh	1200014D15Rik	dimethylglycine dehydrogenase precursor	protein-coding	-1.281	-1.334
NM_029408	chr5	120588523	120589523	+	0	NA	promoter-TSS (NM_145853)	promoter-TSS (NM_145853)	0	NM_029408	75732		NM_029408	ENSMUSG00000029601	Iqcd	4933433C09Rik	IQ motif containing D	protein-coding	-1.132	-1.164
NR_152167	chr18	77795890	77796890	-	0	NA	promoter-TSS (NR_152167)	promoter-TSS (NR_152167)	0	NR_152167	619308		NM_001033812	ENSMUSG00000073529	F830208F22Rik	-	RIKEN cDNA F830208F22 gene	ncRNA	-1.193	-1.259
NM_001077404	chr1	62702817	62703817	+	0	NA	promoter-TSS (NM_001077407)	promoter-TSS (NM_001077407)	0	NM_001077404	18187		NM_010939	ENSMUSG00000025969	Nrp2	1110048P06Rik|Np-2|Np2|Npn-2|Npn2	neuropilin 2	protein-coding	-0.921	-1.279
NM_138652	chr14	56364568	56365568	+	0	NA	promoter-TSS (NM_138652)	promoter-TSS (NM_138652)	0	NM_138652	192113		NM_138652	ENSMUSG00000022229	Atp12a	Atp1al1|HKalpha2|cHKA	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	protein-coding	-1.068	-1.073
NM_001242364	chr7	105399554	105400554	-	0	NA	promoter-TSS (NM_199009)	promoter-TSS (NM_199009)	0	NM_001242364	74349		NM_199009	ENSMUSG00000044465	Fhip1b	4632419K20Rik|6530415H11Rik|FHIP|Fam160a2	FHF complex subunit HOOK interacting protein 1B	protein-coding	0.077	0.205
NM_001291156	chr11	75467550	75468550	+	0	NA	promoter-TSS (NM_027249)	promoter-TSS (NM_027249)	0	NM_001291156	380712		NM_027249	ENSMUSG00000038217	Tlcd2	-	TLC domain containing 2	protein-coding	-1.448	-1.329
NM_001357428	chr1	166253639	166254639	+	0	NA	promoter-TSS (NM_001357432)	promoter-TSS (NM_001357432)	0	NM_001357428	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	-0.632	-0.629
NM_001103366	chr10	130496879	130497879	-	0	NA	promoter-TSS (NM_001103366)	promoter-TSS (NM_001103366)	0	NM_001103366	625131		NM_001103366	ENSMUSG00000091511	Vmn2r87	EG625131	vomeronasal 2, receptor 87	protein-coding	0.497	0.599
NM_138654	chr13	17694265	17695265	-	0	NA	promoter-TSS (NM_138654)	promoter-TSS (NM_138654)	0	NM_138654	192136		NM_138654	ENSMUSG00000055137	Sugct	5033411D12Rik	succinyl-CoA glutarate-CoA transferase	protein-coding	0.340	0.324
NM_001373925-HOMER9	chrY	30362506	30363506	-	0	NA	promoter-TSS (NM_001373925).9	promoter-TSS (NM_001373925).9	0	NM_001373925	115489294		NM_001373925		Gm29317	-	predicted gene 29317	protein-coding		
NM_001045539	chrX	73117202	73118202	-	0	NA	promoter-TSS (NM_001045539)	promoter-TSS (NM_001045539)	0	NM_001045539	574438		NM_001045539	ENSMUSG00000058328	Xlr5a	Xlr5d	X-linked lymphocyte-regulated 5A	protein-coding		
NM_172730	chr6	91877553	91878553	+	0	NA	promoter-TSS (NM_172730)	promoter-TSS (NM_172730)	0	NM_172730	232236		NM_172730	ENSMUSG00000034083	Ccdc174	C130022K22Rik	coiled-coil domain containing 174	protein-coding	-0.555	-0.657
NM_001160345	chr7	52005518	52006518	-	0	NA	promoter-TSS (NR_027704)	promoter-TSS (NR_027704)	0	NM_001160345	75744		NM_001160345	ENSMUSG00000074093	Svip	1700006C13Rik|6620401M08Rik	small VCP/p97-interacting protein	protein-coding	0.106	0.121
