Region_ID	Chr	Start	End	Gene_Name	Annotation	Difference	pvalue	adj_pvalue	Region_size	direction	direction_label	plot_label
chr15-57975000	chr15	57975000	58000000	Fam83a	intron (NM_173862, intron 1 of 3)	-0.0906666666666668	0.103041263242469	0.170149246433466	25000	A_to_B_in_Mutant	More Inactive (A->B)	Fam83a
chr14-108400000	chr14	108400000	108425000	Slitrk1	Intergenic	-0.0153333333333331	0.440424122937287	0.537684848548244	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slitrk1
chr4-11225000	chr4	11225000	11250000	Ints8	intron (NM_178112, intron 8 of 27)	-0.116	0.00532374640672579	0.0185848609455337	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ints8
chr6-83600000	chr6	83600000	83625000	Stambp	Intergenic	-0.0266666666666669	0.196980871548622	0.283877057072245	25000	A_to_B_in_Mutant	More Inactive (A->B)	Stambp
chr8-103775000	chr8	103775000	103800000	4933400L20Rik	Intergenic	0.168	0.000151529397065395	0.00208286308793581	25000	B_to_A_in_Mutant	More Active (B->A)	4933400L20Rik
chr18-64975000	chr18	64975000	65000000	Nedd4l	intron (NM_001114386, intron 1 of 30)	-0.104333333333334	0.0476580595507329	0.0937183806427157	25000	A_to_B_in_Mutant	More Inactive (A->B)	Nedd4l
chr12-119375000	chr12	119375000	119400000	Macc1	Intergenic	-0.0506666666666666	0.140343392438871	0.216853232384424	25000	A_to_B_in_Mutant	More Inactive (A->B)	Macc1
chr3-142825000	chr3	142825000	142850000	Pkn2	intron (NM_178654, intron 3 of 21)	-0.314333333333334	0.000313776107167323	0.00305906133089186	25000	A_to_B_in_Mutant	More Inactive (A->B)	Pkn2
chr6-134800000	chr6	134800000	134825000	1700055D16Rik	intron (NR_151455, intron 1 of 1)	-0.0463333333333335	0.0329972970585853	0.0708257093364544	25000	A_to_B_in_Mutant	More Inactive (A->B)	1700055D16Rik
chr4-69875000	chr4	69875000	69900000	Cdk5rap2	Intergenic	0.0246666666666669	0.299962622466647	0.396776492434255	25000	B_to_A_in_Mutant	More Active (B->A)	Cdk5rap2
chr3-40225000	chr3	40225000	40250000	1700017G19Rik	Intergenic	0.559	0.000161450104033007	0.00215416511986515	25000	B_to_A_in_Mutant	More Active (B->A)	1700017G19Rik
chr12-77000000	chr12	77000000	77025000	Max	Intergenic	-0.0620000000000003	0.0217230874699541	0.0517292434906634	25000	A_to_B_in_Mutant	More Inactive (A->B)	Max
chr6-59700000	chr6	59700000	59725000	Gprin3	Intergenic	-0.00299999999999976	0.911987985501913	0.935947218112216	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gprin3
chr3-56050000	chr3	56050000	56075000	Nbea	intron (NM_030595, intron 8 of 57)	-0.104	0.00927064184248748	0.0276348754355567	25000	A_to_B_in_Mutant	More Inactive (A->B)	Nbea
chr3-50150000	chr3	50150000	50175000	Slc7a11	Intergenic	0.111333333333333	0.0352850971168736	0.0745172239347064	25000	B_to_A_in_Mutant	More Active (B->A)	Slc7a11
chr16-67225000	chr16	67225000	67250000	Cadm2	intron (NM_178721, intron 1 of 9)	-0.176333333333333	0.000158425982567639	0.00213581516062554	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cadm2
chr2-87375000	chr2	87375000	87400000	Or10ag57	promoter-TSS (NM_147031)	-0.0526666666666667	0.0327316920709475	0.0703734839532076	25000	A_to_B_in_Mutant	More Inactive (A->B)	Or10ag57
chrX-126275000	chrX	126275000	126300000	Dmtf1l	Intergenic	0.976000000000001	0.0375502172016135	0.07807656400149	25000	B_to_A_in_Mutant	More Active (B->A)	Dmtf1l
chr12-69175000	chr12	69175000	69200000	Mgat2	TTS (NM_146035)	-0.259666666666667	8.24276471359862e-06	0.000668057657150558	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mgat2
chr6-16300000	chr6	16300000	16325000	Gm36406	Intergenic	-0.064	0.113220750173719	0.183137228949231	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm36406
chr5-20575000	chr5	20575000	20600000	Phtf2	intron (NM_001170746, intron 16 of 22)	-0.103666666666667	0.00860179637352011	0.0261695557683337	25000	A_to_B_in_Mutant	More Inactive (A->B)	Phtf2
chr1-194875000	chr1	194875000	194900000	Cd34	Intergenic	-0.0840000000000002	0.0548608248534794	0.104424629160839	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cd34
chr2-140175000	chr2	140175000	140200000	Ndufaf5	intron (NM_027093, intron 5 of 10)	0.011	0.779718563588238	0.833779247456714	25000	B_to_A_in_Mutant	More Active (B->A)	Ndufaf5
chr8-73575000	chr8	73575000	73600000	Large1	Intergenic	0.00166666666666683	0.956257388639112	0.968477169613644	25000	B_to_A_in_Mutant	More Active (B->A)	Large1
chr7-136050000	chr7	136050000	136075000	Gm51502	intron (NR_169162, intron 1 of 1)	0.0713333333333331	0.023058974819195	0.0540983063890688	25000	B_to_A_in_Mutant	More Active (B->A)	Gm51502
chrX-8375000	chrX	8375000	8400000	Ssxb9	Intergenic	1.82666666666667	0.0180877759880896	0.0451468473348119	25000	B_to_A_in_Mutant	More Active (B->A)	Ssxb9
chr8-119125000	chr8	119125000	119150000	Hsbp1	intron (NM_019707, intron 7 of 13)	0.0476666666666665	0.0658737400043698	0.120166218983968	25000	B_to_A_in_Mutant	More Active (B->A)	Hsbp1
chr16-7400000	chr16	7400000	7425000	Rbfox1	TTS (NM_183188)	-0.0396666666666668	0.376858507700523	0.475115994011778	25000	A_to_B_in_Mutant	More Inactive (A->B)	Rbfox1
chr10-100400000	chr10	100400000	100425000	Alyreffm9	Intergenic	-0.138333333333333	0.00262204468521511	0.0113634229114527	25000	A_to_B_in_Mutant	More Inactive (A->B)	Alyreffm9
chr3-32175000	chr3	32175000	32200000	4930429B21Rik	intron (NM_028231, intron 5 of 5)	-0.151	0.00491895200842818	0.0175667725924564	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930429B21Rik
chr7-91525000	chr7	91525000	91550000	Dlg2	intron (NM_011807, intron 2 of 22)	-0.0160000000000001	0.693727712928487	0.763717554153902	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dlg2
chr2-108950000	chr2	108950000	108975000	Gm13923	Intergenic	-0.0113333333333331	0.67233417320723	0.745852958929141	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm13923
chr3-24750000	chr3	24750000	24775000	Naaladl2	intron (NM_001326288, intron 1 of 13)	-0.039	0.406168189655963	0.50408023869475	25000	A_to_B_in_Mutant	More Inactive (A->B)	Naaladl2
chr13-109450000	chr13	109450000	109475000	Mir582	intron (NM_011056, intron 3 of 16)	-0.155666666666667	0.0137496678904483	0.0368649681280499	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir582
chr10-73425000	chr10	73425000	73450000	A330049N07Rik	Intergenic	-0.0446666666666665	0.0353467794936635	0.0746015270517924	25000	A_to_B_in_Mutant	More Inactive (A->B)	A330049N07Rik
chr9-104425000	chr9	104425000	104450000	Mir2136	Intergenic	0.205333333333334	0.000293416125728885	0.00294608442805206	25000	B_to_A_in_Mutant	More Active (B->A)	Mir2136
chr10-43550000	chr10	43550000	43575000	Cd24a	Intergenic	0.0633333333333333	0.0831270773909661	0.143781734471529	25000	B_to_A_in_Mutant	More Active (B->A)	Cd24a
chr2-116075000	chr2	116075000	116100000	2810405F15Rik	Intergenic	-0.153333333333333	0.00106550945686984	0.00631750808235293	25000	A_to_B_in_Mutant	More Inactive (A->B)	2810405F15Rik
chr12-58800000	chr12	58800000	58825000	Sec23a	Intergenic	-0.0509999999999998	0.0367807715545908	0.0769028432290216	25000	A_to_B_in_Mutant	More Inactive (A->B)	Sec23a
chr6-129375000	chr6	129375000	129400000	Clec12b	Intergenic	-0.0546666666666664	0.0295188508506996	0.0650949844918249	25000	A_to_B_in_Mutant	More Inactive (A->B)	Clec12b
chr6-59975000	chr6	59975000	60000000	Gm5570	Intergenic	-0.0193333333333333	0.401379194961036	0.499502697867267	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm5570
chr12-79750000	chr12	79750000	79775000	9430078K24Rik	intron (NM_009014, intron 8 of 10)	0.214	0.000206122801111313	0.00244367388459866	25000	B_to_A_in_Mutant	More Active (B->A)	9430078K24Rik
chr6-47225000	chr6	47225000	47250000	Cntnap2	intron (NM_001004357, intron 21 of 23)	-0.308666666666667	1.89882157868934e-05	0.000871452093458923	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cntnap2
chr2-10250000	chr2	10250000	10275000	Sfmbt2	Intergenic	0.157666666666667	0.00195432221007345	0.00935344533602129	25000	B_to_A_in_Mutant	More Active (B->A)	Sfmbt2
chr12-90325000	chr12	90325000	90350000	Dio2	Intergenic	-0.125	0.00115033261057396	0.00663022453086968	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dio2
chr4-116725000	chr4	116725000	116750000	Tesk2	intron (NM_146151, intron 1 of 10)	-0.229	4.67565750812688e-05	0.00124103251907172	25000	A_to_B_in_Mutant	More Inactive (A->B)	Tesk2
chr12-72450000	chr12	72450000	72475000	Lrrc9	intron (NM_030070, intron 10 of 24)	-0.107	0.0101741643173746	0.0295813834800538	25000	A_to_B_in_Mutant	More Inactive (A->B)	Lrrc9
chr9-35025000	chr9	35025000	35050000	4930581F22Rik	Intergenic	0.00233333333333336	0.917911911103103	0.940346921846178	25000	B_to_A_in_Mutant	More Active (B->A)	4930581F22Rik
chr6-36925000	chr6	36925000	36950000	Ptn	intron (NM_001081206, intron 22 of 33)	0.416	3.52444605804886e-06	0.000557945851859066	25000	B_to_A_in_Mutant	More Active (B->A)	Ptn
chr13-18950000	chr13	18950000	18975000	Amph	intron (NM_001289546, intron 1 of 20)	-0.128333333333333	0.00124454403286401	0.00697207952386888	25000	A_to_B_in_Mutant	More Inactive (A->B)	Amph
chr2-58225000	chr2	58225000	58250000	Gm13544	Intergenic	-0.014	0.776495435036214	0.831198014740424	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm13544
chr1-115475000	chr1	115475000	115500000	Cntnap5a	Intergenic	0.0910000000000001	0.00855263288170212	0.0260696912529998	25000	B_to_A_in_Mutant	More Active (B->A)	Cntnap5a
chr15-35200000	chr15	35200000	35225000	Stk3	Intergenic	-0.151666666666667	0.00231519641835855	0.0104593225788329	25000	A_to_B_in_Mutant	More Inactive (A->B)	Stk3
chr12-42525000	chr12	42525000	42550000	Gm33340	Intergenic	-0.0986666666666666	0.00363090771727368	0.0142196509741233	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm33340
chr2-154850000	chr2	154850000	154875000	Eif2s2	intron (NM_023130, intron 5 of 8)	-0.0240000000000003	0.563644583176706	0.651387543565983	25000	A_to_B_in_Mutant	More Inactive (A->B)	Eif2s2
chr3-34875000	chr3	34875000	34900000	Mir6378	Intergenic	0.531333333333333	1.91506353868705e-05	0.000874904604467672	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6378
chr1-13125000	chr1	13125000	13150000	Prdm14	Intergenic	-0.161333333333333	0.0504687013434647	0.0979680321365493	25000	A_to_B_in_Mutant	More Inactive (A->B)	Prdm14
chr5-151400000	chr5	151400000	151425000	Gm3704	intron (NR_045700, intron 3 of 3)	0.026	0.274328000441677	0.369560132972688	25000	B_to_A_in_Mutant	More Active (B->A)	Gm3704
chr18-26475000	chr18	26475000	26500000	Celf4	Intergenic	0.186666666666667	0.0028973601274592	0.012149079059817	25000	B_to_A_in_Mutant	More Active (B->A)	Celf4
chr17-44075000	chr17	44075000	44100000	Enpp5	TTS (NM_001329621)	0.0453333333333332	0.0434780503850857	0.0873305561661871	25000	B_to_A_in_Mutant	More Active (B->A)	Enpp5
chr4-23050000	chr4	23050000	23075000	1700025O08Rik	Intergenic	-0.0249999999999999	0.421401722928373	0.51920916034665	25000	A_to_B_in_Mutant	More Inactive (A->B)	1700025O08Rik
chr1-171350000	chr1	171350000	171375000	Klhdc9	Intergenic	-0.273666666666667	9.97515835052169e-05	0.00170645020476859	25000	A_to_B_in_Mutant	More Inactive (A->B)	Klhdc9
chr12-20250000	chr12	20250000	20275000	1700030C10Rik	Intergenic	-0.0619999999999999	0.104167221366951	0.171582643320759	25000	A_to_B_in_Mutant	More Inactive (A->B)	1700030C10Rik
chr2-13500000	chr2	13500000	13525000	Cubn	intron (NM_010067, intron 10 of 10)	-0.108666666666666	0.00761580463658758	0.0239872840622838	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cubn
chr18-24150000	chr18	24150000	24175000	Ino80c	Intergenic	-0.0866666666666667	0.0927720869014771	0.156745873161687	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ino80c
chr12-100300000	chr12	100300000	100325000	Gm10432	intron (NM_001033213, intron 19 of 19)	-0.0776666666666671	0.00644868123855482	0.0212829504401561	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm10432
chr11-58475000	chr11	58475000	58500000	Or2av9	Intergenic	0.0763333333333334	0.025871312893855	0.0590001475800384	25000	B_to_A_in_Mutant	More Active (B->A)	Or2av9
chr14-38300000	chr14	38300000	38325000	Nrg3os	Intergenic	0.023	0.458209414273222	0.554752656105137	25000	B_to_A_in_Mutant	More Active (B->A)	Nrg3os
chr5-139825000	chr5	139825000	139850000	Psmg3	Intergenic	0.0146666666666664	0.540081044555114	0.630299710277144	25000	B_to_A_in_Mutant	More Active (B->A)	Psmg3
chr3-18125000	chr3	18125000	18150000	Bhlhe22	intron (NM_007825, intron 1 of 5)	0.136	0.0648196323167077	0.118686201110889	25000	B_to_A_in_Mutant	More Active (B->A)	Bhlhe22
chr15-85100000	chr15	85100000	85125000	Smc1b	intron (NM_080470, intron 10 of 24)	0.0329999999999998	0.354096982353726	0.452712016919259	25000	B_to_A_in_Mutant	More Active (B->A)	Smc1b
chr17-10450000	chr17	10450000	10475000	A230009B12Rik	intron (NR_077237, intron 1 of 1)	0.0803333333333332	0.0273470054690077	0.0614612524116033	25000	B_to_A_in_Mutant	More Active (B->A)	A230009B12Rik
chr4-123400000	chr4	123400000	123425000	Macf1	promoter-TSS (NM_001167918)	-0.106333333333334	0.00177429326644506	0.0087721216985388	25000	A_to_B_in_Mutant	More Inactive (A->B)	Macf1
chr14-82150000	chr14	82150000	82175000	Gm32455	Intergenic	-0.029	0.412266026541395	0.510162125326283	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm32455
chr17-57225000	chr17	57225000	57250000	C3	intron (NM_030084, intron 9 of 16)	-0.181666666666667	0.000816960960502741	0.00535912897927622	25000	A_to_B_in_Mutant	More Inactive (A->B)	C3
chr3-111050000	chr3	111050000	111075000	Prmt6	Intergenic	0.00566666666666678	0.841347747863339	0.882284557409151	25000	B_to_A_in_Mutant	More Active (B->A)	Prmt6
chr16-43475000	chr16	43475000	43500000	Gm15713	intron (NM_019778, intron 3 of 8)	-0.0790000000000002	0.0148904174364233	0.0391357727700148	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm15713
chr1-156800000	chr1	156800000	156825000	Angptl1	intron (NM_001357391, intron 18 of 19)	-0.0563333333333333	0.0748195973689653	0.132519699335758	25000	A_to_B_in_Mutant	More Inactive (A->B)	Angptl1
chr2-115100000	chr2	115100000	115125000	4930528P14Rik	Intergenic	-0.128666666666666	0.00518241014453739	0.0182363229969841	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930528P14Rik
chr3-158500000	chr3	158500000	158525000	Lrrc7	intron (NM_001291452, intron 1 of 26)	0.228333333333333	0.00433525261739197	0.0160574737604956	25000	B_to_A_in_Mutant	More Active (B->A)	Lrrc7
chr12-115500000	chr12	115500000	115525000	Mir6388	Intergenic	-0.0563333333333333	0.132428787054058	0.2072121500447	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir6388
chr11-62925000	chr11	62925000	62950000	Cdrt4	Intergenic	0.0970000000000002	0.00332680684213974	0.0133762272503607	25000	B_to_A_in_Mutant	More Active (B->A)	Cdrt4
chr10-16900000	chr10	16900000	16925000	Gm20125	Intergenic	-0.158333333333333	0.00163137705030203	0.00831003626805486	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm20125
chr8-91400000	chr8	91400000	91425000	Fto	intron (NM_011936, intron 3 of 8)	-0.021666666666667	0.520080140479726	0.61211315661406	25000	A_to_B_in_Mutant	More Inactive (A->B)	Fto
chr1-90375000	chr1	90375000	90400000	Ackr3	Intergenic	0.0496666666666664	0.0906577597738696	0.153871659159132	25000	B_to_A_in_Mutant	More Active (B->A)	Ackr3
chr4-96875000	chr4	96875000	96900000	Gm12695	Intergenic	0.0263333333333334	0.532084989417456	0.622986747543664	25000	B_to_A_in_Mutant	More Active (B->A)	Gm12695
chr10-119475000	chr10	119475000	119500000	Grip1	intron (NM_133442, intron 1 of 21)	0.465	3.01593837925223e-05	0.00104040958463538	25000	B_to_A_in_Mutant	More Active (B->A)	Grip1
chr14-32250000	chr14	32250000	32275000	Ogdhl	intron (NM_001374221, intron 12 of 17)	-0.0946666666666667	0.00372212359948173	0.0144589105380229	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ogdhl
chr2-98600000	chr2	98600000	98625000	Lrrc4c	Intergenic	0.0560000000000002	0.23014602230825	0.32161469144495	25000	B_to_A_in_Mutant	More Active (B->A)	Lrrc4c
chr14-96950000	chr14	96950000	96975000	Klhl1	Intergenic	-0.0579999999999999	0.111285695911738	0.180723064810176	25000	A_to_B_in_Mutant	More Inactive (A->B)	Klhl1
chr18-90575000	chr18	90575000	90600000	Gm45871	intron (NM_001362365, intron 1 of 3)	-0.187333333333333	0.00246485683410442	0.0109050851326826	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm45871
chr6-146775000	chr6	146775000	146800000	Bmal2	Intergenic	-0.265	0.00469982961776958	0.0170112652565864	25000	A_to_B_in_Mutant	More Inactive (A->B)	Bmal2
chr9-40300000	chr9	40300000	40325000	Gramd1b	intron (NR_151734, intron 7 of 18)	-0.322666666666667	0.000602081087947466	0.00445834644238641	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gramd1b
chr3-5450000	chr3	5450000	5475000	4930555M17Rik	Intergenic	-0.0869999999999999	0.0235573572956359	0.054968248181409	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930555M17Rik
chr18-42375000	chr18	42375000	42400000	Pou4f3	Intergenic	0.0973333333333334	0.0927775218986617	0.156752451428013	25000	B_to_A_in_Mutant	More Active (B->A)	Pou4f3
chr12-29950000	chr12	29950000	29975000	Pxdn	intron (NM_181395, intron 1 of 22)	0.00299999999999979	0.930134955098634	0.94923272597731	25000	B_to_A_in_Mutant	More Active (B->A)	Pxdn
chr2-48150000	chr2	48150000	48175000	Gm13481	intron (NR_166463, intron 3 of 5)	0.0520000000000001	0.202265670858808	0.290066743891221	25000	B_to_A_in_Mutant	More Active (B->A)	Gm13481
chr8-31150000	chr8	31150000	31175000	Mak16	non-coding (NR_103719, exon 8 of 8)	-0.226333333333333	0.00273312545485279	0.01167231058557	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mak16
chr3-61225000	chr3	61225000	61250000	Rap2b	Intergenic	-0.0516666666666665	0.129093796455048	0.203131651739889	25000	A_to_B_in_Mutant	More Inactive (A->B)	Rap2b
chr10-65450000	chr10	65450000	65475000	Gm28881	Intergenic	0.330333333333333	2.0121348435674e-05	0.000887869666986604	25000	B_to_A_in_Mutant	More Active (B->A)	Gm28881
chr19-60050000	chr19	60050000	60075000	E330013P04Rik	Intergenic	-0.164	0.0193425478838453	0.0474334411918709	25000	A_to_B_in_Mutant	More Inactive (A->B)	E330013P04Rik
chr9-25325000	chr9	25325000	25350000	Septin7	Intergenic	0.140666666666667	0.00602804722995648	0.0202989438206311	25000	B_to_A_in_Mutant	More Active (B->A)	Septin7
chr1-67800000	chr1	67800000	67825000	Cps1	Intergenic	0.00833333333333351	0.852742655455296	0.89106672444499	25000	B_to_A_in_Mutant	More Active (B->A)	Cps1
chr2-164975000	chr2	164975000	165000000	Slc12a5	intron (NM_001355481, intron 13 of 24)	-0.0660000000000006	0.142844679908554	0.219879477918548	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slc12a5
chr4-33350000	chr4	33350000	33375000	Rngtt	intron (NM_001305273, intron 9 of 15)	-0.0596666666666668	0.178799342076424	0.262769653124716	25000	A_to_B_in_Mutant	More Inactive (A->B)	Rngtt
chr3-121450000	chr3	121450000	121475000	Cnn3	intron (NM_145394, intron 13 of 14)	0.0306666666666666	0.569839042577607	0.656896349599371	25000	B_to_A_in_Mutant	More Active (B->A)	Cnn3
chr14-108375000	chr14	108375000	108400000	Slitrk1	Intergenic	-0.0589999999999998	0.0826785541645021	0.143152944109509	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slitrk1
chr12-92125000	chr12	92125000	92150000	Sel1l	Intergenic	-0.122	0.00169754862820981	0.00853086560793154	25000	A_to_B_in_Mutant	More Inactive (A->B)	Sel1l
chr1-150550000	chr1	150550000	150575000	Prg4	TTS (NM_001024720)	-0.00599999999999977	0.881363043872218	0.913190541604877	25000	A_to_B_in_Mutant	More Inactive (A->B)	Prg4
chr5-21700000	chr5	21700000	21725000	Napepld	Intergenic	-0.0393333333333334	0.280666732357161	0.376311438298389	25000	A_to_B_in_Mutant	More Inactive (A->B)	Napepld
chr2-44075000	chr2	44075000	44100000	Arhgap15os	intron (NM_001364029, intron 7 of 12)	0.194666666666667	0.00391996406110093	0.0149984055384176	25000	B_to_A_in_Mutant	More Active (B->A)	Arhgap15os
chr14-104175000	chr14	104175000	104200000	4930432J09Rik	Intergenic	0.0513333333333334	0.229818361486496	0.321296389113509	25000	B_to_A_in_Mutant	More Active (B->A)	4930432J09Rik
chr12-119400000	chr12	119400000	119425000	Macc1	Intergenic	-0.0489999999999999	0.0994477464846373	0.165551957263087	25000	A_to_B_in_Mutant	More Inactive (A->B)	Macc1
chr13-3775000	chr13	3775000	3800000	Calml3	Intergenic	0.0216666666666666	0.315123969914686	0.412777164899326	25000	B_to_A_in_Mutant	More Active (B->A)	Calml3
chr3-19875000	chr3	19875000	19900000	4632415L05Rik	Intergenic	-0.181333333333333	0.00165822515238822	0.00839551930236595	25000	A_to_B_in_Mutant	More Inactive (A->B)	4632415L05Rik
chr12-57025000	chr12	57025000	57050000	Slc25a21	intron (NM_172577, intron 1 of 9)	-0.0649999999999997	0.0315165282641157	0.0683853392297144	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slc25a21
chr17-55575000	chr17	55575000	55600000	Vmn2r118	Intergenic	-0.0169999999999998	0.466679766267266	0.562629564434757	25000	A_to_B_in_Mutant	More Inactive (A->B)	Vmn2r118
chr12-86925000	chr12	86925000	86950000	Cipc	Intergenic	-0.0780000000000002	0.0250920128630545	0.0576561190420272	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cipc
chr13-19100000	chr13	19100000	19125000	Amph	intron (NM_001289546, intron 11 of 20)	-0.211	0.000169665603800802	0.00220928124687934	25000	A_to_B_in_Mutant	More Inactive (A->B)	Amph
chr10-115575000	chr10	115575000	115600000	Lgr5	5' UTR (NM_010195, exon 1 of 18)	0.0273333333333332	0.475187976057183	0.570567056007459	25000	B_to_A_in_Mutant	More Active (B->A)	Lgr5
chr18-16075000	chr18	16075000	16100000	Chst9	Intergenic	-0.0946666666666664	0.0112820412057352	0.0318950465972711	25000	A_to_B_in_Mutant	More Inactive (A->B)	Chst9
chr1-102775000	chr1	102775000	102800000	Gm20268	Intergenic	0.0190000000000002	0.418811779375153	0.516556371965881	25000	B_to_A_in_Mutant	More Active (B->A)	Gm20268
chr1-125075000	chr1	125075000	125100000	Actr3	Intergenic	0.0300000000000002	0.405889361389512	0.503807983588227	25000	B_to_A_in_Mutant	More Active (B->A)	Actr3
chr12-28100000	chr12	28100000	28125000	Dcdc2c	Intergenic	0.381333333333333	0.000775117170549062	0.00520038363487139	25000	B_to_A_in_Mutant	More Active (B->A)	Dcdc2c
chr5-128550000	chr5	128550000	128575000	Fzd10os	Intergenic	0.201	0.00165581377322354	0.00838661923273873	25000	B_to_A_in_Mutant	More Active (B->A)	Fzd10os
chr2-9975000	chr2	9975000	10000000	Taf3	intron (NM_027748, intron 2 of 6)	-0.148333333333333	0.000959614652499048	0.00592923718324805	25000	A_to_B_in_Mutant	More Inactive (A->B)	Taf3
chr10-100375000	chr10	100375000	100400000	Alyreffm9	Intergenic	-0.126666666666667	0.000837572311820844	0.00544670139823344	25000	A_to_B_in_Mutant	More Inactive (A->B)	Alyreffm9
chr1-84550000	chr1	84550000	84575000	Mir5126	intron (NM_152915, intron 4 of 12)	0.0943333333333334	0.137201127667135	0.2130121790871	25000	B_to_A_in_Mutant	More Active (B->A)	Mir5126
chr11-84750000	chr11	84750000	84775000	1700109G15Rik	Intergenic	0.0583333333333332	0.16425640526469	0.245653811724122	25000	B_to_A_in_Mutant	More Active (B->A)	1700109G15Rik
chr14-80350000	chr14	80350000	80375000	Olfm4	Intergenic	-0.0546666666666665	0.112372446227628	0.182104002138909	25000	A_to_B_in_Mutant	More Inactive (A->B)	Olfm4
chr12-44275000	chr12	44275000	44300000	Pnpla8	intron (NM_026164, intron 3 of 9)	-0.269666666666667	4.82302644008641e-05	0.00125621060587538	25000	A_to_B_in_Mutant	More Inactive (A->B)	Pnpla8
chr10-53400000	chr10	53400000	53425000	Gm36229	intron (NR_152767, intron 1 of 2)	0.125	0.0135850061043456	0.0365395519300165	25000	B_to_A_in_Mutant	More Active (B->A)	Gm36229
chr5-21975000	chr5	21975000	22000000	Slc26a5	intron (NM_001310464, intron 29 of 63)	-0.11	0.0294997304488233	0.0650598748743798	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slc26a5
chr18-40175000	chr18	40175000	40200000	Yipf5	Intergenic	-0.0203333333333334	0.512322737786577	0.605013692569193	25000	A_to_B_in_Mutant	More Inactive (A->B)	Yipf5
chr7-62950000	chr7	62950000	62975000	Chrna7	Intergenic	0.0560000000000003	0.0861605528946296	0.147864062047967	25000	B_to_A_in_Mutant	More Active (B->A)	Chrna7
chr4-113000000	chr4	113000000	113025000	Skint10	intron (NM_001103199, intron 22 of 48)	-0.0146666666666666	0.603600274897455	0.686875983175979	25000	A_to_B_in_Mutant	More Inactive (A->B)	Skint10
chr13-3900000	chr13	3900000	3925000	Net1	intron (NM_019671, intron 2 of 11)	-0.0829999999999999	0.177537347618332	0.261292627807534	25000	A_to_B_in_Mutant	More Inactive (A->B)	Net1
chr17-20050000	chr17	20050000	20075000	Vmn2r104	Intergenic	-0.0109999999999999	0.685310363745022	0.756681821930536	25000	A_to_B_in_Mutant	More Inactive (A->B)	Vmn2r104
chrX-158575000	chrX	158575000	158600000	Cnksr2	Intergenic	-0.719333333333334	0.183986666487468	0.268811876878481	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cnksr2
chr3-72475000	chr3	72475000	72500000	Sis	Intergenic	-0.0253333333333332	0.431722592212512	0.529359814618976	25000	A_to_B_in_Mutant	More Inactive (A->B)	Sis
chr9-15850000	chr9	15850000	15875000	Mtnr1b	TTS (NM_145712)	-0.0676666666666665	0.0281062576243974	0.0627033655911544	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mtnr1b
chr8-105125000	chr8	105125000	105150000	Ces4a	intron (NM_146213, intron 1 of 13)	0.131333333333333	0.00919388536083478	0.0274671241929464	25000	B_to_A_in_Mutant	More Active (B->A)	Ces4a
chr7-42550000	chr7	42550000	42575000	Zfp977	Intergenic	0.00733333333333357	0.701577068351377	0.77012687290967	25000	B_to_A_in_Mutant	More Active (B->A)	Zfp977
chr12-78825000	chr12	78825000	78850000	Atp6v1d	exon (NM_019579, exon 15 of 15)	-0.243333333333334	2.93151078772017e-05	0.0010300198442935	25000	A_to_B_in_Mutant	More Inactive (A->B)	Atp6v1d
