seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr12	103172095	103172495	401	*	3.627416802	3.921270622	3.257988828	0.385460982	0.06623765	0.281575149	"Intron (ENSMUST00000101099.11/217843, intron 46 of 48)"	12	103196908	103202884	5977	2	170952	ENSMUST00000123655.7	30389	ENSMUSG00000041669	Prima1	proline rich membrane anchor 1
chr4	101157959	101158359	401	*	4.149104099	4.403516599	3.840013013	0.369249808	0.066247544	0.281586441	"Intron (ENSMUST00000102781.9/16451, intron 19 of 24)"	4	101154249	101155119	871	2	16451	ENSMUST00000151235.1	-2840	ENSMUSG00000028530	Jak1	Janus kinase 1
chr6	83762177	83762577	401	*	3.016782434	3.394449929	2.503775619	0.389562429	0.066278272	0.281686276	Promoter	6	83761756	83762508	753	2	67934	ENSMUST00000189129.5	0	ENSMUSG00000099354	1700124L16Rik	RIKEN cDNA 1700124L16 gene
chr8	84461703	84462103	401	*	5.459924546	5.671168614	5.212354506	0.341677582	0.066313625	0.281780374	"Intron (ENSMUST00000238701.1/12286, intron 4 of 48)"	8	84415784	84640246	224463	1	12286	ENSMUST00000215756.1	45919	ENSMUSG00000034656	Cacna1a	"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
chr12	86880974	86881374	401	*	3.383043449	3.677462309	3.012720179	0.386951529	0.066314898	0.281780374	3' UTR	12	86880701	86884798	4098	2	238330	ENSMUST00000038422.7	3424	ENSMUSG00000034168	Irf2bpl	interferon regulatory factor 2 binding protein-like
chr6	140640812	140641212	401	*	4.25953409	4.509582546	3.956868349	0.369065053	0.066325151	0.281793162	"Intron (ENSMUST00000032359.14/11569, intron 3 of 7)"	6	140643163	140652030	8868	1	11569	ENSMUST00000162100.6	-1951	ENSMUSG00000030232	Aebp2	AE binding protein 2
chr12	108695203	108695603	401	*	3.023325059	2.464789993	3.424965058	-0.385010869	0.06634208	0.281834313	"Exon (ENSMUST00000221885.1/ENSMUST00000221885.1, exon 1 of 3)"	12	108678711	108692183	13473	2	70059	ENSMUST00000222255.1	-3020	ENSMUSG00000021263	Degs2	"delta 4-desaturase, sphingolipid 2"
chr7	61968498	61968898	401	*	3.17082601	3.504158352	2.736578786	0.390548122	0.066360626	0.281882319	"Intron (ENSMUST00000208822.1/320026, intron 3 of 5)"	7	61943901	61982303	38403	2	320026	ENSMUST00000207694.1	13405	ENSMUSG00000109321	A330076H08Rik	RIKEN cDNA A330076H08 gene
chr2	180772947	180773347	401	*	3.69758407	3.989240534	3.331629175	0.387945874	0.066370445	0.281893251	"Intron (ENSMUST00000154524.1/ENSMUST00000154524.1, intron 1 of 2)"	2	180774381	180776900	2520	2	140489	ENSMUST00000108878.1	3553	ENSMUSG00000045493	Bhlhe23	"basic helix-loop-helix family, member e23"
chr2	129429397	129429797	401	*	2.550747312	1.898586826	2.998245389	-0.36628848	0.066385045	0.281924481	Distal Intergenic	2	129369729	129371139	1411	2	16176	ENSMUST00000155994.1	-58258	ENSMUSG00000027398	Il1b	interleukin 1 beta
chr8	76908935	76909335	401	*	3.972968609	4.241211076	3.643193	0.379140736	0.066393867	0.28193117	Promoter	8	76908272	77242530	334259	1	110784	ENSMUST00000034031.5	663	ENSMUSG00000031618	Nr3c2	"nuclear receptor subfamily 3, group C, member 2"
chr10	84424428	84424828	401	*	3.758472132	4.070357815	3.360018189	0.386720021	0.06641658	0.281996839	"Intron (ENSMUST00000020220.14/77976, intron 1 of 6)"	10	84370905	84440597	69693	2	77976	ENSMUST00000020220.14	15769	ENSMUSG00000020032	Nuak1	"NUAK family, SNF1-like kinase, 1"
chr2	159283502	159283902	401	*	3.855015586	3.464590826	4.16197193	-0.384561675	0.06642663	0.282008732	Distal Intergenic	2	158850629	158857368	6740	1	71715	ENSMUST00000143195.1	432873	ENSMUSG00000027655	Dhx35	DEAH-box helicase 35
chr16	85055771	85056171	401	*	4.176952289	4.414021976	3.893115577	0.362328497	0.066459899	0.282089144	"Intron (ENSMUST00000227723.1/11820, intron 6 of 17)"	16	85014305	85027625	13321	2	11820	ENSMUST00000228509.1	-28146	ENSMUSG00000022892	App	amyloid beta precursor protein
chr2	136716587	136716987	401	*	4.777894495	5.011087841	4.499601644	0.361990239	0.066463262	0.282089144	"Intron (ENSMUST00000028727.10/20614, intron 1 of 7)"	2	136713478	136781351	67874	1	20614	ENSMUST00000110098.3	3109	ENSMUSG00000027273	Snap25	synaptosomal-associated protein 25
chr1	66591510	66591910	401	*	3.790440921	4.108097905	3.382493961	0.388589147	0.066471457	0.282089144	"Intron (ENSMUST00000061620.16/329178, intron 24 of 64)"	1	66679699	66696663	16965	1	329178	ENSMUST00000152844.1	-87789	ENSMUSG00000055567	Unc80	"unc-80, NALCN activator"
chr16	10870742	10871142	401	*	2.491136277	1.889652604	2.914363953	-0.376139013	0.066474573	0.282089144	"Exon (ENSMUST00000233200.1/545180, exon 37 of 46)"	16	10835068	10892966	57899	1	223970	ENSMUST00000181721.1	35674	ENSMUSG00000037991	Rmi2	RecQ mediated genome instability 2
chr10	13838628	13839028	401	*	2.878982124	3.240678336	2.395126925	0.389287965	0.066500318	0.282167617	"Intron (ENSMUST00000162610.7/66253, intron 1 of 5)"	10	13653588	13844286	190699	2	66253	ENSMUST00000162174.7	5258	ENSMUSG00000019806	Aig1	androgen-induced 1
chr3	87716571	87716971	401	*	3.296301288	3.667679576	2.794882885	0.389542866	0.066515719	0.282202185	"Intron (ENSMUST00000039476.14/213498, intron 18 of 39)"	3	87738980	87741048	2069	2	74485	ENSMUST00000174581.1	24077	ENSMUSG00000023084	Lrrc71	leucine rich repeat containing 71
chr4	118156612	118157012	401	*	3.712833185	3.993132006	3.364614802	0.38052217	0.06653316	0.282245402	"Intron (ENSMUST00000106406.8/230674, intron 11 of 21)"	4	118149051	118161657	12607	2	230674	ENSMUST00000164821.1	4645	ENSMUSG00000033326	Kdm4a	lysine (K)-specific demethylase 4A
chr4	134659716	134660116	401	*	4.02353997	4.283985029	3.705487202	0.374953119	0.066573912	0.282373769	"Intron (ENSMUST00000038628.3/230815, intron 2 of 12)"	4	134567889	134703767	135879	2	230815	ENSMUST00000176606.1	43651	ENSMUSG00000037306	Man1c1	"mannosidase, alpha, class 1C, member 1"
chr12	70888108	70888508	401	*	3.350959712	3.679614573	2.924640765	0.389923338	0.066579108	0.282373769	"Intron (ENSMUST00000057859.8/319710, intron 9 of 13)"	12	70894823	70897916	3094	1	319710	ENSMUST00000222045.1	-6315	ENSMUSG00000048285	Frmd6	FERM domain containing 6
chr5	110377172	110377572	401	*	4.717467595	4.93668174	4.458871046	0.345794534	0.066585194	0.282373769	3' UTR	5	110362900	110386962	24063	2	381668	ENSMUST00000198834.1	9390	ENSMUSG00000043323	Fbrsl1	fibrosin-like 1
chr2	120984623	120985023	401	*	4.202243692	4.488803571	3.844292075	0.383789744	0.06661083	0.2824517	Promoter	2	120984370	120986959	2590	1	96957	ENSMUST00000147347.1	253	ENSMUSG00000054484	Tmem62	transmembrane protein 62
chr2	30392081	30392481	401	*	4.514661157	4.745225698	4.240107452	0.350108461	0.066623321	0.28247184	Promoter	2	30392254	30400529	8276	1	57170	ENSMUST00000028209.14	0	ENSMUSG00000026856	Dolpp1	dolichyl pyrophosphate phosphatase 1
chr3	41613652	41614052	401	*	4.512577038	4.736412893	4.247519395	0.355771742	0.066630101	0.28247184	3' UTR	3	41602430	41604807	2378	1	269424	ENSMUST00000192300.1	11222	ENSMUSG00000025764	Jade1	jade family PHD finger 1
chr9	66088123	66088523	401	*	3.794177139	4.054101588	3.476901446	0.372739309	0.066665776	0.282579066	3' UTR	9	66089124	66091347	2224	2	56440	ENSMUST00000132841.1	2824	ENSMUSG00000032382	Snx1	sorting nexin 1
chr5	123137784	123138184	401	*	3.7303427	3.374997931	4.01523248	-0.382424403	0.066686017	0.282579066	"Exon (ENSMUST00000159072.1/ENSMUST00000159072.1, exon 1 of 3)"	5	123142193	123149981	7789	1	208043	ENSMUST00000100731.8	-4009	ENSMUSG00000038384	Setd1b	SET domain containing 1B
chr18	80129438	80129838	401	*	4.215519187	4.461358545	3.919005397	0.365060655	0.066687126	0.282579066	"Exon (ENSMUST00000066743.10/240442, exon 4 of 4)"	18	80126311	80151482	25172	2	240442	ENSMUST00000066743.10	21644	ENSMUSG00000053950	Adnp2	ADNP homeobox 2
chr2	19431209	19431609	401	*	4.02549084	4.31475011	3.663309364	0.385280244	0.066688502	0.282579066	"Intron (ENSMUST00000137714.1/ENSMUST00000137714.1, intron 1 of 1)"	2	19445663	19447501	1839	1	19213	ENSMUST00000028068.2	-14054	ENSMUSG00000026735	Ptf1a	"pancreas specific transcription factor, 1a"
chr9	97697108	97697508	401	*	3.085055471	2.625371829	3.433122768	-0.39003943	0.06669171	0.282579066	"Intron (ENSMUST00000035027.12/64085, intron 2 of 17)"	9	98003420	98005769	2350	1	66737	ENSMUST00000162370.7	-305912	ENSMUSG00000090255	4921534H16Rik	RIKEN cDNA 4921534H16 gene
chr9	121438622	121439022	401	*	3.506389726	3.84761137	3.05861162	0.390071881	0.066716514	0.282622989	"Intron (ENSMUST00000211301.1/67095, intron 4 of 17)"	9	121454296	121472315	18020	1	67095	ENSMUST00000209446.1	-15274	ENSMUSG00000032536	Trak1	"trafficking protein, kinesin binding 1"
chr9	62795055	62795455	401	*	4.135193569	4.399488964	3.811371922	0.375904548	0.066718978	0.282622989	3' UTR	9	62791821	62811934	20114	2	14155	ENSMUST00000034775.9	16479	ENSMUSG00000032244	Fem1b	fem 1 homolog b
chr1	110053243	110053643	401	*	3.738731494	3.355865983	4.041006298	-0.384219826	0.06672387	0.282622989	"Intron (ENSMUST00000112701.7/241201, intron 5 of 12)"	1	110099295	110138058	38764	1	241201	ENSMUST00000134301.1	-45652	ENSMUSG00000026312	Cdh7	"cadherin 7, type 2"
chr9	41790681	41791081	401	*	3.249323413	2.758289217	3.614999305	-0.389723513	0.066739651	0.282630207	Distal Intergenic	9	41969739	41974587	4849	2	20660	ENSMUST00000134560.1	183506	ENSMUSG00000049313	Sorl1	"sortilin-related receptor, LDLR class A repeats-containing"
chr4	87781924	87782324	401	*	3.490853456	3.78330589	3.123642048	0.384402534	0.066745249	0.282630207	5' UTR	4	87773953	87806294	32342	2	70122	ENSMUST00000148059.1	23970	ENSMUSG00000028496	Mllt3	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3"
chr4	120982542	120982942	401	*	3.975155861	4.239532316	3.651212348	0.379540057	0.066747368	0.282630207	"Intron (ENSMUST00000043200.7/69780, intron 3 of 9)"	4	120971890	120975708	3819	2	69780	ENSMUST00000151615.1	-6834	ENSMUSG00000032870	Smap2	small ArfGAP 2
chr13	67623369	67623769	401	*	4.729834512	4.978351368	4.42941245	0.369065465	0.066779656	0.282736153	"Exon (ENSMUST00000012314.9/212281, exon 3 of 4)"	13	67621658	67627289	5632	2	212281	ENSMUST00000225608.1	3520	ENSMUSG00000021510	Zfp729a	zinc finger protein 729a
chrX	135841910	135842310	401	*	3.872527131	4.125595318	3.565420454	0.371788158	0.06681205	0.282751008	"Exon (ENSMUST00000173804.7/245607, exon 7 of 7)"	20	135840563	135841751	1189	1	245607	ENSMUST00000138251.1	1347	ENSMUSG00000072966	Gprasp2	G protein-coupled receptor associated sorting protein 2
chr14	31077266	31077666	401	*	3.276339424	3.611483827	2.839002081	0.389925987	0.066812619	0.282751008	"Exon (ENSMUST00000171235.2/ENSMUST00000171235.2, exon 1 of 1)"	14	31084204	31088040	3837	1	66923	ENSMUST00000156407.1	-6538	ENSMUSG00000042323	Pbrm1	polybromo 1
chr19	57123559	57123959	401	*	4.298928673	4.56442156	3.973304983	0.375169568	0.066813447	0.282751008	"Intron (ENSMUST00000079360.11/226251, intron 6 of 25)"	19	57116022	57119024	3003	2	226251	ENSMUST00000150425.1	-4535	ENSMUSG00000025085	Ablim1	actin-binding LIM protein 1
chr11	118262625	118263025	401	*	3.828722285	4.098914317	3.495990725	0.378803009	0.066823651	0.282751008	Promoter	11	118260854	118263284	2431	2	72344	ENSMUST00000148998.1	259	ENSMUSG00000033909	Usp36	ubiquitin specific peptidase 36
chr11	121327132	121327532	401	*	3.493696343	3.812949273	3.083106458	0.389078172	0.066826616	0.282751008	3' UTR	11	121328232	121341188	12957	2	66840	ENSMUST00000137230.1	13656	ENSMUSG00000025173	Wdr45b	WD repeat domain 45B
chr11	61575139	61575539	401	*	3.696436934	4.011930043	3.292061035	0.387671915	0.066826771	0.282751008	"Intron (ENSMUST00000108711.7/13855, intron 1 of 9)"	11	61546506	61579658	33153	2	13855	ENSMUST00000147501.7	4119	ENSMUSG00000001036	Epn2	epsin 2
chr2	160717424	160717824	401	*	4.03125715	4.322365232	3.666166886	0.385154862	0.06687845	0.282892643	Promoter	2	160717469	160721384	3916	1	21969	ENSMUST00000150039.1	0	ENSMUSG00000070544	Top1	topoisomerase (DNA) I
chr17	32008322	32008722	401	*	3.660968689	3.269465904	3.96858944	-0.386301294	0.066880544	0.282892643	"Intron (ENSMUST00000002145.11/74377, intron 5 of 7)"	17	31946082	32020128	74047	2	74377	ENSMUST00000237527.1	11406	ENSMUSG00000002076	Hsf2bp	heat shock transcription factor 2 binding protein
chr9	72728070	72728470	401	*	4.262514161	4.493608957	3.987207563	0.355223142	0.06688206	0.282892643	3' UTR	9	72739472	72748158	8687	1	17999	ENSMUST00000184020.7	-11002	ENSMUSG00000032216	Nedd4	"neural precursor cell expressed, developmentally down-regulated 4"
chr5	67031827	67032227	401	*	4.307253132	4.558588725	4.002697284	0.371249297	0.066895884	0.282898075	"Intron (ENSMUST00000101164.10/77569, intron 21 of 25)"	5	67043849	67054646	10798	1	77569	ENSMUST00000135334.2	-11622	ENSMUSG00000037736	Limch1	LIM and calponin homology domains 1
chr1	172203600	172204000	401	*	4.2805078	4.517530899	3.996737931	0.359460179	0.066900656	0.282898075	"Intron (ENSMUST00000013842.11/18611, intron 1 of 3)"	1	172199161	172206697	7537	2	18611	ENSMUST00000155109.1	2697	ENSMUSG00000013698	Pea15a	proliferation and apoptosis adaptor protein 15A
chr9	83784088	83784488	401	*	3.554649775	3.876361666	3.139972543	0.389069378	0.066905158	0.282898075	"Intron (ENSMUST00000034796.13/83603, intron 4 of 5)"	9	83778692	83806252	27561	2	83603	ENSMUST00000034796.13	21764	ENSMUSG00000032262	Elovl4	ELOVL fatty acid elongase 4
chr5	125036163	125036563	401	*	3.396048729	2.986085387	3.714923741	-0.386599155	0.066967032	0.283128928	"Intron (ENSMUST00000125053.7/20602, intron 7 of 26)"	5	125017153	125042812	25660	2	20602	ENSMUST00000125053.7	6249	ENSMUSG00000029478	Ncor2	nuclear receptor co-repressor 2
chr11	118854852	118855252	401	*	3.812488405	4.084861928	3.476437292	0.377824232	0.066984032	0.283170027	"Intron (ENSMUST00000117731.7/52897, intron 1 of 13)"	11	118811278	118888689	77412	2	52897	ENSMUST00000128863.1	33437	ENSMUSG00000025576	Rbfox3	"RNA binding protein, fox-1 homolog (C. elegans) 3"
chr19	7214631	7215031	401	*	5.061485388	5.302273415	4.772296594	0.365461508	0.06700775	0.2832333	Distal Intergenic	19	7215195	7217543	2349	2	12868	ENSMUST00000237087.1	2512	ENSMUSG00000035885	Cox8a	cytochrome c oxidase subunit 8A
chr15	84786145	84786545	401	*	3.713237769	3.986698688	3.375527241	0.379849323	0.067013559	0.2832333	3' UTR	15	84787371	84791494	4124	2	271305	ENSMUST00000159502.1	4949	ENSMUSG00000016624	Phf21b	PHD finger protein 21B
chr1	134736331	134736731	401	*	3.428923997	3.737790573	3.035396299	0.385381284	0.067037506	0.283303733	"Intron (ENSMUST00000187725.6/20980, intron 1 of 2)"	1	134709300	134753149	43850	1	20980	ENSMUST00000121990.1	27031	ENSMUSG00000026452	Syt2	synaptotagmin II
chr9	89883361	89883761	401	*	4.277607086	4.511125794	3.9988503	0.360897338	0.067060394	0.283369676	Distal Intergenic	9	89909908	89915847	5940	1	19417	ENSMUST00000189545.1	-26147	ENSMUSG00000032356	Rasgrf1	RAS protein-specific guanine nucleotide-releasing factor 1
chr3	94863812	94864212	401	*	4.324323989	4.570288859	4.027627393	0.364888531	0.067073659	0.283379157	Promoter	3	94863728	94864550	823	1	229584	ENSMUST00000132544.1	84	ENSMUSG00000038902	Pogz	pogo transposable element with ZNF domain
chr18	37747450	37747850	401	*	3.909937142	4.170730715	3.591363784	0.374974386	0.067077205	0.283379157	Promoter	18	37746993	37841873	94881	1	93722	ENSMUST00000193404.1	457	ENSMUSG00000102222	Pcdhga10	"protocadherin gamma subfamily A, 10"
chr12	3873811	3874211	401	*	4.327670448	4.569396162	4.037126646	0.369011484	0.067091057	0.283406904	"Intron (ENSMUST00000020991.14/13435, intron 6 of 22)"	12	3866191	3876062	9872	1	13435	ENSMUST00000173197.1	7620	ENSMUSG00000020661	Dnmt3a	DNA methyltransferase 3A
chr14	67346773	67347173	401	*	3.697900788	3.973088424	3.357548706	0.381303327	0.067102422	0.283424135	"Intron (ENSMUST00000022637.13/13592, intron 7 of 16)"	14	67304888	67314711	9824	2	628416	ENSMUST00000100448.2	-32062	ENSMUSG00000075549	Gm6878	predicted gene 6878
chr6	54289715	54290115	401	*	5.025471919	5.254836822	4.752619078	0.357984652	0.06711102	0.283429684	"Exon (ENSMUST00000145111.7/100042056, exon 13 of 14)"	6	54272908	54300244	27337	1	69993	ENSMUST00000204921.2	16807	ENSMUSG00000004633	Chn2	chimerin 2
chr1	172067784	172068184	401	*	3.15709363	3.470534926	2.756090786	0.388518987	0.0671407	0.28349357	Promoter	1	172066700	172068064	1365	2	59287	ENSMUST00000135928.1	0	ENSMUSG00000003458	Ncstn	nicastrin
chr1	36824562	36824962	401	*	4.091944312	4.359813599	3.762733378	0.374102226	0.067140721	0.28349357	Promoter	1	36818660	36824781	6122	2	56030	ENSMUST00000186486.1	0	ENSMUSG00000026116	Tmem131	transmembrane protein 131
chr6	119742739	119743139	401	*	4.451230302	4.669553227	4.193873975	0.350508378	0.067156442	0.28352918	Promoter	6	119575013	119743444	168432	2	111173	ENSMUST00000184320.7	305	ENSMUSG00000030172	Erc1	ELKS/RAB6-interacting/CAST family member 1
chr11	84519211	84519611	401	*	4.920197344	5.154351398	4.64053388	0.36064794	0.067173646	0.283545289	3' UTR	11	84519706	84522067	2362	2	16869	ENSMUST00000176503.1	2456	ENSMUSG00000018698	Lhx1	LIM homeobox protein 1
chr9	112159011	112159411	401	*	4.144748738	4.413475783	3.814239345	0.37488023	0.067180316	0.283545289	"Intron (ENSMUST00000070218.11/74100, intron 8 of 18)"	9	112065234	112185769	120536	2	74100	ENSMUST00000162065.7	26358	ENSMUSG00000032503	Arpp21	"cyclic AMP-regulated phosphoprotein, 21"
chr13	11917790	11918190	401	*	3.81718146	4.096012152	3.471229832	0.379239726	0.067189217	0.283545289	"Exon (ENSMUST00000221341.1/20191, exon 3 of 3)"	13	11809825	11829654	19830	2	20191	ENSMUST00000221018.1	-88136	ENSMUSG00000021313	Ryr2	"ryanodine receptor 2, cardiac"
chr7	80611717	80612117	401	*	3.231777889	2.800256419	3.563506713	-0.388811679	0.06719422	0.283545289	"Intron (ENSMUST00000122255.7/70461, intron 6 of 14)"	7	80592829	80609932	17104	2	70461	ENSMUST00000149176.1	-1785	ENSMUSG00000030527	Crtc3	CREB regulated transcription coactivator 3
chr14	30523925	30524325	401	*	3.560373676	3.853471822	3.192141637	0.386155753	0.067200063	0.283545289	3' UTR	14	30513287	30523519	10233	1	75901	ENSMUST00000223568.1	10638	ENSMUSG00000021962	Dcp1a	decapping mRNA 1A
chr3	146962859	146963259	401	*	4.056898692	4.295618787	3.770690577	0.363163745	0.067210752	0.283545289	"Intron (ENSMUST00000170055.7/70892, intron 19 of 20)"	3	146943920	146981920	38001	1	70892	ENSMUST00000197547.1	18939	ENSMUSG00000036745	Ttll7	"tubulin tyrosine ligase-like family, member 7"
chr5	99613242	99613642	401	*	3.492723278	3.835446837	3.04234636	0.389317656	0.067211275	0.283545289	"Intron (ENSMUST00000209346.1/320292, intron 2 of 16)"	5	99217426	99728812	511387	2	320292	ENSMUST00000209346.1	115170	ENSMUSG00000089809	Rasgef1b	"RasGEF domain family, member 1B"
chr1	19232514	19232914	401	*	5.081568924	5.326875105	4.785831273	0.366498367	0.067245753	0.283638127	"Intron (ENSMUST00000027059.10/21419, intron 6 of 6)"	1	19213879	19219253	5375	1	21419	ENSMUST00000186972.1	18635	ENSMUSG00000025927	Tfap2b	transcription factor AP-2 beta
chr10	17724966	17725366	401	*	5.020089979	5.279703999	4.703277306	0.373137151	0.067247862	0.283638127	3' UTR	10	17723242	17723973	732	1	17684	ENSMUST00000218370.1	1724	ENSMUSG00000039910	Cited2	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
chr8	81012497	81012897	401	*	3.082401154	3.450630149	2.586732005	0.38698668	0.067268041	0.283661914	"Intron (ENSMUST00000042724.7/74841, intron 1 of 9)"	8	80998213	81014913	16701	2	74841	ENSMUST00000211538.1	2016	ENSMUSG00000038250	Usp38	ubiquitin specific peptidase 38
chr11	75759529	75759929	401	*	3.826873645	4.109993388	3.474283302	0.381150257	0.067268084	0.283661914	"Intron (ENSMUST00000067664.9/22627, intron 5 of 5)"	11	75751604	75759315	7712	1	22627	ENSMUST00000155057.1	7925	ENSMUSG00000020849	Ywhae	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"
chr6	52291064	52291464	401	*	4.579175938	4.797887503	4.321279006	0.352212678	0.067286875	0.283700359	Distal Intergenic	6	52313498	52318378	4881	1	14028	ENSMUST00000031787.7	-22034	ENSMUSG00000005503	Evx1	even-skipped homeobox 1
chr5	127607468	127607868	401	*	3.894013154	4.167318763	3.55653983	0.380266325	0.067291785	0.283700359	"Intron (ENSMUST00000031367.14/100561, intron 2 of 7)"	5	127603807	127609351	5545	2	100561	ENSMUST00000152727.1	1483	ENSMUSG00000029416	Slc15a4	"solute carrier family 15, member 4"
chr5	38542778	38543178	401	*	4.356741901	4.588547874	4.08042447	0.357288285	0.067317079	0.283775972	"Intron (ENSMUST00000005234.12/22388, intron 5 of 14)"	5	38529968	38531996	2029	2	22388	ENSMUST00000202496.1	-10782	ENSMUSG00000005103	Wdr1	WD repeat domain 1
chr18	9214261	9214661	401	*	2.908512796	2.429011036	3.267780627	-0.388193875	0.067329925	0.283775972	"Exon (ENSMUST00000041080.6/14370, exon 1 of 1)"	18	9212163	9218136	5974	1	14370	ENSMUST00000041080.6	2098	ENSMUSG00000036904	Fzd8	frizzled class receptor 8
chr17	32233059	32233459	401	*	3.764014009	4.092974236	3.337179577	0.389156615	0.067331603	0.283775972	"Intron (ENSMUST00000003726.15/57261, intron 2 of 19)"	17	32242163	32242507	345	1	100043434	ENSMUST00000230961.2	-8704	NA	Gm4432	predicted gene 4432
chr7	84529076	84529476	401	*	3.34622111	2.953528549	3.654574211	-0.384390314	0.067358332	0.283831585	Promoter	7	84529138	84575841	46704	1	100039239	ENSMUST00000208409.1	0	ENSMUSG00000097789	Ctxnd1	cortexin domain containing 1
chr4	34566007	34566407	401	*	4.243251422	4.495425793	3.937461621	0.374297111	0.067361502	0.283831585	3' UTR	4	34572398	34576896	4499	2	50793	ENSMUST00000145619.1	10489	ENSMUSG00000040044	Orc3	"origin recognition complex, subunit 3"
chrX	12068063	12068463	401	*	2.44965426	2.959595989	1.653813316	0.344164995	0.067366684	0.283831585	"Intron (ENSMUST00000065143.13/71458, intron 1 of 14)"	20	12036740	12080553	43814	2	71458	ENSMUST00000065143.13	12090	ENSMUSG00000040363	Bcor	BCL6 interacting corepressor
chr10	52027219	52027619	401	*	4.192527609	4.441433084	3.891536804	0.367020822	0.067409655	0.283981878	"Exon (ENSMUST00000163017.9/215031, exon 3 of 3)"	10	52022723	52028011	5289	1	215031	ENSMUST00000058347.5	4496	ENSMUSG00000049641	Vgll2	vestigial like family member 2
chr13	45940490	45940890	401	*	2.905327561	3.296088694	2.367725625	0.383258959	0.067417522	0.283984268	"Intron (ENSMUST00000091628.10/20238, intron 2 of 7)"	13	45556429	45964957	408529	2	20238	ENSMUST00000167708.3	24067	ENSMUSG00000046876	Atxn1	ataxin 1
chr2	117926959	117927359	401	*	2.86641471	2.380460346	3.229277783	-0.388244444	0.067451309	0.284093943	"Intron (ENSMUST00000148587.7/329496, intron 8 of 9)"	2	117821928	117909136	87209	1	73938	ENSMUST00000149239.1	105031	ENSMUSG00000086221	4930412B13Rik	RIKEN cDNA 4930412B13 gene
chr1	184033985	184034385	401	*	4.151074773	4.404748764	3.843074403	0.366528582	0.067458163	0.284093943	Promoter	1	184034381	184075636	41256	1	63953	ENSMUST00000048655.7	0	ENSMUSG00000039384	Dusp10	dual specificity phosphatase 10
chr9	41037149	41037549	401	*	4.192706314	4.428598883	3.91055692	0.362234272	0.067467229	0.284101369	"Exon (ENSMUST00000044155.14/72828, exon 6 of 14)"	9	40969691	41004628	34938	2	54698	ENSMUST00000180384.2	-32521	ENSMUSG00000032021	Crtam	cytotoxic and regulatory T cell molecule
chr2	135996031	135996431	401	*	4.013227302	4.277811758	3.688971005	0.375272819	0.067477246	0.28410743	"Intron (ENSMUST00000184371.7/18798, intron 31 of 36)"	2	135987876	136014593	26718	1	18798	ENSMUST00000147744.1	8155	ENSMUSG00000039943	Plcb4	"phospholipase C, beta 4"
chr4	8862303	8862703	401	*	4.561222656	4.784441278	4.297030774	0.352495395	0.067483274	0.28410743	"Exon (ENSMUST00000039267.9/320790, exon 35 of 38)"	4	8855231	8858618	3388	1	320790	ENSMUST00000222546.1	7072	ENSMUSG00000041235	Chd7	chromodomain helicase DNA binding protein 7
chr4	98718875	98719275	401	*	3.626160017	3.229710139	3.93681949	-0.387027267	0.067492453	0.284115332	3' UTR	4	98726734	98733644	6911	1	381591	ENSMUST00000152889.8	-7459	ENSMUSG00000087166	L1td1	LINE-1 type transposase domain containing 1
chr15	80365679	80366079	401	*	3.481199168	3.093804513	3.786283697	-0.384504291	0.067506763	0.284144827	"Intron (ENSMUST00000160424.7/239556, intron 10 of 36)"	15	80389328	80390917	1590	1	239556	ENSMUST00000161863.7	-23249	ENSMUSG00000022416	Cacna1i	"calcium channel, voltage-dependent, alpha 1I subunit"
chr10	49522208	49522608	401	*	3.848823242	4.11012519	3.529489939	0.374674253	0.067528296	0.284204711	"Intron (ENSMUST00000218823.1/14806, intron 7 of 16)"	10	49356033	49535353	179321	2	14806	ENSMUST00000218669.1	12745	ENSMUSG00000056073	Grik2	"glutamate receptor, ionotropic, kainate 2 (beta 2)"
chr10	25169620	25170020	401	*	2.839135546	3.216971337	2.32581665	0.386873032	0.067544683	0.284237078	3' UTR	10	25169090	25200158	31069	2	432442	ENSMUST00000100012.2	30138	ENSMUSG00000039166	Akap7	A kinase anchor protein 7
chr12	102474325	102474725	401	*	4.332473156	4.568179329	4.050590642	0.362231234	0.067550598	0.284237078	"Exon (ENSMUST00000179218.8/27277, exon 3 of 13)"	12	102469192	102497907	28716	1	27277	ENSMUST00000021609.9	5133	ENSMUSG00000021192	Golga5	golgin A5
chr12	85148072	85148472	401	*	3.257540377	3.592087274	2.821223125	0.3886196	0.067600287	0.284415396	"Intron (ENSMUST00000221972.1/238323, intron 2 of 10)"	12	85135640	85151236	15597	2	238323	ENSMUST00000019379.8	2764	ENSMUSG00000019235	Rps6kl1	ribosomal protein S6 kinase-like 1
