gene	chr	start	end	mc_wt	mc_ko	hmc_wt	hmc_ko	ratio_wt	ratio_ko	delta_ratio_tet
Six5	chr7	19094594	19098548	0.003245	0.003168	0.002392	0.002438	0	0	0
Fbxo46	chr7	19119859	19140171	0.01239	0.004204	0.007206	0.001569	0.367719	0	-0.367719
Snrpd2	chr7	19149722	19153541	0.016149	0.004856	0.004378	0.001652	0.2133	0	-0.2133
Eml2	chr7	19176421	19206481	0.013208	0.004212	0.005263	0.002116	0.28495	0	-0.28495
Gpr4	chr7	19212538	19224173	0.01097	0.003324	0.005546	0.002	0.335818	0	-0.335818
Opa3	chr7	19228334	19256542	0.007892	0.002642	0.005955	0.001415	0.430057	0	-0.430057
Rtn2	chr7	19282624	19296159	0.012548	0.003458	0.007	0.002484	0.358093	0	-0.358093
Ercc1	chr7	19344778	19356523	0.012853	0.004276	0.006528	0.002663	0.336821	0	-0.336821
Ppp1r13l	chr7	19359749	19378532	0.015789	0.005816	0.006421	0.002884	0.289105	0	-0.289105
Ercc2	chr7	19382010	19395693	0.019783	0.007707	0.0105	0.003478	0.346715	0.310926	-0.035789
Ckm	chr7	19404776	19422840	0.015254	0.004195	0.006534	0.002653	0.29988	0	-0.29988
Exoc3l2	chr7	19463331	19496761	0.014028	0.004379	0.005132	0.002052	0.267833	0	-0.267833
Trappc6a	chr7	19508395	19516144	0.012813	0.004108	0.008453	0.002795	0.397507	0	-0.397507
Nkpd1	chr7	19517838	19525055	0.009837	0.003436	0.005299	0.002944	0.350109	0	-0.350109
Zfp296	chr7	19577287	19580655	0.010659	0.004279	0.00641	0.00294	0.375547	0	-0.375547
Gm19345	chr7	19852003	19858349	0.016082	0.006997	0.007422	0.002086	0.315787	0	-0.315787
Ceacam20	chr7	19965412	19991103	0.012489	0.003622	0.001466	0.000621	0.105063	0	-0.105063
Nlrp9b	chr7	19991465	20073305	0.008071	0.001965	0.000957	0.00031	0	0	0
Vmn1r91	chr7	20099680	20103100	0.004704	0.000731	0.000664	0	0	0	0
Vmn1r95	chr7	20193710	20194632	0	0	0	0	0	0	0
Vmn1r100	chr7	20417942	20418864	0	0	0	0	0	0	0
Vmn1r104	chr7	20533837	20534759	0.001625	0	0.000542	0	0	0	0
Vmn1r107	chr7	20668918	20669840	0	0	0	0	0	0	0
Vmn1r112	chr7	20771185	20772077	0	0	0	0	0	0	0
Vmn1r113	chr7	20787285	20788207	0.013532	0.006501	0.001156	0.00065	0.078682	0	-0.078682
Vmn1r116	chr7	20872256	20873178	0.002754	0	8e-04	0	0	0	0
Vmn1r123	chr7	21162185	21163107	0.002672	0	5.2e-05	0	0	0	0
Vmn1r125	chr7	21272179	21273101	0.006466	0.000813	0.002239	0	0	0	0
Vmn1r128	chr7	21349373	21350295	0.002602	0.001857	0.001083	0	0	0	0
Vmn1r130	chr7	21511780	21512702	0	0	0	0	0	0	0
Vmn1r132	chr7	21614092	21614984	0	0	0	0	0	0	0
Vmn1r135	chr7	21832351	21833273	0	0	0	0	0	0	0
Vmn1r137	chr7	21994587	21995509	0	0	0	0	0	0	0
Vmn1r139	chr7	22069057	22097906	0	3.5e-05	0	0	0	0	0
Vmn1r143	chr7	22189377	22190299	0.00389	0	0	0	0	0	0
Vmn1r148	chr7	22413583	22414505	0	0	0	0	0	0	0
Vmn1r152	chr7	22522967	22523889	0.004038	0.001083	0.000295	0	0	0	0
Vmn1r155	chr7	22658018	22658940	0	0	0	0	0	0	0
Vmn1r157	chr7	22761697	22762589	0.001266	0.00096	0.00144	0.00112	0	0	0
Vmn1r160	chr7	22871224	22872146	0.004823	0	0.000713	0	0	0	0
Vmn1r163	chr7	23055540	23056462	0	0	0	0	0	0	0
Vmn1r165	chr7	23217332	23218254	0.002167	0	0	0	0	0	0
Nlrp4e	chr7	23301192	23362276	0.015075	0.003382	0.001114	0.000385	0.068799	0	-0.068799
Nlrp5	chr7	23385889	23441921	0.009398	0.002661	0.000949	0.000444	0.091726	0	-0.091726
Vmn1r168	chr7	23539732	23547447	0.005423	0.001713	0.000431	0	0	0	0
Vmn1r169	chr7	23575526	23578848	0.004881	0.000602	0.000282	0	0	0	0
Vmn1r170	chr7	23606175	23607088	0.004103	0.000938	0.000866	0	0	0	0
Vmn1r171	chr7	23630722	23634369	0.003727	0.001741	0.000563	0	0	0	0
Vmn1r172	chr7	23658316	23668446	0.006813	0.000668	0.000693	0.000522	0	0	0
Vmn1r173	chr7	23700703	23711008	0.005051	0.000542	0.000612	6.5e-05	0	0	0
Vmn1r174	chr7	23752270	23762402	0.004253	0.000173	0.001086	0.000222	0	0	0
Vmn1r178	chr7	23892009	23895621	0.006323	0.00083	0.000682	0	0	0	0
Vmn1r179	chr7	23926978	23936244	0.006987	0.002125	0.000892	0.000292	0	0	0
Vmn1r180	chr7	23950632	23955690	0.003061	0.000198	0.000594	0	0	0	0
Vmn1r181	chr7	23974615	23988138	0.004686	0.000811	0.000637	0.000222	0	0	0
V1rd19	chr7	24001691	24005056	0.006606	0.001485	0.000663	0	0	0	0
Vmn1r183	chr7	24053254	24063553	0.007058	0.001058	0.000609	0.000233	0	0	0
Zfp180	chr7	24081924	24107712	0.013452	0.004309	0.003238	0.001217	0.194002	0	-0.194002
Zfp112	chr7	24112314	24127951	0.01425	0.004938	0.004635	0.001242	0.245419	0	-0.245419
Zfp235	chr7	24134169	24143240	0.013268	0.003539	0.003697	0.001196	0.217892	0	-0.217892
Zfp114	chr7	24175060	24183187	0.015548	0.003054	0.003142	0.001308	0.168099	0	-0.168099
Zfp108	chr7	24254794	24262444	0.011932	0.003804	0.00544	0.001944	0.31315	0	-0.31315
Zfp93	chr7	24270420	24277793	0.014266	0.002431	0.003298	0.000468	0.187761	0	-0.187761
Lypd5	chr7	24349196	24355108	0.018525	0.009172	0.005006	0.001719	0.212749	0.157829	-0.054921
Kcnn4	chr7	24370263	24386689	0.015285	0.005152	0.006196	0.002979	0.288443	0	-0.288443
Smg9	chr7	24399619	24422777	0.018243	0.006286	0.007742	0.00268	0.297931	0	-0.297931
Plaur	chr7	24462484	24475967	0.01426	0.003409	0.004843	0.00273	0.253536	0	-0.253536
Cadm4	chr7	24482023	24504538	0.012141	0.003383	0.009099	0.002474	0.428376	0	-0.428376
Zfp428	chr7	24507006	24515681	0.01857	0.005076	0.008508	0.003561	0.314214	0	-0.314214
Irgq	chr7	24530689	24538599	0.013844	0.003692	0.00992	0.003144	0.417447	0	-0.417447
Xrcc1	chr7	24546289	24573439	0.016785	0.005078	0.006276	0.002005	0.272143	0	-0.272143
Ethe1	chr7	24587543	24608924	0.014139	0.00409	0.006	0.001775	0.297915	0	-0.297915
Phldb3	chr7	24610763	24629296	0.015818	0.004055	0.007253	0.003051	0.314384	0	-0.314384
Lypd3	chr7	24636550	24641117	0.015977	0.003706	0.005333	0.003096	0.250272	0	-0.250272
Lypd10	chr7	24709242	24714534	0.011642	0.005027	0.004033	0.000887	0.257283	0	-0.257283
Ceacam10	chr7	24777206	24784656	0.014115	0.003286	0.00524	0.000792	0.270712	0	-0.270712
Dmrtc2	chr7	24870057	24877650	0.014523	0.004256	0.007687	0.002934	0.346119	0	-0.346119
Rps19	chr7	24884371	24889805	0.00567	0.002515	0.006013	0.00241	0.514687	0	-0.514687
Cd79a	chr7	24897381	24902196	0.016453	0.006731	0.005773	0.001903	0.259743	0	-0.259743
Arhgef1	chr7	24902912	24926593	0.0174	0.006103	0.006682	0.00258	0.277456	0	-0.277456
Zfp574	chr7	25072567	25083491	0.01515	0.00429	0.008443	0.00408	0.357859	0	-0.357859
Zfp526	chr7	25221425	25227506	0.020884	0.007477	0.010307	0.003345	0.33046	0.309111	-0.021349
Cic	chr7	25267704	25294158	0.010872	0.006638	0.00738	0.003959	0.404327	0.37357	-0.030757
Prr19	chr7	25301411	25304131	0.014328	0.002857	0.004588	0.002695	0.242542	0	-0.242542
Tmem145	chr7	25306106	25316194	0.010187	0.00432	0.008635	0.00364	0.458777	0	-0.458777
Megf8	chr7	25317164	25365916	0.015971	0.00646	0.007606	0.00295	0.322602	0	-0.322602
Dmac2	chr7	25619414	25625550	0.011333	0.006028	0.007299	0.003945	0.391749	0	-0.391749
B3gnt8	chr7	25626654	25635099	0.019545	0.010452	0.009645	0.003246	0.330414	0.236988	-0.093426
Exosc5	chr7	25659164	25671367	0.020927	0.006538	0.0072	0.001951	0.25599	0	-0.25599
B9d2	chr7	25680780	25686557	0.011017	0.003796	0.007225	0.004971	0.396043	0	-0.396043
Tgfb1	chr7	25687002	25705076	0.01181	0.004933	0.005506	0.001462	0.317973	0	-0.317973
Cyp2b10	chr7	25897620	25926623	0.010928	0.002441	0.001682	0.00081	0.133395	0	-0.133395
Cyp2b13	chr7	26061497	26096196	0.007205	0.001591	0.000919	0.000344	0	0	0
Cyp2b9	chr7	26173411	26210660	0.006391	0.001445	0.000946	0.000268	0	0	0
Vmn1r184	chr7	26260334	26270618	0.004292	0.000852	0.000787	0.000259	0	0	0
Cyp2a4	chr7	26307169	26315087	0.016744	0.004005	0.001192	0.000286	0.066483	0	-0.066483
Nlrp4a	chr7	26435113	26476141	0.006989	0.001397	0.000846	0.000442	0	0	0
Nlrp9a	chr7	26535023	26575614	0.004697	0.000479	0.000867	0.000185	0	0	0
Cyp2b19	chr7	26757142	26772629	0.00799	0.001965	0.002508	0.000677	0.238929	0	-0.238929
Cyp2g1	chr7	26808892	26821204	0.009712	0.002344	0.002496	0.00071	0.20444	0	-0.20444
Cyp2a5	chr7	26835305	26843547	0.009443	0.002522	0.002298	0.000465	0.195721	0	-0.195721
Cyp2a12	chr7	27029081	27037374	0.008452	0.003155	0.001084	0.000362	0	0	0
Cyp2f2	chr7	27119909	27133659	0.015497	0.005028	0.004264	0.001705	0.215779	0	-0.215779
Cyp2t4	chr7	27153714	27158667	0.017343	0.003707	0.014446	0.001514	0.454441	0	-0.454441
BC024978	chr7	27195781	27210185	0.010735	0.003428	0.004976	0.001261	0.316739	0	-0.316739
Coq8b	chr7	27233023	27257949	0.010727	0.003479	0.005821	0.001409	0.351739	0	-0.351739
Numbl	chr7	27258433	27282143	0.01375	0.003708	0.007835	0.002666	0.362966	0	-0.362966
Blvrb	chr7	27447978	27466143	0.016254	0.004491	0.004795	0.00113	0.227784	0	-0.227784
Sertad3	chr7	27473768	27477363	0.014172	0.004756	0.004356	0.001872	0.2351	0	-0.2351
Sertad1	chr7	27486910	27490315	0.014288	0.007352	0.006079	0.001069	0.298467	0	-0.298467
Prx	chr7	27497388	27520213	0.017733	0.006243	0.005893	0.001324	0.249429	0	-0.249429
Hipk4	chr7	27523267	27531174	0.017708	0.008883	0.008135	0.003599	0.31479	0.288327	-0.026463
2310022A10Rik	chr7	27553233	27582098	0.015334	0.004429	0.005564	0.001366	0.266262	0	-0.266262
Akt2	chr7	27591552	27640825	0.011402	0.003942	0.006397	0.002136	0.359396	0	-0.359396
Ttc9b	chr7	27653915	27657345	0.007845	0.005946	0.007383	0.00429	0.484829	0.419111	-0.065718
Zfp607b	chr7	27689340	27706483	0.01253	0.002541	0.003482	0.000842	0.217471	0	-0.217471
Zfp60	chr7	27731389	27753701	0.009394	0.002392	0.004946	0.00162	0.344895	0	-0.344895
Zfp626	chr7	27807196	27822915	0.013237	0.001946	0.002465	0.000421	0.156974	0	-0.156974
Zfp59	chr7	27838607	27856437	0.010522	0.002762	0.003182	0.000949	0.232191	0	-0.232191
Zfp607a	chr7	27857527	27880824	0.011886	0.00256	0.002105	0.000342	0.150465	0	-0.150465
Fcgbp	chr7	28071236	28120861	0.016907	0.004309	0.003849	0.001381	0.185462	0	-0.185462
9530053A07Rik	chr7	28129466	28164810	0.016939	0.005213	0.004522	0.00139	0.210705	0	-0.210705
Fbl	chr7	28169710	28179268	0.014554	0.00487	0.006353	0.001538	0.303851	0	-0.303851
Dyrk1b	chr7	28179469	28187293	0.023995	0.008371	0.008639	0.001507	0.26473	0	-0.26473
Eid2	chr7	28267881	28269271	0.001018	0.00089	0.004079	0.000685	0	0	0
Eid2b	chr7	28277739	28279488	0.009898	0.001339	0.009058	0.002333	0.477856	0	-0.477856
Rps16	chr7	28350652	28353154	0.009812	0.001883	0.007741	0.001685	0.441008	0	-0.441008
Paf1	chr7	28392951	28399387	0.007663	0.002944	0.005699	0.001214	0.426515	0	-0.426515
Gmfg	chr7	28437447	28448232	0.012281	0.003122	0.004298	0.001139	0.259227	0	-0.259227
Lrfn1	chr7	28451980	28468241	0.017607	0.00531	0.009492	0.004765	0.350274	0.472966	0.122691
Ifnl3	chr7	28522836	28524321	0.008728	0.004542	0.004076	0.000505	0.318341	0	-0.318341
Sycn	chr7	28540885	28542208	0.029843	0.006042	0.004532	0	0.131849	0	-0.131849
Fbxo27	chr7	28692849	28699337	0.008199	0.001862	0.005687	0.002037	0.409568	0	-0.409568
Fbxo17	chr7	28716804	28738143	0.009087	0.003177	0.005339	0.001526	0.370076	0	-0.370076
Sars2	chr7	28741992	28753870	0.020004	0.00737	0.006499	0.002416	0.245203	0	-0.245203
Ccer2	chr7	28756174	28758967	0.019607	0.007004	0.009937	0.00306	0.336338	0.304089	-0.032249
Sirt2	chr7	28766735	28788660	0.012316	0.004289	0.006658	0.00233	0.350889	0	-0.350889
Rinl	chr7	28788969	28798962	0.013929	0.004388	0.007726	0.002934	0.356782	0	-0.356782
Hnrnpl	chr7	28808541	28822265	0.004995	0.001734	0.006226	0.002056	0.554851	0	-0.554851
Ech1	chr7	28825217	28832246	0.013291	0.004017	0.005326	0.001937	0.286071	0	-0.286071
Lgals4	chr7	28833854	28841707	0.017999	0.007223	0.005175	0.00229	0.223294	0	-0.223294
Lgals7	chr7	28863853	28866283	0.017204	0.007641	0.007052	0.003822	0.290725	0.333426	0.042701
Capn12	chr7	28881422	28893562	0.017214	0.00554	0.006766	0.003483	0.282156	0	-0.282156
Map4k1	chr7	28982050	29003278	0.015361	0.005436	0.00492	0.001829	0.242605	0	-0.242605
Rasgrp4	chr7	29134851	29153960	0.01828	0.005618	0.006738	0.001779	0.26934	0	-0.26934
Ggn	chr7	29170210	29173975	0.010089	0.007438	0.010395	0.005547	0.50748	0.427177	-0.080303
Yif1b	chr7	29238329	29247596	0.015527	0.006925	0.008014	0.003008	0.340425	0	-0.340425
Ppp1r14a	chr7	29289308	29293800	0.010915	0.003823	0.008072	0.003272	0.425138	0	-0.425138
Dpf1	chr7	29303951	29318242	0.002526	0.001382	0.003478	0.001709	0	0	0
Zfp84	chr7	29768552	29779820	0.018219	0.003905	0.006684	0.001437	0.26839	0	-0.26839
Zfp30	chr7	29783998	29794701	0.01898	0.001921	0.00626	0.000766	0.248025	0	-0.248025
Zfp790	chr7	29816114	29831004	0.020944	0.00476	0.00777	0.002511	0.270596	0	-0.270596
Zfp420	chr7	29859979	29877291	0.012796	0.00252	0.003463	0.000868	0.213003	0	-0.213003
Zfp383	chr7	29908223	29916812	0.015858	0.003133	0.005238	0.001434	0.248287	0	-0.248287
Zfp568	chr7	29983955	30028281	0.015653	0.00276	0.004909	0.000936	0.238741	0	-0.238741
Zfp260	chr7	30094777	30107621	0.009884	0.002062	0.005003	0.00119	0.336075	0	-0.336075
Zfp382	chr7	30121942	30134949	0.013794	0.003141	0.00625	0.001774	0.311796	0	-0.311796
Cox7a1	chr7	30184144	30186077	0.008627	0.001641	0.006049	0.00299	0.412189	0	-0.412189
Polr2i	chr7	30231948	30233389	0.00436	0.002639	0.004393	0.005351	0	0	0
Thap8	chr7	30280094	30290236	0.011751	0.004059	0.004385	0.0018	0.271737	0	-0.271737
Clip3	chr7	30291728	30308366	0.013848	0.004493	0.007076	0.002616	0.338197	0	-0.338197
Alkbh6	chr7	30308717	30314303	0.018234	0.006888	0.00761	0.003449	0.294457	0.333625	0.039167
Syne4	chr7	30314807	30319045	0.013596	0.00477	0.009119	0.003007	0.401448	0	-0.401448
Tyrobp	chr7	30413760	30417584	0.011347	0.003333	0.002814	0.001394	0.198711	0	-0.198711
Nfkbid	chr7	30421732	30428745	0.016133	0.005715	0.006613	0.003604	0.290727	0	-0.290727
Nphs1	chr7	30458315	30487222	0.014465	0.003438	0.006241	0.002596	0.301397	0	-0.301397
Prodh2	chr7	30493622	30513401	0.017691	0.005232	0.005912	0.001704	0.250473	0	-0.250473
Arhgap33os	chr7	30515122	30522192	0.016005	0.008019	0.008527	0.00383	0.347584	0.323232	-0.024352
Hspb6	chr7	30552178	30555442	0.008731	0.002864	0.008194	0.002767	0.484156	0	-0.484156
U2af1l4	chr7	30563301	30565364	0.018861	0.00412	0.008537	0.000969	0.311597	0	-0.311597
Gm49396	chr7	30563344	30567959	0.017536	0.006196	0.008197	0.002358	0.318556	0	-0.318556
Igflr1	chr7	30565427	30567961	0.016585	0.007928	0.007976	0.003504	0.324738	0.306523	-0.018215
2200002J24Rik	chr7	30698926	30700535	0.010665	0.005764	0.004532	0.001601	0.298233	0	-0.298233
Atp4a	chr7	30712209	30725533	0.017328	0.006069	0.007048	0.002709	0.289148	0	-0.289148
Sbsn	chr7	30751471	30756133	0.01177	0.003818	0.004574	0.000945	0.279867	0	-0.279867
Dmkn	chr7	30763756	30781062	0.011192	0.004037	0.00558	0.001637	0.332705	0	-0.332705
Krtdap	chr7	30787896	30791096	0.015975	0.004169	0.007985	0.002053	0.333263	0	-0.333263
Fam187b	chr7	30973790	30989725	0.013473	0.003013	0.003813	0.00096	0.22057	0	-0.22057
Lgi4	chr7	31059342	31070934	0.018495	0.006333	0.008223	0.0031	0.30777	0	-0.30777
Scgb2b2	chr7	31290508	31304976	0.006691	0.002362	0.000599	0.000238	0	0	0
Scgb1b3	chr7	31375592	31376915	0.009484	0.004481	0.002199	0.000378	0.188184	0	-0.188184
Scgb1b7	chr7	31712665	31713977	0.010603	0	0.001154	0	0.098135	0	-0.098135
Scgb1b10	chr7	32100853	32102168	0.002185	0	0	0	0	0	0
Scgb1b11	chr7	32222840	32224155	0	0	0	0	0	0	0
Scgb1b12	chr7	32334182	32335500	0.019461	0.004473	0.000591	0.000455	0.029468	0	-0.029468
Scgb1b29	chr7	32441541	32442721	0.012366	0	0.001722	0	0.122215	0	-0.122215
Scgb1b15	chr7	32836554	32837869	0	0	0	0	0	0	0
Scgb1b17	chr7	33063449	33064764	0	0	0	0	0	0	0
Scgb1b18	chr7	33185568	33186867	0	0	0	0	0	0	0
Scgb1b19	chr7	33287291	33288610	0.015162	0	0.002075	0	0.12037	0	-0.12037
Scgb1b20	chr7	33373234	33374558	0.013144	0.003597	0.001933	0.000377	0.128218	0	-0.128218
Scgb1b24	chr7	33743799	33744981	0.007811	0.001691	0.000248	0	0	0	0
Scgb1b27	chr7	34021483	34022880	0.010224	0.002731	0.000156	0	0.015016	0	-0.015016
Scgb1b30	chr7	34095431	34100836	0.018686	0.002122	0.002749	4.1e-05	0.128263	0	-0.128263
Pepd	chr7	34912379	35044707	0.010072	0.002955	0.006202	0.001742	0.381107	0	-0.381107
Cebpa	chr7	35119293	35121927	0.006514	0.002585	0.00773	0.002878	0.542675	0	-0.542675
Slc7a10	chr7	35186385	35201113	0.013945	0.006779	0.007158	0.002817	0.339199	0	-0.339199
Rhpn2	chr7	35334170	35392288	0.01614	0.004283	0.005214	0.001719	0.244179	0	-0.244179
Cep89	chr7	35397035	35438688	0.017985	0.003713	0.004844	0.000997	0.212192	0	-0.212192
Slc7a9	chr7	35448796	35466035	0.016143	0.004049	0.004647	0.00111	0.223514	0	-0.223514
Ankrd27	chr7	35586244	35639225	0.016653	0.004215	0.006451	0.001871	0.279206	0	-0.279206
Tshz3	chr7	36698118	36773552	0.015631	0.002967	0.007837	0.001492	0.333943	0	-0.333943
1600014C10Rik	chr7	38183217	38197567	0.011843	0.003558	0.006428	0.001334	0.351832	0	-0.351832
Zfp619	chr7	39517766	39540419	0.017835	0.004092	0.003545	0.000871	0.165793	0	-0.165793
Vstm2b	chr7	40898328	40930593	0.006309	0.001222	0.002979	0.000979	0	0	0
4930433I11Rik	chr7	40987543	40995434	0.007549	0.001346	0.001209	0.000507	0	0	0
Gm4884	chr7	41032719	41045301	0.008349	0.001132	0.000687	0.000159	0	0	0
Gm5592	chr7	41153841	41290182	0.006453	0.001284	0.000597	0.000274	0	0	0
2610021A01Rik	chr7	41599230	41628532	0.007907	0.000975	0.00314	0.000596	0.284257	0	-0.284257
Zfp788	chr7	41633203	41651529	0.005973	0.000913	0.002545	0.000188	0	0	0
Vmn2r60	chr7	42107770	42196207	0.007618	0.001298	0.000783	0.000256	0	0	0
Vmn2r61	chr7	42260053	42300754	0.004208	0.000776	0.000513	0.000155	0	0	0
Vmn2r126	chr7	43018765	43048105	0.00427	0.000501	0.000521	7.7e-05	0	0	0
Zfp936	chr7	43114229	43192108	0.010029	0.00294	0.00086	0.000415	0.078957	0	-0.078957
Siglecf	chr7	43351341	43359530	0.00601	0.001822	0.003506	0.000497	0	0	0
Siglecg	chr7	43408204	43418357	0.01669	0.004205	0.003828	0.001168	0.186579	0	-0.186579
Lim2	chr7	43427670	43435990	0.016913	0.004157	0.003909	0.001143	0.187733	0	-0.187733
Gm38999	chr7	43427686	43428831	0.026505	0.007136	0.009336	0.002269	0.260481	0	-0.260481
Nkg7	chr7	43437073	43438248	0.012915	0.003624	0.005863	0.000385	0.312239	0	-0.312239
Cldnd2	chr7	43440782	43443333	0.013719	0.006128	0.006357	0.002924	0.316638	0	-0.316638
Etfb	chr7	43444083	43457799	0.011641	0.003898	0.005233	0.00188	0.310132	0	-0.310132
Etfbl	chr7	43444128	43463586	0.00996	0.003365	0.00467	0.001762	0.319224	0	-0.319224
Vsig10l	chr7	43463151	43472018	0.009762	0.003661	0.005941	0.00333	0.37834	0	-0.37834
Zfp658	chr7	43562256	43575460	0.009298	0.001385	0.007063	0.001096	0.431679	0	-0.431679
Zfp719	chr7	43579610	43593234	0.007971	0.001885	0.003871	0.000844	0.326903	0	-0.326903
Zfp819	chr7	43607169	43618284	0.017185	0.005284	0.004276	0.001508	0.199227	0	-0.199227
Ceacam18	chr7	43634707	43649294	0.012513	0.004056	0.004166	0.000985	0.249756	0	-0.249756
Ctu1	chr7	43672016	43678297	0.031488	0.012827	0.010101	0.00227	0.242875	0.150372	-0.092503
Klk14	chr7	43690418	43695535	0.01172	0.003729	0.002055	0.001108	0.149202	0	-0.149202
Klk13	chr7	43712567	43727533	0.009977	0.002941	0.002375	0.001173	0.192259	0	-0.192259
Klk12	chr7	43768897	43773584	0.019765	0.006068	0.004711	0.001737	0.192485	0	-0.192485
Klk11	chr7	43774604	43779262	0.013115	0.005259	0.006434	0.001466	0.32913	0	-0.32913
Klk10	chr7	43781035	43785409	0.016672	0.007116	0.006956	0.003276	0.294397	0.315256	0.020859
Klk9	chr7	43791891	43796756	0.012354	0.003237	0.005792	0.002781	0.319189	0	-0.319189
Klk8	chr7	43797577	43803825	0.012595	0.00393	0.005853	0.000998	0.317276	0	-0.317276
Klk7	chr7	43811294	43816358	0.010687	0.003409	0.003984	0.000964	0.271561	0	-0.271561
Klk6	chr7	43824499	43832029	0.016491	0.003769	0.002756	0.000847	0.143197	0	-0.143197
Klk5	chr7	43841971	43851180	0.013959	0.004121	0.003094	0.001187	0.181413	0	-0.181413
Klk4	chr7	43881160	43885803	0.007071	0.003265	0.004784	0.001498	0.403564	0	-0.403564
Klk15	chr7	43933740	43939638	0.024886	0.00504	0.005926	0.001505	0.192316	0	-0.192316
Klk1b8	chr7	43950664	43954940	0.005792	0.002059	0.002192	0.000997	0	0	0
Klk1b1	chr7	43966751	43971317	0.009415	0.002547	0.002149	0.001423	0.185822	0	-0.185822
Klk1b9	chr7	43976061	43980375	0.00688	0.001813	0.002316	0.000737	0	0	0
Klk1b11	chr7	43995877	43999874	0.006005	0.002668	0.002484	0.00095	0	0	0
Klk1b26	chr7	44012168	44016967	0.009622	0.004237	0.00274	0.001544	0.221626	0	-0.221626
Klk1b27	chr7	44052290	44056711	0.005645	0.001917	0.001622	0.001117	0	0	0
Klk1b21	chr7	44102328	44106582	0.008843	0.002855	0.001506	0.000313	0.145502	0	-0.145502
Klk1b22	chr7	44112673	44116921	0.007038	0.00254	0.00165	0.001215	0	0	0
Klk1b16	chr7	44136767	44141609	0.006395	0.002909	0.002009	0.000808	0	0	0
Klk1b24	chr7	44188236	44192454	0.007505	0.003358	0.002482	0.000652	0	0	0
Klk1b3	chr7	44198191	44202351	0.008612	0.001921	0.003371	0.001636	0.281353	0	-0.281353
Klk1b4	chr7	44207435	44211753	0.00785	0.00393	0.003151	0.001255	0.286418	0	-0.286418
Klk1b5	chr7	44215945	44220702	0.006945	0.001981	0.002696	0.000149	0	0	0
Klk1	chr7	44225360	44229617	0.005414	0.001487	0.002921	0.000912	0	0	0
Gm36864	chr7	44236177	44243190	0.007423	0.002899	0.004017	0.001889	0.351136	0	-0.351136
2410002F23Rik	chr7	44246722	44252318	0.009061	0.002301	0.006504	0.001893	0.417849	0	-0.417849
Shank1	chr7	44310253	44360571	0.002966	0.001995	0.003961	0.002554	0	0	0
Syt3	chr7	44384102	44400186	0.014688	0.006172	0.005028	0.002236	0.255027	0	-0.255027
Lrrc4b	chr7	44429018	44463350	0.007094	0.003736	0.00678	0.003022	0.488667	0	-0.488667
Aspdh	chr7	44465391	44467757	0.004267	0.003543	0.006605	0.004787	0.607536	0	-0.607536
Josd2	chr7	44467980	44471661	0.00933	0.00583	0.006948	0.00309	0.426813	0	-0.426813
Fam71e1	chr7	44496581	44501485	0.011734	0.006068	0.006232	0.004036	0.346876	0.399473	0.052597
Napsa	chr7	44572380	44586861	0.010136	0.002927	0.005063	0.002908	0.333103	0	-0.333103
Kcnc3	chr7	44590664	44604753	0.000913	0.000885	0.002192	0.002006	0	0	0
Izumo2	chr7	44708742	44719843	0.014381	0.002797	0.005009	0.001183	0.258336	0	-0.258336
Vrk3	chr7	44748413	44777514	0.011885	0.003962	0.004062	0.001481	0.254702	0	-0.254702
Nup62	chr7	44816088	44830811	0.004994	0.002205	0.004539	0.001187	0	0	0
Il4i1	chr7	44816387	44840808	0.005902	0.002613	0.005075	0.001721	0.462332	0	-0.462332
Akt1s1	chr7	44848991	44855420	0.010763	0.005881	0.007745	0.00382	0.418479	0	-0.418479
Pnkp	chr7	44857139	44862991	0.010157	0.005353	0.010384	0.004753	0.505525	0.470309	-0.035216
Fuz	chr7	44896079	44902630	0.0136	0.007058	0.009477	0.004776	0.410666	0.403594	-0.007072
Tsks	chr7	44943204	44958034	0.013636	0.005495	0.006293	0.00297	0.315787	0	-0.315787
Irf3	chr7	44997648	45002847	0.010393	0.006172	0.010001	0.004172	0.490394	0.403308	-0.087086
Rras	chr7	45017961	45021646	0.011282	0.00718	0.005734	0.002965	0.336983	0.292237	-0.044746
Nosip	chr7	45062429	45078209	0.015397	0.006144	0.006084	0.001868	0.283223	0	-0.283223
Pih1d1	chr7	45154303	45160064	0.018559	0.004699	0.007376	0.003345	0.284406	0	-0.284406
Slc17a7	chr7	45163949	45176141	0.013316	0.005667	0.004984	0.004062	0.272359	0	-0.272359
Pth2	chr7	45180995	45181837	0.007552	0.006643	0.00675	0.00687	0.471931	0.508423	0.036492
Tead2	chr7	45215753	45233643	0.017899	0.005158	0.006554	0.002	0.268029	0	-0.268029
Slc6a16	chr7	45241085	45273366	0.013226	0.0034	0.005364	0.001784	0.288529	0	-0.288529
Slc6a21	chr7	45277513	45288997	0.023002	0.006776	0.006636	0.00275	0.223904	0	-0.223904
Hrc	chr7	45335290	45338973	0.011701	0.004446	0.005165	0.00376	0.306243	0	-0.306243
Kcna7	chr7	45405653	45409762	0.019493	0.006363	0.005896	0.003438	0.232213	0	-0.232213
Ntf5	chr7	45413695	45417178	0.009964	0.004657	0.006668	0.004402	0.40092	0	-0.40092
