chr	start	end	width_kb	boundary_left_pos	boundary_right_pos	boundary_left_type	boundary_right_type	boundary_left_differential	boundary_right_differential	boundary_left_gap_score	boundary_right_gap_score	boundary_left_tad_score1	boundary_left_tad_score2	boundary_right_tad_score1	boundary_right_tad_score2	boundary_left_enriched	boundary_right_enriched	is_differential	mean_tad_score	mean_gap_score	cg_mc_ctrl_mean	cg_mc_mut_mean	cg_mc_log2fc	cg_mc_pseudocount	cg_mc_ctrl_cv	cg_mc_mut_cv	cg_mc_ctrl_within_var	cg_mc_mut_within_var	cg_mc_ctrl_insulation	cg_mc_mut_insulation	cg_hmc_ctrl_mean	cg_hmc_mut_mean	cg_hmc_log2fc	cg_hmc_pseudocount	cg_hmc_ctrl_cv	cg_hmc_mut_cv	cg_hmc_ctrl_within_var	cg_hmc_mut_within_var	cg_hmc_ctrl_insulation	cg_hmc_mut_insulation	chg_mc_ctrl_mean	chg_mc_mut_mean	chg_mc_log2fc	chg_mc_pseudocount	chg_mc_ctrl_cv	chg_mc_mut_cv	chg_mc_ctrl_within_var	chg_mc_mut_within_var	chg_mc_ctrl_insulation	chg_mc_mut_insulation	chh_mc_ctrl_mean	chh_mc_mut_mean	chh_mc_log2fc	chh_mc_pseudocount	chh_mc_ctrl_cv	chh_mc_mut_cv	chh_mc_ctrl_within_var	chh_mc_mut_within_var	chh_mc_ctrl_insulation	chh_mc_mut_insulation	mecp2_ctrl_mean	mecp2_mut_mean	mecp2_log2fc	mecp2_pseudocount	mecp2_ctrl_cv	mecp2_mut_cv	mecp2_ctrl_within_var	mecp2_mut_within_var	mecp2_ctrl_insulation	mecp2_mut_insulation	mecp2_peak_count	mecp2_up_count	mecp2_down_count
chr1	147740000	148220000	480	147740000	148220000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.681077908275436	0.95689101262265	1.43315952327682	1.64884126461221	2.39355569856903	2.07191588153002	Matrix 2	Matrix 1	FALSE	1.91335761092292	0.137906552173607	0.00340992	0.00340824	-0.000366	0.00320356209341412	0.430228	0.440915	2.17877379186258e-06	2.26643434846029e-06	0.00085098	0.0007843	0.00018871	0.00019221	0.017292	0.000101517354514925	0.479874	0.486022	7.55443378640539e-09	8.28975302037029e-09	0.00017242	0.00017395	3e-08	-1.2e-07	-0.226523	1e-06	NA	NA	0	7.25208342125018e-13	0	0	-1e-07	-1e-08	0.147813	1e-06	NA	29.690607	0	2.20382968538619e-12	0	5.6e-07	0.37325292	0.30836386	-0.137177	0.342143936271676	0.582324	0.648687	0.047242600321044	0.0400124634592604	0.27988362	0.4504349	1	1	0
chr1	148220000	148370000	150	148220000	148370000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.95689101262265	-1.52494322436478	2.39355569856903	2.07191588153002	1.03169712692473	1.52380742084291	Matrix 1	Matrix 2	FALSE	1.71262641274688	-0.284026105871066	0.00388098	0.00387115	-0.002004	0.00320356209341412	0.484724	0.464109	3.53874085741311e-06	3.26785166936702e-06	0.00090253	0.00094496	0.00029026	0.00029717	0.025218	0.000101517354514925	0.702511	0.678385	4.19720810524359e-08	4.05542569543115e-08	0.00017184	0.0001925	9e-08	0	-0.128732	1e-06	NA	NA	0	0	0	0	0	0	0	1e-06	NA	NA	0	0	1.43e-06	7.1e-07	0.36661289	0.45783049	0.174663	0.342143936271676	0.733327	1.536122	0.0722797646046781	0.494614325649019	0.20789225	0.38617685	3	3	0
chr1	148490000	148650000	160	148490000	148650000	Complex	Complex	Differential	Differential	-4.45730689278327	-2.03684697970197	1.14195424847648	2.58827337463518	0.944565881514391	1.60370206233823	Matrix 2	Matrix 2	TRUE	1.04326006499544	-3.24707693624262	0.0034571	0.00344643	-0.002313	0.00320356209341412	0.323626	0.351673	1.24400752095281e-06	1.49469375865184e-06	0.0010304	0.00094447	0.00016283	0.0001609	-0.01057	0.000101517354514925	0.39367	0.375633	3.76273099177477e-09	3.30382293924993e-09	0.00014272	0.00010149	0	7e-08	0.093813	1e-06	NA	NA	0	0	0	1.9e-06	6.8e-07	-3e-08	-0.802674	1e-06	NA	NA	0	0	0	0	0.30800081	0.24853556	-0.138385	0.342143936271676	0.668459	0.67764	0.0423892747384982	0.0283639642124204	0.13660212	0.12509982	0	0	0
chr1	148650000	148780000	130	148650000	148780000	Complex	Non-Differential	Differential	Non-Differential	-2.03684697970197	-0.136889090715683	0.944565881514391	1.60370206233823	1.87511350915461	1.91175980561041	Matrix 2	Matrix 2	TRUE	1.4098396953345	-1.08686803520883	0.00315241	0.0031316	-0.004731	0.00320356209341412	0.158179	0.170704	2.46642319639827e-07	2.87668990694566e-07	0.00024957	0.00019152	0.00026136	0.00028137	0.077443	0.000101517354514925	0.498529	0.539076	1.77297775509192e-08	2.08998620418646e-08	8.734e-05	0.00012312	1.53e-06	1.19e-06	-0.212022	1e-06	3.605551	NA	3.07692316862253e-11	0	0	0	-2.76e-06	-1.05e-06	-5.251322	1e-06	NA	NA	3.42222303288533e-10	9.47769255197965e-12	0	0	0.48890132	0.41250736	-0.139117	0.342143936271676	0.404183	0.412701	0.0390483513161917	0.0289827260495513	0.19058933	0.15709264	0	0	0
chr1	148790000	148950000	160	148790000	148950000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.638507514200033	0.615773342887246	1.67744929733451	1.46248859770132	2.48645583942565	2.27547955890634	Matrix 1	Matrix 1	FALSE	2.08195256838008	0.62714042854364	0.00332757	0.00327754	-0.011094	0.00320356209341412	0.29793	0.312469	9.93707154063853e-07	1.05331446906409e-06	0.00058456	0.00054025	0.00015983	0.00016548	0.030874	0.000101517354514925	0.362879	0.385206	3.15751598400637e-09	3.84266867391115e-09	0.00010536	0.00013947	2.3e-07	0	-0.294619	1e-06	4	NA	1.26562510058284e-12	0	0	0	0	-1.2e-07	-0.184936	1e-06	NA	NA	0	3.70562495984137e-12	0	7.7e-07	0.5782792	0.4447066	-0.226208	0.342143936271676	0.422104	0.435518	0.0595815474330783	0.0375111545211529	0.19551746	0.17086564	0	0	0
chr1	148960000	149260000	300	148960000	149260000	Complex	Complex	Differential	Differential	-2.24465475312551	-3.56199621966086	0.884061806632752	1.61110844648409	1.27359986738597	2.42788127528689	Matrix 2	Matrix 2	TRUE	1.07883083700936	-2.90332548639319	0.00364269	0.00364555	0.000603	0.00320356209341412	0.441812	0.448642	2.5745540606018e-06	2.671718134921e-06	0.00070648	0.000782	0.00029322	0.00033314	0.138991	0.000101517354514925	0.458527	0.535867	1.92376051882631e-08	3.22854576321107e-08	9.418e-05	0.00020125	0	-1.2e-07	-0.191271	1e-06	NA	NA	0	3.07199957656862e-12	0	0	8.3e-07	1.06e-06	0.173133	1e-06	7.352257	5.477226	7.02507565694596e-11	2.37629981751442e-11	0	2.15e-06	0.85439198	1.17462745	0.34214	0.342143936271676	0.969806	1.74208	0.686573645178943	4.1873509332335	0.77529984	1.94597054	4	4	0
chr1	149260000	149380000	120	149260000	149380000	Complex	Non-Differential	Differential	Non-Differential	-3.56199621966086	1.42009017386466	1.27359986738597	2.42788127528689	2.264011532729	1.79211751166155	Matrix 2	Matrix 1	TRUE	1.76880570005748	-1.0709530228981	0.00353123	0.00358415	0.011292	0.00320356209341412	0.219846	0.213299	5.88736016070253e-07	5.9277919113634e-07	0.00058631	0.00064181	0.00032674	0.00031955	-0.024439	0.000101517354514925	0.417557	0.468747	2.20679466832178e-08	2.17905235814213e-08	3.916e-05	0.00010614	0	0	0	1e-06	NA	NA	0	0	0	0	0	-5.2e-07	-1.055129	1e-06	NA	NA	0	1.58700009185076e-11	9.33e-06	1.085e-05	0.62806508	0.53936894	-0.138314	0.342143936271676	0.422316	0.486606	0.0703521651782824	0.0688839408758036	0.8596681	1.98346577	0	0	0
chr1	149400000	149510000	110	149400000	149510000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.40806375987593	-1.34011138618062	1.60492123787615	2.05655854104725	2.08260948196508	2.51010625323953	Matrix 2	Matrix 2	FALSE	1.84376535992061	-1.37408757302827	0.0033627	0.00341288	0.010983	0.00320356209341412	0.417982	0.412194	1.99308046550336e-06	2.0006049265015e-06	0.00076967	0.00076798	0.00030773	0.00028339	-0.088465	0.000101517354514925	0.63301	0.73258	3.44831505580937e-08	3.97052115568047e-08	0.00010568	0.00012587	0	0	0	1e-06	NA	NA	0	0	0	0	-8.87e-06	-8.63e-06	-0.043587	1e-06	NA	NA	8.35672956982353e-10	8.15280955068416e-10	1.266e-05	9.47e-06	0.43415742	0.46140151	0.049763	0.342143936271676	0.771742	1.087676	0.112265637568283	0.251863592411297	0.25125795	0.31343708	1	1	0
chr1	149510000	149700000	190	149510000	149700000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.34011138618062	-0.150864202841529	2.08260948196508	2.51010625323953	1.49707052282011	1.53986337727513	Matrix 2	Matrix 2	FALSE	1.78984000239259	-0.745487794511072	0.0036229	0.00367363	0.01068	0.00320356209341412	0.409974	0.424252	2.19562936027719e-06	2.46325172979346e-06	0.00025244	0.00023796	0.0003912	0.00036444	-0.080556	0.000101517354514925	0.724574	0.799976	7.83628240051761e-08	8.44225919777254e-08	0.00019335	0.00022754	-4.4e-07	0	0.837441	1e-06	NA	NA	0	1.83210528536847e-12	0	0	-6e-08	-4.9e-07	-0.887012	1e-06	NA	NA	0	1.31578947368421e-10	3.33e-06	5e-06	0.58372719	0.78638145	0.285556	0.342143936271676	0.593843	1.293247	0.120161817105066	1.03426359594505	0.26322031	0.56764493	3	3	0
chr1	149700000	149830000	130	149700000	149830000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.150864202841529	0.182840026019946	1.49707052282011	1.53986337727513	1.57913849605472	1.51294235107964	Matrix 2	Matrix 1	FALSE	1.53810450943742	0.0159879115892086	0.00376374	0.0038135	0.010267	0.00320356209341412	0.135802	0.134106	2.634047011227e-07	2.62478149855682e-07	0.00086783	0.00079906	0.00037845	0.00037024	-0.024907	0.000101517354514925	0.444093	0.45439	2.8795144483801e-08	2.94329395789174e-08	0.00015837	0.00015318	0	0	0	1e-06	NA	NA	0	0	0	0	0	-2e-08	-0.025188	1e-06	NA	NA	0	0	0	5e-06	0.80075173	0.77403662	-0.034123	0.342143936271676	0.3673	0.585779	0.0865034921082816	0.205578862631023	0.30720463	0.51786364	1	1	0
chr1	149830000	150010000	180	149830000	150010000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.182840026019946	1.15631121644368	1.57913849605472	1.51294235107964	1.68175046897465	1.29819291926688	Matrix 1	Matrix 1	FALSE	1.63044448251468	0.669575621231813	0.005175	0.00514362	-0.005413	0.00320356209341412	0.255779	0.258318	1.7565857987983e-06	1.77092767014448e-06	0.00154325	0.001556	0.0003398	0.00034438	0.014915	0.000101517354514925	0.640116	0.809814	5.00301363788444e-08	7.31656131953088e-08	0.00010219	6.462e-05	0	-1e-07	-0.149778	1e-06	NA	NA	0	0	0	0	0	1.8e-07	0.241161	1e-06	NA	79.697061	0	4.90094776918296e-12	0	0	0.88267489	0.70860801	-0.221146	0.342143936271676	0.394553	0.39712	0.121285698460106	0.0791850235202467	0.24524149	0.22002157	0	0	0
chr1	150010000	150140000	130	150010000	150140000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	1.15631121644368	-1.18622373551408	1.68175046897465	1.29819291926688	1.30953770164403	1.69019931252072	Matrix 1	Matrix 2	FALSE	1.49564408530934	-0.0149562595351975	0.00417477	0.00416373	-0.002161	0.00320356209341412	0.343106	0.348698	2.07701018305643e-06	2.12497829887286e-06	0.00098849	0.00100472	0.00018724	0.0001798	-0.037641	0.000101517354514925	0.471095	0.464662	7.81825577018896e-09	6.38351269759814e-09	8.382e-05	4.387e-05	0	-1.6e-07	-0.250876	1e-06	NA	NA	0	0	7.1e-07	0	0	1e-08	0.008299	1e-06	NA	NA	0	0	0	0	0.64078317	0.50145162	-0.220533	0.342143936271676	0.459477	0.354976	0.0866809088877497	0.0316842347837695	0.11858606	0.08565376	0	0	0
chr1	150140000	150450000	310	150140000	150450000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.18622373551408	-0.196200140265805	1.30953770164403	1.69019931252072	1.49506443830743	1.55262555345745	Matrix 2	Matrix 2	FALSE	1.40230106997573	-0.691211937889941	0.00554413	0.00556243	0.003015	0.00320356209341412	0.288526	0.298983	2.56543502219344e-06	2.78010331668729e-06	0.00078223	0.00078767	0.00031279	0.00026977	-0.158145	0.000101517354514925	0.745694	0.765943	5.44339557847843e-08	4.37992535489351e-08	7.789e-05	3.853e-05	4e-08	6e-08	0.025418	1e-06	NA	NA	1.62612913873888e-12	0	7.1e-07	6.2e-07	2.4e-07	-4e-08	-0.370482	1e-06	5.567764	32.22192	5.04032258064516e-12	8.47023658391161e-12	1.25e-06	0	2.64235363	2.08961584	-0.295487	0.342143936271676	4.19748	4.255315	123.015870169594	79.0674628293521	0.16226293	0.0937932	0	0	0
chr1	150470000	150600000	130	150470000	150600000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.14074877071133	1.03778092119815	1.53063445487324	1.56999231511667	2.76076493028159	2.41123920866875	Matrix 2	Matrix 1	FALSE	2.14569969257742	0.44851607524341	0.00567223	0.00560973	-0.010194	0.00320356209341412	0.279695	0.277017	2.52360034761666e-06	2.42376634443052e-06	0.00096246	0.00089802	0.00047986	0.00053532	0.131457	0.000101517354514925	0.68028	0.753176	1.10215577084683e-07	1.69399370623297e-07	0.00013501	0.00012037	0	2.7e-07	0.341764	1e-06	NA	NA	0	0	0	6.2e-07	-2.4e-07	1.6e-07	0.6103	1e-06	NA	NA	1.20192307692308e-11	0	1.25e-06	0	0.92606223	0.76734987	-0.192888	0.342143936271676	0.401775	0.434083	0.138430315338346	0.110948363856663	0.27703393	0.23252378	0	0	0
chr1	150610000	150910000	300	150610000	150910000	Non-Differential	Merge	Non-Differential	Differential	0.642962935219218	-2.22061077291469	2.22421177313378	2.0054911661497	0.785142644909226	1.50477921818271	Matrix 1	Matrix 2	TRUE	1.5046772090215	-0.788823918847735	0.00579793	0.00583734	0.006303	0.00320356209341412	0.219241	0.19619	1.6108523078998e-06	1.32248059900489e-06	0.00080091	0.00071876	0.0006618	0.00062551	-0.070272	0.000101517354514925	0.764412	0.742878	2.59710734398732e-07	2.11128775147618e-07	0.00039432	0.00041096	0	6e-08	0.082929	1e-06	NA	NA	0	0	0	0	1.46e-06	7.6e-07	-0.484548	1e-06	5.962196	4.268063	1.78364545223935e-10	6.27956421552643e-11	0	5e-07	1.04311768	1.0849694	0.042941	0.342143936271676	0.321377	1.069215	0.112382324577438	1.34574575362891	0.30076792	0.70010915	5	5	0
chr1	150930000	151030000	100	150930000	151030000	Strength Change	Non-Differential	Differential	Non-Differential	2.0111830292587	0.243699500222346	3.39058357901869	2.72149216305753	1.59068961061335	1.50463097140646	Matrix 1	Matrix 1	TRUE	2.49063659481602	1.12744126474052	0.00638862	0.00635189	-0.005536	0.00320356209341412	0.359141	0.352589	5.21924608622911e-06	5.05059937720056e-06	0.00036689	0.00029246	0.00051802	0.00053133	0.030654	0.000101517354514925	0.359472	0.317129	3.66838097629258e-08	2.75606146366061e-08	0.00021439	0.0002052	0	1.5e-07	0.198492	1e-06	3.162278	NA	1.00000002980232e-11	0	2.25e-06	0	0	9e-08	0.13093	1e-06	NA	3.162278	0	8.2809996637106e-12	2.5e-06	1.41e-06	0.99150759	0.78839399	-0.238372	0.342143936271676	0.300403	0.325825	0.0887154832513036	0.0659863706950181	0.05828821	0.19728459	0	0	0
chr1	151030000	151330000	300	151030000	151330000	Non-Differential	Split	Non-Differential	Differential	0.243699500222346	2.18037745917407	1.59068961061335	1.50463097140646	1.87599828099012	1.15822031074173	Matrix 1	Matrix 1	TRUE	1.73334394580174	1.21203847969821	0.00703269	0.00699014	-0.006009	0.00320356209341412	0.244544	0.2406	2.9827754530719e-06	2.82670526142817e-06	0.00112064	0.00101972	0.00053032	0.00053906	0.019819	0.000101517354514925	0.48177	0.457573	6.52425865962438e-08	6.0887345227456e-08	0.00023673	0.00017611	7.8e-07	8e-08	-0.723983	1e-06	23.044536	152.455139	3.5899036905782e-11	5.06170601344698e-11	2.25e-06	0	2.34e-06	1.33e-06	-0.52019	1e-06	3.646778	11.544896	2.88795586504706e-10	1.89101269104899e-11	2.5e-06	2.08e-06	1.16064443	0.94973984	-0.218166	0.342143936271676	0.421577	0.40845	0.239417138156172	0.150484088031326	0.11632087	0.09232356	0	0	0
chr1	151350000	151500000	150	151350000	151500000	Non-Differential	Merge	Non-Differential	Differential	-0.944247750678757	-2.80034892156241	1.47866867649742	1.77983704877052	1.03957631982265	1.94688059474222	Matrix 2	Matrix 2	TRUE	1.25912249816004	-1.87229833612058	0.00602851	0.00625362	0.034756	0.00320356209341412	0.330414	0.31231	3.96026296673161e-06	3.82353518267247e-06	0.00045168	0.00024295	0.00114444	0.00091162	-0.298434	0.000101517354514925	0.553553	0.52934	4.03261422055901e-07	2.35919755762321e-07	0.00064176	0.00044115	8.4e-07	3.6e-07	-0.433481	1e-06	3.872983	NA	1.04166666666667e-11	0	1.25e-06	0	-5.9e-07	1.2e-07	1.441787	1e-06	NA	NA	0	0	0	6.7e-07	0.80644379	0.61205092	-0.267505	0.342143936271676	0.474987	0.438129	0.146723748154794	0.0719066370507565	0.3301844	0.25171646	0	0	0
chr1	151660000	151820000	160	151660000	151820000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.709651338073892	1.50155169789727	1.3813642150703	1.60656723027419	1.64771321766233	1.15190126772076	Matrix 2	Matrix 1	FALSE	1.51453871636632	0.395950179911689	0.00686177	0.00684492	-0.002416	0.00320356209341412	0.206551	0.187253	2.00040564967325e-06	1.65420587806586e-06	0.00112132	0.00108803	0.00093787	0.00087721	-0.08676	0.000101517354514925	0.372797	0.376995	1.29271776144077e-07	1.12878199736995e-07	0.00038221	0.00051247	0	-2e-07	-0.313497	1e-06	NA	NA	0	9.765625e-12	0	0	1.2e-07	8e-08	-0.049117	1e-06	4	NA	3.70562495984137e-12	0	1.77e-06	0	1.28029158	1.03340436	-0.238154	0.342143936271676	0.329034	0.369638	0.17745834894553	0.145913227812984	0.10331693	0.06907188	0	0	0
chr1	151820000	151950000	130	151820000	151950000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	1.50155169789727	0.646489387450047	1.64771321766233	1.15190126772076	1.56782290065491	1.35072661634339	Matrix 1	Matrix 1	FALSE	1.60776805915862	1.07402054267366	0.00728221	0.00759867	0.042897	0.00320356209341412	0.188653	0.173693	1.86476630281807e-06	1.75604883047089e-06	0.0017961	0.00169901	0.00280132	0.00248126	-0.16854	0.000101517354514925	0.481752	0.415631	1.86314674547261e-06	1.07221986019042e-06	0.00039435	0.00046808	0	0	0	1e-06	NA	NA	0	0	0	0	-7e-08	-1.34e-06	NA	1e-06	NA	4.365844	7.69230792155633e-12	2.01804358898187e-10	1e-06	0	1.46708669	1.25676536	-0.178288	0.342143936271676	0.273725	0.249097	0.161267681628145	0.0980057038628727	0.09482529	0.06257763	2	1	1
chr1	151950000	152090000	140	151950000	152090000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.646489387450047	0.255606459580721	1.56782290065491	1.35072661634339	6.25590672016467	6.14626696059308	Matrix 1	Matrix 1	FALSE	3.91186481040979	0.451047923515384	0.00485407	0.00580425	0.160822	0.00320356209341412	0.22327	0.176921	1.13380698263771e-06	1.04598825708043e-06	0.00226401	0.00162046	0.004221	0.0038944	-0.113344	0.000101517354514925	0.127206	0.159927	2.94899892024108e-07	3.92731494467778e-07	0.00195536	0.00174271	0	-1e-07	-0.152002	1e-06	NA	NA	0	2.24000013828278e-12	0	5.6e-07	-1.4e-07	-7e-08	0.10371	1e-06	NA	NA	4.23499995410442e-12	7.92064306129728e-11	1.77e-06	4.1e-06	1.64732841	1.37817007	-0.209714	0.342143936271676	0.197416	0.224172	0.105761544073109	0.0954490271652726	0.2867075	0.18215499	0	0	0
chr1	152100000	152240000	140	152100000	152240000	Non-Differential	Strength Change	Non-Differential	Differential	-0.789402392175684	2.58388916146639	2.22342920151413	2.47103969849782	2.45132958700573	1.59975234514799	Matrix 2	Matrix 1	TRUE	2.33737939425993	0.897243384645355	0.00623719	0.00630243	0.009936	0.00320356209341412	0.203733	0.209492	1.61785175942202e-06	1.75164458009347e-06	0.00158201	0.00110752	0.00112	0.00113389	0.016322	0.000101517354514925	0.608464	0.618123	4.62402896386789e-07	5.08874207070426e-07	0.00164254	0.00153675	0	0	0	1e-06	NA	NA	0	0	0	5.6e-07	-2.4e-07	3e-07	0.771677	1e-06	NA	3.741657	0	4.23499995410442e-12	1.077e-05	4.1e-06	1.25068484	1.20790568	-0.039277	0.342143936271676	0.603131	0.775236	0.568996119897952	0.876855802153158	0.38679193	0.36511089	2	2	0
chr1	152240000	152370000	130	152240000	152370000	Strength Change	Non-Differential	Differential	Non-Differential	2.58388916146639	-0.652470349188327	2.45132958700573	1.59975234514799	1.45143162870496	1.65772257794389	Matrix 1	Matrix 2	TRUE	1.95138060785535	0.965709406139033	0.00675422	0.0068352	0.011685	0.00320356209341412	0.213422	0.194965	2.06532547319896e-06	1.80780384090423e-06	0.00106972	0.00091517	0.00127689	0.00130812	0.032314	0.000101517354514925	0.524388	0.489743	4.71876455004551e-07	3.81015571320309e-07	0.00040253	0.00034872	-3.1e-07	-9e-08	0.407964	1e-06	NA	NA	6.36999974131584e-12	1.55769243148657e-12	9.1e-07	0	2.74e-06	0	-1.902437	1e-06	3.605551	NA	7.69230769230769e-10	0	1.222e-05	0	1.21202498	1.72848593	0.413926	0.342143936271676	0.384987	0.901258	0.217731428869879	2.42680452570139	0.02400223	0.78328741	7	7	0
chr1	152390000	152520000	130	152390000	152520000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.0497239764912018	-1.71569886574838	1.68944320702316	1.6661190706565	1.59110777730145	2.14295860100698	Matrix 1	Matrix 2	FALSE	1.64027549216231	-0.832987444628588	0.00727781	0.00715213	-0.017404	0.00320356209341412	0.2257	0.220907	2.69156038339391e-06	2.50008319880028e-06	0.00182955	0.00140888	0.00080932	0.00087214	0.096213	0.000101517354514925	0.291543	0.303274	5.3134748551072e-08	6.87203904836402e-08	0.00056343	0.00049381	0	-1e-07	-0.155088	1e-06	NA	NA	0	0	0	0	-1.12e-06	-3.4e-07	NA	1e-06	NA	NA	3.79107702079186e-11	0	4.72e-06	0	1.28660873	0.96254039	-0.320067	0.342143936271676	0.354558	0.364079	0.208093491417128	0.122807965245917	0.26737441	0.97449646	0	0	0
chr1	152520000	152720000	200	152520000	152720000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.71569886574838	1.51935234367569	1.59110777730145	2.14295860100698	1.69199467351349	1.19020042599275	Matrix 2	Matrix 1	FALSE	1.64155122540747	-0.0981732610363429	0.00861545	0.0082852	-0.040886	0.00320356209341412	0.208166	0.207401	3.22395331159673e-06	2.94928866793623e-06	0.00151366	0.00120035	0.00123664	0.00133187	0.099183	0.000101517354514925	0.379303	0.420833	2.33522214774091e-07	3.21137663337547e-07	0.00035045	0.00030874	-4.2e-06	-4.62e-06	0.179346	1e-06	NA	NA	4.16988426319925e-10	5e-10	8.33e-06	1e-05	1e-06	2.4e-07	-0.684753	1e-06	6.319736	NA	4.0339447495288e-11	0	2.5e-06	0	2.1541368	1.50721465	-0.432755	0.342143936271676	0.734629	0.560248	2.50428910572315	0.713031599205823	0.26600565	0.27217565	1	0	1
chr1	152720000	152840000	120	152720000	152840000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	1.51935234367569	1.16284319947995	1.69199467351349	1.19020042599275	2.84372491004884	2.45313290611661	Matrix 1	Matrix 1	FALSE	2.26785979178116	1.34109777157782	0.00793133	0.00788578	-0.005913	0.00320356209341412	0.242851	0.241533	3.7153352517551e-06	3.69174451900842e-06	0.00193559	0.0016633	0.0012257	0.00117065	-0.061116	0.000101517354514925	0.38157	0.400009	2.1885359621708e-07	2.16851896598808e-07	0.00010044	9.884e-05	-1.7e-07	-2.3e-07	-0.105517	1e-06	NA	NA	5.74083289633195e-12	0	9.16e-06	1e-05	0	2.1e-07	0.273016	1e-06	NA	NA	0	0	0	0	1.26772513	1.03771898	-0.222418	0.342143936271676	0.297864	0.330381	0.142583543493261	0.11753830609901	0.25201546	0.27090856	1	1	0
chr1	152850000	152950000	100	152850000	152950000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.0280373263586726	0.243676925933457	1.91016686401059	1.91122679643997	3.08291261782898	2.99055857597643	Matrix 2	Matrix 1	FALSE	2.49653974091979	0.107819799787392	0.00510865	0.00524161	0.022894	0.00320356209341412	0.452296	0.416702	5.2593473894029e-06	4.78494527977093e-06	0.00342296	0.00306317	0.00122822	0.00115998	-0.076009	0.000101517354514925	0.666743	0.605651	7.16794874954324e-07	4.85102484594905e-07	0.0014113	0.00129724	0	3.8e-07	0.467276	1e-06	NA	3.162278	0	2.0449001909256e-11	8.3e-07	1.43e-06	1.04e-06	1.43e-06	0.25267	1e-06	NA	NA	0	0	0	0	0.89053322	0.7114125	-0.226527	0.342143936271676	0.361911	0.380531	0.103869086876213	0.0732845519936837	0.30823013	0.26501265	0	0	0
chr1	152960000	153100000	140	152960000	153100000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.48034898190339	-0.563744963960272	1.57530589459091	2.05060181232064	2.41592076663735	2.58925210450235	Matrix 2	Matrix 2	FALSE	1.99561333061413	-1.02204697293183	0.00413095	0.00474493	0.115981	0.00320356209341412	0.360258	0.27475	2.09858326821077e-06	1.72607485972245e-06	0.00322259	0.00244251	0.00336142	0.00312817	-0.100598	0.000101517354514925	0.152941	0.16747	2.64280599350648e-07	2.72496919897849e-07	0.00188992	0.00157221	3e-07	0	-0.376526	1e-06	NA	NA	0	0	0	1.43e-06	-2e-07	-3.3e-07	-0.252148	1e-06	NA	NA	0	0	0	0	1.2490467	1.01375403	-0.230858	0.342143936271676	0.280588	0.268993	0.122829595725737	0.0743622249079757	0.20203307	0.30611304	0	0	0
chr1	153110000	153300000	190	153110000	153300000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.23478209380732	-0.100061984049649	2.5545393593362	2.46731286988221	2.0663350678652	2.090184084106	Matrix 1	Matrix 2	FALSE	2.3104372136007	0.0673600548788354	0.00894926	0.00888172	-0.008041	0.00320356209341412	0.221034	0.213073	3.86225177688176e-06	3.58003677988423e-06	0.00193206	0.00177975	0.00177744	0.00186733	0.067417	0.000101517354514925	0.347186	0.320945	3.9265790231961e-07	3.58447791071685e-07	0.00081903	0.00058674	-1e-07	-7e-08	0.053822	1e-06	NA	NA	0	1.31578951289779e-12	0	5e-07	-4.1e-07	-2.4e-07	0.358643	1e-06	NA	NA	0	1.0762632583819e-11	0	1.43e-06	1.45663263	1.25788145	-0.168921	0.342143936271676	0.303944	0.366912	0.196016123821321	0.213014062047972	0.18926795	0.26274074	1	1	0
chr1	153300000	153420000	120	153300000	153420000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.100061984049649	0.0543166297714521	2.0663350678652	2.090184084106	1.70515677570463	1.68027106295202	Matrix 2	Matrix 1	FALSE	1.88574592178492	-0.0228726771390985	0.00715668	0.00716508	0.001169	0.00320356209341412	0.264484	0.253345	3.54577841941922e-06	3.31286953272383e-06	0.00183202	0.00177962	0.0011115	0.00109681	-0.017575	0.000101517354514925	0.640016	0.587462	5.23970490449716e-07	4.16245265696309e-07	0.00061134	0.00052795	-3e-08	0	0.048909	1e-06	NA	NA	0	0	0	5e-07	-6.9e-07	2.9e-07	2.071761	1e-06	NA	NA	0	0	0	1.43e-06	0.92956986	0.74867189	-0.221366	0.342143936271676	0.594149	0.5524	0.305043843074418	0.171040150051262	0.19745369	0.13360089	1	1	0
