loop_id	direction	anchor1_annotation	anchor2_annotation	anchor1_gene	anchor2_gene
loop_10366	up	Exon (ENSMUST00000037097.8/225288, exon 15 of 27)	Promoter (<=1kb)	Fhod3	Fhod3
loop_10460	down	Promoter (<=1kb)	Promoter (<=1kb)	Zfp608	Zfp608
loop_10466	down	Promoter (<=1kb)	Promoter (<=1kb)	Cabyr	Osbpl1a
loop_10488	down	Promoter (<=1kb)	Promoter (<=1kb)	Cep120	Csnk1g3
loop_12981	up	Distal Intergenic	Promoter (<=1kb)	Acaa2	Lipg
loop_10518	down	Intron (ENSMUST00000079738.9/75444, intron 6 of 6)	Promoter (<=1kb)	2210409D07Rik	Gm19519
loop_10523	up	Promoter (<=1kb)	Intron (ENSMUST00000037097.8/225288, intron 5 of 26)	Fhod3	Fhod3
loop_13039	down	Distal Intergenic	Promoter (<=1kb)	Rit2	Syt4
loop_22026	up	Distal Intergenic	Promoter (<=1kb)	Mir5127	Galr1
loop_10555	down	Promoter (<=1kb)	Distal Intergenic	Gm10549	Gm10549
loop_1701	up	Distal Intergenic	Promoter (<=1kb)	Acaa2	9030625G05Rik
loop_13209	up	Promoter (<=1kb)	Exon (ENSMUST00000183218.2/ENSMUST00000183218.2, exon 1 of 3)	Piezo2	Piezo2
loop_21090	up	Promoter (<=1kb)	Distal Intergenic	Nhlrc2	Ccdc186
loop_10860	down	Promoter (<=1kb)	Distal Intergenic	Mrpl16	Or4d11
loop_10892	up	Distal Intergenic	Promoter (1-2kb)	Bcas1	Pfdn4
loop_13649	up	Promoter (<=1kb)	Distal Intergenic	Cebpb	Ptpn1
loop_13638	down	Promoter (<=1kb)	Exon (ENSMUST00000122965.7/77766, exon 7 of 10)	Pax6	Elp4
loop_13741	down	Distal Intergenic	Promoter (<=1kb)	Iftap	Iftap
loop_12748	up	Promoter (<=1kb)	Exon (ENSMUST00000110007.7/94249, exon 4 of 17)	Slc24a3	Gm14092
loop_11064	down	Intron (ENSMUST00000111831.7/241494, intron 1 of 9)	Promoter (<=1kb)	Zfp385b	Cwc22
loop_11095	up	Promoter (1-2kb)	Distal Intergenic	Chrna4	Kcnq2
loop_11121	up	Promoter (<=1kb)	Distal Intergenic	AA467197	Sqor
loop_11146	up	Promoter (1-2kb)	Promoter (<=1kb)	Ghrh	Src
loop_11160	up	Promoter (<=1kb)	Promoter (<=1kb)	Abl1	Fibcd1
loop_11176	up	Promoter (<=1kb)	Distal Intergenic	Hoxd8	Mtx2
loop_11193	down	Distal Intergenic	Promoter (<=1kb)	Cd82	Ext2
loop_14036	up	Promoter (<=1kb)	3' UTR	Gpr107	Hmcn2
loop_11241	up	Promoter (<=1kb)	Exon (ENSMUST00000127006.1/ENSMUST00000127006.1, exon 3 of 4)	Snai1	Ube2v1
loop_14080	up	Exon (ENSMUST00000017961.10/59091, exon 3 of 6)	Promoter (1-2kb)	Tox2	Oser1
loop_13944	up	Promoter (<=1kb)	Distal Intergenic	0610009E02Rik	Egfl7
loop_13991	up	Promoter (<=1kb)	Promoter (<=1kb)	Arhgap40	Mir3474
loop_13966	up	Promoter (1-2kb)	3' UTR	Sulf2	Prex1
loop_14177	down	Promoter (<=1kb)	Exon (ENSMUST00000141964.1/ENSMUST00000141964.1, exon 2 of 3)	Zc3h8	A730036I17Rik
loop_14065	down	Distal Intergenic	Promoter (<=1kb)	Iftap	Iftap
loop_14068	up	3' UTR	Promoter (<=1kb)	Eya2	Ncoa3
loop_14264	up	Promoter (<=1kb)	Promoter (1-2kb)	Slco4a1	Mrgbp
loop_11407	up	Distal Intergenic	Promoter (<=1kb)	Bmp7	Rae1
loop_14192	up	Promoter (<=1kb)	Distal Intergenic	Cables2	Slco4a1
loop_14242	up	Promoter (<=1kb)	Exon (ENSMUST00000155475.1/ENSMUST00000155475.1, exon 1 of 4)	Psd4	Cacna1b
loop_14365	up	Distal Intergenic	Promoter (<=1kb)	Rasgrp1	Thbs1
loop_14386	up	Exon (ENSMUST00000060208.10/329421, exon 8 of 35)	Promoter (<=1kb)	Myo3b	Gad1
loop_14298	up	Promoter (<=1kb)	Exon (ENSMUST00000155475.1/ENSMUST00000155475.1, exon 1 of 4)	Il1f10	Cacna1b
loop_11538	up	Distal Intergenic	Promoter (<=1kb)	Mir6337	Scn3a
loop_11542	up	Distal Intergenic	Promoter (<=1kb)	Itga8	Itga8
loop_14438	down	Promoter (<=1kb)	Promoter (<=1kb)	Dlx2	Sp9
loop_11572	up	Promoter (<=1kb)	Exon (ENSMUST00000131533.1/ENSMUST00000131533.1, exon 1 of 3)	Dpp4	Gcg
loop_14656	up	Promoter (<=1kb)	Distal Intergenic	Rtl9	Chrdl1
loop_11741	down	Intron (ENSMUST00000198484.1/ENSMUST00000198484.1, intron 5 of 5)	Promoter (<=1kb)	Abca4	Gclm
loop_11920	down	Distal Intergenic	Promoter (<=1kb)	Ssr3	4931440P22Rik
loop_15086	up	Promoter (<=1kb)	Exon (ENSMUST00000198375.1/ENSMUST00000198375.1, exon 1 of 2)	Casq2	A230001M10Rik
loop_14973	down	Promoter (<=1kb)	Distal Intergenic	Ndst3	Ndst3
loop_14960	up	Promoter (<=1kb)	Distal Intergenic	Kcnn3	Kcnn3
loop_15144	up	Promoter (1-2kb)	Exon (ENSMUST00000011152.13/68279, exon 3 of 14)	Dnai3	Mcoln2
loop_12039	down	Promoter (<=1kb)	Distal Intergenic	Fbxw7	Glt28d2
loop_12073	up	Promoter (<=1kb)	3' UTR	Bdh2	Nfkb1
loop_15107	up	Promoter (<=1kb)	Distal Intergenic	Sox2	Mir6378
loop_12147	down	Promoter (<=1kb)	Exon (ENSMUST00000041284.9/12695, exon 32 of 44)	Patj	L1td1
loop_12256	up	Promoter (<=1kb)	Promoter (<=1kb)	Ptprf	Ptprf
loop_12261	down	Exon (ENSMUST00000030021.13/107684, exon 4 of 13)	Promoter (<=1kb)	Coro2a	Coro2a
loop_12268	down	3' UTR	Promoter (<=1kb)	Tgs1	Lyn
loop_12294	up	Promoter (<=1kb)	5' UTR	Rpl22	Kcnab2
loop_7605	up	Promoter (<=1kb)	Distal Intergenic	Glis1	Dmrtb1
loop_12378	down	Promoter (<=1kb)	Promoter (<=1kb)	Osgin2	A530072M11Rik
loop_12400	down	Promoter (<=1kb)	Distal Intergenic	Manea	Manea
loop_12519	up	Exon (ENSMUST00000084621.11/381605, exon 9 of 13)	Promoter (<=1kb)	Coro2a	Anks6
loop_15870	down	Distal Intergenic	Promoter (<=1kb)	Mpdz	Gm11264
loop_12544	up	Exon (ENSMUST00000026378.3/18599, exon 11 of 16)	Promoter (1-2kb)	Gm13032	Padi2
loop_19947	up	Promoter (<=1kb)	Promoter (<=1kb)	Col15a1	Tgfbr1
loop_15879	up	Promoter (<=1kb)	Exon (ENSMUST00000044773.11/666060, exon 9 of 16)	Tomm5	Trmt10b
loop_12577	down	Promoter (<=1kb)	Distal Intergenic	Fut9	Fut9
loop_15919	down	Promoter (<=1kb)	Promoter (<=1kb)	Slc6a9	Ptprf
loop_16171	down	Distal Intergenic	Promoter (<=1kb)	Rassf6	Cxcl2
loop_12735	up	Promoter (<=1kb)	Exon (ENSMUST00000150779.7/17690, exon 8 of 15)	4930401G09Rik	Msi1
loop_12740	up	Promoter (<=1kb)	Exon (ENSMUST00000064571.10/70292, exon 10 of 17)	Afap1	Afap1
loop_12807	up	Intron (ENSMUST00000057497.12/140709, intron 3 of 12)	Promoter (<=1kb)	Col26a1	Col26a1
loop_12825	up	Exon (ENSMUST00000211733.1/243219, exon 5 of 13)	Promoter (<=1kb)	2900026A02Rik	Lhfpl7
loop_16305	up	Promoter (<=1kb)	Intron (ENSMUST00000169347.5/231646, intron 1 of 31)	Acacb	Myo1h
loop_16301	up	Promoter (<=1kb)	Exon (ENSMUST00000196032.1/ENSMUST00000196032.1, exon 1 of 5)	Adgra3	Mir8117
loop_12974	up	Promoter (<=1kb)	Promoter (1-2kb)	Eln	Tmem270
loop_13030	down	Promoter (<=1kb)	Exon (ENSMUST00000094715.7/433899, exon 2 of 4)	Atp8a1	Grxcr1
loop_13051	up	Promoter (<=1kb)	Promoter (<=1kb)	Msantd1	Hgfac
loop_16551	down	Distal Intergenic	Promoter (<=1kb)	Fzd1	Fzd1
loop_16574	up	3' UTR	Promoter (<=1kb)	Hopx	Spink2
loop_16547	up	Promoter (<=1kb)	Distal Intergenic	Limch1	Tmem33
loop_13105	up	Promoter (<=1kb)	Intron (ENSMUST00000162366.7/11787, intron 8 of 15)	Nsun7	Apbb2
loop_13108	up	Distal Intergenic	Promoter (<=1kb)	Rab28	Nkx3-2
loop_16442	up	Promoter (<=1kb)	Promoter (<=1kb)	Fam185a	Fbxl13
loop_16520	up	Promoter (<=1kb)	3' UTR	Hmx1	Cpz
loop_13149	up	Promoter (1-2kb)	Intron (ENSMUST00000209346.1/320292, intron 2 of 16)	Rasgef1b	Rasgef1b
loop_13150	up	Promoter (<=1kb)	3' UTR	Bst1	Fgfbp1
loop_16646	up	Promoter (<=1kb)	Promoter (<=1kb)	Corin	Corin
loop_13179	up	Exon (ENSMUST00000037370.13/81840, exon 19 of 27)	Promoter (<=1kb)	Afap1	Sorcs2
loop_16693	up	Promoter (<=1kb)	Promoter (<=1kb)	Cep135	Cracd
loop_13241	up	Promoter (<=1kb)	Distal Intergenic	Hdac11	Fbln2
loop_16924	up	Promoter (<=1kb)	5' UTR	Gsg1	Emp1
loop_13399	down	Distal Intergenic	Promoter (<=1kb)	C1s2	Ptpn6
loop_16866	down	Promoter (<=1kb)	Distal Intergenic	Etfbkmt	Bicd1
loop_13438	down	Distal Intergenic	Promoter (<=1kb)	Zfp777	Zfp746
loop_13466	down	Promoter (<=1kb)	Promoter (1-2kb)	Slc13a1	Slc13a1
loop_17011	down	Distal Intergenic	Promoter (<=1kb)	Kcnd2	Kcnd2
loop_16910	down	Intron (ENSMUST00000067888.13/29807, intron 8 of 8)	Promoter (<=1kb)	9430018G01Rik	Tpk1
loop_17068	down	Distal Intergenic	Promoter (<=1kb)	Mir148a	Hoxa7
loop_20196	down	Promoter (<=1kb)	3' UTR	Ppfibp1	Klhl42
loop_13540	down	Exon (ENSMUST00000112254.7/22371, exon 19 of 52)	Promoter (<=1kb)	Vwf	Ntf3
loop_17058	up	Promoter (<=1kb)	Distal Intergenic	Cttnbp2	Lsm8
loop_20207	up	Intron (ENSMUST00000053880.12/14812, intron 4 of 13)	Promoter (<=1kb)	4930425L21Rik	Grin2b
loop_17171	up	Promoter (<=1kb)	Promoter (<=1kb)	Fbxl14	Wnk1
loop_3979	up	Promoter (<=1kb)	Promoter (<=1kb)	Hoxa13	Tax1bp1
loop_17265	up	Promoter (<=1kb)	Distal Intergenic	Gm20383	Eva1a
loop_17405	down	Promoter (<=1kb)	Promoter (1-2kb)	1600014C10Rik	Pop4
loop_17509	down	Promoter (<=1kb)	Promoter (<=1kb)	Gm5893	Rps19
loop_17603	up	Promoter (<=1kb)	Exon (ENSMUST00000209134.1/ENSMUST00000209134.1, exon 3 of 3)	Fadd	Ano1
loop_13952	down	Promoter (<=1kb)	Distal Intergenic	Otud7a	E030018B13Rik
loop_17804	up	5' UTR	Promoter (<=1kb)	Fank1	D7Ertd443e
loop_14054	down	Promoter (<=1kb)	Distal Intergenic	Arl6ip1	4930583K01Rik
loop_17661	up	Exon (ENSMUST00000208857.1/ENSMUST00000208857.1, exon 1 of 1)	Promoter (<=1kb)	Ano1	Fgf15
loop_17968	up	Promoter (<=1kb)	3' UTR	Nsmce1	Gtf3c1
loop_17877	up	Promoter (<=1kb)	Promoter (<=1kb)	Or51d1	Or51s1
loop_14106	down	Promoter (<=1kb)	Promoter (<=1kb)	Fah	Zfand6
loop_14120	up	Promoter (<=1kb)	Promoter (<=1kb)	Pde2a	Pde2a
loop_17831	up	Distal Intergenic	Promoter (<=1kb)	4930583K01Rik	Syt17
loop_14373	down	Promoter (<=1kb)	Intron (ENSMUST00000105441.7/216033, intron 7 of 17)	Lrrtm3	Lrrtm3
loop_18178	up	Promoter (<=1kb)	Exon (ENSMUST00000176406.1/ENSMUST00000176406.1, exon 1 of 3)	Unc5b	Gm20611
loop_18342	down	Distal Intergenic	Promoter (<=1kb)	Gm20125	Cited2
loop_18321	up	Promoter (<=1kb)	Distal Intergenic	Rspo3	Rspo3
loop_14475	down	Exon (ENSMUST00000020312.12/215999, exon 2 of 8)	Promoter (1-2kb)	Mcu	Mcu
loop_14488	up	Promoter (<=1kb)	3' UTR	Adora2a	Upb1
loop_18347	up	Promoter (<=1kb)	Promoter (<=1kb)	Col18a1	Gm10941
loop_18488	up	Exon (ENSMUST00000073242.10/22295, exon 6 of 67)	Promoter (<=1kb)	Cdh23	Cdh23
loop_18508	up	Distal Intergenic	Promoter (<=1kb)	Samd5	Samd5
loop_18556	down	Exon (ENSMUST00000220374.1/ENSMUST00000220374.1, exon 1 of 2)	Promoter (<=1kb)	C330004P14Rik	Gm20125
loop_18490	up	Exon (ENSMUST00000218793.1/ENSMUST00000218793.1, exon 1 of 2)	Promoter (<=1kb)	Timm8a1	Utrn
loop_16517	up	3' UTR	Promoter (<=1kb)	Epm2a	Utrn
loop_18607	up	Promoter (<=1kb)	Distal Intergenic	Gja1	4930467K11Rik
loop_7874	up	Promoter (<=1kb)	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	Foxc2	1700018B08Rik
loop_7961	down	Promoter (<=1kb)	Promoter (<=1kb)	Zfp827	Mmaa
loop_7998	up	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	Promoter (1-2kb)	Irf8	Mthfsd
loop_14732	up	Promoter (<=1kb)	Intron (ENSMUST00000022469.12/64652, intron 3 of 20)	Uqcc5	Nisch
loop_18774	up	Distal Intergenic	Promoter (<=1kb)	Ipo5	Ipo5
loop_20536	up	Distal Intergenic	Promoter (1-2kb)	Ptpn20	Gdf2
loop_8618	down	Promoter (<=1kb)	Intron (ENSMUST00000191272.1/ENSMUST00000191272.1, intron 1 of 2)	Zic4	Zic4
loop_18826	down	Exon (ENSMUST00000034920.10/23938, exon 10 of 22)	Promoter (<=1kb)	Map2k5	Map2k5
loop_14815	up	Promoter (<=1kb)	Promoter (<=1kb)	Pou2f3	Pou2f3
loop_20615	up	Promoter (1-2kb)	Distal Intergenic	Trim29	Trim29
loop_9720	up	Promoter (<=1kb)	Intron (ENSMUST00000103154.10/78473, intron 4 of 12)	Hoxb9	Skap1
loop_14919	down	Intron (ENSMUST00000102801.7/23964, intron 4 of 30)	Promoter (<=1kb)	Tenm2	Tenm2
loop_14926	down	Exon (ENSMUST00000103201.7/107476, exon 20 of 56)	Promoter (<=1kb)	Acaca	Mrm1
loop_15036	up	Distal Intergenic	Promoter (<=1kb)	Hsp90aa1	Mok
loop_10703	up	Exon (ENSMUST00000219409.1/ENSMUST00000219409.1, exon 1 of 1)	Promoter (<=1kb)	Gm19990	Sfta3-ps
loop_15052	up	Promoter (<=1kb)	Intron (ENSMUST00000142046.7/268534, intron 1 of 16)	Sntg2	Sntg2
loop_11028	down	Exon (ENSMUST00000230321.1/ENSMUST00000230321.1, exon 1 of 2)	Promoter (<=1kb)	Angpt1	Angpt1
loop_11138	up	3' UTR	Promoter (<=1kb)	Cyp2d26	Serhl
loop_15225	down	Distal Intergenic	Promoter (1-2kb)	Mmut	Opn5
loop_15285	down	Exon (ENSMUST00000143567.7/381290, exon 3 of 21)	Promoter (<=1kb)	Mir6903	Atp2b4
loop_12736	down	Promoter (<=1kb)	Exon (ENSMUST00000126596.1/ENSMUST00000126596.1, exon 1 of 2)	Brinp3	Brinp3
loop_19475	up	Promoter (<=1kb)	Intron (ENSMUST00000190298.7/215690, intron 1 of 30)	Nav1	Nav1
loop_15334	up	Promoter (<=1kb)	Distal Intergenic	Dsel	Dsel
loop_15377	up	Intron (ENSMUST00000072726.6/104082, intron 20 of 27)	Promoter (<=1kb)	Wdr7	Onecut2
loop_13553	up	3' UTR	Promoter (<=1kb)	Ms4a2	Mrpl16
loop_13569	up	Promoter (1-2kb)	Distal Intergenic	Cyp26a1	Myof
loop_15488	up	Promoter (<=1kb)	Distal Intergenic	Mir7005	Rps21
loop_15490	up	Promoter (<=1kb)	Distal Intergenic	Zfp663	Trp53rka
loop_15506	down	Promoter (<=1kb)	Intron (ENSMUST00000037499.5/66541, intron 2 of 6)	Pax6	Immp1l
loop_14236	up	Intron (ENSMUST00000060208.10/329421, intron 10 of 34)	Promoter (<=1kb)	Myo3b	Gad1
loop_14400	up	Distal Intergenic	Promoter (<=1kb)	Mettl15	Bdnf
loop_15224	down	Promoter (<=1kb)	Distal Intergenic	Bdh2	Nfkb1
loop_19917	down	Promoter (1-2kb)	Exon (ENSMUST00000137477.1/ENSMUST00000137477.1, exon 1 of 4)	Gm11266	Gm11266
loop_15664	up	Promoter (<=1kb)	Promoter (1-2kb)	Slc6a9	Ccdc24
loop_15666	up	3' UTR	Promoter (1-2kb)	Padi4	Padi2
loop_14477	up	Promoter (<=1kb)	Promoter (<=1kb)	Slc25a51	Stra6l
loop_16457	up	Promoter (<=1kb)	Exon (ENSMUST00000038676.6/242939, exon 2 of 11)	4930478P22Rik	Cpz
loop_15781	up	Distal Intergenic	Promoter (<=1kb)	Spring1	Med13l
loop_14911	up	Promoter (<=1kb)	Distal Intergenic	Shh	Rnf32
loop_15856	up	Exon (ENSMUST00000101532.9/320127, exon 4 of 34)	Promoter (<=1kb)	Dgki	Dgki
loop_15888	up	Exon (ENSMUST00000192767.1/ENSMUST00000192767.1, exon 1 of 1)	Promoter (<=1kb)	Gm15401	Tcf7l1
loop_17230	down	Promoter (<=1kb)	Distal Intergenic	Igf2bp3	Mir148a
loop_15916	down	Promoter (<=1kb)	3' UTR	Plekhf1	Pop4
loop_15952	down	Promoter (<=1kb)	Distal Intergenic	Zbed5-ps	Zbed5-ps
loop_20351	down	Intron (ENSMUST00000207458.1/319711, intron 5 of 8)	Promoter (1-2kb)	Eed	Sytl2
loop_20430	up	Promoter (<=1kb)	3' UTR	Sh3rf3	Septin10
loop_16160	up	Promoter (<=1kb)	Promoter (<=1kb)	Nefl	Nefm
loop_8582	up	Promoter (<=1kb)	Exon (ENSMUST00000226677.1/ENSMUST00000226677.1, exon 1 of 1)	Sugt1	Olfm4
loop_16230	up	Promoter (<=1kb)	Promoter (<=1kb)	Nectin1	Nectin1
loop_16347	up	Promoter (<=1kb)	Intron (ENSMUST00000172919.7/12808, intron 7 of 7)	Grb10	Cobl
loop_19079	up	Promoter (<=1kb)	Distal Intergenic	Wdr41	Snora47
loop_10905	up	Distal Intergenic	Promoter (1-2kb)	Zfp706	Grhl2
loop_11072	up	Intron (ENSMUST00000229547.1/21411, intron 1 of 1)	Promoter (<=1kb)	Tcf20	Nfam1
loop_2797	up	Exon (ENSMUST00000231310.1/ENSMUST00000231310.1, exon 1 of 2)	Promoter (<=1kb)	Mir1952	Sptlc3
loop_16582	up	Exon (ENSMUST00000187199.2/381062, exon 3 of 4)	Promoter (<=1kb)	Ermard	Dll1
loop_12626	up	Promoter (<=1kb)	Promoter (<=1kb)	Iqca1	Ackr3
loop_13568	up	Distal Intergenic	Promoter (<=1kb)	Pak3	Pak3
loop_16901	up	Promoter (<=1kb)	Promoter (<=1kb)	1700017G19Rik	Hspa4l
loop_16950	up	Promoter (<=1kb)	Exon (ENSMUST00000194907.1/ENSMUST00000194907.1, exon 2 of 2)	Mecr	Epb41
loop_16952	up	Promoter (1-2kb)	Distal Intergenic	L1td1	Usp1
loop_19979	up	Distal Intergenic	Promoter (<=1kb)	Ajap1	Ajap1
loop_16317	up	Distal Intergenic	Promoter (<=1kb)	Aym1	Wscd2
loop_17044	up	Distal Intergenic	Promoter (<=1kb)	Slc10a4	Fryl
loop_16685	up	Promoter (<=1kb)	Exon (ENSMUST00000169534.5/22165, exon 6 of 14)	Corin	Txk
loop_17183	down	Distal Intergenic	Promoter (<=1kb)	Kcnd2	Kcnd2
loop_17086	up	Promoter (<=1kb)	Intron (ENSMUST00000147639.7/232334, intron 2 of 5)	Atg7	Vgll4
loop_20187	up	5' UTR	Promoter (<=1kb)	Rerg	Rerg
loop_21635	up	Promoter (1-2kb)	Promoter (<=1kb)	D930020B18Rik	Srgap1
loop_7931	up	Promoter (<=1kb)	Exon (ENSMUST00000117160.1/12554, exon 5 of 14)	Cdh13	Cdh13
loop_20504	up	Promoter (1-2kb)	Exon (ENSMUST00000152652.7/244310, exon 12 of 15)	Dlgap2	Cln8
loop_21677	up	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	Promoter (1-2kb)	Fendrr	Mthfsd
loop_21681	up	Promoter (<=1kb)	Distal Intergenic	Cdh11	Cdh5
loop_18794	up	Intron (ENSMUST00000172099.8/16531, intron 1 of 27)	Promoter (<=1kb)	Kcnma1	Kcnma1
loop_17275	up	Promoter (<=1kb)	3' UTR	Arhgap22	Arhgap22
loop_8348	up	Intron (ENSMUST00000172099.8/16531, intron 4 of 27)	Promoter (<=1kb)	Kcnma1	Kcnma1
loop_17290	up	Promoter (1-2kb)	Promoter (<=1kb)	Cspg4	Imp3
loop_21726	up	Intron (ENSMUST00000217308.2/270120, intron 3 of 25)	Promoter (<=1kb)	Fat3	Fat3
loop_17302	up	Promoter (<=1kb)	Exon (ENSMUST00000128982.1/ENSMUST00000128982.1, exon 2 of 4)	Itga9	Ctdspl
loop_21718	up	3' UTR	Promoter (1-2kb)	Olfm2	Olfm2
loop_9092	up	Distal Intergenic	Promoter (<=1kb)	Wdr72	Onecut1
loop_21735	up	Exon (ENSMUST00000084787.5/20264, exon 15 of 28)	Promoter (<=1kb)	Scn10a	Wdr48
loop_9798	up	Promoter (<=1kb)	Distal Intergenic	Cobl	Cobl
loop_17346	up	Promoter (<=1kb)	Intron (ENSMUST00000103154.10/78473, intron 4 of 12)	Hoxb8	Skap1
loop_17347	up	Promoter (<=1kb)	Distal Intergenic	Adra1b	Il12b
loop_17353	up	Promoter (<=1kb)	Promoter (<=1kb)	Tert	Slc6a19
loop_21825	up	Intron (ENSMUST00000238974.1/193385, intron 1 of 13)	Promoter (<=1kb)	Ripor2	Ripor2
loop_21817	up	Promoter (<=1kb)	Distal Intergenic	Trpc7	Trpc7
loop_21855	up	3' UTR	Promoter (<=1kb)	Unc79	Prima1
loop_21862	up	Promoter (<=1kb)	Distal Intergenic	Trib2	Lpin1
loop_21869	up	Distal Intergenic	Promoter (<=1kb)	Dlk1	Mir1906-1
loop_17401	up	Intron (ENSMUST00000221220.1/238266, intron 1 of 6)	Promoter (1-2kb)	Syt16	Dbpht2
loop_17430	up	Promoter (<=1kb)	Promoter (<=1kb)	Gm41410	Slx4
loop_11459	up	Promoter (<=1kb)	Promoter (<=1kb)	Atp5po	Mrps6
loop_17223	up	3' UTR	Promoter (<=1kb)	Lsamp	Gm19522
loop_21921	up	Promoter (<=1kb)	Intron (ENSMUST00000170672.8/72555, intron 2 of 4)	Shisa9	Shisa9
loop_17453	up	Distal Intergenic	Promoter (<=1kb)	Pkdcc	Eml4
loop_11983	up	Promoter (<=1kb)	Exon (ENSMUST00000233521.1/ENSMUST00000233521.1, exon 1 of 2)	Tgif1	Myl12b
loop_21951	up	Distal Intergenic	Promoter (<=1kb)	Dact2	Dact2
loop_19435	up	Promoter (<=1kb)	Intron (ENSMUST00000040599.14/215690, intron 1 of 29)	Nav1	Nav1
loop_17474	up	Promoter (<=1kb)	Promoter (<=1kb)	Dhx9	Rnasel
loop_17476	up	Distal Intergenic	Promoter (1-2kb)	Mlph	Prlh
loop_12888	up	Promoter (<=1kb)	Distal Intergenic	Tfap2b	4930486I03Rik
loop_21986	up	Distal Intergenic	Promoter (<=1kb)	Dusp10	Hlx
loop_21016	up	Promoter (<=1kb)	Exon (ENSMUST00000138535.7/ENSMUST00000138535.7, exon 4 of 5)	9530026F06Rik	Pard3b
loop_22005	up	Promoter (<=1kb)	3' UTR	Slc9a4	Mfsd9
loop_12873	up	Promoter (<=1kb)	Intron (ENSMUST00000088448.11/241035, intron 33 of 66)	Tfap2b	Pkhd1
loop_17511	up	Intron (ENSMUST00000183850.7/140492, intron 1 of 10)	Promoter (<=1kb)	Kcnn2	Kcnn2
loop_22520	up	Promoter (<=1kb)	3' UTR	Tesmin	Ppp6r3
loop_17544	up	Promoter (1-2kb)	Promoter (<=1kb)	Slc17a9	Bhlhe23
loop_21151	up	Promoter (<=1kb)	3' UTR	Sulf2	Prex1
loop_13210	up	Exon (ENSMUST00000129584.1/74702, exon 3 of 3)	Promoter (<=1kb)	4930517E11Rik	Sema6d
loop_17567	up	Exon (ENSMUST00000074156.6/68870, exon 11 of 13)	Promoter (<=1kb)	Ak8	Barhl1
loop_17569	up	Promoter (<=1kb)	Intron (ENSMUST00000142847.7/74030, intron 2 of 2)	BC039771	Rin2
loop_14531	up	Distal Intergenic	Promoter (<=1kb)	Acvr2a	Acvr2a
loop_17575	up	Intron (ENSMUST00000109443.7/19281, intron 16 of 30)	Promoter (1-2kb)	Ptprt	Ptprt
loop_21289	up	Exon (ENSMUST00000159976.7/170643, exon 3 of 16)	Promoter (<=1kb)	Kirrel1	Kirrel1
loop_17598	up	Promoter (<=1kb)	Promoter (<=1kb)	Rbm46	Fgb
loop_14023	up	3' UTR	Promoter (<=1kb)	Kirrel1	Etv3
loop_17626	up	Exon (ENSMUST00000042850.8/64817, exon 33 of 48)	Promoter (<=1kb)	Txndc8	Svep1
loop_19970	up	Promoter (1-2kb)	Promoter (<=1kb)	Slc25a51	Gm12409
loop_17629	up	Distal Intergenic	Promoter (<=1kb)	Cpt2	Scp2
loop_22190	up	3' UTR	Promoter (<=1kb)	Ggh	Nkain3
loop_17651	up	Promoter (<=1kb)	Exon (ENSMUST00000161226.8/319974, exon 5 of 19)	Auts2	4930563F08Rik
loop_22221	up	Promoter (1-2kb)	Promoter (<=1kb)	Evc	Stk32b
loop_17667	down	Promoter (<=1kb)	Promoter (<=1kb)	Speer4e2	Gm17019
loop_17670	up	Distal Intergenic	Promoter (<=1kb)	Gm3716	Klf3
loop_20108	up	3' UTR	Promoter (<=1kb)	Gsap	Fam185a
loop_17676	up	Exon (ENSMUST00000040111.9/209683, exon 15 of 24)	Promoter (1-2kb)	Ttc28	Pitpnb
loop_22225	up	Promoter (<=1kb)	Exon (ENSMUST00000110829.6/17120, exon 12 of 17)	Elfn1	Mad1l1
loop_22291	up	Promoter (<=1kb)	Promoter (<=1kb)	Adam12	D7Ertd443e
loop_22299	up	Exon (ENSMUST00000105902.7/210274, exon 9 of 23)	Promoter (<=1kb)	Shank2	Shank2
loop_18044	up	Distal Intergenic	Promoter (<=1kb)	C230079O03Rik	Ebf3
loop_19399	up	Promoter (<=1kb)	Distal Intergenic	Xylt1	Rps15a
loop_22317	up	Distal Intergenic	Promoter (<=1kb)	Nucb2	Xylt1
loop_22326	up	Distal Intergenic	Promoter (<=1kb)	Nucb2	Xylt1
loop_16413	up	Promoter (<=1kb)	Promoter (<=1kb)	Ctnna3	Lrrtm3
loop_17785	up	Promoter (<=1kb)	Promoter (1-2kb)	Tubgcp3	Atp11a
loop_8231	up	Distal Intergenic	Promoter (1-2kb)	Ptpn20	Gdf2
loop_17792	down	Intron (ENSMUST00000026625.6/69634, intron 1 of 7)	Promoter (<=1kb)	1700108J01Rik	2610035F20Rik
loop_19288	up	Promoter (<=1kb)	3' UTR	Riox2	Crybg3
loop_20991	up	Exon (ENSMUST00000189394.1/100503197, exon 6 of 6)	Promoter (<=1kb)	Gm19589	Arl4c
loop_17875	up	Distal Intergenic	Promoter (<=1kb)	Acsl3	Scg2
loop_11947	up	Intron (ENSMUST00000027581.6/71111, intron 1 of 1)	Promoter (<=1kb)	Gpr39	Nckap5
loop_17422	up	Distal Intergenic	Promoter (<=1kb)	Slc35f5	Nckap5
