anchor_id	chr	start	end	ctrl_signal	mut_signal	log2fc	signal_class
chr5:33035000-33040000	chr5	33035000	33040000	1.045741	1.135682	0.089476	quantifiable
chr5:99245000-99250000	chr5	99245000	99250000	3.312273	2.498681	-0.361329	quantifiable
chr5:43835000-43840000	chr5	43835000	43840000	1.663992	2.213391	0.346474	quantifiable
chr5:97125000-97130000	chr5	97125000	97130000	3.282841	3.491565	0.080382	quantifiable
chr5:89540000-89550000	chr5	89540000	89550000	0.777485	0.591572	-0.257473	quantifiable
chr5:72350000-72360000	chr5	72350000	72360000	2.047427	1.453447	-0.408766	quantifiable
chr5:36030000-36035000	chr5	36030000	36035000	2.201235	1.524248	-0.44286	quantifiable
chr5:76580000-76590000	chr5	76580000	76590000	0.529053	1.006572	0.620245	quantifiable
chr6:91165000-91170000	chr6	91165000	91170000	3.149413	2.672504	-0.210723	quantifiable
chr6:106920000-106930000	chr6	106920000	106930000	1.830754	3.76054	0.911419	quantifiable
chr6:135240000-135250000	chr6	135240000	135250000	1.592234	0.850095	-0.690026	quantifiable
chr6:106820000-106830000	chr6	106820000	106830000	1.839425	2.567017	0.412312	quantifiable
chr6:124640000-124645000	chr6	124640000	124645000	0.345441	0.289256	NA	no_signal
chr6:149130000-149140000	chr6	149130000	149140000	0.826041	0.910648	0.099414	quantifiable
chr6:135085000-135090000	chr6	135085000	135090000	1.847231	1.658253	-0.129133	quantifiable
chr6:48010000-48015000	chr6	48010000	48015000	0.613842	0.538065	-0.116873	quantifiable
chr6:118170000-118180000	chr6	118170000	118180000	1.507826	0.986452	-0.472211	quantifiable
chr6:92280000-92290000	chr6	92280000	92290000	1.041146	0.662279	-0.454835	quantifiable
chr6:125620000-125625000	chr6	125620000	125625000	3.749	2.777434	-0.389207	quantifiable
chr6:65120000-65130000	chr6	65120000	65130000	1.241813	0.728171	-0.55782	quantifiable
chr6:24105000-24110000	chr6	24105000	24110000	2.293688	7.459985	1.559183	quantifiable
chr6:91770000-91780000	chr6	91770000	91780000	3.365613	2.646888	-0.309211	quantifiable
chr6:85155000-85160000	chr6	85155000	85160000	2.262637	2.099032	-0.09293	quantifiable
chr6:20640000-20650000	chr6	20640000	20650000	1.039966	2.58482	1.072811	quantifiable
chr6:14840000-14850000	chr6	14840000	14850000	0.554174	0.32931	-0.407339	one_condition
chr6:43400000-43410000	chr6	43400000	43410000	1.406772	3.203932	1.012372	quantifiable
chr6:51200000-51210000	chr6	51200000	51210000	2.265848	2.002823	-0.152275	quantifiable
chr6:13880000-13890000	chr6	13880000	13890000	1.75145	2.86381	0.610543	quantifiable
chr6:147000000-147010000	chr6	147000000	147010000	1.014869	0.787764	-0.260477	quantifiable
chr6:135520000-135530000	chr6	135520000	135530000	4.429375	3.923544	-0.161034	quantifiable
chr6:117755000-117760000	chr6	117755000	117760000	1.08651	0.73612	-0.400185	quantifiable
chr6:124260000-124270000	chr6	124260000	124270000	0.765423	0.572672	-0.271038	quantifiable
chr6:121330000-121340000	chr6	121330000	121340000	8.860941	5.618726	-0.62508	quantifiable
chr6:13750000-13760000	chr6	13750000	13760000	0.97534	1.06162	0.090332	quantifiable
chr6:19570000-19580000	chr6	19570000	19580000	1.079119	2.377355	0.927618	quantifiable
chr6:18400000-18410000	chr6	18400000	18410000	1.535041	1.558045	0.017408	quantifiable
chr6:135900000-135910000	chr6	135900000	135910000	5.826556	4.752713	-0.27505	quantifiable
chr6:119480000-119490000	chr6	119480000	119490000	1.689057	1.522285	-0.122478	quantifiable
chr6:99800000-99810000	chr6	99800000	99810000	3.441618	2.65682	-0.33359	quantifiable
chr6:52270000-52280000	chr6	52270000	52280000	6.18161	3.653891	-0.704651	quantifiable
chr6:58545000-58550000	chr6	58545000	58550000	1.105004	0.752286	-0.397391	quantifiable
chr6:52250000-52275000	chr6	52250000	52275000	10.19425	6.544769	-0.612162	quantifiable
chr6:81980000-81990000	chr6	81980000	81990000	1.085279	0.873147	-0.229011	quantifiable
chr6:48815000-48820000	chr6	48815000	48820000	1.432264	1.238494	-0.165073	quantifiable
chr6:17360000-17370000	chr6	17360000	17370000	0.95433	0.863651	-0.103138	quantifiable
chr7:38180000-38190000	chr7	38180000	38190000	1.118287	1.505029	0.335281	quantifiable
chr7:129650000-129660000	chr7	129650000	129660000	1.847553	1.425904	-0.3058	quantifiable
chr7:24810000-24820000	chr7	24810000	24820000	0.29397	0.260714	NA	no_signal
chr7:89085000-89090000	chr7	89085000	89090000	1.306889	1.279034	-0.024313	quantifiable
chr7:112080000-112090000	chr7	112080000	112090000	0.602105	0.287958	-0.570325	one_condition
chr7:112465000-112470000	chr7	112465000	112470000	2.120851	2.13429	0.007794	quantifiable
chr7:144580000-144590000	chr7	144580000	144590000	1.303632	1.305342	0.001482	quantifiable
chr7:63750000-63755000	chr7	63750000	63755000	2.338232	1.570696	-0.482903	quantifiable
chr7:109135000-109140000	chr7	109135000	109140000	5.168341	3.594788	-0.483251	quantifiable
chr7:83805000-83810000	chr7	83805000	83810000	3.531369	4.51725	0.325794	quantifiable
chr7:133850000-133860000	chr7	133850000	133860000	1.925315	1.646997	-0.187359	quantifiable
chr7:118125000-118130000	chr7	118125000	118130000	0.953359	0.928396	-0.027686	quantifiable
chr7:100985000-100990000	chr7	100985000	100990000	1.592535	1.242356	-0.285161	quantifiable
chr7:144790000-144800000	chr7	144790000	144800000	2.301697	2.001483	-0.172656	quantifiable
chr7:92960000-92970000	chr7	92960000	92970000	0.849684	0.787683	-0.075908	quantifiable
chr7:125470000-125480000	chr7	125470000	125480000	1.591721	1.360419	-0.181991	quantifiable
chr7:102690000-102700000	chr7	102690000	102700000	0.736364	1.264667	0.567436	quantifiable
chr7:84605000-84610000	chr7	84605000	84610000	1.285963	1.27487	-0.009756	quantifiable
chr7:101450000-101455000	chr7	101450000	101455000	6.870733	4.508584	-0.570644	quantifiable
chr7:49465000-49470000	chr7	49465000	49470000	1.110595	0.900868	-0.22199	quantifiable
chr7:118310000-118320000	chr7	118310000	118320000	1.077001	1.087128	0.010132	quantifiable
chr7:52030000-52040000	chr7	52030000	52040000	0.257499	0.217462	NA	no_signal
chr7:71370000-71380000	chr7	71370000	71380000	1.053577	0.778904	-0.311716	quantifiable
chr7:121150000-121160000	chr7	121150000	121160000	0.581979	0.408956	-0.29281	quantifiable
chr10:25015000-25020000	chr10	25015000	25020000	1.017079	3.184241	1.363894	quantifiable
chr10:64085000-64090000	chr10	64085000	64090000	5.448815	4.736477	-0.188745	quantifiable
chr10:60830000-60840000	chr10	60830000	60840000	3.155516	3.442256	0.11312	quantifiable
chr10:17130000-17140000	chr10	17130000	17140000	1.318508	3.728525	1.284424	quantifiable
chr10:66180000-66185000	chr10	66180000	66185000	1.141572	2.802833	1.074767	quantifiable
chr10:29530000-29540000	chr10	29530000	29540000	7.840688	7.868971	0.004967	quantifiable
chr10:87020000-87030000	chr10	87020000	87030000	1.39233	1.199074	-0.16859	quantifiable
chr10:59490000-59495000	chr10	59490000	59495000	1.530319	1.248675	-0.232762	quantifiable
chr10:75315000-75320000	chr10	75315000	75320000	6.858251	4.145774	-0.67988	quantifiable
chr10:118590000-118600000	chr10	118590000	118600000	1.958801	2.14614	0.112091	quantifiable
chr10:77080000-77090000	chr10	77080000	77090000	2.110686	2.6495	0.284616	quantifiable
chr10:60530000-60540000	chr10	60530000	60540000	2.619602	2.242168	-0.195409	quantifiable
chr10:122100000-122110000	chr10	122100000	122110000	0.696586	0.737298	0.054548	quantifiable
chr10:9570000-9580000	chr10	9570000	9580000	1.573535	1.51221	-0.0465	quantifiable
chr10:15300000-15310000	chr10	15300000	15310000	1.22579	2.476626	0.838992	quantifiable
chr10:67870000-67875000	chr10	67870000	67875000	0.95636	0.754956	-0.239576	quantifiable
chr10:44325000-44330000	chr10	44325000	44330000	0.936752	0.878901	-0.065843	quantifiable
chr10:12000000-12010000	chr10	12000000	12010000	1.782084	2.613098	0.47296	quantifiable
chr10:120930000-120940000	chr10	120930000	120940000	0.951811	0.765955	-0.22042	quantifiable
chr10:57000000-57010000	chr10	57000000	57010000	1.740018	1.980826	0.156619	quantifiable
chr10:11450000-11475000	chr10	11450000	11475000	0.75142	0.624312	-0.175225	quantifiable
chr10:92305000-92310000	chr10	92305000	92310000	1.580873	1.325958	-0.203142	quantifiable
chr10:56370000-56380000	chr10	56370000	56380000	6.110089	6.356215	0.053863	quantifiable
chr10:25680000-25685000	chr10	25680000	25685000	1.629087	0.989974	-0.55919	quantifiable
chr8:121110000-121120000	chr8	121110000	121120000	5.964721	3.415217	-0.744449	quantifiable
chr8:79020000-79030000	chr8	79020000	79030000	1.4997	2.05012	0.374043	quantifiable
chr8:120820000-120830000	chr8	120820000	120830000	1.347212	0.806102	-0.549966	quantifiable
chr8:23595000-23600000	chr8	23595000	23600000	2.505992	2.171287	-0.179166	quantifiable
chr14:31125000-31130000	chr14	31125000	31130000	1.964429	2.070549	0.064407	quantifiable
chr14:120830000-120840000	chr14	120830000	120840000	2.043296	2.298173	0.145423	quantifiable
chr14:33690000-33700000	chr14	33690000	33700000	2.969361	2.408439	-0.266177	quantifiable
chr9:91380000-91390000	chr9	91380000	91390000	3.185007	5.165881	0.640422	quantifiable
chr9:63290000-63300000	chr9	63290000	63300000	0.85231	0.696297	-0.198752	quantifiable
chr9:43140000-43145000	chr9	43140000	43145000	2.134938	1.529713	-0.400845	quantifiable
chr9:50330000-50340000	chr9	50330000	50340000	0.544271	0.331971	-0.386066	one_condition
chr9:43330000-43340000	chr9	43330000	43340000	3.955249	2.855048	-0.424609	quantifiable
chr9:32585000-32590000	chr9	32585000	32590000	1.665567	1.240288	-0.340003	quantifiable
chr11:36565000-36570000	chr11	36565000	36570000	3.309772	5.754016	0.736437	quantifiable
chr11:84260000-84265000	chr11	84260000	84265000	0.658063	0.405963	-0.410501	quantifiable
chr11:24045000-24050000	chr11	24045000	24050000	3.582375	2.60021	-0.413371	quantifiable
chr13:84345000-84350000	chr13	84345000	84350000	4.543696	8.547697	0.861189	quantifiable
chr13:102675000-102680000	chr13	102675000	102680000	1.579717	1.246523	-0.271911	quantifiable
chr12:75785000-75790000	chr12	75785000	75790000	1.691912	2.482765	0.470335	quantifiable
chr12:110705000-110710000	chr12	110705000	110710000	0.775812	0.962995	0.220091	quantifiable
chr12:56050000-56060000	chr12	56050000	56060000	1.357639	0.849723	-0.505766	quantifiable
chr12:30200000-30205000	chr12	30200000	30205000	2.356611	1.626922	-0.451281	quantifiable
chr15:42320000-42330000	chr15	42320000	42330000	3.85561	8.549666	1.079638	quantifiable
chr15:82800000-82810000	chr15	82800000	82810000	1.300561	0.727471	-0.610714	quantifiable
chr15:66170000-66180000	chr15	66170000	66180000	2.052071	2.608307	0.299373	quantifiable
chr16:21490000-21500000	chr16	21490000	21500000	0.601522	0.322081	-0.495405	one_condition
chr17:40975000-40980000	chr17	40975000	40980000	0.544658	0.346391	-0.356925	one_condition
chr17:47795000-47800000	chr17	47795000	47800000	1.157198	0.716918	-0.494518	quantifiable
chr1:150870000-150875000	chr1	150870000	150875000	2.872139	8.715362	1.489479	quantifiable
chr1:88425000-88430000	chr1	88425000	88430000	2.162259	2.20835	0.026126	quantifiable
chr1:133735000-133740000	chr1	133735000	133740000	4.086147	3.324744	-0.270994	quantifiable
chr1:146490000-146500000	chr1	146490000	146500000	2.558357	6.001822	1.124296	quantifiable
chr1:73900000-73910000	chr1	73900000	73910000	2.428832	1.98999	-0.247011	quantifiable
chr1:135460000-135470000	chr1	135460000	135470000	2.493613	1.842918	-0.373381	quantifiable
chr1:111860000-111865000	chr1	111860000	111865000	4.616032	5.406651	0.21274	quantifiable
chr18:63860000-63865000	chr18	63860000	63865000	3.116827	4.163226	0.379585	quantifiable
chr18:66410000-66420000	chr18	66410000	66420000	0.969469	0.724863	-0.293349	quantifiable
chr18:45370000-45380000	chr18	45370000	45380000	1.620138	2.450242	0.505103	quantifiable
chr19:17155000-17160000	chr19	17155000	17160000	1.562749	3.9001	1.147735	quantifiable
chr19:11610000-11620000	chr19	11610000	11620000	1.161124	1.405917	0.215286	quantifiable
chr19:42590000-42600000	chr19	42590000	42600000	1.486889	1.037101	-0.402671	quantifiable
chr19:37700000-37710000	chr19	37700000	37710000	1.693134	1.305785	-0.301633	quantifiable
chr2:180180000-180185000	chr2	180180000	180185000	2.395639	1.752039	-0.383757	quantifiable
chr2:165360000-165365000	chr2	165360000	165365000	1.490402	1.310526	-0.14754	quantifiable
chr2:105670000-105675000	chr2	105670000	105675000	5.437292	8.328121	0.583669	quantifiable
chr2:70220000-70230000	chr2	70220000	70230000	1.4636	1.455783	-0.006198	quantifiable
chr2:24350000-24360000	chr2	24350000	24360000	0.48278	0.331733	-0.284958	one_condition
chr2:108690000-108700000	chr2	108690000	108700000	1.576196	2.476801	0.55105	quantifiable
chr3:135280000-135290000	chr3	135280000	135290000	1.892915	1.366262	-0.38415	quantifiable
chr3:152780000-152785000	chr3	152780000	152785000	2.254121	1.927219	-0.192735	quantifiable
chr3:142290000-142295000	chr3	142290000	142295000	1.428861	1.059362	-0.333808	quantifiable
chr4:82510000-82520000	chr4	82510000	82520000	1.892459	5.268696	1.321317	quantifiable
chr4:117830000-117835000	chr4	117830000	117835000	2.672762	2.753061	0.037702	quantifiable
chr4:140785000-140790000	chr4	140785000	140790000	1.046369	0.59227	-0.562555	quantifiable
chr4:139870000-139875000	chr4	139870000	139875000	1.694965	1.207525	-0.390635	quantifiable
chr4:48770000-48780000	chr4	48770000	48780000	3.198619	3.382912	0.072845	quantifiable
chr4:15470000-15480000	chr4	15470000	15480000	0.388736	0.702229	0.504591	quantifiable
chr4:57445000-57450000	chr4	57445000	57450000	1.044957	0.845409	-0.22101	quantifiable
chr4:45400000-45425000	chr4	45400000	45425000	2.132979	2.126783	-0.00359	quantifiable
chr5:35360000-35370000	chr5	35360000	35370000	2.950766	1.899707	-0.551038	quantifiable
chr5:118330000-118335000	chr5	118330000	118335000	2.288709	1.743888	-0.332238	quantifiable
chr5:119770000-119780000	chr5	119770000	119780000	0.80142	0.335875	-0.739028	one_condition
chr5:75850000-75875000	chr5	75850000	75875000	1.332879	1.300825	-0.02758	quantifiable
chr5:28450000-28475000	chr5	28450000	28475000	3.652009	3.690051	0.013616	quantifiable
chr6:37095000-37100000	chr6	37095000	37100000	2.927265	2.597763	-0.152383	quantifiable
chr6:72650000-72655000	chr6	72650000	72655000	0.869226	0.564412	-0.411159	quantifiable
chr6:43390000-43400000	chr6	43390000	43400000	1.502375	1.434807	-0.053316	quantifiable
chr6:49210000-49220000	chr6	49210000	49220000	9.48709	6.813313	-0.45706	quantifiable
chr6:97410000-97420000	chr6	97410000	97420000	1.385664	1.071848	-0.285906	quantifiable
chr7:38225000-38230000	chr7	38225000	38230000	2.000453	2.617798	0.335188	quantifiable
chr7:111120000-111125000	chr7	111120000	111125000	1.626825	1.988407	0.241223	quantifiable
chr7:25420000-25425000	chr7	25420000	25425000	1.651916	1.037493	-0.525743	quantifiable
chr7:89990000-90000000	chr7	89990000	90000000	0.672858	1.165225	0.5624	quantifiable
chr10:95550000-95555000	chr10	95550000	95555000	1.309529	0.990256	-0.306217	quantifiable
chr10:93290000-93300000	chr10	93290000	93300000	2.228461	2.816156	0.295192	quantifiable
chr10:61835000-61840000	chr10	61835000	61840000	1.627135	1.457217	-0.128962	quantifiable
chr10:58810000-58820000	chr10	58810000	58820000	4.608877	3.480429	-0.371656	quantifiable
chr8:121390000-121395000	chr8	121390000	121395000	5.419748	4.175909	-0.349618	quantifiable
chr8:104145000-104150000	chr8	104145000	104150000	1.3153	1.027053	-0.272405	quantifiable
chr8:78230000-78240000	chr8	78230000	78240000	2.962854	4.648137	0.591858	quantifiable
chr8:11950000-11960000	chr8	11950000	11960000	1.138384	0.801165	-0.367848	quantifiable
chr14:68080000-68085000	chr14	68080000	68085000	7.416786	6.824399	-0.114307	quantifiable
chr14:79600000-79625000	chr14	79600000	79625000	0.483701	0.322082	-0.306804	one_condition
chr9:43740000-43745000	chr9	43740000	43745000	2.104929	1.431116	-0.460697	quantifiable
chr11:98975000-98980000	chr11	98975000	98980000	0.87468	0.651169	-0.288125	quantifiable
chr11:12025000-12030000	chr11	12025000	12030000	2.460207	2.180948	-0.150437	quantifiable
chr11:35920000-35930000	chr11	35920000	35930000	1.683759	1.468602	-0.160488	quantifiable
chr11:24450000-24475000	chr11	24450000	24475000	2.591126	4.321575	0.665736	quantifiable
chr13:56190000-56200000	chr13	56190000	56200000	1.485237	0.968961	-0.473521	quantifiable
chr13:95010000-95020000	chr13	95010000	95020000	1.436812	1.065116	-0.334369	quantifiable
chr12:54100000-54110000	chr12	54100000	54110000	1.40086	1.069309	-0.30097	quantifiable
chr15:37110000-37120000	chr15	37110000	37120000	0.478956	0.543434	0.10683	quantifiable
chr15:101340000-101345000	chr15	101340000	101345000	2.006899	1.939453	-0.041708	quantifiable
chr15:82920000-82930000	chr15	82920000	82930000	10.429897	7.188342	-0.515452	quantifiable
chr15:101335000-101340000	chr15	101335000	101340000	2.933933	2.404102	-0.253004	quantifiable
chr15:61150000-61175000	chr15	61150000	61175000	2.193607	1.661767	-0.336926	quantifiable
chr16:42835000-42840000	chr16	42835000	42840000	1.032643	1.627825	0.513379	quantifiable
chr16:42190000-42200000	chr16	42190000	42200000	2.009967	2.446214	0.243762	quantifiable
chr16:41250000-41275000	chr16	41250000	41275000	0.937051	1.12777	0.197923	quantifiable
chr17:15065000-15070000	chr17	15065000	15070000	2.682896	3.303174	0.267653	quantifiable
chr1:137690000-137700000	chr1	137690000	137700000	4.116845	6.053784	0.518698	quantifiable
chr1:90060000-90070000	chr1	90060000	90070000	1.797231	1.307701	-0.371329	quantifiable
chr1:138835000-138840000	chr1	138835000	138840000	15.194913	10.836537	-0.474319	quantifiable
chr1:74310000-74315000	chr1	74310000	74315000	1.142711	0.839866	-0.324706	quantifiable
chr1:51640000-51650000	chr1	51640000	51650000	2.497425	2.509075	0.00587	quantifiable
chr1:164360000-164370000	chr1	164360000	164370000	1.394486	1.107419	-0.257774	quantifiable
chr1:153100000-153110000	chr1	153100000	153110000	0.928095	0.591348	-0.437211	quantifiable
chr1:186390000-186400000	chr1	186390000	186400000	1.559385	1.130966	-0.364406	quantifiable
chr18:73180000-73185000	chr18	73180000	73185000	2.645671	2.435685	-0.104487	quantifiable
chr19:57815000-57820000	chr19	57815000	57820000	0.619826	0.365012	-0.434543	quantifiable
chr2:147380000-147390000	chr2	147380000	147390000	0.834804	0.393635	-0.664868	quantifiable
chrX:143450000-143475000	chrX	143450000	143475000	0.151634	0.128359	NA	no_signal
chr3:93540000-93550000	chr3	93540000	93550000	0.61554	0.597851	-0.0264	quantifiable
chr3:53590000-53600000	chr3	53590000	53600000	1.418969	1.243964	-0.149404	quantifiable
chr3:40520000-40525000	chr3	40520000	40525000	2.543566	3.24845	0.313558	quantifiable
chr3:59870000-59875000	chr3	59870000	59875000	0.783243	1.181655	0.431362	quantifiable
chr4:131860000-131865000	chr4	131860000	131865000	0.87405	0.49246	-0.533721	quantifiable
chr4:98720000-98725000	chr4	98720000	98725000	0.61997	0.867804	0.325284	quantifiable
chr4:20020000-20030000	chr4	20020000	20030000	0.888125	0.855842	-0.037808	quantifiable
chr4:153170000-153180000	chr4	153170000	153180000	1.275108	1.215535	-0.053545	quantifiable
chr5:113370000-113380000	chr5	113370000	113380000	0.74683	0.868105	0.150006	quantifiable
chr5:33390000-33400000	chr5	33390000	33400000	1.682424	1.245539	-0.347233	quantifiable
chr5:72980000-72985000	chr5	72980000	72985000	1.554464	1.224304	-0.273098	quantifiable
chr6:60680000-60685000	chr6	60680000	60685000	1.325685	1.133968	-0.174191	quantifiable
chr6:20750000-20760000	chr6	20750000	20760000	1.292719	2.733722	0.90452	quantifiable
chr6:114720000-114725000	chr6	114720000	114725000	1.10089	0.663286	-0.513658	quantifiable
chr6:135900000-135925000	chr6	135900000	135925000	4.173439	3.175826	-0.358562	quantifiable
chr6:88980000-88985000	chr6	88980000	88985000	2.679846	2.5708	-0.052704	quantifiable
chr6:31530000-31540000	chr6	31530000	31540000	0.72509	0.549196	-0.255163	quantifiable
chr6:127615000-127620000	chr6	127615000	127620000	1.781551	1.427357	-0.260834	quantifiable
chr6:114090000-114100000	chr6	114090000	114100000	2.504253	2.168508	-0.179875	quantifiable
chr6:137050000-137060000	chr6	137050000	137060000	1.105364	1.215709	0.104744	quantifiable
chr6:97520000-97525000	chr6	97520000	97525000	3.582125	3.885116	0.106832	quantifiable
chr10:38870000-38880000	chr10	38870000	38880000	0.987902	0.835312	-0.173335	quantifiable
chr10:121630000-121640000	chr10	121630000	121640000	0.324743	0.466816	0.272021	one_condition
chr8:118280000-118290000	chr8	118280000	118290000	7.445829	6.01765	-0.291529	quantifiable
chr8:14370000-14380000	chr8	14370000	14380000	3.08956	3.228135	0.056823	quantifiable
chr8:120970000-120980000	chr8	120970000	120980000	2.339946	1.544243	-0.503723	quantifiable
chr8:16890000-16895000	chr8	16890000	16895000	2.064727	2.64916	0.311543	quantifiable
chr8:102780000-102790000	chr8	102780000	102790000	7.694037	6.753107	-0.179233	quantifiable
chr14:23790000-23800000	chr14	23790000	23800000	2.117876	2.288351	0.095992	quantifiable
chr14:33315000-33320000	chr14	33315000	33320000	3.198435	2.942067	-0.107875	quantifiable
chr14:16430000-16440000	chr14	16430000	16440000	1.891495	1.260435	-0.474513	quantifiable
chr14:57110000-57120000	chr14	57110000	57120000	1.227357	0.690143	-0.596061	quantifiable
chr14:115070000-115080000	chr14	115070000	115080000	1.686178	1.34649	-0.261906	quantifiable
chr9:56890000-56895000	chr9	56890000	56895000	3.557666	3.499389	-0.021622	quantifiable
chr9:105690000-105700000	chr9	105690000	105700000	1.143873	1.073081	-0.069564	quantifiable
chr9:16200000-16210000	chr9	16200000	16210000	4.833244	5.026196	0.052631	quantifiable
chr9:118605000-118610000	chr9	118605000	118610000	3.773395	2.903905	-0.340732	quantifiable
chr9:20660000-20670000	chr9	20660000	20670000	0.941582	0.472177	-0.645332	quantifiable
chr9:32400000-32410000	chr9	32400000	32410000	2.800486	2.360373	-0.216345	quantifiable
chr9:74530000-74540000	chr9	74530000	74540000	1.206284	0.846724	-0.376262	quantifiable
chr9:22705000-22710000	chr9	22705000	22710000	1.904184	1.91495	0.006844	quantifiable
chr9:119640000-119650000	chr9	119640000	119650000	0.906797	0.502612	-0.554426	quantifiable
chr9:32940000-32950000	chr9	32940000	32950000	1.261898	0.785183	-0.502122	quantifiable
chr11:12370000-12380000	chr11	12370000	12380000	2.709849	3.04037	0.147526	quantifiable
chr11:81625000-81650000	chr11	81625000	81650000	1.01657	0.825563	-0.215514	quantifiable
chr11:24460000-24470000	chr11	24460000	24470000	3.39806	5.268111	0.582668	quantifiable
chr11:43780000-43785000	chr11	43780000	43785000	1.550815	0.982862	-0.508891	quantifiable
chr11:102485000-102490000	chr11	102485000	102490000	0.393026	0.192973	-0.445522	one_condition
chr11:81375000-81380000	chr11	81375000	81380000	1.234647	0.742893	-0.531963	quantifiable
chr11:39580000-39590000	chr11	39580000	39590000	0.879317	0.597758	-0.371827	quantifiable
chr11:96280000-96285000	chr11	96280000	96285000	5.781684	3.325402	-0.736819	quantifiable
chr11:43835000-43840000	chr11	43835000	43840000	2.701183	2.432088	-0.132747	quantifiable
chr13:73645000-73650000	chr13	73645000	73650000	1.879642	3.051579	0.607181	quantifiable
chr13:24510000-24520000	chr13	24510000	24520000	0.877727	0.658598	-0.281119	quantifiable
chr13:56890000-56900000	chr13	56890000	56900000	2.014095	1.744942	-0.173601	quantifiable
chr13:22025000-22030000	chr13	22025000	22030000	3.518141	3.404584	-0.042875	quantifiable
chr13:9880000-9890000	chr13	9880000	9890000	1.260386	1.274532	0.01254	quantifiable
chr12:117425000-117430000	chr12	117425000	117430000	1.010248	0.847379	-0.182565	quantifiable
chr12:15810000-15820000	chr12	15810000	15820000	6.556239	5.621449	-0.209494	quantifiable
chr12:109430000-109440000	chr12	109430000	109440000	2.822145	2.113646	-0.363366	quantifiable
chr12:52010000-52015000	chr12	52010000	52015000	1.220231	2.152736	0.669139	quantifiable
chr12:74055000-74060000	chr12	74055000	74060000	0.996785	0.932683	-0.069826	quantifiable
chr15:9450000-9460000	chr15	9450000	9460000	1.36934	2.264526	0.601848	quantifiable
chr15:26620000-26630000	chr15	26620000	26630000	1.393918	1.303255	-0.076573	quantifiable
chr15:94340000-94350000	chr15	94340000	94350000	0.952155	0.700858	-0.306719	quantifiable
chr16:49275000-49280000	chr16	49275000	49280000	1.755624	3.18987	0.746695	quantifiable
chr16:96850000-96860000	chr16	96850000	96860000	1.567912	1.908772	0.234878	quantifiable
chr16:3905000-3910000	chr16	3905000	3910000	0.822952	0.780361	-0.052903	quantifiable
chr16:91930000-91940000	chr16	91930000	91940000	1.362735	1.612504	0.195333	quantifiable
chr16:42175000-42200000	chr16	42175000	42200000	2.038269	2.61164	0.309271	quantifiable
chr16:34530000-34535000	chr16	34530000	34535000	2.473571	2.446566	-0.013816	quantifiable
chr16:11980000-11990000	chr16	11980000	11990000	4.225794	3.766623	-0.152212	quantifiable
chr16:79180000-79190000	chr16	79180000	79190000	2.766454	6.006478	1.025979	quantifiable
chr17:83040000-83045000	chr17	83040000	83045000	2.162077	1.638586	-0.335639	quantifiable
chr17:83275000-83280000	chr17	83275000	83280000	4.93746	4.210877	-0.212832	quantifiable
chr17:70840000-70850000	chr17	70840000	70850000	7.586929	6.204482	-0.275718	quantifiable
chr17:26310000-26320000	chr17	26310000	26320000	0.260524	0.17564	NA	no_signal
chr17:14110000-14120000	chr17	14110000	14120000	0.876037	0.710595	-0.207317	quantifiable
chr1:153485000-153490000	chr1	153485000	153490000	0.8767	1.100591	0.240064	quantifiable
chr1:90905000-90910000	chr1	90905000	90910000	3.803489	2.678131	-0.454615	quantifiable
chr1:19200000-19210000	chr1	19200000	19210000	3.614726	2.466659	-0.491764	quantifiable
chr1:120190000-120200000	chr1	120190000	120200000	0.911009	0.621921	-0.372311	quantifiable
chr1:159900000-159910000	chr1	159900000	159910000	1.074227	0.713993	-0.417304	quantifiable
chr1:17980000-17990000	chr1	17980000	17990000	0.790601	0.546235	-0.344445	quantifiable
chr1:128870000-128880000	chr1	128870000	128880000	1.32608	0.988209	-0.322638	quantifiable
chr1:61370000-61380000	chr1	61370000	61380000	3.535453	3.763434	0.082056	quantifiable
chr1:14740000-14750000	chr1	14740000	14750000	0.700151	0.674069	-0.035939	quantifiable
chr1:140160000-140170000	chr1	140160000	140170000	0.313419	0.151636	NA	no_signal
chr1:40580000-40590000	chr1	40580000	40590000	1.066494	0.805301	-0.291781	quantifiable
chr18:45375000-45380000	chr18	45375000	45380000	2.323334	3.688327	0.593307	quantifiable
chr19:3390000-3400000	chr19	3390000	3400000	1.135582	0.812633	-0.350968	quantifiable
chr19:53650000-53655000	chr19	53650000	53655000	1.038267	0.689327	-0.414191	quantifiable
chr19:16800000-16810000	chr19	16800000	16810000	0.952273	0.76359	-0.22396	quantifiable
chr2:180740000-180745000	chr2	180740000	180745000	0.855367	0.668714	-0.24056	quantifiable
chr2:166150000-166160000	chr2	166150000	166160000	3.037746	2.895976	-0.061489	quantifiable
chr2:167070000-167075000	chr2	167070000	167075000	3.489002	3.104571	-0.15181	quantifiable
chr2:66960000-66970000	chr2	66960000	66970000	0.784044	0.654317	-0.17364	quantifiable
chr2:124100000-124125000	chr2	124100000	124125000	1.96092	3.25363	0.638762	quantifiable
chr2:28755000-28760000	chr2	28755000	28760000	1.959582	1.569159	-0.265898	quantifiable
chr2:145700000-145705000	chr2	145700000	145705000	1.362286	1.352889	-0.007893	quantifiable
chr2:47780000-47790000	chr2	47780000	47790000	0.568881	0.399446	-0.290561	quantifiable
