gene	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_peak_chr	mecp2_peak_start	mecp2_peak_end	mecp2_annotation	mc_ctrl	mc_mut	mc_difference	mc_qvalue
Osr1	-0.1013	6.15e-01	chr12	9579256	9579656	Exon (ENSMUST00000217975.1/23967, exon 2 of 2)	0.1700	0.1632	-0.0067	0.3401
Ostf1	-0.0131	9.43e-01	chr19	18631522	18631922	Promoter	0.7642	0.7640	-0.0002	0.9010
Otol1	-0.0416	1.00e+00	chr3	70009556	70009956	Intron (ENSMUST00000053013.5/229389, intron 1 of 4)	0.8374	0.8362	-0.0013	0.8239
Otor	0.0476	1.00e+00	chr2	143098106	143098506	Distal Intergenic	0.7444	0.7475	0.0031	0.8056
Oxgr1	0.0323	8.80e-01	chr14	120042306	120042706	Promoter	0.8706	0.8736	0.0030	0.4276
Pabpc5	0.0018	9.96e-01	chrX	119927105	119927505	Promoter	0.5711	0.5989	0.0278	0.1272
Pam	0.2032	3.80e-01	chr1	97976840	97977240	Promoter	0.7579	0.7581	0.0001	0.9539
Pcdh18	0.7826	2.27e-02	chr3	49754405	49754805	Promoter	0.5831	0.5835	0.0005	0.9573
Pde4b	-0.0096	9.73e-01	chr4	102087764	102088164	Promoter	0.5687	0.5662	-0.0024	0.1326
Pdha2	-0.0438	7.97e-01	chr3	141211294	141211694	Promoter	0.9549	0.9615	0.0066	0.1343
Pga5	0.2954	2.67e-01	chr19	10676434	10676834	Promoter	0.7751	0.7890	0.0140	0.1086
Phlda1	-0.0033	9.91e-01	chr10	111506487	111506887	Promoter	0.0736	0.0567	-0.0168	0.1311
Pid1	0.0031	9.91e-01	chr1	84284246	84284646	Promoter	0.7582	0.7602	0.0020	0.2875
Piezo2	-0.1361	5.64e-01	chr18	63030310	63030710	Promoter	0.7977	0.7983	0.0006	0.6727
Pigr	0.0191	9.25e-01	chr1	130826643	130827043	Promoter	0.7175	0.7086	-0.0089	0.1086
Plaat1	0.3427	2.11e-01	chr16	29210588	29210988	Promoter	0.7898	0.7902	0.0004	0.9955
Plb1	-0.0068	9.80e-01	chr5	32353381	32353781	Promoter	0.7393	0.7418	0.0025	0.3878
Plekhs1	-0.0150	1.00e+00	chr19	56478252	56478652	Promoter	0.7274	0.7263	-0.0011	0.8370
Plk2	-0.0723	6.66e-01	chr13	110394742	110395142	Promoter	0.6310	0.6356	0.0046	0.5278
Pnma5	1.0353	1.78e-02	chrX	73033915	73034315	3' UTR	0.6696	0.6707	0.0011	0.8583
Ppp1r26	-0.0115	9.71e-01	chr2	28446804	28447204	Promoter	0.6950	0.6859	-0.0091	0.5102
Prep	-0.0374	8.63e-01	chr10	45066695	45067095	Promoter	0.7826	0.7812	-0.0013	0.6424
Prim2	-0.0875	7.06e-01	chr1	33669785	33670185	Promoter	0.8046	0.8017	-0.0029	0.0730
Prkg2	-0.0327	1.00e+00	chr5	99036941	99037341	Promoter	0.7671	0.7671	0.0000	0.9115
Pros1	-0.0418	8.34e-01	chr16	62854185	62854585	Promoter	0.8206	0.8157	-0.0049	0.0937
Prr30	-0.0689	7.79e-01	chr14	101200111	101200511	Promoter	0.8957	0.8977	0.0020	0.8760
Psapl1	0.0463	8.26e-01	chr5	36203716	36204116	Promoter	0.4788	0.4743	-0.0045	0.8850
Ptchd1	-0.0467	8.19e-01	chrX	155622700	155623100	Promoter	0.4682	0.4604	-0.0078	0.2003
Pth2r	-0.0392	8.41e-01	chr1	65311125	65311525	Promoter	0.7688	0.7658	-0.0030	0.2146
Ptn	-0.1194	5.86e-01	chr6	36811393	36811793	Distal Intergenic	0.7275	0.7230	-0.0045	0.1200
Ptpn20	-0.0493	8.00e-01	chr14	33589085	33589485	Promoter	0.7940	0.7916	-0.0024	0.4403
Ptprh	-0.0300	9.00e-01	chr7	4602997	4603397	Promoter	0.7669	0.7665	-0.0004	0.9341
Ptpro	-0.0215	9.13e-01	chr6	137251290	137251690	Promoter	0.7611	0.7585	-0.0026	0.1247
Ptprt	-0.0476	8.30e-01	chr2	162660577	162660977	Promoter	0.7428	0.7442	0.0013	0.1402
Ptprz1	-0.0229	1.00e+00	chr6	22875304	22875704	Promoter	0.7705	0.7675	-0.0030	0.1035
Rab27b	0.0398	8.29e-01	chr18	70053103	70053503	Promoter	0.8036	0.8004	-0.0032	0.1536
Rab38	0.0003	1.00e+00	chr7	88430389	88430789	Promoter	0.8017	0.7998	-0.0019	0.6887
Rad51ap2	-0.0198	9.12e-01	chr12	11455732	11456132	Promoter	0.7713	0.7830	0.0118	0.2845
Rasa3	0.0148	9.31e-01	chr8	13677491	13677891	Promoter	0.4846	0.4892	0.0046	0.0835
Rassf10	-0.0500	7.88e-01	chr7	112955568	112955968	3' UTR	0.7033	0.6675	-0.0358	0.0557
Rbfox3	-0.0274	9.18e-01	chr11	118569762	118570162	Promoter	0.2316	0.2304	-0.0011	0.8612
Rcn1	0.0137	9.52e-01	chr2	105398488	105398888	Promoter	0.7952	0.7837	-0.0115	0.0639
Rerg	-0.0573	7.47e-01	chr6	137169330	137169730	Promoter	0.7387	0.7401	0.0014	0.6237
Rfpl4b	0.0078	9.82e-01	chr10	38820865	38821265	Promoter	0.6235	0.6311	0.0077	0.7596
Rgs6	0.1352	5.35e-01	chr12	82617332	82617732	Promoter	0.7486	0.7477	-0.0009	0.5578
Rgs9	-0.0553	7.62e-01	chr11	109297888	109298288	Promoter	0.7412	0.7397	-0.0015	0.6859
Ripk4	0.0304	8.69e-01	chr16	97762672	97763072	Promoter	0.7050	0.7015	-0.0035	0.7637
Rnaset2a	-0.0331	8.81e-01	chr17	8143834	8144234	Intron (ENSMUST00000232307.1/68195, intron 2 of 12)	0.6605	0.6663	0.0059	0.4618
Rplp1	-0.0845	6.73e-01	chr9	61914343	61914743	Promoter	0.0758	0.0904	0.0146	0.3160
Rps24	-0.0285	8.91e-01	chr14	24490641	24491041	Promoter	0.4756	0.4844	0.0088	0.2458
Rps6ka2	-0.0273	9.03e-01	chr17	7255682	7256082	Promoter	0.6889	0.6890	0.0001	0.9578
Rsl24d1	-0.1177	5.90e-01	chr9	73113461	73113861	Promoter	0.6637	0.6789	0.0152	0.0692
Rspo2	-0.0663	7.31e-01	chr15	43169838	43170238	Promoter	0.7728	0.7698	-0.0030	0.3518
Rspo3	-0.0522	8.16e-01	chr10	29535694	29536094	Promoter	0.7509	0.7449	-0.0060	0.0730
Ryr3	0.0126	9.64e-01	chr2	113216320	113216720	Promoter	0.7626	0.7614	-0.0012	0.3739
Samd7	-0.0638	7.82e-01	chr3	30748326	30748726	Intron (ENSMUST00000174395.7/75953, intron 1 of 6)	0.8001	0.8008	0.0007	0.8634
Satb1	-0.2084	3.75e-01	chr17	51831651	51832051	Promoter	0.7277	0.7307	0.0031	0.3231
Scn11a	-0.0261	9.19e-01	chr9	119824977	119825377	Promoter	0.7881	0.7848	-0.0033	0.1832
Sdk1	-0.0205	9.37e-01	chr5	141240850	141241250	Promoter	0.7776	0.7790	0.0013	0.0898
Serpinb2	1.4944	4.26e-03	chr1	107510770	107511170	Promoter	0.7824	0.7884	0.0060	0.3607
Serpinb8	0.2748	2.67e-01	chr1	107590261	107590661	Promoter	0.6896	0.7036	0.0140	0.1051
Setmar	-0.0042	9.83e-01	chr6	108065080	108065480	Promoter	0.7692	0.7755	0.0063	0.3775
Sh3tc2	-0.1194	5.75e-01	chr18	61952850	61953250	Promoter	0.7830	0.7821	-0.0009	0.8740
Siae	0.0070	9.77e-01	chr9	37621213	37621613	Promoter	0.7449	0.7433	-0.0016	0.5800
Skap2	-0.1382	5.17e-01	chr6	52012421	52012821	Promoter	0.7345	0.7367	0.0022	0.3707
Slc10a2	-0.0852	6.98e-01	chr8	5079888	5080288	Exon (ENSMUST00000208601.1/ENSMUST00000208601.1, exon 1 of 1)	0.7464	0.7613	0.0149	0.0699
Slc12a1	0.0060	9.81e-01	chr2	125154170	125154570	Exon (ENSMUST00000110494.8/20495, exon 2 of 27)	0.7725	0.7723	-0.0001	0.9411
Slc22a22	0.0560	1.00e+00	chr15	57472230	57472630	Intron (ENSMUST00000110196.7/210463, intron 2 of 11)	0.8210	0.8212	0.0002	0.9945
Slc24a2	-0.0335	8.47e-01	chr4	87227565	87227965	Promoter	0.7261	0.7236	-0.0025	0.2322
Slc24a5	-0.0012	9.96e-01	chr2	125068408	125068808	Promoter	0.7668	0.7737	0.0069	0.1893
Slc25a13	-0.3334	2.78e-01	chr6	6173700	6174100	Promoter	0.7713	0.7701	-0.0011	0.5620
Slc26a7	-0.1361	1.00e+00	chr4	14617563	14617963	Intron (ENSMUST00000042221.13/208890, intron 2 of 18)	0.7510	0.7467	-0.0043	0.1163
Slc30a8	-0.0131	9.63e-01	chr15	52317356	52317756	Exon (ENSMUST00000037240.2/239436, exon 3 of 8)	0.7847	0.7815	-0.0032	0.5986
Slc35f1	0.0625	7.57e-01	chr10	52691065	52691465	Promoter	0.7984	0.7972	-0.0013	0.4315
Slc7a11	-0.0290	1.00e+00	chr3	50444039	50444439	Promoter	0.7874	0.7875	0.0000	0.9207
Slc9a9	-0.1502	5.39e-01	chr9	95122578	95122978	Promoter	0.7665	0.7650	-0.0015	0.2279
Slitrk1	3.3977	8.88e-12	chr14	108915557	108915957	Distal Intergenic	0.0340	0.0360	0.0020	0.6758
Slitrk4	-0.0902	1.00e+00	chrX	64276111	64276511	Promoter	0.3716	0.3867	0.0152	0.2266
Smpx	0.0160	1.00e+00	chrX	157719052	157719452	Promoter	0.7190	0.7258	0.0068	0.0502
Spaca3	-0.0128	9.60e-01	chr11	80859496	80859896	Intron (ENSMUST00000103223.7/75622, intron 1 of 5)	0.8300	0.8260	-0.0039	0.8499
Spata19	0.0112	9.68e-01	chr9	27396780	27397180	Promoter	0.8075	0.7990	-0.0086	0.4155
Speer3	0.0061	1.00e+00	chr5	13792798	13793198	Intron (ENSMUST00000124677.1/71026, intron 1 of 4)	0.8140	0.8171	0.0030	0.8446
Sptlc3	-0.0398	1.00e+00	chr2	139545524	139545924	Intron (ENSMUST00000110083.7/228677, intron 2 of 11)	0.7567	0.7573	0.0006	0.7759
Steap1	-0.0423	8.20e-01	chr5	5749236	5749636	Promoter	0.7762	0.7661	-0.0101	0.0583
Stmnd1	-0.0654	1.00e+00	chr13	46274215	46274615	Promoter	0.8374	0.8368	-0.0006	0.9765
Strap	-0.0334	8.66e-01	chr6	137734970	137735370	Promoter	0.7086	0.7156	0.0070	0.3556
Stum	0.0062	9.79e-01	chr1	180462673	180463073	Promoter	0.6971	0.6904	-0.0067	0.0552
Sucnr1	0.0005	9.99e-01	chr3	60082464	60082864	Promoter	0.8652	0.8626	-0.0026	0.8310
Syndig1	-0.0171	9.42e-01	chr2	149830572	149830972	Promoter	0.6567	0.6532	-0.0035	0.2578
Syt17	-0.0826	6.78e-01	chr7	118448311	118448711	Promoter	0.7816	0.7813	-0.0003	0.9807
Taar4	0.0142	9.34e-01	chr10	23960628	23961028	Promoter	0.9099	0.9252	0.0154	0.1711
Tacc1	-0.0360	8.73e-01	chr8	25240623	25241023	Promoter	0.7114	0.7127	0.0013	0.5487
Tacr1	-0.0930	6.40e-01	chr6	82402615	82403015	Promoter	0.7723	0.7680	-0.0043	0.0516
Tank	-0.0021	9.94e-01	chr2	61593110	61593510	Promoter	0.7764	0.7790	0.0027	0.5443
Tbcel	-0.4990	1.31e-01	chr9	42471941	42472341	Promoter	0.7000	0.6999	-0.0001	0.8997
Tcim	-0.0289	8.89e-01	chr8	24438772	24439172	Promoter	0.2818	0.2958	0.0139	0.4737
Terf2ip	-0.0206	9.24e-01	chr8	112011474	112011874	Promoter	0.6837	0.7002	0.0165	0.0654
Tex36	0.0522	7.93e-01	chr7	133603279	133603679	Distal Intergenic	0.7819	0.7870	0.0050	0.4541
Tfap2d	-0.1411	1.00e+00	chr1	19109590	19109990	Intron (ENSMUST00000037294.7/226896, intron 3 of 7)	0.5802	0.5801	-0.0001	0.9232
Tgm3	0.0957	1.00e+00	chr2	130011846	130012246	Promoter	0.7396	0.7316	-0.0081	0.0644
Thap1	0.0172	9.41e-01	chr8	26158127	26158527	Promoter	0.6419	0.6527	0.0109	0.2112
Thsd7a	0.0227	9.18e-01	chr6	12749113	12749513	Promoter	0.8011	0.7988	-0.0023	0.1248
Tigd2	0.7882	5.13e-02	chr6	59232497	59232897	Distal Intergenic	0.3686	0.3710	0.0024	0.8134
Tmc3	-0.1402	5.50e-01	chr7	83598055	83598455	Promoter	0.7669	0.7638	-0.0031	0.5470
Tmem132b	-0.1107	6.16e-01	chr5	125622824	125623224	Promoter	0.7481	0.7448	-0.0033	0.0572
Tmem156	0.0628	7.79e-01	chr5	65091084	65091484	Promoter	0.8164	0.8214	0.0050	0.1736
Tmem220	-0.0220	9.42e-01	chr11	67026255	67026655	Intron (ENSMUST00000079077.11/338369, intron 3 of 6)	0.7197	0.7229	0.0032	0.6496
Tmem47	-0.0471	8.17e-01	chrX	81070808	81071208	Promoter	0.5836	0.5875	0.0039	0.9643
Tmigd1	0.1608	1.00e+00	chr11	76898235	76898635	Distal Intergenic	0.6959	0.6958	-0.0001	0.8975
Tmprss11g	1.0083	1.68e-02	chr5	86496373	86496773	Exon (ENSMUST00000134179.7/320454, exon 5 of 10)	0.7903	0.7963	0.0060	0.1900
Tmprss2	-0.0015	9.96e-01	chr16	97569947	97570347	Promoter	0.7776	0.7704	-0.0072	0.0504
Tmprss5	-0.2672	3.46e-01	chr9	49102040	49102440	Promoter	0.7724	0.7669	-0.0055	0.2557
Tnc	0.0057	9.86e-01	chr4	64045827	64046227	Promoter	0.7523	0.7544	0.0020	0.5088
Tnr	-0.0652	7.68e-01	chr1	159850290	159850690	Promoter	0.6857	0.6877	0.0020	0.2623
Tph1	0.0103	9.69e-01	chr7	46665046	46665446	Promoter	0.6818	0.6745	-0.0073	0.1645
Tph2	-0.0421	7.83e-01	chr10	115184623	115185023	Promoter	0.7575	0.7591	0.0016	0.7145
Traf3ip3	-0.0357	8.73e-01	chr1	193186857	193187257	Promoter	0.7370	0.7461	0.0091	0.1460
Tram1l1	0.0079	9.74e-01	chr3	124320989	124321389	Promoter	0.4743	0.4979	0.0236	0.0906
Trim52	0.0745	6.62e-01	chr14	106106235	106106635	Promoter	0.9008	0.9009	0.0001	0.9344
Trpc6	0.0644	7.45e-01	chr9	8544313	8544713	Promoter	0.7950	0.7949	-0.0000	0.9467
Ttc32	0.0147	9.44e-01	chr12	9030013	9030413	Promoter	0.6944	0.6960	0.0017	0.8147
Ttn	0.2479	1.00e+00	chr2	76832887	76833287	Promoter	0.8659	0.8669	0.0009	0.2661
Txndc2	-0.1144	6.08e-01	chr17	65642490	65642890	Promoter	0.8651	0.8578	-0.0074	0.3507
Upp1	0.0431	8.53e-01	chr11	9117775	9118175	Promoter	0.6627	0.6528	-0.0099	0.1603
Usp44	0.0344	8.75e-01	chr10	93833985	93834385	Promoter	0.7689	0.7654	-0.0035	0.4146
Xpnpep2	-0.0132	1.00e+00	chrX	48108808	48109208	Promoter	0.7274	0.7331	0.0057	0.4096
Zfat	-0.0294	8.91e-01	chr15	68258272	68258672	Promoter	0.7489	0.7502	0.0013	0.5602
Zfp827	0.0223	1.00e+00	chr8	79118070	79118470	Promoter	0.6672	0.6684	0.0012	0.6555
