chr	start	end	mecp2_class	peak_group	cg_class	Fold	FDR	residual	ecker_ch	ecker_cg	SYMBOL
chr12	81105941	81106341	Not Significant	Not Significant	CG Increase	-0.0550967098281719	0.746835946056851	-0.34115785132392	0.00342421876522074	0.00410224553058272	Mir3067
chr15	79961269	79961669	Not Significant	Not Significant	CG Increase	0.0541653510064179	0.746835946056851	-0.045003316726224	0.0142058374875799	0.0300372116583541	Cbx7
chr5	142756222	142756622	Not Significant	Not Significant	CG Decrease	-0.0651960052321563	0.746835946056851	-0.0710936255995681	0.0100428802414131	0.0441693617518703	Tnrc18
chr13	99093376	99093776	Not Significant	Not Significant	CG Increase	-0.0777621706938431	0.746835946056851	-0.147754459412013	0.00533319411432357	0.00874379031973289	2310020H05Rik
chr5	113644352	113644752	Not Significant	Not Significant	CG Increase	0.0550059515848437	0.74684323249426	-0.0128299759087963	0.0151268157578466	0.0258886475218204	Cmklr1
chr14	98073863	98074263	Not Significant	Not Significant	CG Decrease	0.0742157434747785	0.74684323249426	0.050850381662172	0.00387732108632228	0.0333440690266521	Dach1
chr16	92836030	92836430	Not Significant	Not Significant	CG Decrease	-0.0663386847512812	0.74684323249426	-0.0593437905492697	0.00474742404243298	0.0266338548160848	Runx1
chr1	158178074	158178474	Not Significant	Not Significant	CG Decrease	0.0698922362565541	0.74684323249426	0.0351167823036077	0.0141545245772288	0.0127306246103491	Brinp2
chr14	28547327	28547727	Not Significant	Not Significant	CG Increase	-0.072709367942421	0.74684323249426	-0.122885791554225	0.0066322174452784	0.0170009546446384	Wnt5a
chr14	30941944	30942344	Not Significant	Not Significant	CG Decrease	-0.0694513935394921	0.74684323249426	-0.0960192267203687	0.00354156113622195	0.0137875526028678	Itih1
chr9	63944710	63945110	Not Significant	Not Significant	CG Increase	-0.0657963155981631	0.74684323249426	-0.112961808560742	0.006288580763667	0.0290180310941397	Smad6
chr12	44403530	44403930	Not Significant	Not Significant	CG Increase	-0.0682020070040042	0.74684323249426	-0.161390899422735	0.0101251673520057	0.00551021128818579	Nrcam
chr15	57845573	57845973	Not Significant	Not Significant	CG Increase	0.0705413685186252	0.74684323249426	0.0137845747070489	0.00543198621183857	0.0143026223503741	Derl1
chr2	144316455	144316855	Not Significant	Not Significant	CG Decrease	0.0658669230951879	0.74684323249426	0.0292388533206536	0.0194387840213918	0.0139860310162095	Ovol2
chr5	26819634	26820034	Not Significant	Not Significant	CG Increase	0.0739032025985178	0.74684323249426	-0.0931857765654692	0.00818476118054473	0.00470746960723192	Dpp6
chr5	66421424	66421824	Not Significant	Not Significant	CG Increase	0.0697402346173901	0.74684323249426	0.0195757014728156	0.00614453551180642	0.0365474253818579	Apbb2
chr13	35522638	35523038	Not Significant	Not Significant	CG Decrease	-0.0671809050328615	0.74684323249426	-0.105954033971827	0.00742184075334126	0.03162869194202	Cdyl
chr11	5452190	5452590	Not Significant	Not Significant	CG Increase	-0.067927883044514	0.74684323249426	-0.133317970603982	0.0060999197258319	0.0122228608167082	Znrf3
chr11	85626667	85627067	Not Significant	Not Significant	CG Decrease	-0.061176262932091	0.74684323249426	-0.0996717241296491	0.0222792114105605	0.0291203144482544	Bcas3
chr13	66933228	66933628	Not Significant	Not Significant	CG Unchanged	-0.068180682719436	0.74684323249426	-0.113262253672251	0.00332450391051181	0.00125123972904652	Ptdss1
chr2	148750318	148750718	Not Significant	Not Significant	CG Decrease	-0.0647285447596875	0.74684323249426	-0.0911731208470657	0.010033343498249	0.00985207878740648	Cstl1
chr10	108684078	108684478	Not Significant	Not Significant	CG Increase	0.0786971281298403	0.74684323249426	-0.0972718015020127	0.0052170979411822	0.0118478218516209	Brcc3dc
chr5	108680361	108680761	Not Significant	Not Significant	CG Decrease	-0.060450070677822	0.74684323249426	-0.0952346585479047	0.0056041993405159	0.0266703845854115	Idua
chr2	159421984	159422384	Not Significant	Not Significant	CG Decrease	0.0741146533330308	0.74684323249426	0.0720436159426174	0.00493700308098163	0.000345739045939838	4933416E03Rik
chr4	95378664	95379064	Not Significant	Not Significant	CG Decrease	0.0819171898121207	0.74684323249426	0.138676201555903	0.0039548422035731	0.00107960689097569	Fggy
chr6	137169330	137169730	Not Significant	Not Significant	CG Decrease	-0.0573429356293233	0.74684323249426	-0.0704018428679871	0.0035068578553616	0.00146587114976231	Rerg
chr18	10924413	10924813	Not Significant	Not Significant	CG Decrease	0.0661766413463489	0.74684323249426	0.0228096491765573	0.00314831912071628	0.0482083365804239	Gata6os
chr4	47111617	47112017	Not Significant	Not Significant	CG Decrease	0.0662921461279105	0.74684323249426	0.0225591518491581	0.00436576405665524	0.0262624688279302	Galnt12
chr6	91358796	91359196	Not Significant	Not Significant	CG Increase	-0.0689039865287788	0.746843873860727	-0.125164808706364	0.00538090161254578	0.0111896771742519	Wnt7a
chr5	97256757	97257157	Not Significant	Not Significant	CG Increase	0.0704437377481214	0.746843873860727	-0.0571124362953923	0.017995572744165	0.00538387916926434	Naa11
chr6	92987755	92988155	Not Significant	Not Significant	CG Decrease	0.0731542501151965	0.746844575873943	0.0403083546023526	0.00393170668299953	0.0234557648846633	Adamts9
chr9	75479338	75479738	Not Significant	Not Significant	CG Increase	0.0695319729949154	0.746844575873943	0.0159380034478204	0.0033620610796008	0.000335607742728141	Tmod3
chr11	75213517	75213917	Not Significant	Not Significant	CG Increase	-0.0666106615774972	0.74687825635261	-0.138684107529598	0.00342391435047635	0.00257291341957606	Rtn4rl1
chr17	5976262	5976662	Not Significant	Not Significant	CG Increase	-0.0599673392302484	0.746882497100994	-0.171392103666597	0.0217640940982505	0.0289717600529925	Synj2
chr5	113341644	113342044	Not Significant	Not Significant	CG Decrease	-0.0638155942275507	0.746886564603041	-0.0815696513774274	0.0060201820887235	0.0369815208073566	Mir7230
chr8	31115023	31115423	Not Significant	Not Significant	CG Increase	-0.0795119905812496	0.746886564603041	-0.277330171492788	0.0032992660256098	0.000549563743229816	Rnf122
chr6	77492424	77492824	Not Significant	Not Significant	CG Increase	-0.0736210256079112	0.746886564603041	-0.122869095080234	0.0414369635451167	0.0141418913653367	6330415B21Rik
chr13	36718248	36718648	Not Significant	Not Significant	CG Decrease	0.0646107934945954	0.746886564603041	0.029052274049	0.0112630411276496	0.0187616895261845	Nrn1
chr1	186435510	186435910	Not Significant	Not Significant	CG Decrease	-0.0585477648188228	0.746909552368736	-0.0950541925338778	0.0163790162959301	0.0276378146430798	A730004F24Rik
chr4	147882793	147883193	Not Significant	Not Significant	CG Increase	-0.0764452006899044	0.746937661462418	-0.238560978407978	0.00389738392056967	0.00736478201468984	Mfn2
chr13	103000810	103001210	Not Significant	Not Significant	CG Decrease	-0.0704172244063102	0.746937661462418	-0.0606508077983985	0.00347371470006624	0.00390290143781172	Mast4
chr2	14164515	14164915	Not Significant	Not Significant	CG Increase	-0.0704525376506887	0.746937661462418	-0.194323091079069	0.00327287707245558	0.000684476552758728	Tmem236
chr11	79038486	79038886	Not Significant	Not Significant	CG Decrease	0.0726208232273782	0.746986437686068	0.0297061443836213	0.00827987176224478	0.0162618356452618	Gm11201
chr2	20072746	20073146	Not Significant	Not Significant	CG Increase	-0.0778180741170019	0.747027432767316	-0.169096138213427	0.00254021737343653	0.0104584729582294	Etl4
chr14	120287526	120287926	Not Significant	Not Significant	CG Increase	-0.070964792836186	0.747042500979579	-0.163784014492043	0.0039502664694465	0.0311102736323254	Mbnl2
chr4	135082035	135082435	Not Significant	Not Significant	CG Increase	-0.0752452129661407	0.747042500979579	-0.132594311081309	0.00907570703368532	0.00633852380766833	Runx3
chr15	79243027	79243427	Not Significant	Not Significant	CG Decrease	-0.0522294380427597	0.74707249481748	-0.0548523842978703	0.00403390442046739	0.014554763375375	Pick1
chr2	44104708	44105108	Not Significant	Not Significant	CG Decrease	-0.0633985267609716	0.74707249481748	-0.0223890369019297	0.00899673043343789	0.0348063252513248	Arhgap15os
chr10	80534792	80535192	Not Significant	Not Significant	CG Decrease	0.0647770147874265	0.747084188867348	0.051815696473129	0.00416524986971049	0.0187884780236908	Atp8b3
chr2	145891964	145892364	Not Significant	Not Significant	CG Increase	-0.0730657294490887	0.747094234555159	-0.133056934083449	0.005091155853652	0.0499228004208229	Naa20
chr17	66868058	66868458	Not Significant	Not Significant	CG Decrease	0.0718225381398254	0.747113219527056	0.0268991870475346	0.0118224127334252	0.0285358381390274	Ptprm
chr7	98179816	98180216	Not Significant	Not Significant	CG Increase	-0.0699285795056797	0.747113219527056	-0.134571696052719	0.00684409962033393	0.0219738739089776	Capn5
chr16	10748709	10749109	Not Significant	Not Significant	CG Decrease	-0.0703231821972903	0.747168792372268	-0.0877175673490049	0.0245604003754043	0.0144621356764339	Socs1
chr2	103598898	103599298	Not Significant	Not Significant	CG Decrease	0.0648699921726427	0.747182884941635	0.0549897323315987	0.0454125820549943	0.00476226426122195	Abtb2
chr2	127363149	127363549	Not Significant	Not Significant	CG Increase	-0.0645860376518944	0.747198313434932	-0.186320431815696	0.0036530340104329	0.00120891656661569	Adra2b
chr3	56649783	56650183	Not Significant	Not Significant	CG Decrease	0.0689452807938522	0.747263392300039	0.0239908586476134	0.0100586717562783	0.0136730926589776	Nbea
chr15	94528439	94528839	Not Significant	Not Significant	CG Decrease	0.0668613862254619	0.747315050087401	0.0264392618682255	0.00523149105081534	0.0411166906951372	Pus7l
chr7	24142493	24142893	Not Significant	Not Significant	CG Decrease	0.0784346984553532	0.747315050087401	-0.108699632546887	0.00329322529552583	0.0248670316396509	Zfp235
chr2	31597931	31598331	Not Significant	Not Significant	CG Decrease	-0.0721615869711386	0.747436517581171	-0.115141080206679	0.00368452191055564	0.0277455774625935	Fubp3
chr2	164879312	164879712	Not Significant	Not Significant	CG Decrease	-0.0671570049280537	0.747436517581171	-0.0716358438790171	0.00300672345625195	0.00177333955455599	Pcif1
chr2	165819234	165819634	Not Significant	Not Significant	CG Decrease	-0.059789709349241	0.747436517581171	-0.0580759307588345	0.00494520800963899	0.00803358120811253	Zmynd8
chr12	107807578	107807978	Not Significant	Not Significant	CG Increase	-0.0542529100821996	0.747436517581171	-0.209630545656151	0.00432380238673336	0.000450286484715945	4930465M20Rik
chr17	25182831	25183231	Not Significant	Not Significant	CG Increase	-0.0796110407240769	0.747448529266494	-0.127330002092083	0.00425402481954294	0.0133589366427681	Uqcc4
chr8	115206869	115207269	Not Significant	Not Significant	CG Increase	0.0683015930808658	0.747448529266494	0.0192003223885666	0.00858673133754968	0.0225279087437656	Wwox
chr13	54948810	54949210	Not Significant	Not Significant	CG Unchanged	0.0633678514115048	0.747450716846457	0.0182862804586899	0.00375130289510599	0.00134886173238778	Unc5a
chr7	143110856	143111256	Not Significant	Not Significant	CG Unchanged	-0.0611702607400952	0.747450716846457	-0.10625183169291	0.0207019720291556	0	Kcnq1
chr1	92891663	92892063	Not Significant	Not Significant	CG Decrease	0.0709531112062947	0.747450716846457	0.0373352259968368	0.0332386273695644	0.00973761884351621	Ankmy1
chr2	164518144	164518544	Not Significant	Not Significant	CG Decrease	-0.0704059853984204	0.747450716846457	-0.113789126571868	0.00384923882615239	0.0280442083268392	Pigt
chr1	76888637	76889037	Not Significant	Not Significant	CG Decrease	0.0726910654665014	0.747450716846457	0.0340135218901242	0.0104427099822465	0.00951844022755611	Mir6343
chr11	8601472	8601872	Not Significant	Not Significant	CG Decrease	0.0593914619691064	0.747450716846457	0.0272783493616402	0.0221393804003176	0.026268557122818	Tns3
chr17	34253814	34254214	Not Significant	Not Significant	CG Decrease	-0.0772163886851687	0.747452573850043	-0.12044725308017	0.00505693773379052	0.0138922712749377	H2-Ab1
chr17	24383791	24384191	Not Significant	Not Significant	CG Decrease	-0.0673582766159542	0.747452573850043	-0.105282894017651	0.00413324826970659	0.0274990015196384	Abca3
chr1	126499692	126500092	Not Significant	Not Significant	CG Decrease	-0.0765580080751568	0.747452573850043	-0.112334877563853	0.00968198704897912	0.0218411490804239	Nckap5
chr10	110707649	110708049	Not Significant	Not Significant	CG Decrease	0.0765636804202127	0.747452573850043	0.0908796256978249	0.00351404965369779	0.0250566059217191	E2f7
chr2	27283231	27283631	Not Significant	Not Significant	CG Decrease	-0.0597742606620731	0.747452573850043	-0.0940439181471938	0.00767648368702268	0.0265206125311721	Vav2
chr9	97602387	97602787	Not Significant	Not Significant	CG Increase	-0.0706849894454341	0.747452573850043	-0.126825239938249	0.00922788586699754	0.00595222149703865	Trim42
chr9	34975185	34975585	Not Significant	Not Significant	CG Increase	-0.0661105241268472	0.747452573850043	-0.178746681169132	0.00530613925391599	0.00333161009220114	Kirrel3
chr2	169455935	169456335	Not Significant	Not Significant	CG Unchanged	0.0751466869616235	0.747472316425795	0.0300651160088086	0.0184445464402957	0	Tshz2
chr8	108911069	108911469	Not Significant	Not Significant	CG Decrease	-0.0657703702419345	0.747472316425795	0.00711828748597091	0.00669863693731979	0.0183895329882082	Mir3108
chr10	117084314	117084714	Not Significant	Not Significant	CG Increase	-0.0761479650682657	0.747477959922198	-0.124230983313999	0.00372886182066806	0.0604299797381546	Cct2
chr19	57621089	57621489	Not Significant	Not Significant	CG Decrease	0.0699670200491294	0.747477959922198	0.0296099601392304	0.00762551324325904	0.0334271742518703	Atrnl1
chr11	20957969	20958369	Not Significant	Not Significant	CG Decrease	0.0756129967923786	0.747477959922198	0.0515590962711357	0.00625619864523262	0.0187388584203554	Lgalsl
chr13	113318072	113318472	Not Significant	Not Significant	CG Decrease	-0.0628778934160659	0.747484931912108	-0.103933843389662	0.00396396513294401	0.0552476231296758	Gzmk
chr2	125797125	125797525	Not Significant	Not Significant	CG Decrease	-0.0762971040559099	0.747506417108874	-0.109381771884884	0.00383526428679278	0.0218618492830424	Secisbp2l
chr1	132477163	132477563	Not Significant	Not Significant	CG Unchanged	-0.0723409414202944	0.747506417108874	-0.117422512373109	0.00306758737920823	0.00170059394360778	Rbbp5
chr15	83864902	83865302	Not Significant	Not Significant	CG Decrease	0.0781565756039547	0.747506417108874	0.0469067724398796	0.0104803813068647	0.0311501519638404	Efcab6
chr10	77711415	77711815	Not Significant	Not Significant	CG Increase	-0.0758809352521581	0.74751355278809	-0.17020182325991	0.00487250045053382	0.00372116583541147	Krtap12-22
chr5	126641567	126641967	Not Significant	Not Significant	CG Decrease	-0.0706149203322968	0.74751355278809	-0.09326429638352	0.00341576174310318	0.00853213645573566	4933438B17Rik
chr4	100868598	100868998	Not Significant	Not Significant	CG Decrease	-0.0754430704991646	0.747545564886324	-0.0994747393596483	0.00290250897110252	0.0120091616661471	Cachd1
chr16	22060858	22061258	Not Significant	Not Significant	CG Decrease	0.0606525986993091	0.747545564886324	0.0824618661170902	0.00465254177179123	0.0194226500399392	Igf2bp2
chr1	176448437	176448837	Not Significant	Not Significant	CG Decrease	-0.0724473758955385	0.747545564886324	-0.111176465631026	0.0117778349992938	0.0284116369233167	Gm36536
chr14	34235031	34235431	Not Significant	Not Significant	CG Increase	0.060208976244718	0.747545564886324	-0.030639347620433	0.00374494823731686	0.00288572810831807	Syt15
chr3	52320209	52320609	Not Significant	Not Significant	CG Increase	-0.0748324587782669	0.747545564886324	-0.127499442066501	0.00479003259368668	0.0194533198254364	Foxo1
chr14	54574699	54575099	Not Significant	Not Significant	CG Decrease	-0.0676484459084437	0.747545564886324	-0.0633188654382993	0.0106000638662134	0.00950626363778055	Ajuba
chr17	24594286	24594686	Not Significant	Not Significant	CG Increase	-0.0656339809851387	0.747545564886324	-0.152672961703495	0.00415959917101777	0.0172059779749844	Tsc2
chr13	89577394	89577794	Not Significant	Not Significant	CG Increase	0.0687424028253062	0.747550573225217	0.0182246031797053	0.00388703857574082	0.0301918543485037	Hapln1
chr4	114772975	114773375	Not Significant	Not Significant	CG Increase	-0.0695926842449216	0.747550573225217	-0.115406166426412	0.00392330673864655	0.00906181811097257	Gm12830
chr15	37045957	37046357	Not Significant	Not Significant	CG Decrease	-0.0844087404489873	0.74755288734121	-0.102648366468637	0.0070917410148944	0.0244256302602868	Zfp706
chr15	72360498	72360898	Not Significant	Not Significant	CG Decrease	0.0582342747828846	0.74755288734121	0.0370971641985094	0.00390145546777587	0.000158428848532964	Kcnk9
chr4	132884007	132884407	Not Significant	Not Significant	CG Unchanged	-0.0718116653158394	0.74755288734121	-0.116893236268654	0.00347768160470406	0.00126837257137917	Stx12
chr14	12284160	12284560	Not Significant	Not Significant	CG Decrease	-0.0636632200704324	0.74755288734121	-0.0908884476839466	0.0032280520013443	0.000936237059329216	Cep15
chr16	13780810	13781210	Not Significant	Not Significant	CG Decrease	-0.0714168598941582	0.747558938100769	-0.0652078861007564	0.00276885187239421	0.00139638848435552	Rrn3
chr3	154928073	154928473	Not Significant	Not Significant	CG Decrease	-0.0728719649874374	0.74758073010679	-0.0760692392532874	0.00408226831298219	0.0417870119622818	Tnni3k
chr4	139704883	139705283	Not Significant	Not Significant	CG Unchanged	-0.081092528955125	0.747584890900822	-0.12617409990794	0.00575595009059383	0	Tas1r2
chr7	15993253	15993653	Not Significant	Not Significant	CG Increase	0.0692058175155979	0.747616331783963	0.0174084334235513	0.00440323560909737	0.0211312538965087	Bicra
chr12	73557634	73558034	Not Significant	Not Significant	CG Increase	-0.0648784447180236	0.747630661128424	-0.121347922012905	0.00557020001875195	0.0238283685317955	2210039B01Rik
chr11	94866719	94867119	Not Significant	Not Significant	CG Decrease	-0.0658545133946344	0.747634355223473	-0.0163527528510941	0.00910266676448527	0.000332382849029769	Col1a1
chr15	87126806	87127206	Not Significant	Not Significant	CG Decrease	-0.0674060162219006	0.747643970024137	-0.0810410589172104	0.0594394141599127	0.00497048394638404	Tafa5
chr7	27171613	27172013	Not Significant	Not Significant	CG Increase	-0.0771038603291791	0.747643970024137	-0.142494338461555	0.00384843973744837	0.00875983868453865	Rab4b
chr15	67996956	67997356	Not Significant	Not Significant	CG Increase	-0.0699026256723638	0.747650883973278	-0.15283967108111	0.00468623667881079	0.0112718691552369	Zfat
chrX	11447553	11447953	Not Significant	Not Significant	CG Increase	-0.0810144205475931	0.747650883973278	-0.126786606918649	0.0189630028018333	0.0192767592736908	H2al1j
chr17	34977932	34978332	Not Significant	Not Significant	CG Decrease	-0.0545077308386768	0.747650883973278	-0.0989826804898216	0.00365487001186	0.0681414140430175	Lsm2
chr10	78046540	78046940	Not Significant	Not Significant	CG Decrease	-0.0738011829267881	0.747650883973278	-0.09394783228281	0.00525841272977225	0.012944932590399	Dnmt3l
chr4	125374679	125375079	Not Significant	Not Significant	CG Increase	-0.073159555358059	0.747658020116267	-0.126028429417363	0.00728140091360953	0.0259817984336035	Grik3
chr17	11992622	11993022	Not Significant	Not Significant	CG Decrease	-0.0641731579527388	0.747665949529381	-0.10248333483936	0.026207198525902	0.0416232368298005	Prkn
chr1	156310784	156311184	Not Significant	Not Significant	CG Increase	-0.069217754140755	0.747695892931268	-0.152511960231996	0.00334329200801707	0.00874306733471497	Nphs2
chr19	48111700	48112100	Not Significant	Not Significant	CG Decrease	-0.0750059237832673	0.747710243757913	-0.101261177559661	0.00319477566459827	0.0122144894112375	Sorcs3
chr4	149900545	149900945	Not Significant	Not Significant	CG Increase	-0.0671953585498559	0.747710243757913	-0.11286248815067	0.00678439627859063	0.0385736099205112	Spsb1
chr17	32100290	32100690	Not Significant	Not Significant	CG Decrease	0.0658457007619096	0.747710243757913	0.0499127721074982	0.0034546697526204	0.00699879938824813	Pdxk-ps
chr7	25367669	25368069	Not Significant	Not Significant	CG Increase	-0.0654002632928552	0.747710243757913	0.018973393869383	0.00360845627630143	0.00680705615112609	Cnfn
chr12	113186278	113186678	Not Significant	Not Significant	CG Decrease	0.0643936509526396	0.747718299851806	0.0935175974072013	0.00611817509753448	0.0101816077482076	Tmem121
chr2	11332819	11333219	Not Significant	Not Significant	CG Decrease	-0.0713908899224822	0.747718299851806	-0.101834167540962	0.011446612731477	0.03510145534601	Gm13293
chr8	94351126	94351903	Not Significant	Not Significant	CG Increase	-0.0556655663614768	0.747718299851806	-0.10258257373709	0.00524487532196437	0.0124113185853149	Slc12a3
chr11	36026638	36027038	Not Significant	Not Significant	CG Decrease	0.0786657077186547	0.747727734757953	0.0513081673193829	0.00428664476199638	0.0284688668952618	Wwc1
chr14	119466973	119467373	Not Significant	Not Significant	CG Increase	0.0613026805426803	0.747747621986348	-0.0404081387351723	0.00710168205889086	0.00515024085294576	1700006F04Rik
chr11	74054308	74054708	Not Significant	Not Significant	CG Decrease	0.0700887880482123	0.747747621986348	0.0363093600917367	0.00447996715060493	0.010215549992207	Or3a4
chr10	116598863	116599263	Not Significant	Not Significant	CG Increase	0.080985812451043	0.747747621986348	-0.0580532349029424	0.00341183289030841	0.0115825244018859	Cnot2
chr4	126429376	126429776	Not Significant	Not Significant	CG Decrease	-0.0565585713186079	0.747756337131715	0.00938979724604085	0.00355330012980245	0.00195615963448313	Ago3
chr6	124996839	124997239	Not Significant	Not Significant	CG Unchanged	-0.0903393525763613	0.747811467968299	-0.135420923529176	0.00475693700319514	0.00207659371773204	Pianp
chr11	55532223	55532623	Not Significant	Not Significant	CG Decrease	-0.0648154229755236	0.747811467968299	-0.102878945816778	0.0399365698607485	0.0333504617362843	Mir7652
chr7	113823237	113823637	Not Significant	Not Significant	CG Increase	-0.0626032680531637	0.747817757460332	-0.12419948280155	0.0104162401689258	0.0186155704488778	Spon1
chr13	54269579	54269979	Not Significant	Not Significant	CG Increase	0.0544557155801213	0.747817757460332	-0.0586614828169167	0.00343432152955015	0.000760047513053304	Cplx2
chr9	90234412	90234812	Not Significant	Not Significant	CG Increase	-0.0730415700553717	0.747817757460332	-0.129450764976239	0.00429445490278211	0.0366283997038653	Tbc1d2b
chr9	41915447	41915847	Not Significant	Not Significant	CG Decrease	-0.0742455676658386	0.747817757460332	-0.118342310570151	0.00470967661412874	0.0252238057200748	Sorl1
chr10	111977657	111978057	Not Significant	Not Significant	CG Increase	0.0653000546449181	0.747817757460332	0.0180123178576989	0.00386879747347939	0.00331325007793017	Krr1
chr6	126841777	126842177	Not Significant	Not Significant	CG Increase	0.0755965823217351	0.747817757460332	-0.00260358044390027	0.00342726291266463	0.0317504578397756	Ndufa9
chr3	131590309	131590709	Not Significant	Not Significant	CG Increase	-0.0724108884209877	0.747829891072882	-0.132875512678178	0.00391271881331827	0.0283020476153367	Papss1
chr8	14108699	14109099	Not Significant	Not Significant	CG Decrease	0.0805408859688194	0.747829891072882	0.0495497803251841	0.00563532574812968	0.00462345113778055	Dlgap2
chr17	14336015	14336415	Not Significant	Not Significant	CG Increase	0.0686344352219659	0.747829891072882	0.0179906935333864	0.00671268758036549	0.0279367499220698	Smoc2
chr11	55218001	55218401	Not Significant	Not Significant	CG Decrease	-0.0734209593557477	0.747829891072882	-0.0803882542599037	0.00428045182454021	0.0146837496103491	Slc36a1
chr6	138412450	138412850	Not Significant	Not Significant	CG Decrease	0.078369253200116	0.747829891072882	0.0375854959474584	0.00466176934373052	0.0272085898534913	Lmo3
chr7	138177539	138177939	Not Significant	Not Significant	CG Decrease	-0.0898199781484246	0.747829891072882	-0.129663072297889	0.00940419908176337	0.0087086970074813	Tcerg1l
chr5	136198668	136199068	Not Significant	Not Significant	CG Unchanged	-0.0597251981947493	0.747829891072882	-0.104806769147564	0.00324716353951547	0.00100966760345231	Prkrip1
chr5	112918354	112918754	Not Significant	Not Significant	CG Decrease	0.0734326360079518	0.747850743032377	0.0397990579525639	0.00486174129191182	0.0093272677680798	Grk3
chr5	144419085	144419485	Not Significant	Not Significant	CG Increase	-0.0690482627366944	0.747858110774665	-0.188337433267556	0.00617697470800538	0.00715561103345153	Dmrt1i
chr9	64329918	64330318	Not Significant	Not Significant	CG Increase	0.0763906951615722	0.747874412724952	0.0243792987882531	0.00384867280498704	0.0130411276496259	Dis3l
chr15	84625730	84626130	Not Significant	Not Significant	CG Increase	0.0701825618720385	0.747884705568392	0.00834059222099796	0.00713798827363963	0.00677688103958853	Prr5
chr9	107659874	107660274	Not Significant	Not Significant	CG Decrease	0.0632479950235536	0.747884705568392	0.0705504764890494	0.00629689984785351	0.00524049982465711	Slc38a3
chr13	36533385	36533785	Not Significant	Not Significant	CG Increase	0.0631509699118867	0.747884705568392	0.00102797079624682	0.00377629344302817	0.00420016243570761	Fars2
chr1	137356118	137356518	Not Significant	Not Significant	CG Decrease	0.0775268869577546	0.747895469288297	0.0674311842053704	0.0048801488709866	0.00872361332995636	Nr5a2
chr4	105329467	105329867	Not Significant	Not Significant	CG Decrease	0.067167341400299	0.747895469288297	0.0659249167210784	0.0296150454856511	0.0184329216022444	Plpp3
chr7	78827624	78828024	Not Significant	Not Significant	CG Decrease	-0.0813099529367852	0.747895469288297	-0.112417704798856	0.0033413228251393	0.0398673725841646	Det1
chr9	61815893	61816293	Not Significant	Not Significant	CG Increase	-0.0539022492608324	0.748259769960807	-0.11808803094492	0.013056243744277	0.0266527285302369	Rplp1
chr17	6750865	6751265	Not Significant	Not Significant	CG Increase	-0.0863958107200458	0.748259769960807	-0.1510873487501	0.00628837147853024	0.0210983771041147	Ezr
chr5	43511043	43511443	Not Significant	Not Significant	CG Increase	-0.0724620224281455	0.748259769960807	-0.117970480449271	0.00457776038723991	0.00953061681733167	C1qtnf7
chr17	28075704	28076104	Not Significant	Not Significant	CG Increase	-0.0699292339541108	0.748266222577478	-0.116999141198189	0.00873092879678246	0.0319032740414589	Tcp11
chr3	120529719	120530119	Not Significant	Not Significant	CG Decrease	0.068617747952983	0.748266222577478	0.0294291849464539	0.00883011092568871	0.0182320078709476	6530403H02Rik
chr5	97083016	97083416	Not Significant	Not Significant	CG Decrease	-0.0636868650537405	0.748266222577478	-0.0872171355605628	0.00637879217057454	0.0213151204021197	Paqr3
chr4	57577773	57578173	Not Significant	Not Significant	CG Decrease	0.0750063807977099	0.748266222577478	0.0362290360054194	0.00389410194910673	0.0684397404925187	NA
chr14	55579871	55580271	Not Significant	Not Significant	CG Increase	-0.0612202181313996	0.748266222577478	-0.133634526241311	0.00373174424777899	0.0430296329488778	Psme1
chr10	30656203	30656603	Not Significant	Not Significant	CG Increase	-0.0771884395794568	0.748266222577478	-0.12497235438	0.00340856043180623	0.0219568266832918	Ncoa7
chr2	26281344	26281744	Not Significant	Not Significant	CG Increase	-0.0672771120984976	0.748278421425892	-0.113483922971235	0.0125942705872647	0.0188237901340399	Ccdc187
chr2	93287703	93288103	Not Significant	Not Significant	CG Increase	-0.0750265526671534	0.748278421425892	-0.1600969714307	0.015151996564984	0.0424731627961347	Tspan18
chr18	74464171	74464571	Not Significant	Not Significant	CG Decrease	0.0688573350831207	0.748278421425892	0.0263583624481585	0.00448124188734706	0.00419833594724127	Myo5b
chr7	38252404	38252804	Not Significant	Not Significant	CG Increase	-0.0688243199515146	0.748278421425892	-0.138771541111191	0.00618800974248948	0.0116542140741895	Pop4
chr15	84251578	84251978	Not Significant	Not Significant	CG Increase	0.0722979217655695	0.748278421425892	-0.0821988892003976	0.0111273863071813	0.0164289593399314	Parvb
chr3	85121434	85121834	Not Significant	Not Significant	CG Increase	0.0749884953303348	0.748278421425892	0.0187553400045669	0.00675419262817078	0.0164383961970075	Fbxw7
chr12	4594547	4594947	Not Significant	Not Significant	CG Increase	0.0737855859658081	0.748278421425892	0.00625225441597345	0.0439132157703885	0.00381979621259352	Itsn2
chr10	110651412	110651812	Not Significant	Not Significant	CG Increase	0.0731275196421005	0.748278421425892	-0.00942045682153731	0.0126174584291225	0.00842772219841022	9230102K24Rik
chr11	113621974	113622374	Not Significant	Not Significant	CG Increase	-0.0790360837124143	0.748278421425892	-0.141974948489083	0.0244583928971517	0.0138222558837282	Sstr2
chr5	99263989	99264389	Not Significant	Not Significant	CG Decrease	-0.0712917121627861	0.748278421425892	-0.105605380497914	0.0147475720641024	0.0234387176589776	Rasgef1b
