symbol	chr	start	end	gb_ctrl_signal	gb_mut_signal	gb_log2fc	pr_ctrl_signal	pr_mut_signal	pr_log2fc	is_neuronal	ctrl_decile
Mapk13	chr17	28769297	28780233	5.213215	4.53063	-0.193678	4.085621	3.073707	-0.386485	FALSE	10
Gm9767	chr10	26078255	26079447	5.212024	3.419813	-0.577594	4.629943	3.385446	-0.427765	FALSE	10
Alx4	chr2	93642384	93681339	5.206086	5.265266	0.015649	9.269083	7.824429	-0.238272	FALSE	10
Isl1	chr13	116298281	116309689	5.205477	2.926106	-0.786137	4.80983	2.787377	-0.741958	TRUE	10
Ren1	chr1	133351909	133354276	5.194276	3.740609	-0.451023	3.205354	2.324236	-0.428986	FALSE	10
Hoxb8	chr11	96281905	96285315	5.187627	3.784664	-0.433292	5.833923	4.400881	-0.389685	TRUE	10
Epop	chr11	97627389	97629702	5.18645	3.627964	-0.490561	5.413787	4.27929	-0.324392	TRUE	10
Csrp2	chr10	110919789	110939622	5.180375	8.001947	0.606399	4.994726	7.760342	0.613836	FALSE	10
Wnt10b	chr15	98770712	98778150	5.179836	4.534706	-0.183551	6.943626	5.833749	-0.242852	TRUE	10
Ccdc182	chr11	88294058	88295261	5.17773	4.479927	-0.199705	4.585537	4.587358	0.000547	FALSE	10
Zbtb42	chr12	112678828	112682747	5.17227	5.188577	0.004356	4.715468	4.377895	-0.102208	FALSE	10
Fam83g	chr11	61684419	61709951	5.169791	4.404407	-0.220951	5.17084	4.228467	-0.277188	FALSE	10
Sphk1	chr11	116530925	116536674	5.16763	3.374802	-0.583706	4.79464	3.179072	-0.560973	TRUE	10
Hsf4	chr8	105269801	105275845	5.165376	5.939344	0.193721	8.813156	9.594942	0.119747	FALSE	10
6530402F18Rik	chr2	29245107	29252993	5.163631	4.718921	-0.124378	5.19902	4.268918	-0.271651	FALSE	10
Myorg	chr4	41495604	41503076	5.163326	6.250667	0.265406	4.257045	5.312785	0.305444	FALSE	10
Ccdc121rt1	chr1	181509633	181511451	5.154321	5.954918	0.200329	4.618324	5.377124	0.210169	FALSE	10
Fam43b	chr4	138394092	138396528	5.150252	4.040162	-0.334065	3.949171	3.028307	-0.360049	FALSE	10
Nags	chr11	102145513	102149477	5.145496	3.987669	-0.350673	3.943704	3.234592	-0.269335	FALSE	10
Nkx3-1	chr14	69190638	69194662	5.143097	6.669482	0.361315	5.010963	6.877953	0.440309	FALSE	10
Mir24-1	chr13	63301208	63302871	5.13826	4.153568	-0.292939	3.698417	3.010238	-0.278612	TRUE	10
B430319G15Rik	chr9	92538801	92542869	5.133911	7.195269	0.469888	5.075209	6.292891	0.298598	FALSE	10
Hoxb9	chr11	96271457	96276595	5.128901	3.145259	-0.668487	6.777471	4.592554	-0.540009	FALSE	10
Crabp2	chr3	87948666	87953376	5.084902	4.195357	-0.264783	7.211128	6.01447	-0.253305	TRUE	10
Foxf2	chr13	31625816	31631403	5.084226	4.164631	-0.274673	5.976175	5.113537	-0.216276	FALSE	10
C2cd4c	chr10	79606854	79614025	5.083232	5.365948	0.074927	5.604062	6.28053	0.158525	FALSE	10
Pax1dt	chr2	147357454	147362793	5.070753	3.027681	-0.704022	6.931597	4.539941	-0.587298	FALSE	10
Nppc	chr1	86666291	86670571	5.070404	4.567515	-0.144094	6.171121	5.809101	-0.084123	TRUE	10
Tbx3	chr5	119670669	119684724	5.067945	4.309343	-0.223395	6.217485	5.533099	-0.162151	TRUE	10
Gcgr	chr11	120530699	120538986	5.067444	3.926549	-0.350641	7.417851	5.629275	-0.384895	FALSE	10
3110082J24Rik	chr5	30103584	30106086	5.063698	4.54668	-0.148556	6.802616	6.767041	-0.007327	FALSE	10
Fos	chr12	85473890	85477273	5.050608	6.534076	0.357775	6.146843	7.49135	0.276396	TRUE	10
Snai2	chr16	14705852	14709385	5.050446	5.375383	0.086308	7.190634	7.543237	0.067059	TRUE	10
Crb2	chr2	37776249	37799103	5.050339	5.992342	0.237232	4.367269	6.735324	0.600457	TRUE	10
5033404E19Rik	chr1	185497388	185498017	5.021444	7.102892	0.48243	2.353457	3.516028	0.537756	FALSE	10
Lrrc32	chr7	98489283	98502181	5.021373	5.415655	0.104634	5.255164	4.821925	-0.118922	FALSE	10
Hoxb2	chr11	96351631	96354012	5.019834	2.801706	-0.79411	5.187544	3.054897	-0.723482	TRUE	10
Drd4	chr7	141292006	141296464	5.010181	3.536674	-0.477379	4.207612	3.345572	-0.312377	TRUE	10
Gm23284	chr8	123543873	123561006	5.00902	3.936502	-0.331154	5.636505	4.336594	-0.362067	FALSE	10
Fbln2	chr6	91212455	91272540	5.001916	5.189545	0.050926	7.969201	7.405811	-0.102829	FALSE	10
Icam5	chr9	21032073	21039036	5.000238	4.997461	-0.000768	6.320868	6.73365	0.088285	TRUE	10
Il10	chr1	131019845	131024974	4.998585	6.383841	0.339633	3.35108	3.807321	0.173449	TRUE	10
1700056E22Rik	chr1	184033030	184034301	4.992779	6.174722	0.294817	4.5627	7.006925	0.595532	FALSE	10
Gm16551	chr9	74847983	74891476	4.989455	4.261907	-0.217009	7.246984	5.626154	-0.353025	FALSE	10
Fzd7	chr1	59482424	59486955	4.988311	6.719348	0.413968	5.846581	7.929133	0.425748	FALSE	10
Vim	chr2	13573952	13582826	4.988175	6.904546	0.452003	9.754037	11.32981	0.211615	TRUE	10
Cldn3	chr5	134986214	134987472	4.984039	3.496587	-0.485627	4.068356	2.999182	-0.413704	TRUE	10
Gm11729	chr11	117414389	117415368	4.976658	4.934777	-0.011674	3.025779	3.20398	0.077104	FALSE	10
A330009N23Rik	chr15	101221195	101225186	4.976341	5.911679	0.238776	5.028624	5.757192	0.187521	FALSE	10
Rrs1	chr1	9545408	9547455	4.970764	8.089896	0.678859	3.907472	6.942019	0.795073	FALSE	10
Gas2l1	chr11	5054132	5065327	4.967954	5.028918	0.016854	2.800236	2.815133	0.007098	FALSE	10
Spry1	chr3	37639947	37644598	4.965807	6.47518	0.368539	4.871177	8.156162	0.718264	FALSE	10
Hey1	chr3	8663359	8667256	4.944209	7.589397	0.596641	4.716585	7.616151	0.666606	TRUE	10
Lmo4	chr3	144188530	144205220	4.940723	7.721511	0.621817	8.677691	14.518133	0.728036	TRUE	10
Gm2788	chr7	48877958	48886608	4.939684	4.94974	0.002809	3.436051	3.708568	0.103711	FALSE	10
Rpp25	chr9	57504026	57505448	4.935495	4.689133	-0.070639	4.676516	5.146652	0.132261	FALSE	10
Vash2	chr1	190947646	190979296	4.925239	5.212789	0.078451	8.268301	7.574046	-0.1231	TRUE	10
8030423J24Rik	chr13	70882948	70884503	4.918517	6.925558	0.475676	3.450064	4.421381	0.338729	FALSE	10
Lhx8	chr3	154306294	154330659	4.907039	3.568474	-0.436485	17.875378	13.780194	-0.370169	TRUE	10
Slc10a4	chr5	73006883	73012955	4.902511	5.462885	0.149766	6.058559	6.574987	0.114033	TRUE	10
Aldh1b1	chr4	45799022	45804604	4.898036	3.94909	-0.295842	7.957754	7.14951	-0.150131	FALSE	10
Pfn3	chr13	55414688	55415232	4.892817	4.198065	-0.210693	2.402821	2.502013	0.05355	FALSE	10
4930449E01Rik	chr14	105498788	105505629	4.887412	7.179103	0.534737	3.620044	5.090166	0.467609	FALSE	10
Nt5dc2	chr14	31131053	31139124	4.881212	6.121595	0.313993	4.395684	6.195531	0.475003	FALSE	10
Sema4c	chr1	36548639	36558349	4.88056	5.490131	0.162861	4.7533	5.479517	0.196627	TRUE	10
Fam43a	chr16	30599723	30602797	4.873537	5.808405	0.243098	3.963301	5.810226	0.527545	FALSE	10
9930014A18Rik	chr15	60822271	60831793	4.869372	5.569821	0.186023	7.079662	8.127258	0.193467	FALSE	10
B3gnt7	chr1	86303234	86307305	4.863291	4.604863	-0.075271	5.376173	4.840081	-0.145273	FALSE	10
Gm11186	chr11	53111451	53120056	4.860798	3.671735	-0.384621	5.025294	3.957691	-0.328301	FALSE	10
AU021063	chr15	101221247	101222155	4.858842	6.240234	0.347072	3.117509	3.826535	0.277897	FALSE	10
Shisa8	chr15	82206168	82212815	4.858612	5.084199	0.062698	2.939266	3.128661	0.083989	TRUE	10
Cdx2	chr5	147300805	147307270	4.855962	3.335177	-0.513731	4.173981	2.602318	-0.638605	FALSE	10
H4c1	chr13	23760692	23761230	4.855172	6.7256	0.452625	4.376	7.585544	0.76409	FALSE	10
Tmem200c	chr17	68826623	68843139	4.853664	5.102644	0.069112	1.229409	1.300035	0.068629	FALSE	10
Gm22109	chr8	123545578	123566087	4.853465	3.725927	-0.362588	8.411334	6.708723	-0.316984	FALSE	10
Wnt4	chr4	137277489	137299726	4.851565	3.907518	-0.297141	4.693176	3.093588	-0.568228	TRUE	10
Fignl2	chr15	101050194	101054399	4.845553	3.935109	-0.285819	3.939199	3.655984	-0.101737	FALSE	10
Icam4	chr9	21029373	21030595	4.83035	6.370634	0.384018	4.566915	5.303803	0.206556	FALSE	10
Gm13375	chr2	20969054	20969997	4.820524	5.558837	0.197197	2.741493	3.369956	0.277621	FALSE	10
Tsku	chr7	98350668	98361328	4.815866	5.062932	0.069096	7.003262	6.877473	-0.025344	TRUE	10
Rhoc	chr3	104788375	104794459	4.815019	5.252383	0.120166	5.177911	5.917289	0.185193	FALSE	10
Esx1	chrX	137115397	137122083	4.806639	3.625513	-0.386397	5.261936	4.212044	-0.306698	FALSE	10
Mroh2a	chr1	88226986	88262289	4.8053	4.178549	-0.192172	1.371281	1.087997	-0.282782	FALSE	10
Exoc3l4	chr12	111417017	111431678	4.795313	4.4713	-0.096347	3.364892	3.299094	-0.026724	FALSE	10
Nkx6-2	chr7	139579376	139582797	4.791612	3.580744	-0.398971	7.159378	5.568551	-0.350284	TRUE	10
Castor1	chr11	4218225	4222409	4.789559	4.71759	-0.020875	4.30632	4.063328	-0.079602	FALSE	10
Rap2b	chr3	61361638	61368430	4.785201	7.869917	0.692671	4.029286	7.83217	0.922119	FALSE	10
B3gnt9	chr8	105252638	105255153	4.776324	4.576152	-0.058987	4.695664	4.55057	-0.043223	FALSE	10
Myo3a	chr2	22227503	22618252	4.774999	4.71452	-0.017574	0.737331	0.349071	-0.750164	TRUE	10
Egr4	chr6	85511121	85513589	4.772827	6.25106	0.374129	3.598794	5.997706	0.703231	FALSE	10
Lrg1	chr17	56119678	56122001	4.763302	4.605526	-0.046414	3.104501	3.014293	-0.039685	FALSE	10
Sox8	chr17	25565892	25570686	4.761837	4.283495	-0.145625	5.474863	4.579688	-0.246709	TRUE	10
Cmtm3	chr8	104339410	104347672	4.761718	5.030792	0.075888	3.864715	3.804055	-0.021584	FALSE	10
Jun	chr4	95049034	95052222	4.761607	5.422253	0.179652	5.175431	5.934769	0.189959	TRUE	10
Adamtsl5	chr10	80339793	80348412	4.760266	4.234089	-0.161084	4.384811	4.18454	-0.064147	FALSE	10
Tmem229a	chr6	24951141	24956297	4.758728	6.842718	0.504426	5.210437	7.027534	0.416406	FALSE	10
Rgs16	chr1	153740349	153745468	4.756627	4.301054	-0.138502	6.109024	6.557662	0.098801	FALSE	10
Dll4	chr2	119325784	119335962	4.756486	5.515625	0.204814	10.677578	10.188854	-0.066195	TRUE	10
Ajuba	chr14	54567472	54577558	4.7541	4.456226	-0.089087	6.71884	5.70074	-0.228908	FALSE	10
Dbn1	chr13	55473429	55488111	4.752846	3.765178	-0.31941	6.538129	5.38586	-0.269678	TRUE	10
Prdm14	chr1	13113457	13127163	4.744336	4.672488	-0.021031	15.417273	15.353648	-0.005882	FALSE	10
1600029O15Rik	chr9	58202897	58208808	4.742047	4.318628	-0.128673	10.324969	8.877023	-0.213083	FALSE	10
H3c6	chr13	23561534	23562369	4.738215	8.634213	0.836513	3.047674	7.206717	1.184402	FALSE	10
Wnt5a	chr14	28504750	28527448	4.736401	5.270532	0.147646	7.480762	6.933256	-0.106398	TRUE	10
Fam181a	chr12	103310975	103317065	4.734348	4.756654	0.006481	2.292929	2.134279	-0.094075	FALSE	10
Kcnk15	chr2	163853651	163859746	4.732605	4.345129	-0.117526	5.179781	4.656663	-0.147	FALSE	10
Wnt16	chr6	22288227	22298522	4.730827	4.652814	-0.022913	9.174994	10.012738	0.123225	TRUE	10
Atoh8	chr6	72206177	72235577	4.728193	6.579605	0.45853	6.876462	7.983958	0.209214	TRUE	10
Gfra4	chr2	131039632	131043088	4.727493	6.161931	0.36728	2.897287	3.843679	0.38247	TRUE	10
Optn	chr2	5020642	5064051	4.725484	5.386677	0.181026	8.245088	9.424443	0.188168	TRUE	10
Ltb4r1	chr14	55765962	55768494	4.724352	5.974029	0.325083	4.891246	5.676045	0.206064	FALSE	10
Sema5b	chr16	35541145	35664732	4.716782	5.278147	0.155367	8.297931	8.434918	0.023016	TRUE	10
Cer1	chr4	82881751	82885148	4.715903	7.504991	0.646194	5.466355	8.953104	0.689883	TRUE	10
Hic1	chr11	75164565	75169519	4.704322	4.05117	-0.205283	5.366004	4.826533	-0.146518	FALSE	10
Sdc1	chr12	8771323	8793715	4.703296	6.661594	0.483098	6.117608	8.698551	0.492855	FALSE	10
Gata6	chr18	11052064	11085635	4.700008	4.124716	-0.17939	15.536893	13.78279	-0.170266	FALSE	10
Fbxl8	chr8	105264648	105269326	4.699975	5.964419	0.329973	3.464647	4.595855	0.386244	FALSE	10
Timp3	chr10	86300372	86349506	4.693349	5.843773	0.303496	8.336422	9.66198	0.207787	FALSE	10
Snorc	chr1	87470271	87475482	4.69147	4.591893	-0.029549	2.326906	2.573805	0.133474	FALSE	10
A630019I02Rik	chr13	93094833	93098968	4.689423	5.994099	0.339977	7.937536	11.072715	0.469175	FALSE	10
Mfap2	chr4	141010418	141015984	4.683305	4.539788	-0.042855	4.079987	3.961128	-0.040438	FALSE	10
Rprml	chr11	103649570	103650579	4.68227	3.628109	-0.349281	3.844843	3.250685	-0.227965	FALSE	10
Csf1	chr3	107741048	107760469	4.681476	5.626629	0.254378	5.532665	7.497531	0.423894	TRUE	10
Vmn2r111	chr17	22544504	22573482	4.675957	4.142272	-0.166503	0.210023	0.165281	NA	FALSE	10
Slitrk3	chr3	73047265	73057803	4.673802	6.495777	0.45658	6.027815	8.860018	0.539326	TRUE	10
Mesp1	chr7	79792241	79793788	4.672578	4.492498	-0.0541	2.700725	2.623171	-0.038822	TRUE	10
Nxph4	chr10	127525473	127534559	4.670307	5.162886	0.138448	6.327316	6.396573	0.01518	TRUE	10
Tmem30b	chr12	73543402	73546392	4.66017	3.690422	-0.31959	4.196149	3.572256	-0.219719	FALSE	10
Bcan	chr3	87987531	88000230	4.656939	4.345043	-0.095343	6.644969	6.320165	-0.069924	TRUE	10
Fjx1	chr2	102449366	102452499	4.654187	5.918349	0.332675	3.880651	6.456102	0.703121	FALSE	10
Gdnf	chr15	7810846	7837575	4.653394	5.350686	0.192919	13.682363	15.251849	0.154313	TRUE	10
Vsx1	chr2	150680702	150689360	4.651748	4.829389	0.051667	9.222806	9.585137	0.054321	TRUE	10
Plxna4os1	chr6	32511073	32515576	4.648748	6.007678	0.355128	6.453684	8.665196	0.412907	FALSE	10
Dnajc22	chr15	99093170	99104737	4.638083	4.395593	-0.073868	3.736618	4.115059	0.131776	FALSE	10
Bmp2	chr2	133552159	133562885	4.628964	4.84295	0.062299	7.232387	8.492084	0.225308	TRUE	10
Tfap2b	chr1	19208914	19238576	4.625215	3.122974	-0.535397	6.704297	5.929957	-0.171085	TRUE	10
Gm715	chrX	60548019	60548849	4.625	4.602674	-0.006663	3.712346	4.303955	0.202183	FALSE	10
Cebpa	chr7	35119303	35121928	4.621365	4.035687	-0.186012	5.519539	4.828212	-0.185154	FALSE	10
H4c4	chr13	23581598	23582735	4.621237	6.375758	0.446144	3.105688	5.320196	0.736243	FALSE	10
Hoxb3	chr11	96323326	96347930	4.616617	2.658204	-0.748781	3.928422	2.20395	-0.775144	TRUE	10
Fam107a	chr14	8296274	8318023	4.612587	5.728199	0.299644	5.993824	6.96619	0.209738	TRUE	10
Nrarp	chr2	25180758	25183339	4.611446	3.953304	-0.211254	5.280799	4.788409	-0.135283	FALSE	10
Krt80	chr15	101347444	101370162	4.610063	5.216476	0.170622	5.520517	6.510703	0.229568	FALSE	10
C1ql2	chr1	120340582	120343174	4.608383	3.172292	-0.50925	3.869792	2.402462	-0.641058	TRUE	10
3010003L21Rik	chr6	148944867	148947129	4.608166	6.001316	0.365729	5.330257	7.33577	0.445008	FALSE	10
Cyp1b1	chr17	79701537	79715061	4.603156	5.036374	0.124085	11.0823	10.795738	-0.037049	TRUE	10
Irx4	chr13	73260479	73269608	4.598318	4.244261	-0.110102	4.393209	3.393633	-0.3523	TRUE	10
Mrgprg	chr7	143763710	143766993	4.591683	3.490426	-0.374936	3.231964	2.353745	-0.423514	FALSE	10
Gm20544	chr18	75365332	75367088	4.590384	6.099828	0.393716	3.523671	4.260611	0.259226	FALSE	10
Gm15413	chr7	96791433	96801549	4.5893	4.750205	0.047476	4.294799	4.136126	-0.051614	FALSE	10
Ttll2	chr17	7350885	7371979	4.58775	3.836786	-0.245011	3.89358	2.831465	-0.430863	FALSE	10
Rxfp3	chr15	11033717	11037991	4.587157	3.292111	-0.452819	5.813376	4.8039	-0.264146	FALSE	10
Ly6d	chr15	74762056	74763620	4.583291	6.526696	0.490137	4.236025	5.693953	0.408346	FALSE	10
Gm15631	chr6	105673064	105677581	4.569591	6.159607	0.413547	8.435469	10.003451	0.240192	FALSE	10
Galr2	chr11	116280939	116283938	4.569322	3.77431	-0.261861	2.717347	2.336033	-0.20059	TRUE	10
Rhbdf2	chr11	116598165	116627019	4.565455	4.544807	-0.006238	4.6245	4.705393	0.02389	FALSE	10
Sox7	chr14	63943673	63950732	4.561472	3.669471	-0.297864	9.269488	7.949142	-0.21614	FALSE	10
Lefty1	chr1	180935022	180938400	4.560455	4.428481	-0.040386	4.044956	3.256871	-0.294723	FALSE	10
C2cd4a	chr9	67830489	67832330	4.557866	4.432897	-0.038235	3.378944	3.402896	0.009569	FALSE	10
Lsmem2	chr9	107592630	107597075	4.556303	5.195261	0.181128	4.762547	5.508924	0.201372	FALSE	10
Sall1	chr8	89027235	89044162	4.553761	3.463088	-0.374189	8.112254	6.409797	-0.329731	TRUE	10
Platr30	chr3	96345287	96358480	4.551614	2.982633	-0.575184	5.194904	3.498628	-0.542136	FALSE	10
Lrrc3c	chr11	98598291	98599586	4.551613	4.45013	-0.031013	2.371875	2.51956	0.079941	FALSE	10
Cxcl12	chr6	117168535	117181367	4.546425	4.270778	-0.085938	11.081826	9.854714	-0.165813	TRUE	10
M5C1000I18Rik	chr9	67758713	67760230	4.5458	4.726154	0.053586	2.683338	2.781735	0.04808	FALSE	10
Rasl11b	chr5	74195286	74199481	4.532567	6.572337	0.515179	5.605137	8.588161	0.596529	FALSE	10
Slc16a8	chr15	79251014	79254761	4.532152	3.26648	-0.446783	3.073028	2.495123	-0.278375	FALSE	10
Casz1	chr4	148804429	148954889	4.52576	3.701835	-0.275095	5.148787	4.127551	-0.304378	TRUE	10
Fstl3	chr10	79777272	79782630	4.524724	5.099786	0.165036	2.211559	2.822971	0.323571	FALSE	10
Tmsb10	chr6	72957347	72958748	4.521712	5.969707	0.384446	3.71037	5.467432	0.533085	FALSE	10
Nln	chr13	104023057	104109614	4.518958	5.363702	0.236641	5.172238	10.364298	0.972938	FALSE	10
Six3os1	chr17	85600651	85618398	4.517744	3.310748	-0.424202	4.709339	4.160568	-0.170267	TRUE	10
Plk2	chr13	110395046	110400844	4.515866	6.179274	0.434261	6.279094	9.262559	0.545021	TRUE	10
Nefl	chr14	68083863	68089095	4.513436	5.220542	0.200853	7.956198	8.6423	0.116248	TRUE	10
Kctd12	chr14	102976581	102982637	4.512746	8.241073	0.838131	7.255369	10.237465	0.484303	TRUE	10
Tmem121b	chr6	120488939	120493807	4.506478	4.427511	-0.024306	3.785634	3.50415	-0.105113	FALSE	10
A930033H14Rik	chr10	69209762	69213098	4.505503	5.62159	0.305879	6.513081	8.365668	0.350652	FALSE	10
P2rx2	chr5	110339812	110343212	4.498727	3.749849	-0.2493	4.108497	3.393019	-0.260646	TRUE	10
Tns2	chr15	102100413	102116401	4.494805	5.062623	0.164048	4.52286	4.485524	-0.011401	FALSE	10
Bhlhe40	chr6	108660629	108666925	4.493284	6.555332	0.523537	5.430991	7.875878	0.518665	TRUE	10
Il19	chr1	130932656	130940115	4.492725	4.652699	0.048157	7.592369	8.848782	0.215143	FALSE	10
Lfng	chr5	140607320	140615545	4.484102	3.685544	-0.268381	4.359625	3.57384	-0.271555	FALSE	10
Pisd-ps1	chr11	3125904	3131004	4.483217	4.471049	-0.003737	2.954869	3.30381	0.150428	FALSE	10
Efnb2	chr8	8617434	8661242	4.480942	5.235846	0.214843	8.388004	8.058574	-0.056295	TRUE	10
Htr1a	chr13	105443639	105448122	4.477985	4.379801	-0.030469	5.42052	5.067491	-0.093241	TRUE	10
Tradd	chr8	105258286	105264609	4.472723	5.010844	0.156611	3.463341	4.595855	0.386755	FALSE	10
Fbxo2	chr4	148160621	148166424	4.470663	4.984442	0.149944	4.156081	4.730865	0.178032	TRUE	10
Ackr3	chr1	90203980	90216751	4.464303	5.837816	0.370947	7.483561	8.96274	0.253392	TRUE	10
1700016A09Rik	chr8	120536892	120537726	4.464171	3.7931	-0.223064	4.973144	5.045999	0.020098	FALSE	10
1700022H16Rik	chr12	9565236	9570585	4.463776	4.41696	-0.014492	10.879819	10.861787	-0.002346	FALSE	10
H4c3	chr13	23697635	23698454	4.461073	5.478662	0.283771	2.49975	4.573403	0.817522	FALSE	10
1700049E22Rik	chr6	100527400	100533426	4.45431	5.029332	0.167372	4.128837	4.973397	0.256036	FALSE	10
Tac1	chr6	7554879	7562977	4.453416	4.170813	-0.089984	7.193221	7.337777	0.027861	TRUE	10
Nfam1	chr15	82992973	83033306	4.453189	4.202202	-0.079638	9.119756	7.676609	-0.242145	FALSE	10
Shisa3	chr5	67607882	67623552	4.444199	3.530384	-0.314573	14.881783	12.451401	-0.253138	FALSE	10
H3c15	chr3	96238108	96239127	4.443819	5.633686	0.327819	3.318264	4.132487	0.29878	FALSE	10
9230105E05Rik	chr10	120389523	120392793	4.442763	3.325141	-0.395319	3.90616	2.867472	-0.418346	FALSE	10
Syne3	chr12	104929933	105009809	4.44021	3.794121	-0.215299	7.628466	7.575424	-0.009783	FALSE	10
Nkx1-2	chr7	132594878	132599637	4.436735	3.047266	-0.511203	4.880861	3.611106	-0.412958	FALSE	10
Amigo2	chr15	97244125	97247287	4.436008	5.36764	0.263133	4.508826	4.85889	0.103026	TRUE	10
Vsig8	chr1	172555938	172563717	4.434376	4.633078	0.060309	3.264246	3.011444	-0.10866	FALSE	10
Ppp1r3d	chr2	178411206	178414472	4.432577	4.942665	0.150079	4.387603	4.665733	0.084555	FALSE	10
Trib1	chr15	59648350	59657099	4.432263	6.931772	0.620342	5.544156	8.267175	0.558156	FALSE	10
Kcnc4	chr3	107438303	107459552	4.427704	4.778742	0.105042	6.54237	7.236898	0.141042	TRUE	10
BC106179	chr16	23220656	23225484	4.423886	4.818037	0.117523	7.421856	7.110984	-0.059914	FALSE	10
Aqp2	chr15	99579055	99584547	4.418932	4.586355	0.051148	4.698067	5.030925	0.094476	FALSE	10
Cd248	chr19	5068078	5070682	4.417918	3.772369	-0.21622	3.520873	2.933213	-0.246535	FALSE	10
Tspyl5	chr15	33683875	33687884	4.412925	7.182786	0.676117	4.443364	7.408049	0.709915	FALSE	10
Kcnn3	chr3	89520164	89675132	4.412381	4.230197	-0.057882	7.84177	6.858682	-0.18761	FALSE	10
Hoxb13	chr11	96194316	96197447	4.411311	2.895236	-0.572043	3.9525	2.531126	-0.600847	FALSE	10
Gm17634	chr1	105356007	105361737	4.410475	7.056656	0.652088	5.644769	7.614568	0.417765	FALSE	10
Pdgfra	chr5	75152292	75198215	4.410135	5.740565	0.364378	14.375001	12.914685	-0.15209	FALSE	10
Wnt11	chr7	98835112	98855195	4.408707	4.134527	-0.088089	9.56781	8.54839	-0.15867	TRUE	10
Kcne5	chrX	142304752	142306294	4.40493	6.208964	0.475134	3.656124	5.446342	0.547775	FALSE	10
Esrp2	chr8	106130319	106136974	4.403957	3.535781	-0.299998	8.761524	8.724323	-0.005988	FALSE	10
Adcyap1r1	chr6	55451978	55501451	4.403248	4.650116	0.075046	7.710367	8.970312	0.21272	FALSE	10
Mrgpre	chr7	143778363	143784500	4.402594	3.506154	-0.310998	5.905125	5.26888	-0.158221	FALSE	10
Adam33	chr2	131050591	131063814	4.401703	4.470834	0.021419	7.133651	7.517637	0.07343	FALSE	10
Foxj1	chr11	116330704	116335399	4.398727	3.134474	-0.461381	5.197773	3.939211	-0.381371	TRUE	10
Ltb	chr17	35194439	35196320	4.396881	2.975744	-0.530734	2.674861	1.764761	-0.544475	FALSE	10
Ccdc33	chr9	58028677	58118823	4.394867	4.34157	-0.016758	3.407345	3.497069	0.035249	FALSE	10
A730035I17Rik	chr5	98183121	98185984	4.392341	6.692729	0.583731	4.279713	5.78364	0.415985	FALSE	10
Rnf138rt1	chrX	163760139	163761329	4.384087	5.534713	0.321814	2.517969	3.683525	0.511634	FALSE	10
Lrrc10b	chr19	10455371	10457473	4.382335	3.584232	-0.274745	3.774379	3.165443	-0.238611	FALSE	10
Crip1	chr12	113146316	113153879	4.380555	4.989716	0.179388	4.797837	5.516778	0.193166	FALSE	10
Map3k7cl	chr16	87553330	87595336	4.378397	6.260019	0.494845	2.656981	4.113878	0.591063	FALSE	10
Robo3	chr9	37415669	37433246	4.374091	5.717159	0.369976	5.387125	8.67848	0.666275	TRUE	10
Adra1d	chr2	131545850	131562283	4.372051	4.001878	-0.121247	8.227962	6.261232	-0.382323	TRUE	10
Prlh	chr1	90953108	90954027	4.370163	3.656389	-0.243818	3.779505	3.070542	-0.281478	TRUE	10
AI197445	chr13	107469822	107482718	4.368897	5.945639	0.426084	7.780301	11.628118	0.566518	FALSE	10
Ier5l	chr2	30471537	30474219	4.368422	3.600311	-0.264293	5.210517	3.813137	-0.429165	FALSE	10
Bhlhe23	chr2	180774381	180776900	4.367143	3.055947	-0.485654	5.502312	3.95374	-0.455235	TRUE	10
Cxcl1	chr5	90891241	90893115	4.366627	5.541981	0.329116	3.97565	4.784131	0.254212	FALSE	10
Foxi2	chr7	135410308	135413622	4.360166	4.246166	-0.036361	3.714123	3.789023	0.027207	FALSE	10
Sox1	chr8	12395295	12400126	4.354362	3.148499	-0.441437	5.087436	3.716388	-0.43112	TRUE	10
Mir124a-2	chr3	17795662	17799587	4.345628	10.465332	1.226703	6.323716	11.632063	0.856933	TRUE	10
Kcnmb4os2	chr10	116473163	116475319	4.340489	5.003566	0.195837	4.130406	5.788797	0.465904	FALSE	10
H3c1	chr13	23761853	23762386	4.328661	5.655466	0.369244	5.183581	7.5924	0.53183	FALSE	10
Hes5	chr4	154960923	154962371	4.322799	3.275319	-0.378135	5.776796	4.939867	-0.216849	TRUE	10
Fzd9	chr5	135248938	135251230	4.315652	3.260988	-0.38179	3.00955	2.292974	-0.361907	TRUE	10
Galk1	chr11	116008457	116012719	4.310649	4.958239	0.192734	2.281529	2.829989	0.285969	FALSE	10
Nkx2-9	chr12	56611389	56613284	4.309188	2.89725	-0.538944	4.645466	2.970935	-0.608562	TRUE	10
Lmx1b	chr2	33560965	33640511	4.30653	3.446487	-0.303989	10.764473	7.962638	-0.424817	TRUE	10
Dll1	chr17	15367354	15376872	4.303959	4.303263	-0.000222	7.720444	6.913213	-0.154663	TRUE	10
Garem2	chr5	30105161	30118378	4.303959	4.671333	0.112636	5.652325	5.547752	-0.025922	TRUE	10
Rhob	chr12	8497661	8500009	4.302841	4.152082	-0.048906	5.296385	7.801753	0.540175	TRUE	10
Slc10a4-ps	chr5	72581638	72587551	4.301485	4.740015	0.133541	5.268444	4.846775	-0.115324	FALSE	10
