Chr	Start	End	cluster	mecp2_class	chromatin_state
chr2	61496295	61496695	Cluster 2	MeCP2 Up	Unmarked
chr17	63716712	63717112	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	126180484	126180884	Cluster 2	MeCP2 Up	Unmarked
chr15	66344027	66344427	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	9622221	9622621	Cluster 2	MeCP2 Up	Unmarked
chr16	82135479	82135879	Cluster 4	MeCP2 Up	Unmarked
chr2	3582776	3583176	Cluster 2	MeCP2 Up	Unmarked
chr11	119466049	119466449	Cluster 3	MeCP2 Down	Unmarked
chr5	120196971	120197371	Cluster 3	MeCP2 Down	Unmarked
chr16	48316795	48317195	Cluster 4	MeCP2 Up	Unmarked
chr5	130399015	130399415	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	101453861	101454261	Cluster 1	MeCP2 Up	Unmarked
chr11	61696883	61697283	Cluster 3	MeCP2 Down	Unmarked
chr4	44543163	44543563	Cluster 2	MeCP2 Down	Unmarked
chr2	82518602	82519002	Cluster 4	MeCP2 Up	Poised_Enhancer
chr4	66554231	66554631	Cluster 2	MeCP2 Up	Unmarked
chr15	57602325	57602725	Cluster 3	MeCP2 Up	Unmarked
chr6	144179410	144179810	Cluster 2	MeCP2 Up	Poised_Enhancer
chr12	38343838	38344238	Cluster 2	MeCP2 Up	Unmarked
chr10	57314858	57315258	Cluster 2	MeCP2 Up	Poised_Enhancer
chr4	48753222	48753622	Cluster 2	MeCP2 Up	Unmarked
chr11	120258699	120259099	Cluster 3	MeCP2 Down	Unmarked
chr8	53893658	53894058	Cluster 4	MeCP2 Up	Unmarked
chr1	17100375	17100775	Cluster 4	MeCP2 Up	Active_Enhancer
chr1	83482513	83482913	Cluster 2	MeCP2 Up	Poised_Enhancer
chr8	28586306	28586706	Cluster 4	MeCP2 Up	Poised_Enhancer
chr2	12052965	12053365	Cluster 4	MeCP2 Down	Unmarked
chr5	68275604	68276004	Cluster 1	MeCP2 Up	Unmarked
chr12	91088485	91088885	Cluster 1	MeCP2 Up	Unmarked
chr11	41592380	41592780	Cluster 2	MeCP2 Up	Unmarked
chr4	142057563	142057963	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	138550427	138550827	Cluster 1	MeCP2 Up	Unmarked
chr10	63650991	63651391	Cluster 2	MeCP2 Up	Unmarked
chr12	47165643	47166043	Cluster 1	MeCP2 Up	Unmarked
chr16	6090068	6090468	Cluster 1	MeCP2 Up	Unmarked
chr19	23377122	23377522	Cluster 1	MeCP2 Up	Unmarked
chr8	115757569	115757969	Cluster 1	MeCP2 Up	Poised_Enhancer
chr9	72181754	72182154	Cluster 3	MeCP2 Up	Unmarked
chr15	32231695	32232095	Cluster 2	MeCP2 Up	Poised_Enhancer
chr18	76041089	76041489	Cluster 3	MeCP2 Down	Polycomb
chr8	116838036	116838436	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	61247872	61248272	Cluster 3	MeCP2 Down	Polycomb
chr6	97891892	97892292	Cluster 1	MeCP2 Up	Unmarked
chr18	54946573	54946973	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	82133349	82133749	Cluster 3	MeCP2 Up	Poised_Enhancer
chr1	48718844	48719244	Cluster 2	MeCP2 Up	Unmarked
chr4	151829600	151830000	Cluster 1	MeCP2 Down	Unmarked
chr10	84334458	84334858	Cluster 2	MeCP2 Up	Unmarked
chr6	19576672	19577072	Cluster 1	MeCP2 Up	Unmarked
chr1	122461460	122461860	Cluster 2	MeCP2 Up	Unmarked
chr12	31918927	31919327	Cluster 1	MeCP2 Up	Unmarked
chr6	141244370	141244770	Cluster 2	MeCP2 Up	Unmarked
chr4	97878618	97879018	Cluster 1	MeCP2 Up	Unmarked
chr3	7789562	7789962	Cluster 4	MeCP2 Up	Unmarked
chr16	79631617	79632017	Cluster 2	MeCP2 Up	Unmarked
chr10	25122491	25122891	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	158358672	158359072	Cluster 3	MeCP2 Up	Unmarked
chr12	39176767	39177167	Cluster 2	MeCP2 Up	Unmarked
chr3	141004295	141004695	Cluster 1	MeCP2 Up	Poised_Enhancer
chr16	18174555	18174955	Cluster 4	MeCP2 Up	Unmarked
chr7	133311345	133311745	Cluster 2	MeCP2 Up	Unmarked
chr12	39483726	39484126	Cluster 2	MeCP2 Up	Unmarked
chr12	75170230	75170630	Cluster 2	MeCP2 Up	Unmarked
chr4	33071187	33071587	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	13252634	13253034	Cluster 3	MeCP2 Up	Unmarked
chr8	44047249	44047649	Cluster 2	MeCP2 Up	Unmarked
chr16	24204504	24204904	Cluster 2	MeCP2 Up	Unmarked
chr16	94228807	94229207	Cluster 3	MeCP2 Down	Poised_Enhancer
chr7	140154522	140154922	Cluster 1	MeCP2 Down	Active_Promoter
chr6	76776594	76776994	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	70412358	70412758	Cluster 3	MeCP2 Up	Unmarked
chr1	177612462	177612862	Cluster 1	MeCP2 Up	Unmarked
chr15	72152793	72153193	Cluster 2	MeCP2 Up	Unmarked
chr10	10602490	10602890	Cluster 2	MeCP2 Up	Unmarked
chr9	26106974	26107374	Cluster 2	MeCP2 Up	Unmarked
chr9	29537437	29537837	Cluster 1	MeCP2 Up	Unmarked
chr12	39087552	39087952	Cluster 2	MeCP2 Up	Unmarked
chr6	19908670	19909070	Cluster 2	MeCP2 Up	Unmarked
chr13	109087359	109087759	Cluster 2	MeCP2 Up	Unmarked
chr2	70070172	70070572	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	66968266	66968666	Cluster 3	MeCP2 Down	Polycomb
chr18	64792250	64792650	Cluster 1	MeCP2 Up	Unmarked
chr10	99259819	99260219	Cluster 1	MeCP2 Up	Active_Enhancer
chr18	38905278	38905678	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	56652289	56652689	Cluster 2	MeCP2 Up	Unmarked
chr6	19581610	19582010	Cluster 2	MeCP2 Up	Active_Enhancer
chr2	109672056	109672456	Cluster 3	MeCP2 Up	Repressed_Promoter
chr13	20612352	20612752	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	44467056	44467456	Cluster 2	MeCP2 Up	Unmarked
chr3	103480426	103480826	Cluster 1	MeCP2 Up	Unmarked
chr12	89548158	89548558	Cluster 2	MeCP2 Up	Unmarked
chr3	138028833	138029233	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	134230660	134231060	Cluster 3	MeCP2 Up	Unmarked
chr12	38554934	38555334	Cluster 1	MeCP2 Up	Poised_Enhancer
chr15	68447799	68448199	Cluster 3	MeCP2 Up	Unmarked
chr2	79567391	79567791	Cluster 2	MeCP2 Up	Unmarked
chr15	57958368	57958768	Cluster 1	MeCP2 Up	Unmarked
chr2	78160193	78160593	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	92457679	92458079	Cluster 3	MeCP2 Up	Unmarked
chr7	112737558	112737958	Cluster 3	MeCP2 Up	Unmarked
chr16	49303480	49303880	Cluster 2	MeCP2 Up	Poised_Enhancer
chr7	120158144	120158544	Cluster 2	MeCP2 Up	Poised_Enhancer
chr5	26568866	26569266	Cluster 2	MeCP2 Up	Unmarked
chr14	93463885	93464285	Cluster 2	MeCP2 Up	Poised_Enhancer
chr8	44694936	44695336	Cluster 1	MeCP2 Up	Active_Enhancer
chr18	13666311	13666711	Cluster 2	MeCP2 Up	Unmarked
chr5	125224652	125225052	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	49124034	49124434	Cluster 3	MeCP2 Up	Unmarked
chr5	131518825	131519225	Cluster 4	MeCP2 Down	Unmarked
chr10	19925122	19925522	Cluster 4	MeCP2 Up	Unmarked
chr1	175272619	175273019	Cluster 1	MeCP2 Down	Unmarked
chr8	116297946	116298346	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	48271387	48271787	Cluster 2	MeCP2 Up	Unmarked
chr1	106064992	106065392	Cluster 3	MeCP2 Up	Poised_Enhancer
chr3	51797660	51798060	Cluster 1	MeCP2 Up	Unmarked
chr12	31914943	31915343	Cluster 1	MeCP2 Up	Unmarked
chr14	93877186	93877586	Cluster 1	MeCP2 Up	Active_Enhancer
chr9	118485409	118485809	Cluster 2	MeCP2 Up	Unmarked
chr9	41440951	41441351	Cluster 2	MeCP2 Up	Poised_Enhancer
chr4	66514375	66514775	Cluster 4	MeCP2 Up	Unmarked
chr2	106515759	106516159	Cluster 2	MeCP2 Up	Unmarked
chr7	91574369	91574769	Cluster 4	MeCP2 Up	Unmarked
chr3	70312040	70312440	Cluster 2	MeCP2 Up	Unmarked
chr16	33683340	33683740	Cluster 1	MeCP2 Up	Unmarked
chr3	75079083	75079483	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	94297041	94297441	Cluster 2	MeCP2 Up	Unmarked
chr5	6175369	6175769	Cluster 2	MeCP2 Up	Unmarked
chr2	140896881	140897281	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	84059432	84059832	Cluster 3	MeCP2 Up	Poised_Enhancer
chr1	132090389	132090789	Cluster 1	MeCP2 Up	Unmarked
chr2	127525629	127526029	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	109685856	109686256	Cluster 1	MeCP2 Up	Active_Enhancer
chr8	14427469	14427869	Cluster 3	MeCP2 Up	Polycomb
chr18	38872540	38872940	Cluster 1	MeCP2 Up	Unmarked
chr12	39303025	39303425	Cluster 4	MeCP2 Up	Active_Enhancer
chr11	37368184	37368584	Cluster 2	MeCP2 Up	Unmarked
chr11	7291037	7291437	Cluster 2	MeCP2 Up	Unmarked
chr1	73827609	73828009	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	99484189	99484589	Cluster 3	MeCP2 Down	Polycomb
chr1	83438307	83438707	Cluster 4	MeCP2 Up	Poised_Enhancer
chr5	98899694	98900094	Cluster 2	MeCP2 Up	Unmarked
chr6	24201196	24201596	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	81741353	81741753	Cluster 4	MeCP2 Up	Poised_Enhancer
chr6	20753256	20753656	Cluster 2	MeCP2 Up	Unmarked
chr4	75335545	75335945	Cluster 4	MeCP2 Up	Poised_Enhancer
chr6	18911267	18911667	Cluster 1	MeCP2 Up	Unmarked
chr14	102014898	102015298	Cluster 3	MeCP2 Up	Unmarked
chr10	57572957	57573357	Cluster 2	MeCP2 Up	Poised_Enhancer
chr3	105521973	105522373	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	50137440	50137840	Cluster 1	MeCP2 Up	Active_Enhancer
chr3	78061240	78061640	Cluster 2	MeCP2 Up	Unmarked
chr5	72845021	72845421	Cluster 2	MeCP2 Up	Unmarked
chrX	84333950	84334350	Cluster 2	MeCP2 Up	Unmarked
chr2	78034979	78035379	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	112128060	112128460	Cluster 1	MeCP2 Down	Poised_Enhancer
chr18	49366419	49366819	Cluster 3	MeCP2 Up	Poised_Enhancer
chr2	41899724	41900124	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	18406415	18406815	Cluster 3	MeCP2 Up	Unmarked
chr3	52467695	52468095	Cluster 3	MeCP2 Up	Unmarked
chr6	22691702	22692102	Cluster 2	MeCP2 Up	Unmarked
chr11	42718624	42719024	Cluster 4	MeCP2 Up	Poised_Enhancer
chr4	58207685	58208085	Cluster 1	MeCP2 Up	Unmarked
chr13	45455265	45455665	Cluster 3	MeCP2 Up	Poised_Enhancer
chr7	67058951	67059351	Cluster 3	MeCP2 Up	Unmarked
chr12	116151477	116151877	Cluster 1	MeCP2 Up	Unmarked
chr18	76534867	76535267	Cluster 4	MeCP2 Up	Polycomb
chr15	72213585	72213985	Cluster 2	MeCP2 Up	Unmarked
chr1	129591059	129591459	Cluster 4	MeCP2 Up	Unmarked
chr16	31471480	31471880	Cluster 1	MeCP2 Up	Unmarked
chr2	161471793	161472193	Cluster 2	MeCP2 Up	Unmarked
chr14	72227211	72227611	Cluster 2	MeCP2 Up	Unmarked
chr14	107334580	107334980	Cluster 2	MeCP2 Up	Unmarked
chr2	80769430	80769830	Cluster 2	MeCP2 Up	Unmarked
chr1	48276699	48277099	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	29880603	29881003	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	126519016	126519416	Cluster 3	MeCP2 Up	Unmarked
chr1	24227728	24228128	Cluster 1	MeCP2 Up	Unmarked
chr9	78964531	78964931	Cluster 4	MeCP2 Up	Unmarked
chr18	30786204	30786604	Cluster 1	MeCP2 Up	Unmarked
chr14	93385627	93386027	Cluster 1	MeCP2 Up	Poised_Enhancer
chr15	36344158	36344558	Cluster 2	MeCP2 Up	Unmarked
chr6	28969829	28970229	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	13430440	13430840	Cluster 1	MeCP2 Up	Unmarked
chr2	82521194	82521594	Cluster 2	MeCP2 Up	Unmarked
chr13	43710660	43711060	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	24177571	24177971	Cluster 2	MeCP2 Up	Unmarked
chr4	97752502	97752902	Cluster 1	MeCP2 Up	Unmarked
chr15	57729326	57729726	Cluster 1	MeCP2 Up	Active_Enhancer
chr18	24859672	24860072	Cluster 3	MeCP2 Up	Unmarked
chr13	35846225	35846625	Cluster 3	MeCP2 Down	Unmarked
chr5	117930141	117930541	Cluster 3	MeCP2 Down	Unmarked
chr14	93676949	93677349	Cluster 1	MeCP2 Up	Poised_Enhancer
chr16	24195548	24195948	Cluster 1	MeCP2 Up	Unmarked
chr1	68047305	68047705	Cluster 3	MeCP2 Up	Poised_Enhancer
chr6	18910534	18910934	Cluster 1	MeCP2 Up	Unmarked
chr1	32464534	32464934	Cluster 3	MeCP2 Up	Unmarked
chr14	102879583	102879983	Cluster 2	MeCP2 Up	Unmarked
chr12	39223664	39224064	Cluster 2	MeCP2 Up	Unmarked
chr8	57407853	57408253	Cluster 3	MeCP2 Down	Polycomb
chr7	143375273	143375673	Cluster 3	MeCP2 Down	Polycomb
chr18	33655727	33656127	Cluster 4	MeCP2 Up	Unmarked
chr18	64781570	64781970	Cluster 2	MeCP2 Up	Poised_Enhancer
chr12	29529869	29530269	Cluster 1	MeCP2 Up	Active_Promoter
chr9	29627411	29627811	Cluster 2	MeCP2 Up	Unmarked
chr8	114501543	114501943	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	94992594	94992994	Cluster 2	MeCP2 Up	Unmarked
chr11	107376739	107377139	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	44304939	44305339	Cluster 1	MeCP2 Up	Unmarked
chr10	37344140	37344540	Cluster 3	MeCP2 Up	Unmarked
chr14	93601823	93602223	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	39085511	39085911	Cluster 2	MeCP2 Up	Poised_Enhancer
chr2	95134299	95134699	Cluster 3	MeCP2 Up	Unmarked
chr6	81474057	81474457	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	26102493	26102893	Cluster 1	MeCP2 Up	Unmarked
chr13	91354913	91355313	Cluster 1	MeCP2 Up	Unmarked
chr2	138789966	138790366	Cluster 1	MeCP2 Up	Unmarked
chr5	68330768	68331168	Cluster 2	MeCP2 Up	Unmarked
chr4	33893014	33893414	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	39336007	39336407	Cluster 1	MeCP2 Up	Unmarked
chr8	126731150	126731550	Cluster 1	MeCP2 Up	Unmarked
chr9	26666455	26666855	Cluster 3	MeCP2 Up	Unmarked
chr2	159055157	159055557	Cluster 3	MeCP2 Up	Polycomb
chr9	120621167	120621567	Cluster 3	MeCP2 Down	Unmarked
chr6	91693786	91694186	Cluster 3	MeCP2 Down	Unmarked
chr2	156664804	156665204	Cluster 3	MeCP2 Down	Unmarked
chr4	66449874	66450274	Cluster 2	MeCP2 Up	Unmarked
chr7	144281796	144282196	Cluster 3	MeCP2 Down	Polycomb
chr2	28376893	28377293	Cluster 2	MeCP2 Up	Unmarked
chr8	99395709	99396109	Cluster 4	MeCP2 Up	Active_Enhancer
chr1	73530864	73531264	Cluster 1	MeCP2 Up	Unmarked
chr7	72706822	72707222	Cluster 4	MeCP2 Up	Unmarked
chr13	6156797	6157197	Cluster 2	MeCP2 Up	Unmarked
chr5	68360089	68360489	Cluster 2	MeCP2 Up	Unmarked
chr12	89514034	89514434	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	170654126	170654526	Cluster 3	MeCP2 Up	Unmarked
chr5	22488146	22488546	Cluster 1	MeCP2 Up	Active_Enhancer
chr12	66859821	66860221	Cluster 2	MeCP2 Up	Unmarked
chr12	26888303	26888703	Cluster 3	MeCP2 Up	Polycomb
chr4	58153739	58154139	Cluster 1	MeCP2 Up	Unmarked
chr6	24059608	24060008	Cluster 2	MeCP2 Up	Unmarked
chr10	17254858	17255258	Cluster 1	MeCP2 Up	Unmarked
chr3	39780625	39781025	Cluster 2	MeCP2 Up	Unmarked
chr5	134019771	134020171	Cluster 2	MeCP2 Up	Unmarked
chr12	86164185	86164585	Cluster 2	MeCP2 Up	Unmarked
chr4	142071913	142072313	Cluster 1	MeCP2 Up	Active_Enhancer
chr17	42453864	42454264	Cluster 2	MeCP2 Up	Unmarked
chr14	121170746	121171146	Cluster 3	MeCP2 Down	Unmarked
chr1	133227368	133227768	Cluster 3	MeCP2 Down	Poised_Enhancer
chr15	72111900	72112300	Cluster 3	MeCP2 Up	Unmarked
chr6	115240417	115240817	Cluster 1	MeCP2 Up	Unmarked
chr4	66535631	66536031	Cluster 2	MeCP2 Up	Unmarked
chr14	73430070	73430470	Cluster 2	MeCP2 Up	Unmarked
chr8	6365869	6366269	Cluster 2	MeCP2 Up	Unmarked
chr3	9806301	9806701	Cluster 1	MeCP2 Down	Poised_Enhancer
chr5	26509331	26509731	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	68496161	68496561	Cluster 3	MeCP2 Up	Poised_Enhancer
chr2	75724377	75724777	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	101188095	101188495	Cluster 2	MeCP2 Up	Unmarked
chr11	18711477	18711877	Cluster 2	MeCP2 Up	Unmarked
chr16	24160076	24160476	Cluster 1	MeCP2 Up	Unmarked
chr17	73838871	73839271	Cluster 2	MeCP2 Up	Unmarked
chr5	92366435	92366835	Cluster 1	MeCP2 Up	Unmarked
chr2	51783815	51784215	Cluster 3	MeCP2 Down	Polycomb
chr5	131882478	131882878	Cluster 4	MeCP2 Down	Unmarked
chr16	92976848	92977248	Cluster 3	MeCP2 Up	Unmarked
chr13	110459658	110460058	Cluster 4	MeCP2 Up	Poised_Enhancer
chr9	29535320	29535720	Cluster 1	MeCP2 Up	Unmarked
chr2	79414846	79415246	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	63618267	63618667	Cluster 2	MeCP2 Up	Unmarked
chr7	96415859	96416259	Cluster 3	MeCP2 Up	Polycomb
chr6	135628920	135629320	Cluster 2	MeCP2 Up	Unmarked
chr1	137592159	137592559	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	114887111	114887511	Cluster 2	MeCP2 Up	Unmarked
chr9	112948956	112949356	Cluster 2	MeCP2 Up	Unmarked
chr16	48376558	48376958	Cluster 3	MeCP2 Up	Unmarked
chr14	55340748	55341148	Cluster 2	MeCP2 Up	Unmarked
chr4	13100103	13100503	Cluster 2	MeCP2 Up	Unmarked
chr3	51750466	51750866	Cluster 2	MeCP2 Up	Unmarked
chr11	12462871	12463271	Cluster 2	MeCP2 Up	Repressed_Promoter
chr7	66265462	66265862	Cluster 3	MeCP2 Down	Unmarked
chr1	68883043	68883443	Cluster 1	MeCP2 Up	Unmarked
chr16	33743603	33744003	Cluster 1	MeCP2 Up	Unmarked
chr10	90817905	90818305	Cluster 1	MeCP2 Down	Unmarked
chr5	84389991	84390391	Cluster 4	MeCP2 Up	Unmarked
chr16	44575048	44575448	Cluster 2	MeCP2 Up	Unmarked
chr4	15152241	15152641	Cluster 3	MeCP2 Up	Unmarked
chr2	124398458	124398858	Cluster 2	MeCP2 Up	Unmarked
chr19	21106996	21107396	Cluster 2	MeCP2 Up	Poised_Enhancer
chr12	77618530	77618930	Cluster 1	MeCP2 Up	Unmarked
chr5	39322619	39323019	Cluster 1	MeCP2 Up	Unmarked
chr2	58173551	58173951	Cluster 1	MeCP2 Up	Unmarked
chr2	106547964	106548364	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	101481836	101482236	Cluster 2	MeCP2 Up	Poised_Enhancer
chr7	83742871	83743271	Cluster 1	MeCP2 Up	Unmarked
chr8	110178889	110179289	Cluster 1	MeCP2 Up	Unmarked
chr11	24683350	24683750	Cluster 2	MeCP2 Up	Unmarked
chr8	114777923	114778323	Cluster 3	MeCP2 Up	Unmarked
chr4	96720244	96720644	Cluster 4	MeCP2 Up	Unmarked
chr3	52603174	52603574	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	136303802	136304202	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	63998890	63999290	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	28940870	28941270	Cluster 2	MeCP2 Up	Unmarked
chr10	115027988	115028388	Cluster 2	MeCP2 Up	Unmarked
chr18	54959401	54959801	Cluster 4	MeCP2 Up	Unmarked
chr10	99244804	99245204	Cluster 3	MeCP2 Up	Unmarked
chr5	49658687	49659087	Cluster 4	MeCP2 Up	Unmarked
chr8	57797141	57797541	Cluster 1	MeCP2 Up	Unmarked
chr18	30531290	30531690	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	27447220	27447620	Cluster 2	MeCP2 Up	Poised_Enhancer
chrX	14604859	14605259	Cluster 2	MeCP2 Up	Unmarked
chr17	42303121	42303521	Cluster 2	MeCP2 Up	Unmarked
chr4	81568707	81569107	Cluster 1	MeCP2 Up	Unmarked
chr8	116041281	116041681	Cluster 2	MeCP2 Up	Unmarked
chr1	193794570	193794970	Cluster 1	MeCP2 Up	Unmarked
chr8	34387908	34388308	Cluster 3	MeCP2 Up	Unmarked
chr18	68096084	68096484	Cluster 1	MeCP2 Up	Unmarked
chr3	136130499	136130899	Cluster 1	MeCP2 Up	Unmarked
chr11	55359990	55360390	Cluster 2	MeCP2 Up	Unmarked
chr8	101465623	101466023	Cluster 2	MeCP2 Up	Unmarked
chr10	28489000	28489400	Cluster 2	MeCP2 Up	Unmarked
chr12	73906959	73907359	Cluster 1	MeCP2 Up	Active_Promoter
chr2	59451980	59452380	Cluster 1	MeCP2 Up	Unmarked
chr13	52463221	52463621	Cluster 2	MeCP2 Up	Unmarked
chr7	144330920	144331320	Cluster 3	MeCP2 Down	Unmarked
chr11	114180553	114180953	Cluster 3	MeCP2 Up	Polycomb
chr5	44097047	44097447	Cluster 1	MeCP2 Up	Unmarked
chr5	4651092	4651492	Cluster 4	MeCP2 Down	Unmarked
chr10	66782708	66783108	Cluster 1	MeCP2 Up	Unmarked
chr7	6694664	6695064	Cluster 2	MeCP2 Down	Unmarked
chr17	42285669	42286069	Cluster 1	MeCP2 Up	Active_Enhancer
chr11	42914250	42914650	Cluster 2	MeCP2 Up	Unmarked
chr9	73254699	73255099	Cluster 2	MeCP2 Up	Unmarked
chr1	14009160	14009560	Cluster 3	MeCP2 Up	Unmarked
chr3	25204869	25205269	Cluster 3	MeCP2 Up	Unmarked
chr2	125002956	125003356	Cluster 2	MeCP2 Up	Unmarked
chr6	51855091	51855491	Cluster 1	MeCP2 Up	Unmarked
chr1	48524923	48525323	Cluster 4	MeCP2 Up	Unmarked
chr5	133044548	133044948	Cluster 2	MeCP2 Up	Unmarked
chr13	19297239	19297639	Cluster 4	MeCP2 Up	Unmarked
chr18	69504229	69504629	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	43007486	43007886	Cluster 4	MeCP2 Up	Unmarked
chr8	69894081	69894481	Cluster 1	MeCP2 Up	Unmarked
chr3	13864490	13864890	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	98542950	98543350	Cluster 2	MeCP2 Up	Poised_Enhancer
chr5	32130044	32130444	Cluster 2	MeCP2 Up	Unmarked
chr2	79494744	79495144	Cluster 4	MeCP2 Up	Poised_Enhancer
chr13	91366649	91367049	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	97207972	97208372	Cluster 2	MeCP2 Up	Unmarked
chr3	25010037	25010437	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	65303463	65303863	Cluster 4	MeCP2 Up	Unmarked
chr2	136684022	136684422	Cluster 1	MeCP2 Up	Unmarked
chr1	61896955	61897355	Cluster 1	MeCP2 Up	Unmarked
chr2	129579671	129580071	Cluster 1	MeCP2 Up	Unmarked
chr2	14201902	14202302	Cluster 3	MeCP2 Up	Unmarked
chr6	22690381	22690781	Cluster 3	MeCP2 Up	Unmarked
chr2	21287673	21288073	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	159675422	159675822	Cluster 3	MeCP2 Up	Unmarked
chr5	57761333	57761733	Cluster 2	MeCP2 Up	Unmarked
chr8	26717466	26717866	Cluster 2	MeCP2 Up	Unmarked
chr5	43341242	43341642	Cluster 3	MeCP2 Up	Unmarked
chr11	93693665	93694065	Cluster 1	MeCP2 Up	Unmarked
chr17	80936961	80937361	Cluster 3	MeCP2 Up	Unmarked
chr6	31813511	31813911	Cluster 3	MeCP2 Up	Unmarked
chr1	133225245	133225645	Cluster 3	MeCP2 Down	Poised_Enhancer
chr4	13135716	13136116	Cluster 2	MeCP2 Up	Unmarked
chrX	61388833	61389233	Cluster 2	MeCP2 Up	Unmarked
chr14	122355949	122356349	Cluster 4	MeCP2 Up	Unmarked
chr6	145440918	145441318	Cluster 3	MeCP2 Down	Unmarked
chr3	101714034	101714434	Cluster 2	MeCP2 Up	Unmarked
chr2	59575249	59575649	Cluster 2	MeCP2 Up	Poised_Enhancer
chr3	65322626	65323026	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	95135703	95136103	Cluster 2	MeCP2 Up	Unmarked
chr14	101322455	101322855	Cluster 2	MeCP2 Up	Unmarked
chr2	96578830	96579230	Cluster 3	MeCP2 Up	Poised_Enhancer
chr19	23554231	23554631	Cluster 2	MeCP2 Up	Active_Enhancer
chr18	82456212	82456612	Cluster 1	MeCP2 Up	Active_Enhancer
chr9	23353707	23354107	Cluster 4	MeCP2 Up	Unmarked
chr14	102030388	102030788	Cluster 3	MeCP2 Up	Unmarked
chr14	93671693	93672093	Cluster 2	MeCP2 Up	Unmarked
chr8	64148681	64149081	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	59358980	59359380	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	26175750	26176150	Cluster 1	MeCP2 Up	Poised_Enhancer
chr11	6994707	6995107	Cluster 3	MeCP2 Up	Unmarked
chr13	44130915	44131315	Cluster 2	MeCP2 Up	Unmarked
chr18	42729505	42729905	Cluster 3	MeCP2 Down	Unmarked
chr4	66598791	66599191	Cluster 2	MeCP2 Up	Unmarked
chr8	118872133	118872533	Cluster 3	MeCP2 Up	Unmarked
chr17	80794800	80795200	Cluster 2	MeCP2 Up	Unmarked
chr15	52163278	52163678	Cluster 1	MeCP2 Up	Unmarked
chr15	9456132	9456532	Cluster 4	MeCP2 Up	Unmarked
chr18	33618616	33619016	Cluster 2	MeCP2 Up	Unmarked
chr19	27068340	27068740	Cluster 2	MeCP2 Up	Unmarked
chr17	50004181	50004581	Cluster 1	MeCP2 Up	Unmarked
chr3	89615021	89615421	Cluster 3	MeCP2 Down	Unmarked
chr8	57960820	57961220	Cluster 1	MeCP2 Up	Unmarked
chr2	141436582	141436982	Cluster 2	MeCP2 Up	Unmarked
chr17	70461805	70462205	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	124616421	124616821	Cluster 1	MeCP2 Up	Poised_Enhancer
