chr	start	end	enhancer_class	n_abc_pairs	mean_delta_abc	mean_delta_unnorm	n_gained	n_lost
chr18	6282112	6282800	Activity_Lost	4	-0.0190325	-0.11302	1	3
chr16	67410570	67411249	Activity_Lost	1	-0.021436	-0.135247	0	1
chr17	88256219	88256296	Activity_Lost	8	0.001362125	-0.166951875	2	2
chr14	20772839	20773237	Activity_Lost	2	-0.014569	-0.1249755	0	2
chr5	63936732	63937226	Activity_Lost	7	-0.00514014285714286	-0.0170815714285714	1	2
chr11	104124469	104125034	Activity_Lost	1	-0.011841	-0.192248	0	1
chr11	76066789	76067109	Activity_Lost	2	-0.0205245	-0.162845	0	2
chr13	12124803	12125402	Activity_Lost	6	-0.0212955	-0.0691676666666667	0	5
chr12	77009223	77009889	Activity_Lost	3	-0.0118016666666667	-0.201649333333333	0	1
chr8	126137035	126137226	Activity_Lost	1	-0.026737	-0.355628	0	1
chr19	5825010	5825419	Activity_Lost	2	-0.0110945	-0.330799	0	1
chr18	68238668	68239375	Activity_Lost	5	-0.0092906	-0.112492	0	1
chr17	3336865	3337386	Activity_Lost	2	-0.017168	-0.0641515	0	1
chr4	97787496	97787862	Activity_Lost	5	-0.015561	-0.1900148	0	4
chr13	49001731	49002223	Activity_Lost	5	-0.0168336	-0.1662834	0	3
chr15	82215752	82215929	Activity_Lost	2	-0.01887	-0.290378	0	2
chr10	66780852	66781195	Activity_Lost	3	-0.0127106666666667	-0.0752873333333333	0	2
chr2	167449788	167450218	Activity_Lost	1	-0.010084	-0.165859	0	1
chr12	70589259	70589767	Activity_Lost	4	-0.01916575	-0.0624145	0	1
chr1	21068509	21068787	Activity_Lost	1	-0.016439	-0.062249	0	1
chr8	41043661	41043796	Activity_Lost	1	-0.009913	-0.050305	0	0
chr12	17692513	17692698	Activity_Lost	3	-0.0253613333333333	-0.102692666666667	0	3
chr9	56506118	56506755	Activity_Lost	8	-0.01601375	-0.0683945	0	7
chr16	24930476	24930963	Activity_Lost	4	-0.01481625	-0.14003425	0	1
chr17	10335074	10335650	Activity_Lost	2	-0.0309	-0.1807535	0	1
chr4	136466446	136466652	Activity_Lost	5	-0.0266506	-0.26149	0	4
chr7	120897856	120898188	Activity_Lost	1	-0.00982	-0.070534	0	0
chr12	98734443	98734983	Activity_Lost	2	-0.005129	-0.229111	0	1
chr11	32235822	32235928	Activity_Lost	2	-0.005358	-0.1004285	0	0
chr15	95536257	95536587	Activity_Lost	1	-0.037112	-0.396862	0	1
chr6	89467426	89467604	Activity_Lost	1	-0.004505	-0.092714	0	0
chr9	44719443	44719652	Activity_Lost	2	-0.0123075	-0.101477	0	1
chr2	28418111	28418340	Activity_Lost	3	-0.01707	-0.137682	0	1
chr11	36677724	36677975	Activity_Lost	1	-0.015126	-0.042786	0	1
chr10	57637065	57637163	Activity_Lost	1	-0.022071	-0.216303	0	1
chr6	128058602	128058845	Activity_Lost	1	-0.008141	-0.062581	0	0
chr10	12796425	12796918	Activity_Lost	6	-0.0185588333333333	-0.0691515	0	4
chr17	80936043	80936442	Activity_Lost	1	-0.020896	-0.276038	0	1
chr3	137267801	137267990	Activity_Lost	1	-0.054328	-0.151942	0	1
chr7	45198534	45198909	Activity_Lost	9	-0.00808344444444445	-0.173675777777778	0	1
chr2	152703707	152703887	Activity_Lost	4	-0.0091995	-0.1160935	0	1
chr17	83982962	83983416	Activity_Lost	3	-0.016007	-0.059966	0	2
chr9	58533293	58533657	Activity_Lost	9	-0.0104311111111111	-0.114077333333333	1	6
chr16	31508982	31509349	Activity_Lost	1	-0.004272	-0.278838	0	0
chr15	88842010	88842225	Activity_Lost	1	-0.017103	-0.28632	0	1
chr2	14164461	14164916	Activity_Lost	2	-0.041999	-0.0841985	0	2
chr17	50650539	50651073	Activity_Lost	2	-0.0115005	-0.0847625	0	1
chr14	49838357	49838807	Activity_Lost	14	-0.00675028571428571	-0.0379953571428571	4	7
chr9	86973606	86973930	Activity_Lost	9	-0.015762	-0.0732576666666667	0	6
chr16	48315283	48315675	Activity_Lost	2	-0.0688595	-0.17829	1	1
chr3	69756604	69756788	Activity_Lost	1	-0.009851	-0.047285	0	0
chr13	43356560	43357017	Activity_Lost	2	-0.0078365	-0.086599	0	1
chr1	136061095	136061907	Activity_Lost	19	-0.0218826842105263	-0.0805296315789474	2	15
chr14	15934786	15935030	Activity_Lost	1	-0.021371	-0.058027	0	1
chr12	81128389	81128977	Activity_Lost	1	-0.010909	-0.035215	0	1
chr5	5610611	5610898	Activity_Lost	6	-0.0203078333333333	-0.0328271666666667	0	5
chr14	54721071	54721273	Activity_Lost	2	-0.0150075	-0.2176345	0	2
chr7	90120202	90120409	Activity_Lost	1	-0.010022	-0.098889	0	1
chr7	133730476	133730865	Activity_Lost	5	-0.0108662	-0.0716686	0	3
chr7	67562148	67562575	Activity_Lost	7	-0.0102747142857143	-0.0382654285714286	0	2
chr2	180822501	180822732	Activity_Lost	2	-0.000942	-0.0230165	0	0
chr14	79142424	79142648	Activity_Lost	2	-0.026374	-0.118306	0	2
chr8	113844930	113845031	Activity_Lost	1	0.001797	-0.291689	0	0
chr6	115124770	115125325	Activity_Lost	5	-0.012818	-0.2827556	0	3
chr1	85902390	85902571	Activity_Lost	4	-0.01327975	-0.0836015	0	3
chr14	15880199	15880626	Activity_Lost	1	-0.027647	-0.075066	0	1
chr6	48609485	48609793	Activity_Lost	5	-0.0074534	-0.0642102	0	1
chr7	113759283	113759653	Activity_Lost	1	-0.003548	-0.065434	0	0
chr10	20042174	20042573	Activity_Lost	2	-0.011634	-0.017372	0	1
chr13	70789080	70789396	Activity_Lost	5	-0.0102668	-0.0250362	2	3
chr3	105714077	105714290	Activity_Lost	3	-0.00704	-0.115921	0	0
chr2	132316147	132316504	Activity_Lost	1	-0.020938	-0.04755	0	1
chr13	99358934	99359255	Activity_Lost	3	-0.00913433333333333	-0.093497	0	2
chr11	86852837	86852999	Activity_Lost	1	-0.004857	-0.027854	0	0
chr1	152165152	152165995	Activity_Lost	6	-0.007962	-0.0504203333333333	1	3
chr1	72220093	72220322	Activity_Lost	4	0.0112725	-0.0336705	2	0
chr12	86158728	86159381	Activity_Lost	9	-0.0264827777777778	-0.126293111111111	2	4
chr2	41932686	41933132	Activity_Lost	2	-9.55000000000001e-05	-0.020671	1	1
chr4	46304103	46304377	Activity_Lost	2	-0.010336	-0.070567	0	1
chr2	83761624	83761772	Activity_Lost	3	-0.0294156666666667	-0.067587	0	3
chr1	133934452	133935054	Activity_Lost	1	-0.02208	-0.19161	0	1
chr11	20532069	20532871	Activity_Lost	1	-0.014844	-0.192374	0	1
chr12	29872389	29872785	Activity_Lost	12	-0.00936966666666667	-0.0365788333333333	1	9
chr4	120968521	120968986	Activity_Lost	2	-0.010732	-0.088774	0	1
chr1	43888314	43888746	Activity_Lost	7	-0.00972342857142857	-0.0276855714285714	0	4
chr14	57555545	57555687	Activity_Lost	2	-0.016622	-0.1330515	0	2
chr8	116542714	116543281	Activity_Lost	5	0.0098818	-0.0233704	4	0
chr8	124316435	124316966	Activity_Lost	3	-0.003542	-0.0638446666666667	0	0
chr7	19266586	19266691	Activity_Lost	1	-0.01388	-0.13993	0	1
chr2	93963892	93964038	Activity_Lost	2	-0.014973	-0.1542395	0	2
chr12	84689104	84689326	Activity_Lost	2	-0.0222395	-0.1349965	0	1
chr4	106281588	106282030	Activity_Lost	2	-0.0281245	-0.0856675	0	1
chr2	79372831	79373244	Activity_Lost	5	0.0013768	-0.0661684	1	1
chr16	10627352	10627570	Activity_Lost	2	-0.010372	-0.078438	0	2
chr2	102052941	102053378	Activity_Lost	5	-0.009301	-0.096064	0	2
chr1	72254601	72255007	Activity_Lost	8	0.00147825	-0.035137	2	0
chrX	157305588	157305730	Activity_Lost	5	0.0154968	0.04019	2	0
chr10	89911923	89912179	Activity_Lost	1	-0.010174	-0.08756	0	1
chr12	39339071	39339574	Activity_Lost	4	0.0071585	-0.00133325	2	0
chr8	111982098	111982476	Activity_Lost	2	-0.012801	-0.123751	0	2
chr7	45682780	45683021	Activity_Lost	3	-0.00935733333333333	-0.147678666666667	0	1
chr11	6962838	6963130	Activity_Lost	5	-0.0071678	-0.080521	0	2
chr11	75280180	75280290	Activity_Lost	3	-0.00882066666666667	-0.144699333333333	0	0
chr13	105001791	105002408	Activity_Lost	2	0.0121	-0.007606	1	0
chr18	6281322	6281472	Activity_Lost	1	-0.011605	-0.076705	0	1
chr4	47595908	47596216	Activity_Lost	1	-0.015761	-0.134681	0	1
chr9	90693041	90693649	Activity_Lost	4	-0.01475075	-0.24237075	0	4
chr2	59463458	59463983	Activity_Lost	5	-0.0049754	-0.0452642	0	3
chr8	113838353	113838633	Activity_Lost	1	0.002256	-0.040512	0	0
chr14	20757334	20758058	Activity_Lost	21	-0.0146585238095238	-0.0905460476190476	1	14
chr9	44133429	44133560	Activity_Lost	1	-0.019699	-0.300479	0	1
chr16	37442639	37443334	Activity_Lost	12	-0.0127066666666667	-0.170807083333333	3	8
chr19	36497138	36497427	Activity_Lost	2	-0.0172815	-0.01317	0	2
chr1	59566927	59567840	Activity_Lost	12	-0.00667391666666667	-0.0700689166666667	0	5
chr14	25226135	25226481	Activity_Lost	3	-0.001837	-0.0575823333333333	0	0
chr2	136670539	136670831	Activity_Lost	1	-0.004763	-0.167957	0	0
chr11	94160238	94160996	Activity_Lost	12	-0.0115844166666667	-0.131946333333333	0	9
chr15	82271275	82271525	Activity_Lost	10	-0.0084609	-0.1007608	0	3
chr18	48444303	48444708	Activity_Lost	1	-0.017116	-0.01484	0	1
chr16	44254663	44255239	Activity_Lost	7	-0.00764171428571429	-0.114989	0	2
chr19	5394229	5394453	Activity_Lost	2	-0.009599	-0.1500465	0	0
chr1	193315944	193316573	Activity_Lost	10	0.0024524	-0.0965867	3	3
chr6	24100916	24101612	Activity_Lost	7	-0.0188308571428571	-0.0980305714285714	0	6
chr9	46473707	46474074	Activity_Lost	3	-0.00677966666666667	-0.044849	1	2
chr9	47459626	47460177	Activity_Lost	3	-0.0165256666666667	-0.0691103333333333	0	3
chr17	45526637	45526858	Activity_Lost	2	-0.0088935	-0.2909965	0	1
chr8	84340769	84340939	Activity_Lost	1	-0.014082	-0.311825	0	1
chr12	83885784	83886349	Activity_Lost	8	-0.011103125	-0.076882875	0	4
chr1	187997667	187998009	Activity_Lost	2	-0.0032965	0.004891	1	1
chr5	122129124	122129467	Activity_Lost	8	-0.0071105	-0.068496625	0	2
chr11	76253277	76253551	Activity_Lost	4	-0.0088745	-0.146599	0	1
chr16	96151093	96151270	Activity_Lost	1	-0.01967	-0.260606	0	1
chr4	13854283	13854711	Activity_Lost	2	0.0029065	-0.042615	1	1
chr13	113596045	113596337	Activity_Lost	8	-0.023088	-0.069651125	1	3
chr2	110180199	110180761	Activity_Lost	3	-0.0118816666666667	-0.0486993333333333	0	2
chr9	112722401	112722645	Activity_Lost	2	-0.0225215	-0.0416125	0	2
chr12	100867089	100867471	Activity_Lost	8	0.000674124999999999	-0.081625875	2	2
chr4	64200206	64200613	Activity_Lost	2	-0.0231975	-0.0253055	0	2
chr18	53855007	53855490	Activity_Lost	2	-0.0245295	-0.223643	0	1
chr16	67122707	67122815	Activity_Lost	1	0.027841	0.003257	1	0
chr1	33897548	33897717	Activity_Lost	2	-0.017394	-0.1723725	0	2
chr11	95072922	95073199	Activity_Lost	2	-0.020651	-0.2410675	0	1
chr8	123786302	123786544	Activity_Lost	1	-0.008127	-0.064935	0	0
chr3	129641519	129641832	Activity_Lost	1	-0.041234	-0.026945	0	1
chr4	136944641	136944795	Activity_Lost	1	-0.005454	-0.051757	0	0
chr2	37756725	37756837	Activity_Lost	15	-0.00643406666666667	-0.03004	2	8
chr16	31867850	31868088	Activity_Lost	1	-0.012684	-0.144328	0	1
chr19	6572081	6572452	Activity_Lost	1	-0.020234	-0.55181	0	1
chr4	119950147	119950475	Activity_Lost	1	0.001048	-0.00583	0	0
chr11	76279091	76279455	Activity_Lost	2	-0.0077775	-0.1237645	0	0
chr2	156464429	156465031	Activity_Lost	2	-0.0164255	-0.1009595	0	2
chr17	63716131	63716565	Activity_Lost	5	-0.0163882	-0.1158004	0	4
chr16	4713975	4714540	Activity_Lost	3	-0.0355223333333333	-0.264127	0	3
chr2	127525443	127525700	Activity_Lost	4	-0.00870525	-0.128768	0	2
chr16	22704857	22705469	Activity_Lost	8	-0.00794325	-0.00734	1	4
chr1	105908073	105908650	Activity_Lost	3	-0.0121873333333333	-0.051676	0	1
chr3	86818061	86818469	Activity_Lost	2	-0.0082395	-0.0433915	0	0
chr16	10864889	10865628	Activity_Lost	6	-0.0312373333333333	-0.14258	0	6
chr3	51383480	51383668	Activity_Lost	2	-0.0276735	-0.11681	0	2
chr12	100899083	100899644	Activity_Lost	4	-0.00034325	-0.19217125	1	1
chr7	123468054	123468296	Activity_Lost	3	-0.0245786666666667	-0.126822333333333	0	3
chr1	73533670	73533786	Activity_Lost	2	-0.0375	-0.1754635	0	2
chr11	5425124	5425478	Activity_Lost	2	-0.0416715	-0.279315	0	2
chr5	20329949	20330359	Activity_Lost	2	0.0128095	0.00075	1	1
chr9	96326454	96326968	Activity_Lost	6	-0.0130371666666667	-0.0611288333333333	0	5
chrX	68495233	68495471	Activity_Lost	2	0.006441	-0.0236485	1	1
chr6	97212165	97212336	Activity_Lost	6	-0.0144681666666667	-0.090876	1	4
chr11	76372189	76372852	Activity_Lost	1	-0.002889	-0.092601	0	0
chr6	58862659	58862927	Activity_Lost	5	-0.0131466	-0.0422602	0	3
chr1	132200071	132200193	Activity_Lost	2	-0.005278	-0.182446	0	0
chr7	114027410	114027844	Activity_Lost	11	-0.0137596363636364	-0.111179090909091	1	7
chr7	135571459	135571729	Activity_Lost	2	-0.0179125	-0.079556	0	2
chr6	149174923	149175534	Activity_Lost	4	-0.018422	-0.06911375	0	4
chr1	167013322	167013852	Activity_Lost	2	-0.0103465	-0.183103	0	1
chr5	112584178	112584634	Activity_Lost	3	-0.016309	-0.219505333333333	0	3
chr1	78568383	78568501	Activity_Lost	6	-0.0210565	-0.044556	0	5
chr5	30577576	30578199	Activity_Lost	8	-0.019821875	-0.227559625	0	6
chr16	18360416	18360761	Activity_Lost	5	-0.0086184	-0.107411	0	0
chr10	105552621	105552818	Activity_Lost	1	0.02398	0.004653	1	0
chr13	56682289	56682841	Activity_Lost	10	-0.0099382	-0.0560475	2	7
chr12	21112340	21112851	Activity_Lost	17	-0.000290588235294117	-0.00717094117647059	4	2
chr7	91262696	91262808	Activity_Lost	3	-0.008447	0.00347433333333333	1	1
chr7	132281750	132282052	Activity_Lost	3	-0.011414	-0.090645	0	1
chr12	36150358	36150619	Activity_Lost	6	-0.0255593333333333	-0.134906666666667	1	5
chr11	86851342	86851906	Activity_Lost	5	-0.0134704	-0.0913218	0	4
chr12	108241294	108241500	Activity_Lost	2	-0.005357	-0.0751305	0	0
chr3	126668709	126669085	Activity_Lost	1	-0.005994	-0.089703	0	0
chr12	31926715	31927126	Activity_Lost	20	-0.00788275	-0.0781624	3	8
chr16	44479902	44480204	Activity_Lost	5	-0.01211	-0.0908686	0	2
chr3	86850612	86851048	Activity_Lost	2	-0.0175125	-0.1203285	0	1
chr16	45121095	45121423	Activity_Lost	1	-0.008883	-0.028102	0	0
chr7	64351034	64351438	Activity_Lost	6	-0.00938933333333333	-0.0587171666666667	1	2
chr16	50045764	50046489	Activity_Lost	3	-0.016245	-0.0428323333333333	0	1
chrX	15065804	15065972	Activity_Lost	1	-0.011182	-0.009547	0	1
chr9	107278209	107278362	Activity_Lost	3	-0.021202	-0.195547333333333	0	3
chr8	35454799	35455432	Activity_Lost	9	-0.0112838888888889	-0.0299973333333333	2	5
chr17	56057877	56058165	Activity_Lost	10	-0.0159876	-0.1482487	0	7
chr8	25276139	25276542	Activity_Lost	3	-0.009926	-0.0789823333333333	0	1
chr9	59606070	59606209	Activity_Lost	1	-0.012679	-0.096675	0	1
chr4	154878956	154879280	Activity_Lost	1	-0.003339	-0.061439	0	0
chr18	68806344	68807009	Activity_Lost	10	-0.0139341	-0.2113285	2	6
chr6	30552067	30552351	Activity_Lost	1	-0.008855	-0.016011	0	0
chr4	33923063	33923410	Activity_Lost	3	-0.01149	-0.287931	0	2
chr14	20595851	20596213	Activity_Lost	1	-0.006634	-0.033069	0	0
chr17	64893200	64893639	Activity_Lost	3	-0.011647	-0.0458313333333333	0	1
chr9	107568782	107569234	Activity_Lost	6	-0.0120595	-0.2346135	0	4
chr4	155096061	155096287	Activity_Lost	4	-0.009875	-0.31099825	0	2
chr11	93643014	93643884	Activity_Lost	1	0.03944	0.027921	1	0
chr6	115792052	115793183	Activity_Lost	3	-0.0217883333333333	-0.102079666666667	0	2
chr1	78567917	78568226	Activity_Lost	6	-0.0210565	-0.044556	0	5
chr3	133144506	133144656	Activity_Lost	1	-0.011112	-0.008778	0	1
chr2	135641617	135642011	Activity_Lost	1	-0.008912	-0.04536	0	0
chr3	105711811	105711970	Activity_Lost	2	-0.007828	-0.104599	0	0
chr8	12894879	12895136	Activity_Lost	7	-0.0129352857142857	-0.0992988571428571	0	5
chr2	167373213	167373716	Activity_Lost	5	-0.0127514	-0.068085	0	2
chr1	167261625	167261687	Activity_Lost	2	-0.004447	-0.0507605	0	0
chr4	116817582	116817844	Activity_Lost	7	-0.0220012857142857	-0.1538	0	7
chr1	155232499	155233090	Activity_Lost	6	-0.0148176666666667	-0.0725716666666667	0	3
chr14	64118329	64118735	Activity_Lost	2	-0.007893	-0.219091	0	0
chr6	39113167	39113488	Activity_Lost	2	-0.0684695	-0.375304	0	2
chr17	53678706	53679091	Activity_Lost	6	-0.00213183333333333	-0.0724948333333333	2	3
chr9	107715708	107715956	Activity_Lost	1	-0.034136	-0.296266	0	1
chr17	80168805	80168923	Activity_Lost	1	-0.000281	-0.007785	0	0
chr15	72205964	72206416	Activity_Lost	2	-0.022657	-0.016297	0	2
chr12	108172818	108172906	Activity_Lost	2	-0.014569	-0.1447155	0	2
chr2	59601176	59601389	Activity_Lost	2	-0.0154645	-0.1098335	0	1
chr7	97426610	97426940	Activity_Lost	7	-0.00794814285714286	-0.0832007142857143	0	1
chr8	110177311	110177732	Activity_Lost	9	-0.00423044444444444	-0.0677667777777778	1	3
chr17	87317307	87317533	Activity_Lost	10	-0.0107089	-0.1256739	0	4
chr4	132945631	132946424	Activity_Lost	3	-0.014099	-0.114132	0	1
chr13	91370911	91371327	Activity_Lost	5	-0.0376566	-0.1021116	0	4
chr7	28780989	28781124	Activity_Lost	1	-0.017754	-0.174714	0	1
chr10	91183417	91183726	Activity_Lost	4	-0.01183825	-0.1175325	0	1
chrX	48033218	48033444	Activity_Lost	4	-0.00819775	-0.1019	1	1
chr9	84408481	84408658	Activity_Lost	3	-0.0201236666666667	-0.000375666666666668	1	1
chr10	83182659	83182966	Activity_Lost	1	-0.005094	-0.037576	0	0
chr9	72183992	72184271	Activity_Lost	2	-0.044656	-0.2765995	0	2
chr11	3390079	3390382	Activity_Lost	1	-0.02445	-0.286298	0	1
chr2	102400931	102401549	Activity_Lost	5	-0.0086714	-0.112762	0	2
chr2	102091516	102091936	Activity_Lost	4	-0.0064285	-0.09265025	0	0
chr9	66279594	66279984	Activity_Lost	2	-0.0159595	-0.090626	0	2
chr15	25637805	25638057	Activity_Lost	1	-0.008648	-0.048711	0	0
chr10	93753954	93754349	Activity_Lost	2	-0.007143	-0.1024055	0	0
chr16	20824342	20824516	Activity_Lost	1	-0.017805	-0.120372	0	1
chr11	35160616	35160992	Activity_Lost	1	-0.012615	-0.080658	0	1
chr2	94122352	94123065	Activity_Lost	1	-0.00115	-0.048725	0	0
chr14	25226673	25227022	Activity_Lost	5	-0.0049744	-0.1220358	0	1
chr16	44237876	44238199	Activity_Lost	7	-0.00559242857142857	-0.0834331428571429	0	2
chr15	52161630	52162208	Activity_Lost	15	-0.0102588	-0.0577478	3	9
chrX	62584025	62584463	Activity_Lost	7	-0.0131224285714286	-0.0591357142857143	1	6
chr10	14179576	14180337	Activity_Lost	2	-0.007927	-0.0307765	0	1
chr14	15897176	15897370	Activity_Lost	1	-0.05383	-0.146161	0	1
chr6	103673231	103673375	Activity_Lost	2	0.003904	-0.09836	1	1
chr5	139540508	139540846	Activity_Lost	1	-0.031137	-0.546249	0	1
chr2	79499010	79499593	Activity_Lost	6	0.003103	-0.0732943333333333	1	1
chr10	62068266	62068889	Activity_Lost	7	-0.0134758571428571	-0.0775525714285714	0	4
chr3	152145228	152145504	Activity_Lost	6	-0.0218106666666667	-0.0589745	0	5
chr7	93093503	93093996	Activity_Lost	3	-0.00719	-0.074721	1	2
chr10	11049442	11049687	Activity_Lost	1	-0.005028	-0.059099	0	0
chr15	39823014	39823573	Activity_Lost	11	-0.0117845454545455	-0.0625922727272727	0	5
chr12	86867779	86868229	Activity_Lost	1	-0.020012	-0.67301	0	1
chr5	92959725	92959998	Activity_Lost	3	-0.0267783333333333	-0.0368966666666667	0	3
chr14	59209959	59210097	Activity_Lost	1	-0.007651	-0.070423	0	0
chr13	57950393	57950396	Activity_Lost	1	-0.009819	-0.095336	0	0
chr6	124884977	124885530	Activity_Lost	1	-0.084587	-0.927825	0	1
chr3	17796925	17797133	Activity_Lost	1	-0.013344	-0.204177	0	1
chrX	159066248	159066513	Activity_Lost	1	0.02092	0.028566	1	0
chr14	76598623	76599232	Activity_Lost	4	-0.001701	-0.06168275	1	1
chr5	74511521	74512030	Activity_Lost	5	-0.0081962	-0.0285822	1	3
chr18	20666215	20666525	Activity_Lost	2	-0.0316895	-0.180884	0	2
chr13	23556116	23556323	Activity_Lost	11	-0.0137442727272727	-0.180264181818182	0	7
chr12	29143434	29143541	Activity_Lost	1	-0.017504	-0.221179	0	1
chr17	45584433	45584737	Activity_Lost	3	-0.00846033333333333	-0.140495666666667	0	0
chr1	33898163	33898291	Activity_Lost	2	-0.007082	-0.0718895	0	0
chr5	65019796	65020299	Activity_Lost	4	-0.035517	-0.08254125	0	4
chr7	128583367	128583627	Activity_Lost	1	-0.016423	-0.122006	0	1
chr9	75283628	75284024	Activity_Lost	4	-0.0077075	-0.0659085	0	2
chr4	64228405	64228627	Activity_Lost	1	-0.023898	-0.02527	0	1
chr19	4047992	4048147	Activity_Lost	1	-0.008429	-0.211661	0	0
chr4	152530715	152531025	Activity_Lost	1	-0.018013	-0.029272	0	1
chr18	60624188	60624377	Activity_Lost	2	0.0021155	-0.0188175	1	1
chr17	87872299	87872668	Activity_Lost	9	-0.0271571111111111	-0.138892555555556	1	7
chr4	13833008	13833309	Activity_Lost	2	0.00163	-0.0485885	1	1
chr8	124860272	124860463	Activity_Lost	2	-0.0192385	-0.224925	0	2
chr5	63957577	63958003	Activity_Lost	6	-0.0173243333333333	-0.0666001666666667	0	5
chr8	87128616	87128891	Activity_Lost	2	-0.01547	-0.099343	0	2
chr11	74874584	74875079	Activity_Lost	2	-0.010296	-0.102119	0	2
chr11	79973732	79973983	Activity_Lost	2	-0.012492	-0.0605785	0	2
chr7	92125873	92126323	Activity_Lost	1	-0.01998	-0.012806	0	1
chr4	136942745	136943100	Activity_Lost	2	-0.0087215	-0.0579855	0	1
chr3	129515953	129516172	Activity_Lost	2	-0.015753	-0.0449835	0	2
chr4	137015953	137016405	Activity_Lost	7	-0.00588771428571429	-0.0519111428571429	0	4
chr11	75565921	75566202	Activity_Lost	5	-0.0110958	-0.2254006	0	2
chr11	110287804	110287996	Activity_Lost	1	0.026561	0.0254	1	0
chr18	37966427	37966628	Activity_Lost	3	-0.0186556666666667	-0.208818666666667	0	3
chr14	11775275	11775540	Activity_Lost	1	-0.04478	-0.018546	0	1
chr4	110290223	110290397	Activity_Lost	3	-0.0295463333333333	-0.0284963333333333	0	2
chr19	40395843	40396741	Activity_Lost	4	-0.0211205	-0.1038865	0	4
chr10	75873107	75873386	Activity_Lost	11	-0.00930709090909091	-0.117105363636364	0	6
chr1	172306979	172307277	Activity_Lost	5	-0.0043586	-0.0572726	1	2
chr11	76674320	76674527	Activity_Lost	2	-0.0370765	-0.3295695	0	2
chr12	116533299	116533641	Activity_Lost	5	-0.0228128	-0.1044764	0	5
chr7	123398998	123399188	Activity_Lost	3	-0.00603033333333333	-0.0714126666666667	0	0
chr1	132088369	132088615	Activity_Lost	2	-0.020701	-0.179398	0	2
chr15	88603908	88604052	Activity_Lost	1	-0.005772	-0.448759	0	0
chr5	148048179	148048555	Activity_Lost	2	-0.0188065	-0.1618905	0	2
chr11	21016223	21016609	Activity_Lost	1	-0.009943	-0.046706	0	0
chr10	76416757	76417217	Activity_Lost	7	-0.0114785714285714	-0.0706997142857143	0	5
chr15	36803921	36804172	Activity_Lost	5	-0.004665	-0.058254	0	2
chr13	42103017	42103659	Activity_Lost	7	-0.00562757142857143	-0.0206458571428571	1	4
chr1	180525227	180525661	Activity_Lost	6	-0.0225971666666667	-0.225139333333333	0	5
chr17	43820888	43821242	Activity_Lost	6	-0.022863	-0.060949	0	4
chr2	102038420	102038819	Activity_Lost	7	0.00258242857142857	0.00350128571428572	2	1
chr13	95912154	95912637	Activity_Lost	18	-0.0150965	-0.0350965	1	10
chr10	75743953	75744319	Activity_Lost	9	0.00133588888888889	-0.0257414444444444	1	0
chr15	65784453	65784626	Activity_Lost	3	-0.0243393333333333	-0.0522466666666667	0	2
chr12	116515757	116516186	Activity_Lost	3	-0.00898833333333333	-0.058857	0	1
chr13	111301550	111301788	Activity_Lost	1	-0.020041	-0.052866	0	1
chrX	7474904	7475149	Activity_Lost	1	-0.046801	-0.012435	0	1
chr8	84979832	84980165	Activity_Lost	6	-0.00555133333333333	-0.165677333333333	0	0
chr9	58247099	58247471	Activity_Lost	2	-0.034388	-0.310843	0	2
chr6	115955227	115955462	Activity_Lost	3	-0.009237	-0.145759	0	1
chr9	95552163	95552422	Activity_Lost	5	-0.0369626	-0.2443048	0	5
chr1	23827041	23827539	Activity_Lost	2	-0.006837	-0.0450225	0	0
chr14	93884477	93884751	Activity_Lost	1	-0.013454	-0.107874	0	1
chr9	100560619	100560981	Activity_Lost	2	-0.001095	-0.0733815	0	0
chr5	36727677	36728005	Activity_Lost	10	-0.0160296	-0.1524731	0	6
chr10	109129723	109130084	Activity_Lost	2	-0.003647	-0.1143125	0	0
chr4	120851033	120851325	Activity_Lost	4	-0.008866	-0.22683075	0	2
chr5	44213494	44213582	Activity_Lost	1	-0.006729	-0.067321	0	0
chr9	65514690	65515354	Activity_Lost	7	-0.0162164285714286	-0.0845091428571429	0	3
chr18	38212457	38213079	Activity_Lost	16	-0.0165596875	-0.2939813125	0	11
chr14	103545791	103546588	Activity_Lost	3	-0.0145253333333333	-0.0156493333333333	0	1
chr18	62972829	62973034	Activity_Lost	8	-0.028493125	-0.12371575	0	8
chr10	78260977	78261582	Activity_Lost	1	-0.005955	-0.064489	0	0
chr1	88098439	88098797	Activity_Lost	4	-0.027237	-0.039799	1	3
chr9	40757761	40758197	Activity_Lost	8	-0.01552525	-0.154246875	1	6
chr18	60632668	60632953	Activity_Lost	4	-0.012649	-0.04580025	1	3
chr4	134901555	134901763	Activity_Lost	3	-0.0209716666666667	-0.174353666666667	0	3
chr16	94307651	94307852	Activity_Lost	4	-0.0144255	-0.17806225	0	2
chr8	122343903	122344016	Activity_Lost	4	-0.01713825	-0.1781145	0	3
chr2	59207811	59208009	Activity_Lost	2	-0.002739	-0.0516705	0	0
chr3	69362146	69362670	Activity_Lost	3	-0.004146	-0.0487296666666667	0	1
chr7	100215130	100215588	Activity_Lost	2	-0.0108525	-0.0735025	0	1
chrX	17590750	17591190	Activity_Lost	8	-0.017584375	-0.16558775	1	5
chr1	39868254	39868533	Activity_Lost	2	0.01297	0.0365995	1	0
chr6	120039838	120039940	Activity_Lost	1	-0.025278	-0.166964	0	1
