chr	start	end	enhancer_class	n_loops	mean_loop_distance	n_promoter_loops
chr8	115492325	115492535	Activity_Lost	0	NA	0
chr2	28067017	28067175	Activity_Lost	0	NA	0
chr12	32828275	32828436	Activity_Lost	2	130000	0
chr9	40757403	40757578	Activity_Lost	5	293000	1
chr5	26572875	26573255	Activity_Lost	2	370000	0
chr4	62697080	62697273	Activity_Lost	4	92500	2
chr10	69534033	69534332	Activity_Lost	3	1e+05	0
chr8	44692448	44692538	Activity_Lost	8	1008125	2
chr1	88158573	88158738	Activity_Lost	1	50000	1
chr4	98702301	98702805	Activity_Lost	6	371666.666666667	2
chrX	18412644	18412709	Activity_Lost	2	1170000	2
chr6	108130866	108131023	Activity_Lost	0	NA	0
chr18	38930440	38930688	Activity_Lost	5	630000	1
chr17	11260592	11260995	Activity_Lost	0	NA	0
chr16	42059404	42059707	Activity_Lost	0	NA	0
chr9	45261469	45261780	Activity_Lost	0	NA	0
chr4	85727832	85728132	Activity_Lost	0	NA	0
chr12	17741607	17741930	Activity_Lost	2	262500	2
chr13	46842233	46842521	Activity_Lost	4	138750	4
chr17	24443510	24443730	Activity_Lost	0	NA	0
chr3	153664769	153664898	Activity_Lost	5	431000	1
chrX	87807859	87807976	Activity_Lost	1	3e+05	1
chr8	119427588	119428185	Activity_Lost	1	175000	1
chr1	151988165	151988355	Activity_Lost	4	92500	1
chr12	72357897	72357972	Activity_Lost	1	50000	1
chr13	109520080	109520523	Activity_Lost	0	NA	0
chr8	80982875	80983274	Activity_Lost	4	525000	3
chr10	63084843	63085230	Activity_Lost	0	NA	0
chr8	126712827	126712982	Activity_Lost	0	NA	0
chr5	45543411	45543723	Activity_Lost	1	125000	1
chr7	49087122	49087659	Activity_Lost	0	NA	0
chr17	64130346	64130775	Activity_Lost	1	70000	0
chr11	67657808	67657972	Activity_Lost	2	1237500	1
chr4	13837398	13837559	Activity_Lost	2	370000	0
chr18	67374040	67374496	Activity_Lost	0	NA	0
chrX	12837851	12838126	Activity_Lost	2	110000	1
chr3	100118757	100119212	Activity_Lost	1	175000	0
chr3	103801762	103802253	Activity_Lost	2	50000	1
chr1	18641105	18641484	Activity_Lost	3	288333.333333333	0
chr3	104565940	104566081	Activity_Lost	0	NA	0
chr16	31659019	31659263	Activity_Lost	1	35000	0
chr15	86309577	86309746	Activity_Lost	0	NA	0
chr17	88351122	88351232	Activity_Lost	0	NA	0
chr2	5675476	5676167	Activity_Lost	1	35000	1
chr4	58168453	58168551	Activity_Lost	3	2666666.66666667	1
chrX	84553644	84553794	Activity_Lost	0	NA	0
chr11	31796244	31796660	Activity_Lost	3	93333.3333333333	2
chr3	137150407	137150885	Activity_Lost	0	NA	0
chr10	83136093	83136274	Activity_Lost	1	50000	0
chr17	69003992	69004459	Activity_Lost	2	95000	1
chr16	97887781	97887997	Activity_Lost	0	NA	0
chr18	33769796	33770360	Activity_Lost	6	4e+05	0
chr8	116522267	116522374	Activity_Lost	2	220000	0
chr8	67735806	67735849	Activity_Lost	1	150000	0
chr2	138422290	138422684	Activity_Lost	1	375000	0
chr9	68724257	68724767	Activity_Lost	1	7e+05	0
chr6	51857801	51858144	Activity_Lost	10	684000	7
chr1	133900932	133901295	Activity_Lost	1	125000	1
chr6	25012531	25012815	Activity_Lost	4	396250	2
chr17	3331700	3332012	Activity_Lost	0	NA	0
chr8	124302129	124302408	Activity_Lost	0	NA	0
chr18	22984278	22984470	Activity_Lost	1	60000	1
chr5	111141569	111141758	Activity_Lost	0	NA	0
chr8	86536036	86536092	Activity_Lost	6	467500	1
chr2	179774471	179775102	Activity_Lost	2	215000	1
chr12	84174164	84174302	Activity_Lost	0	NA	0
chr17	11086566	11086939	Activity_Lost	1	525000	0
chr11	95512482	95512604	Activity_Lost	3	258333.333333333	3
chr5	113043524	113043809	Activity_Lost	5	469000	3
chr2	146363568	146364008	Activity_Lost	1	50000	0
chr9	22064252	22064790	Activity_Lost	1	1e+05	1
chr14	70552103	70552224	Activity_Lost	0	NA	0
chr8	111424563	111424781	Activity_Lost	0	NA	0
chr2	94265280	94265792	Activity_Lost	0	NA	0
chr8	115625314	115625396	Activity_Lost	0	NA	0
chr14	25266293	25266738	Activity_Lost	0	NA	0
chr19	22703212	22703300	Activity_Lost	0	NA	0
chr1	134087067	134087261	Activity_Lost	0	NA	0
chr6	83541919	83542317	Activity_Lost	0	NA	0
chr18	20055023	20055273	Activity_Lost	1	5e+05	1
chr12	29904564	29904767	Activity_Lost	1	125000	0
chr3	85398770	85398867	Activity_Lost	9	257222.222222222	2
chr4	97953891	97954215	Activity_Lost	2	105000	0
chr15	39778343	39778627	Activity_Lost	0	NA	0
chr1	39856877	39857693	Activity_Lost	1	1e+05	0
chr5	113009636	113009738	Activity_Lost	0	NA	0
chr2	6884072	6884357	Activity_Lost	3	713333.333333333	1
chr9	34810144	34810540	Activity_Lost	1	40000	0
chr18	54992497	54993106	Activity_Lost	5	346000	1
chr19	26948467	26948637	Activity_Lost	4	246250	3
chr7	27614013	27614248	Activity_Lost	0	NA	0
chr4	13824019	13824191	Activity_Lost	1	80000	1
chr14	31933899	31934281	Activity_Lost	4	193750	3
chr5	45627776	45627936	Activity_Lost	2	1920000	2
chr12	89802024	89802182	Activity_Lost	5	710000	2
chr6	115245579	115245809	Activity_Lost	2	2780000	1
chr3	139012463	139012811	Activity_Lost	0	NA	0
chr14	54720739	54720893	Activity_Lost	1	1e+05	1
chr16	43464748	43464930	Activity_Lost	0	NA	0
chr15	99615375	99615627	Activity_Lost	0	NA	0
chr2	18219251	18219372	Activity_Lost	5	931000	4
chr3	137336003	137336362	Activity_Lost	0	NA	0
chr5	28123147	28123433	Activity_Lost	3	215000	0
chr12	21153253	21153658	Activity_Lost	0	NA	0
chr14	59894040	59894276	Activity_Lost	0	NA	0
chr15	38406652	38406758	Activity_Lost	0	NA	0
chr18	33425710	33426024	Activity_Lost	3	303333.333333333	0
chr1	17090521	17090835	Activity_Lost	1	50000	0
chr3	85518662	85519029	Activity_Lost	0	NA	0
chr1	36489766	36489903	Activity_Lost	1	125000	1
chr1	192442921	192443292	Activity_Lost	2	152500	1
chr2	35328148	35328565	Activity_Lost	0	NA	0
chr16	33685375	33685471	Activity_Lost	0	NA	0
chr5	26857833	26857995	Activity_Lost	2	8e+05	0
chr6	50404789	50405084	Activity_Lost	1	35000	0
chr12	35071393	35071685	Activity_Lost	4	4131250	2
chr15	32613829	32614070	Activity_Lost	0	NA	0
chrX	7670560	7670823	Activity_Lost	0	NA	0
chr11	94159677	94159770	Activity_Lost	0	NA	0
chr11	54007037	54007211	Activity_Lost	1	250000	0
chr7	6183838	6184326	Activity_Lost	0	NA	0
chr8	123425473	123425551	Activity_Lost	0	NA	0
chr3	86962708	86962977	Activity_Lost	0	NA	0
chr5	112605509	112605660	Activity_Lost	1	140000	0
chr1	74542422	74543158	Activity_Lost	1	45000	1
chr17	50439317	50439879	Activity_Lost	0	NA	0
chr18	82913062	82913443	Activity_Lost	3	193333.333333333	2
chr3	51751381	51751731	Activity_Lost	1	50000	0
chr11	43054968	43055303	Activity_Lost	3	195000	0
chr2	106194473	106194656	Activity_Lost	12	497500	3
chr9	122064986	122065226	Activity_Lost	0	NA	0
chr2	93961655	93962100	Activity_Lost	0	NA	0
chr5	116421060	116421168	Activity_Lost	1	35000	0
chr4	82507926	82508025	Activity_Lost	5	350000	2
chr6	140678677	140679291	Activity_Lost	0	NA	0
chr18	39348458	39349073	Activity_Lost	2	95000	0
chr16	13430218	13430322	Activity_Lost	2	252500	2
chr5	44239826	44240095	Activity_Lost	1	450000	0
chr15	79811081	79811332	Activity_Lost	0	NA	0
chr8	121904107	121904263	Activity_Lost	1	50000	1
chr10	18408782	18408894	Activity_Lost	0	NA	0
chr11	118136181	118136362	Activity_Lost	0	NA	0
chr15	37507095	37507478	Activity_Lost	0	NA	0
chr10	23796714	23797222	Activity_Lost	10	3577500	7
chr2	59181213	59181425	Activity_Lost	0	NA	0
chrX	157139599	157140046	Activity_Lost	0	NA	0
chr16	24156700	24157035	Activity_Lost	7	305714.285714286	2
chr10	109713119	109713266	Activity_Lost	6	773333.333333333	1
chr12	83109891	83110532	Activity_Lost	6	203333.333333333	0
chr11	94229269	94229518	Activity_Lost	3	130000	2
chr7	132704091	132704668	Activity_Lost	0	NA	0
chr2	93954882	93955538	Activity_Lost	2	65000	0
chr14	64097090	64097198	Activity_Lost	0	NA	0
chr10	83150626	83150932	Activity_Lost	0	NA	0
chr10	14191233	14191463	Activity_Lost	6	303333.333333333	5
chr5	116994664	116994798	Activity_Lost	1	40000	0
chr17	80796866	80797089	Activity_Lost	0	NA	0
chr8	13530474	13530638	Activity_Lost	0	NA	0
chr6	46704432	46704861	Activity_Lost	0	NA	0
chr16	30187945	30188394	Activity_Lost	2	285000	1
chr9	58541937	58542189	Activity_Lost	8	300625	1
chr16	49839686	49840194	Activity_Lost	2	172500	0
chr4	81429741	81430059	Activity_Lost	0	NA	0
chr17	12757313	12757428	Activity_Lost	0	NA	0
chr2	59207325	59207479	Activity_Lost	0	NA	0
chr9	49178496	49178939	Activity_Lost	2	820000	2
chr19	53850638	53850806	Activity_Lost	2	70000	1
chr5	105993147	105993788	Activity_Lost	8	511250	3
chr4	136469044	136469182	Activity_Lost	1	150000	1
chr18	68018262	68018374	Activity_Lost	0	NA	0
chr2	96580228	96580647	Activity_Lost	5	870000	0
chr11	117479429	117479738	Activity_Lost	0	NA	0
chr4	126661249	126661866	Activity_Lost	0	NA	0
chr2	109280431	109280915	Activity_Lost	3	413333.333333333	2
chr15	82172745	82172963	Activity_Lost	0	NA	0
chrX	169879464	169880001	Activity_Lost	1	60000	0
chr18	38024213	38024356	Activity_Lost	6	497500	2
chr2	142437672	142438606	Activity_Lost	1	90000	0
chr3	22877927	22878265	Activity_Lost	0	NA	0
chr12	21129067	21129268	Activity_Lost	0	NA	0
chr4	120867555	120867670	Activity_Lost	0	NA	0
chr11	6833814	6834084	Activity_Lost	1	40000	0
chr14	81987825	81988215	Activity_Lost	4	1043750	0
chr11	77876241	77876412	Activity_Lost	0	NA	0
chr13	43990117	43991022	Activity_Lost	0	NA	0
chr7	28562052	28562709	Activity_Lost	1	160000	0
chr6	128047622	128048037	Activity_Lost	0	NA	0
chr15	36892601	36893236	Activity_Lost	3	85000	3
chr1	151835376	151835550	Activity_Lost	2	205000	1
chr11	93025939	93026209	Activity_Lost	2	250000	1
chr1	106232538	106232786	Activity_Lost	1	60000	1
chr4	118152001	118152274	Activity_Lost	0	NA	0
chr7	100974254	100974767	Activity_Lost	0	NA	0
chr9	91347671	91347989	Activity_Lost	2	510000	2
chr10	84054591	84054903	Activity_Lost	1	390000	1
chr17	50688161	50688457	Activity_Lost	1	280000	0
chr12	77638275	77638551	Activity_Lost	0	NA	0
chr12	83210728	83211222	Activity_Lost	3	133333.333333333	1
chr3	138029331	138029711	Activity_Lost	4	92500	2
chr15	95196998	95197418	Activity_Lost	0	NA	0
chr10	23951732	23952206	Activity_Lost	1	150000	0
chr5	68353241	68353550	Activity_Lost	8	615000	2
chr8	120498906	120499436	Activity_Lost	0	NA	0
chr18	68030642	68030764	Activity_Lost	1	3875000	0
chr5	38871635	38872207	Activity_Lost	9	462222.222222222	1
chr1	39869284	39869399	Activity_Lost	2	67500	1
chr18	69458519	69458646	Activity_Lost	1	1e+05	0
chr2	181483605	181483986	Activity_Lost	1	1e+05	1
chr11	75648040	75648249	Activity_Lost	0	NA	0
chr8	105708141	105708361	Activity_Lost	2	225000	2
chr3	103534029	103534343	Activity_Lost	1	90000	0
chr12	100255532	100256076	Activity_Lost	0	NA	0
chr2	41917487	41917586	Activity_Lost	0	NA	0
chr9	40404703	40404963	Activity_Lost	4	256250	0
chr11	119781862	119782036	Activity_Lost	1	280000	0
chr4	62506913	62507079	Activity_Lost	1	1e+05	1
chr7	70874266	70874898	Activity_Lost	2	385000	0
chr15	88840245	88840520	Activity_Lost	2	325000	2
chr10	93680749	93680996	Activity_Lost	0	NA	0
chr9	60663041	60663167	Activity_Lost	2	42500	0
chr1	53225668	53225941	Activity_Lost	1	50000	0
chr9	112454677	112455180	Activity_Lost	10	631000	3
chr15	99736778	99736970	Activity_Lost	1	175000	0
chr16	10711642	10711863	Activity_Lost	0	NA	0
chr11	31738707	31739168	Activity_Lost	0	NA	0
chr15	85408842	85409104	Activity_Lost	1	3e+05	0
chr5	42919589	42919850	Activity_Lost	3	536666.666666667	1
chr2	113323071	113323393	Activity_Lost	3	508333.333333333	2
chr18	30611722	30611848	Activity_Lost	0	NA	0
chr14	61331170	61331576	Activity_Lost	7	407857.142857143	3
chr3	153323485	153323765	Activity_Lost	0	NA	0
chr3	108203904	108204203	Activity_Lost	1	50000	1
chr5	69324691	69324828	Activity_Lost	3	545000	1
chr5	130699631	130699723	Activity_Lost	0	NA	0
chr2	138549086	138549346	Activity_Lost	0	NA	0
chrX	16910463	16910805	Activity_Lost	7	1035714.28571429	3
chr9	112841624	112841825	Activity_Lost	3	458333.333333333	1
chr15	82167411	82167506	Activity_Lost	1	40000	0
chr9	121964926	121965376	Activity_Lost	0	NA	0
chr6	43395648	43395965	Activity_Lost	3	1326666.66666667	1
chr6	33540435	33540577	Activity_Lost	0	NA	0
chr14	24793408	24794114	Activity_Lost	2	547500	1
chr18	38915016	38915220	Activity_Lost	0	NA	0
chr4	133601884	133602039	Activity_Lost	0	NA	0
chr18	75537598	75538392	Activity_Lost	0	NA	0
chr13	43706210	43706758	Activity_Lost	2	80000	1
chr3	95965972	95966344	Activity_Lost	2	142500	1
chr14	13284552	13285079	Activity_Lost	0	NA	0
chr13	109672025	109672420	Activity_Lost	0	NA	0
chr11	94161429	94161525	Activity_Lost	1	45000	0
chr13	54349266	54349660	Activity_Lost	0	NA	0
chr14	25346073	25346290	Activity_Lost	1	110000	0
chr8	22443354	22443363	Activity_Lost	3	191666.666666667	0
chr8	87087603	87088075	Activity_Lost	0	NA	0
chr17	5975217	5975317	Activity_Lost	0	NA	0
chr13	54824210	54824856	Activity_Lost	2	90000	2
chr8	86316337	86316555	Activity_Lost	0	NA	0
chr9	122048217	122048572	Activity_Lost	0	NA	0
chr3	88393924	88394271	Activity_Lost	0	NA	0
chr11	30471728	30472408	Activity_Lost	2	190000	0
chr16	21339427	21340103	Activity_Lost	0	NA	0
chr8	99146849	99147107	Activity_Lost	0	NA	0
chr9	27240611	27240861	Activity_Lost	0	NA	0
chr3	103567249	103567636	Activity_Lost	1	125000	0
chr6	30554888	30555107	Activity_Lost	0	NA	0
chr3	86868255	86868512	Activity_Lost	0	NA	0
chr10	115019308	115019810	Activity_Lost	5	110000	2
chr9	107255018	107255031	Activity_Lost	0	NA	0
chr14	54259119	54259539	Activity_Lost	2	135000	2
chr16	49720760	49720947	Activity_Lost	5	268000	0
chr14	13981303	13981582	Activity_Lost	0	NA	0
chr10	81593947	81594307	Activity_Lost	0	NA	0
chr12	108240968	108241102	Activity_Lost	0	NA	0
chr8	126531559	126531823	Activity_Lost	2	90000	0
chr10	13842872	13843099	Activity_Lost	0	NA	0
chr10	76818462	76818617	Activity_Lost	2	3775000	1
chr3	59243515	59243876	Activity_Lost	0	NA	0
chr2	180020110	180020492	Activity_Lost	1	45000	1
chr10	13714540	13715161	Activity_Lost	3	171666.666666667	1
chr8	126532363	126532574	Activity_Lost	2	90000	0
chr8	115475770	115476294	Activity_Lost	1	45000	0
chr4	100127077	100127212	Activity_Lost	1	90000	0
chr17	56603239	56603442	Activity_Lost	0	NA	0
chr15	91445323	91445789	Activity_Lost	3	115000	1
chr5	33921809	33922140	Activity_Lost	0	NA	0
chr18	35938676	35938849	Activity_Lost	2	87500	0
chr5	26817142	26818101	Activity_Lost	2	390000	0
chr6	28633785	28634023	Activity_Lost	0	NA	0
chr14	103472209	103472509	Activity_Lost	7	192142.857142857	2
chr1	176034745	176034967	Activity_Lost	0	NA	0
chr8	25389359	25389793	Activity_Lost	0	NA	0
chr1	180507217	180507775	Activity_Lost	1	50000	0
chr8	57742100	57742288	Activity_Lost	1	50000	0
chr11	117574722	117575130	Activity_Lost	0	NA	0
chr13	54325938	54326172	Activity_Lost	3	116666.666666667	1
chr4	47979639	47979957	Activity_Lost	2	180000	0
chr18	61526492	61526578	Activity_Lost	2	150000	2
chr8	35924063	35924677	Activity_Lost	5	220000	1
chr15	81836461	81836711	Activity_Lost	1	70000	0
chr10	66493796	66493950	Activity_Lost	0	NA	0
chr13	29986016	29986687	Activity_Lost	5	374000	3
chr3	135886681	135886942	Activity_Lost	9	1256111.11111111	2
chr10	93282609	93282933	Activity_Lost	2	2e+05	1
chr1	58029639	58030125	Activity_Lost	2	80000	1
chr16	10716906	10717001	Activity_Lost	0	NA	0
chr2	93784682	93784889	Activity_Lost	3	308333.333333333	0
chr7	66008926	66009060	Activity_Lost	1	35000	1
chr1	34387796	34388275	Activity_Lost	0	NA	0
chr7	133256814	133257116	Activity_Lost	0	NA	0
chr15	64903298	64903423	Activity_Lost	6	658333.333333333	1
chr8	83203121	83203252	Activity_Lost	2	875000	0
chr5	115184851	115184973	Activity_Lost	0	NA	0
chr4	32249913	32250460	Activity_Lost	4	181250	0
chr11	74866617	74867717	Activity_Lost	0	NA	0
chr12	77595948	77596038	Activity_Lost	0	NA	0
chr12	12356177	12356302	Activity_Lost	0	NA	0
chr3	51701128	51701819	Activity_Lost	10	282000	3
chr8	116519500	116520026	Activity_Lost	2	220000	0
chr7	100561884	100562179	Activity_Lost	0	NA	0
chr14	25454415	25454519	Activity_Lost	7	525000	3
chr14	55121955	55122398	Activity_Lost	4	2712500	3
chr3	103606650	103607028	Activity_Lost	0	NA	0
chr1	180794226	180794547	Activity_Lost	0	NA	0
chr10	12726296	12726400	Activity_Lost	0	NA	0
chr10	17522068	17522175	Activity_Lost	3	418333.333333333	1
chr10	76817083	76817219	Activity_Lost	2	3775000	1
chr2	96319340	96319545	Activity_Lost	2	1500000	0
chr12	86795737	86796134	Activity_Lost	2	117500	0
chr5	127305467	127305627	Activity_Lost	1	60000	1
chr15	86186867	86186995	Activity_Lost	1	35000	0
chr17	31296313	31296800	Activity_Lost	0	NA	0
chr5	131065201	131065649	Activity_Lost	1	60000	0
chr17	48467483	48468046	Activity_Lost	6	436666.666666667	1
chr13	110168694	110168848	Activity_Lost	1	1e+05	0
chr1	75250595	75250814	Activity_Lost	3	45000	2
chr8	113873984	113874215	Activity_Lost	4	358750	0
chr9	107278493	107279045	Activity_Lost	2	462500	1
chr4	129134714	129135431	Activity_Lost	4	161250	2
chr9	118179361	118179914	Activity_Lost	2	175000	1
chr10	93261381	93261930	Activity_Lost	0	NA	0
chr4	142856567	142857003	Activity_Lost	2	80000	0
chr14	15161416	15161661	Activity_Lost	0	NA	0
chr15	88570777	88571031	Activity_Lost	1	2325000	0
chr8	116814435	116814861	Activity_Lost	0	NA	0
chr8	31191717	31191882	Activity_Lost	0	NA	0
chr7	111896317	111896615	Activity_Lost	0	NA	0
chr4	46445177	46445646	Activity_Lost	3	150000	2
chr17	24197494	24197714	Activity_Lost	0	NA	0
chr15	41064100	41064460	Activity_Lost	3	413333.333333333	1
chr15	32264960	32265121	Activity_Lost	2	375000	0
chr7	109969140	109969352	Activity_Lost	1	1e+05	1
chr16	29001084	29001670	Activity_Lost	2	197500	1
chr14	93415590	93415788	Activity_Lost	1	60000	0
chr7	111157442	111157617	Activity_Lost	1	70000	1
chr14	54772380	54772501	Activity_Lost	0	NA	0
chr1	64220648	64220869	Activity_Lost	6	226666.666666667	2
chr16	17892644	17892959	Activity_Lost	1	40000	0
chr5	36717889	36717998	Activity_Lost	0	NA	0
chr15	86090108	86090583	Activity_Lost	0	NA	0
chr8	13530872	13531307	Activity_Lost	0	NA	0
chr9	73970894	73971051	Activity_Lost	3	116666.666666667	0
chr10	109740390	109740553	Activity_Lost	5	328000	0
chr14	122367274	122367761	Activity_Lost	0	NA	0
chr15	44676582	44677173	Activity_Lost	3	53333.3333333333	0
chr3	124275036	124275140	Activity_Lost	5	571000	4
chrX	158394257	158394528	Activity_Lost	3	583333.333333333	1
chr7	132681188	132681277	Activity_Lost	1	40000	0
chr12	71337070	71337496	Activity_Lost	0	NA	0
chr1	59334356	59334584	Activity_Lost	0	NA	0
chr15	53726697	53726911	Activity_Lost	0	NA	0
chr5	127349854	127350034	Activity_Lost	5	120000	3
chr7	132894870	132895050	Activity_Lost	2	392500	2
chr9	44717968	44718492	Activity_Lost	0	NA	0
chr2	52946176	52946325	Activity_Lost	0	NA	0
chr9	58249748	58249836	Activity_Lost	0	NA	0
chr1	66211220	66211919	Activity_Lost	1	35000	1
chr6	60762960	60763199	Activity_Lost	0	NA	0
chr2	77913817	77913958	Activity_Lost	1	125000	0
chr1	88367034	88367161	Activity_Lost	2	587500	1
chr7	64156346	64156440	Activity_Lost	6	298333.333333333	2
chr9	45268803	45269267	Activity_Lost	0	NA	0
chr19	37991885	37992245	Activity_Lost	2	47500	1
chr3	136668138	136668458	Activity_Lost	7	789285.714285714	1
chr7	19363894	19364167	Activity_Lost	1	230000	0
chr7	18921246	18921366	Activity_Lost	0	NA	0
chr15	57727400	57727499	Activity_Lost	1	1075000	1
chr8	119035236	119035469	Activity_Lost	0	NA	0
chr7	30327199	30327659	Activity_Lost	0	NA	0
chr11	117108563	117109094	Activity_Lost	0	NA	0
chr17	84365162	84365278	Activity_Lost	1	5e+05	0
chr12	72389413	72390121	Activity_Lost	0	NA	0
chr2	35799529	35799705	Activity_Lost	0	NA	0
chr16	37590956	37591425	Activity_Lost	0	NA	0
chr4	134773028	134773193	Activity_Lost	0	NA	0
chr10	17524051	17524242	Activity_Lost	3	418333.333333333	1
chr13	84347837	84348328	Activity_Lost	19	616842.105263158	9
chr1	28332088	28332508	Activity_Lost	4	386250	0
chr2	96714688	96714856	Activity_Lost	1	375000	0
chr15	58816314	58816451	Activity_Lost	2	950000	1
chr16	43579187	43579546	Activity_Lost	4	1062500	0
chr3	124157920	124158112	Activity_Lost	0	NA	0
chr9	22054420	22054612	Activity_Lost	3	75000	2
chr2	97124310	97124487	Activity_Lost	0	NA	0
chr11	76035251	76035467	Activity_Lost	0	NA	0
chr8	44042592	44042890	Activity_Lost	5	813000	2
chr4	101198634	101199065	Activity_Lost	2	150000	0
chr6	8412879	8413251	Activity_Lost	2	115000	1
chr3	101560908	101561193	Activity_Lost	0	NA	0
chr7	142549972	142550314	Activity_Lost	3	220000	2
chr7	4120627	4120856	Activity_Lost	5	946000	5
chr17	88255640	88256110	Activity_Lost	10	222000	4
chr9	122902956	122903537	Activity_Lost	0	NA	0
chr11	101842406	101842531	Activity_Lost	0	NA	0
chr9	113019579	113019956	Activity_Lost	2	475000	1
chr4	34522813	34523024	Activity_Lost	1	6e+05	1
chr9	40639845	40640160	Activity_Lost	7	272857.142857143	3
chr4	75529698	75529883	Activity_Lost	1	50000	0
chrX	70817577	70818073	Activity_Lost	4	368750	2
chr3	103576174	103576532	Activity_Lost	4	118750	1
chr16	31747164	31747295	Activity_Lost	0	NA	0
chr5	40033750	40033979	Activity_Lost	0	NA	0
chr1	152065643	152065785	Activity_Lost	1	80000	0
chr7	133313131	133313473	Activity_Lost	1	190000	1
chr18	57673653	57674132	Activity_Lost	7	130714.285714286	1
chr18	56558619	56558987	Activity_Lost	0	NA	0
chr11	117880372	117880950	Activity_Lost	0	NA	0
chr6	24350964	24351223	Activity_Lost	5	526000	1
chr7	49152297	49152472	Activity_Lost	0	NA	0
chr6	53005978	53006358	Activity_Lost	0	NA	0
chr11	76170280	76170520	Activity_Lost	2	387500	1
chr1	37697086	37697225	Activity_Lost	2	312500	2
chr1	23653546	23653954	Activity_Lost	2	340000	1
chr7	63971052	63971251	Activity_Lost	0	NA	0
chr8	123851701	123851926	Activity_Lost	1	50000	1
chr12	83341127	83341296	Activity_Lost	1	150000	1
chr14	27269811	27270254	Activity_Lost	2	77500	0
chr17	35074037	35074460	Activity_Lost	0	NA	0
chr12	29534792	29534970	Activity_Lost	12	991250	5
chr12	25934775	25935224	Activity_Lost	0	NA	0
chr2	136679826	136680171	Activity_Lost	4	333750	1
chr11	117552494	117552939	Activity_Lost	0	NA	0
chr5	35311728	35312171	Activity_Lost	1	175000	0
chr3	107506093	107506254	Activity_Lost	0	NA	0
chr2	73998617	73998794	Activity_Lost	3	168333.333333333	1
chr10	40084395	40084662	Activity_Lost	0	NA	0
chr9	45539346	45539614	Activity_Lost	0	NA	0
chr7	48779151	48779439	Activity_Lost	2	562500	0
chr6	7463909	7464584	Activity_Lost	0	NA	0
chr2	154865795	154865967	Activity_Lost	2	3e+05	1
chr6	56373303	56374084	Activity_Lost	2	250000	0
chr10	108904537	108904646	Activity_Lost	0	NA	0
chr13	63400107	63400358	Activity_Lost	1	4e+05	1
chr10	6296621	6296899	Activity_Lost	2	487500	1
chr18	35934120	35934219	Activity_Lost	2	42500	0
chr1	175970813	175970981	Activity_Lost	1	225000	0
chr17	78405803	78405983	Activity_Lost	5	8640000	4
chr9	70878206	70878427	Activity_Lost	2	122500	0
chr4	100121155	100121303	Activity_Lost	1	275000	0
chr14	54772706	54772805	Activity_Lost	0	NA	0
chrX	10457381	10457538	Activity_Lost	1	1e+05	0
chr10	93633615	93633946	Activity_Lost	1	1e+05	0
chr18	34866233	34866769	Activity_Lost	1	1300000	0
chr3	107500344	107500623	Activity_Lost	0	NA	0
chrX	101932284	101932609	Activity_Lost	2	80000	1
chr6	88857267	88857841	Activity_Lost	3	366666.666666667	1
chr7	49191049	49191429	Activity_Lost	1	50000	0
chr1	64412610	64412746	Activity_Lost	3	183333.333333333	1
chr3	13741843	13741920	Activity_Lost	1	275000	1
chr6	103559517	103559712	Activity_Lost	0	NA	0
chr12	100910624	100911153	Activity_Lost	2	397500	1
chr2	118536216	118536389	Activity_Lost	1	3825000	1
chr2	33543469	33543812	Activity_Lost	0	NA	0
chr7	111694344	111694790	Activity_Lost	2	95000	1
chr15	80277208	80277339	Activity_Lost	5	263000	1
chr1	51076249	51076393	Activity_Lost	0	NA	0
chr3	137268124	137268249	Activity_Lost	1	1e+05	0
chr6	85513533	85513877	Activity_Lost	2	52500	1
chr4	8666641	8667158	Activity_Lost	1	430000	0
chrX	158947235	158947518	Activity_Lost	3	925000	1
chr12	102710920	102711244	Activity_Lost	0	NA	0
chr12	31896909	31897753	Activity_Lost	3	123333.333333333	1
chr16	24943540	24944001	Activity_Lost	2	850000	1
chr12	69456717	69457047	Activity_Lost	4	70000	2
chr15	30191996	30192248	Activity_Lost	0	NA	0
chr14	52119139	52119551	Activity_Lost	2	637500	2
chr4	62653453	62653581	Activity_Lost	0	NA	0
chr7	75277920	75278164	Activity_Lost	3	1441666.66666667	2
chr1	63955858	63956317	Activity_Lost	6	290833.333333333	2
chr4	15595941	15596760	Activity_Lost	5	208000	0
chr3	101915078	101915499	Activity_Lost	1	1e+05	1
chr5	129449489	129449595	Activity_Lost	0	NA	0
chr10	57569401	57569500	Activity_Lost	1	175000	0
chr8	113066607	113066754	Activity_Lost	1	130000	0
chr4	142792096	142792569	Activity_Lost	2	72500	0
chr6	107422164	107422456	Activity_Lost	0	NA	0
chr14	82313627	82313728	Activity_Lost	0	NA	0
chr5	150235995	150236276	Activity_Lost	3	141666.666666667	0
chr12	76110059	76110391	Activity_Lost	0	NA	0
chr15	4503888	4504157	Activity_Lost	4	235000	0
chr11	83462978	83463125	Activity_Lost	0	NA	0
chr6	3512689	3512889	Activity_Lost	6	1283333.33333333	4
chr7	112444556	112444949	Activity_Lost	0	NA	0
chr6	48568414	48569012	Activity_Lost	0	NA	0
chr3	123973798	123974490	Activity_Lost	10	301000	4
chr6	59425990	59426727	Activity_Lost	4	197500	0
chr17	31295747	31295809	Activity_Lost	0	NA	0
