chr	start	end	tertile	log2FC_K119ub
chr18	48334981	48335085	T3_high	1.03424665289208
chr7	38182659	38183001	T2_mid	0.558865176094436
chr16	24193133	24194335	T3_high	0.821926647238406
chr12	55499124	55499353	T1_low	0.445152703566047
chr10	13837112	13837204	T3_high	0.871828204921653
chr13	78427786	78428022	T3_high	0.718908482515109
chr2	41982720	41982804	T3_high	0.836215698344596
chr18	39091496	39091649	T2_mid	0.672569890278332
chr10	45871092	45871400	T1_low	0.373257355622252
chrX	158813858	158814181	T1_low	0.513593585757695
chr3	17489799	17489991	T2_mid	0.635242282044334
chr10	37694470	37694614	T2_mid	0.59003831042156
chr2	54442744	54443056	T3_high	0.719748192271368
chr3	35088301	35088970	T1_low	0.450559032273428
chr6	122268485	122268902	T1_low	0.416983365842265
chr3	139886357	139886941	T2_mid	0.611935193505397
chr1	72212241	72212436	T3_high	0.83164666471838
chr5	13318747	13319060	T3_high	1.17438180004177
chr14	14871682	14872050	T3_high	1.00871153082173
chr14	25371711	25372001	T3_high	0.853348267312251
chr15	92057605	92057844	T2_mid	0.599629412641631
chr14	58786859	58787522	T3_high	0.862597736741709
chr18	13390351	13390644	T2_mid	0.615089723648073
chr10	117675738	117675977	T2_mid	0.600024271918556
chr6	74271387	74271895	T3_high	0.780726290510834
chr2	106547253	106547462	T3_high	0.766620726532919
chr1	20921073	20921520	T2_mid	0.679032664094669
chrX	140511063	140511504	T1_low	0.516467443687494
chr2	132375772	132376041	T2_mid	0.581022080730029
chrX	166803176	166803717	T1_low	0.443296086235344
chr10	12731607	12731723	T3_high	1.18801384056749
chr16	97851781	97852160	T2_mid	0.621974661950649
chr1	137840647	137840792	T3_high	0.848595128750134
chr1	18468458	18468832	T2_mid	0.64800319308468
chr4	24720959	24721106	T2_mid	0.653932103031653
chr3	126631574	126631943	T3_high	1.02211780269939
chr15	39840804	39840995	T1_low	0.494717648204838
chr10	110192138	110192638	T1_low	0.514516218482005
chr1	39515597	39516069	T3_high	0.85404335243949
chr16	82899747	82899850	T3_high	0.813299902908963
chr8	41053177	41053569	T3_high	0.816808662800933
chr18	48399571	48399698	T3_high	0.821814442848955
chr1	191296511	191296705	T1_low	0.533062293512047
chr9	92147665	92147812	T2_mid	0.65662318284701
chrX	7473915	7474090	T3_high	0.684616728171054
chrX	166308937	166309131	T2_mid	0.559594398806183
chr5	32037040	32037190	T2_mid	0.558886758713876
chr5	49453176	49453425	T2_mid	0.681677713557711
chr13	112835191	112835452	T3_high	0.717389078636671
chr4	76327299	76327701	T2_mid	0.568287752808117
chr17	50407180	50407617	T3_high	0.737982249348817
chr10	96090508	96090662	T2_mid	0.585953883492359
chr8	86272734	86272951	T1_low	0.522129661217484
chr4	96591271	96592069	T1_low	0.445274982511793
chr14	56162108	56162500	T2_mid	0.553730025999452
chr13	111925452	111925617	T1_low	0.548157698749713
chr3	156919463	156919657	T3_high	1.07241314572592
chr12	38982539	38982658	T1_low	0.518509025849741
chr5	72453396	72453590	T1_low	0.464707000979724
chr14	113469883	113470351	T3_high	1.40943635633624
chr14	60529092	60529405	T1_low	0.376757535538498
chr18	28215994	28216405	T1_low	0.484528082130333
chr6	77950818	77951048	T3_high	0.926341630208339
chr13	20433051	20433530	T3_high	1.04172771385835
chr1	194019300	194019657	T1_low	0.349479297514218
chr3	156929868	156930026	T3_high	0.781198459830939
chr16	90599409	90599612	T3_high	0.739696983564113
chr19	38253916	38254201	T2_mid	0.559236973911906
chr3	18243636	18243806	T2_mid	0.620632935948626
chr14	52060127	52060226	T3_high	0.74531606404277
chr2	65223021	65223359	T3_high	0.684902551354643
chr16	40572356	40572482	T3_high	0.962523183517149
chr12	29083625	29084124	T1_low	0.499122447426677
chr6	77358125	77358513	T1_low	0.43005720503198
chr7	19327071	19327451	T2_mid	0.576039906904937
chr9	11284540	11284894	T2_mid	0.574787480562233
chr18	34855223	34855501	T2_mid	0.557162026677299
chr19	24523459	24523585	T3_high	1.14140397051618
chr12	12356481	12357036	T1_low	0.417716330826797
chr5	88857754	88857852	T3_high	0.79092252024467
chr14	118695985	118696161	T2_mid	0.580107911994634
chr2	42405767	42405911	T3_high	0.844430279664036
chr10	67076250	67076950	T3_high	0.793691093554199
chr13	109343721	109343881	T3_high	0.716893140036168
chr4	53488696	53489136	T1_low	0.436076356076152
chr12	42139015	42139248	T1_low	0.467838893332759
chr16	82920556	82920784	T2_mid	0.557196523015389
chr10	61160836	61160989	T3_high	0.842058604188874
chr7	112716898	112716989	T1_low	0.540991809440203
chr19	23687102	23687904	T3_high	0.857222179568648
chr19	36677100	36677731	T2_mid	0.554741198778252
chr14	77256861	77257239	T1_low	0.426144073787836
chr12	47164479	47165185	T3_high	0.733480281727004
chr2	3546715	3546907	T2_mid	0.588918013328222
chr4	97775138	97775236	T3_high	0.852082505634813
chr16	51517063	51517429	T3_high	0.85153398072789
chr2	125014964	125015482	T2_mid	0.678211589020474
chr14	86510380	86510794	T1_low	0.513232592606513
chr14	79397724	79398033	T2_mid	0.56542668457686
chr10	53503079	53503816	T1_low	0.497240503383827
chr1	180604524	180605034	T2_mid	0.59565193931237
chr3	96104223	96104386	T3_high	0.735076491104632
chr1	6510398	6510813	T2_mid	0.558234436839995
chr3	108145847	108146377	T2_mid	0.570210206602331
chr10	99242233	99242455	T2_mid	0.559757392095891
chr15	55089934	55090613	T1_low	0.542627905477795
chr8	19648530	19648618	T3_high	0.815750756800606
chr13	104228543	104229124	T3_high	0.696612644837065
chr13	20434109	20434251	T2_mid	0.592470187044492
chr1	153045384	153045673	T1_low	0.522548163239113
chr13	78383672	78383877	T3_high	0.941305293416349
chr14	16228675	16228806	T2_mid	0.573644628549883
chr3	8509030	8509622	T3_high	0.697488425722575
chr3	13470672	13470869	T1_low	0.455584298083304
chr1	148710633	148710886	T3_high	0.827349737474074
chr5	52363871	52364014	T1_low	0.525718222782943
chr3	59176883	59177434	T3_high	0.826539209956061
chr15	91613980	91614661	T3_high	0.752524249779452
chr8	87297771	87298083	T2_mid	0.636680391003077
chr14	93794591	93794835	T3_high	0.755007139547041
chr15	34678098	34678947	T1_low	0.492205126884608
chr17	69770100	69770338	T3_high	0.785938542585925
chr1	183662441	183662967	T1_low	0.38489411745471
chr5	57743045	57743294	T2_mid	0.611097184383691
chr13	51816541	51816869	T1_low	0.487562990842611
chr14	99060689	99060873	T3_high	0.747751052960162
chr1	20919839	20920053	T1_low	0.518632946029591
chr13	113930497	113930597	T2_mid	0.605473596986213
chr5	13405568	13405695	T3_high	0.806635013833772
chr16	42874992	42875924	T1_low	0.543310308664041
chr14	113887367	113887713	T2_mid	0.612310263269577
chr1	51270364	51270576	T3_high	0.956607790050654
chr17	63288950	63289147	T1_low	0.521392225967856
chr16	42445253	42445395	T3_high	0.924054799341533
chr9	91798326	91798924	T3_high	0.764039688098907
chr3	88081724	88082097	T2_mid	0.621820334743138
chrX	51592798	51593044	T1_low	0.482337445998477
chr2	149737937	149738207	T1_low	0.452887602693907
chr8	83219459	83219774	T1_low	0.483271365466555
chr10	10116590	10116685	T3_high	0.727727851279813
chr18	51334202	51334486	T3_high	0.758322244609908
chr2	149918151	149918281	T3_high	0.810240087152227
chr5	88857383	88857642	T3_high	1.04069217391119
chr19	42237756	42237866	T3_high	0.791317633833544
chr19	21104677	21104866	T3_high	0.867525476547672
chr18	24776980	24777613	T1_low	0.486670129966331
chr2	59533582	59533854	T1_low	0.508209844333996
chr4	76370391	76370816	T3_high	0.770742454898028
chr14	60756238	60756716	T1_low	0.469865073591904
chr16	38341631	38341880	T3_high	1.24731968010407
chr13	111232547	111232815	T3_high	0.863144523357374
chr1	165642326	165643307	T1_low	0.528444023804271
chr5	16056865	16057120	T3_high	0.752132546145855
chr10	18404087	18404274	T3_high	0.835626068911189
chr6	136547123	136547260	T3_high	0.876108204755058
chr2	9607602	9607866	T3_high	0.797851760073847
chr2	149839629	149840112	T2_mid	0.665683056175127
chr6	104688557	104689109	T1_low	0.499500777663495
chr10	96828594	96829096	T1_low	0.528477769720605
chr13	93453032	93453538	T1_low	0.456780408249609
chr14	55745564	55745791	T2_mid	0.634527297110829
chr8	67973873	67974761	T2_mid	0.626273383049837
chr6	12179534	12179610	T2_mid	0.55013066810801
chr13	100103731	100104166	T3_high	0.701410167290521
chr16	29192966	29193201	T3_high	0.750326779002806
chr15	12451316	12452025	T3_high	0.794076416124099
chr4	87819106	87819554	T1_low	0.437659722040962
chr3	101669841	101670147	T2_mid	0.6521278900197
chr13	42092482	42092834	T3_high	0.695540266959361
chr5	65191583	65191934	T3_high	0.911902490995271
chr1	105663259	105664122	T1_low	0.414753049339765
chr5	9627269	9627581	T3_high	0.926419178454348
chr13	108041587	108041718	T1_low	0.512067141141463
chr14	50969196	50969827	T1_low	0.508204807260211
chr12	73863240	73863280	T2_mid	0.573387974506872
chr11	12191380	12191661	T1_low	0.544251734444659
chr10	30780893	30781253	T3_high	0.837576545081304
chr3	158036364	158036945	T2_mid	0.614441868540727
chr3	156928431	156928788	T3_high	0.732219023560241
chr3	153334296	153334520	T1_low	0.510779218709383
chr10	29543016	29543211	T2_mid	0.665323185948644
chr3	36150888	36151506	T1_low	0.505197564449376
chr10	53750435	53750601	T1_low	0.504933363266879
chr3	88074957	88075073	T2_mid	0.574689507847509
chr12	35046736	35048042	T2_mid	0.570264535626154
chr1	6821021	6821205	T2_mid	0.571076902007459
chr15	22914527	22914778	T3_high	0.945368746426574
chr3	68508643	68509027	T1_low	0.37486588544123
chr8	118879960	118880619	T1_low	0.406528420394657
chr16	76275205	76275513	T3_high	0.818989785182183
chr9	113044672	113045129	T1_low	0.476548981949885
chr8	126668226	126668389	T3_high	0.780516897749416
chr17	17293956	17294667	T2_mid	0.560266284113043
chr7	145335783	145336012	T3_high	0.89352830685794
chr6	90820016	90820188	T1_low	0.493460696107547
chr8	127328990	127329133	T2_mid	0.565359894440302
chr18	55099656	55099860	T3_high	0.917506543692131
chr1	164926659	164927087	T2_mid	0.664272254045015
chr13	19052200	19052288	T3_high	0.928677973619819
chr3	53416041	53416567	T1_low	0.535773501252911
chr8	86280816	86281011	T1_low	0.481576752798684
chr6	107244084	107244190	T3_high	0.788775403906581
chr14	32076832	32077568	T2_mid	0.583542589174783
chr3	108911410	108911897	T2_mid	0.670493645324495
chr14	60429620	60429921	T1_low	0.509411510739565
chr8	11770057	11770518	T1_low	0.495826872471353
chr14	76110592	76111220	T2_mid	0.558883674719448
chr6	104588000	104588414	T2_mid	0.650268531104714
chr3	30595602	30595797	T3_high	0.890602297387063
chr5	3928814	3928944	T2_mid	0.598908695836022
chr2	6226355	6226881	T1_low	0.325337664536877
chr18	54998588	54998747	T3_high	0.690081041242634
chr15	52458780	52459123	T3_high	0.840772465156798
chr16	33833820	33833945	T3_high	0.872522891819476
chr3	84296764	84296991	T2_mid	0.55337491941203
chr2	21918138	21918724	T1_low	0.449398807901582
chr3	79740408	79740651	T3_high	0.715115246465644
chr6	28975107	28975554	T3_high	0.754432540817674
chr19	41895999	41896326	T3_high	0.756962988513573
chr1	17059945	17061006	T2_mid	0.63537867732806
chr7	97424948	97425144	T3_high	0.830715286395483
chr2	112912706	112912917	T3_high	0.728416029813062
chr2	42007720	42007935	T2_mid	0.627034259886104
chr19	22337562	22337771	T3_high	0.990833841917975
chr8	16329677	16330051	T2_mid	0.660149694846409
chr16	63081537	63081702	T3_high	1.1681457788849
chr15	62295267	62295712	T3_high	0.704767558682545
chr18	10617652	10618055	T2_mid	0.618861012469676
chr9	83488138	83488873	T1_low	0.463505566698084
chr1	172309745	172310449	T1_low	0.449869036656286
chr14	21253469	21253610	T3_high	0.794000902623123
chrX	158920255	158920561	T1_low	0.522450006353874
chr12	51985989	51986103	T2_mid	0.646934232354478
chr13	97550961	97551167	T2_mid	0.630482551373178
chr13	99528385	99528841	T2_mid	0.630239479669104
chr10	82047959	82048461	T2_mid	0.611637133546095
chr19	40872956	40873666	T1_low	0.52233613161314
chr14	52060862	52061165	T2_mid	0.654212287713608
chr16	30597108	30597374	T3_high	0.73332885262598
chr2	105660713	105660780	T2_mid	0.681954711140385
chr9	95511586	95512494	T1_low	0.481040071474531
chr1	52146678	52146875	T1_low	0.394243529120842
chr19	53453486	53453813	T2_mid	0.599218762056121
chr13	108158311	108158986	T2_mid	0.607517686730382
chr10	11197408	11197597	T2_mid	0.556713403487618
chr4	98054765	98054883	T2_mid	0.595366824596992
chr15	36283263	36283966	T3_high	0.851316142945725
chr10	46298411	46298521	T2_mid	0.552807853135993
chr15	64311706	64313033	T1_low	0.398291728941315
chr3	108568130	108568235	T2_mid	0.651882927536814
chr14	122902834	122903423	T1_low	0.510859968995218
chr1	170188758	170188867	T2_mid	0.628371521925165
chr2	159755834	159755970	T2_mid	0.601274330042003
chr6	63268399	63268711	T2_mid	0.560869954768454
chr11	30508267	30508621	T3_high	0.869992044228262
chr4	33640765	33641293	T2_mid	0.637622966105676
chr4	28895680	28895803	T2_mid	0.677348625583507
chr7	98108538	98108952	T1_low	0.505604203150166
chr16	87261598	87261815	T1_low	0.487443393504574
chr2	4509841	4510065	T3_high	0.868486012139633
chr8	31135752	31135914	T2_mid	0.5929384718945
chr12	31654418	31655353	T1_low	0.517547658943365
chr1	164275475	164275911	T2_mid	0.641254499562046
chr2	75603511	75603831	T2_mid	0.620664183245153
chr1	78371590	78372142	T3_high	0.708075111583233
chr17	8371834	8372195	T3_high	0.807008904666576
chr4	6349337	6349483	T3_high	0.991107405987637
chr13	34154329	34154615	T2_mid	0.646030891675379
chr2	5725379	5725638	T1_low	0.49893272285228
chr7	98103460	98103690	T2_mid	0.627335142848052
chr11	109995054	109995285	T2_mid	0.611656996123041
chr13	77708471	77708978	T2_mid	0.619626850644954
chr2	131489703	131489852	T1_low	0.427041914949704
chr14	124566530	124566894	T2_mid	0.582696159876264
chr13	111237989	111238145	T1_low	0.4950000161123
chr12	40715233	40715513	T2_mid	0.672593535316511
chr6	83162733	83163136	T2_mid	0.574191346932269
chr10	40257426	40258216	T3_high	0.839255515451802
chr2	90823772	90824195	T1_low	0.546072618804185
chrX	157079633	157080317	T2_mid	0.613429541119826
chr11	42754654	42755780	T1_low	0.42781062475493
chr5	43338859	43339419	T2_mid	0.584451162894617
chrX	10422530	10422749	T2_mid	0.663934906414356
chr13	77134994	77135808	T2_mid	0.667466904740181
chr6	146271136	146271531	T3_high	0.751802802757175
chr16	90023001	90023185	T1_low	0.520985295399713
chr8	113183265	113183433	T3_high	0.730570166705114
chr13	43579854	43580036	T1_low	0.511809482310533
chr16	97701938	97702207	T2_mid	0.587464251344148
chr6	115123327	115123691	T3_high	0.903245801929324
chr8	81947180	81947279	T2_mid	0.665988431770621
chr15	99644854	99645044	T2_mid	0.576866280394506
chr16	66650676	66651228	T1_low	0.40613272520462
chr16	23989906	23990163	T2_mid	0.59396900945018
chr6	140481762	140481973	T3_high	0.831388750777723
chr14	32073177	32073397	T3_high	0.794187276111571
chr1	187649952	187650233	T1_low	0.486934253373487
chr12	8916331	8916648	T3_high	1.11948463252801
chr9	90170120	90170307	T2_mid	0.564250381241911
chr2	179868174	179868303	T1_low	0.493973232232968
chr12	44554860	44555123	T1_low	0.506609876258047
chr10	13739560	13740266	T1_low	0.51621030386449
chr3	100074375	100074657	T3_high	1.03934999714798
chr5	39143778	39143905	T3_high	0.755938554311462
chr17	64897125	64897232	T3_high	0.730132425697913
chr15	36061494	36061653	T2_mid	0.629171772022466
chr5	43360428	43360732	T1_low	0.507779609287508
chr2	150609298	150609474	T1_low	0.530481145752643
chr4	98109140	98109319	T1_low	0.548958530422174
chr15	48282929	48283042	T3_high	1.17447792716618
chr2	93791761	93792045	T2_mid	0.572429596605144
chr9	29574657	29574940	T1_low	0.479195578286531
chr12	29698267	29698369	T3_high	0.714856091750427
chrX	157308275	157308468	T3_high	1.03395640498099
chr12	75304238	75304464	T3_high	0.877831002223379
chr13	76879173	76879260	T3_high	0.936353475059615
chrX	166173886	166174099	T3_high	0.800021027500102
chr1	70692599	70692813	T1_low	0.549334047762602
chr6	108709510	108710262	T1_low	0.377701304885002
chr10	5527719	5527847	T3_high	0.85013833875536
chr17	84877339	84877811	T3_high	0.840491060042157
chr14	48257593	48258057	T1_low	0.476094195370936
chr13	35463609	35463682	T1_low	0.495179454717389
chr6	34029283	34029670	T1_low	0.473795574558397
chr1	175880472	175880865	T3_high	0.962800427235039
chr3	25010835	25011103	T2_mid	0.585063945646895
chr1	156644902	156645412	T1_low	0.469366355102347
chr10	42118507	42119191	T1_low	0.438548132945484
chr3	70097876	70098086	T2_mid	0.578577554573189
chr14	16092744	16093642	T1_low	0.405341676080099
chr14	21750963	21751563	T1_low	0.525796255184919
chr16	25064638	25064818	T3_high	0.911602885735403
chr18	59725152	59725356	T1_low	0.516204452758041
chr6	94183389	94183827	T1_low	0.379573988858448
chr2	52013468	52013712	T1_low	0.534282340159582
chr8	54529404	54529658	T2_mid	0.56791389915724
chr16	57606520	57607149	T1_low	0.515464872390375
chr16	45684943	45685070	T3_high	0.835051151211128
chr11	22512228	22512942	T2_mid	0.596317255534789
chrX	157306984	157307616	T1_low	0.538599392888644
chr13	109279275	109279475	T2_mid	0.606136907770087
chr6	58965052	58965777	T3_high	0.868912968590353
chr8	46639037	46639504	T2_mid	0.555977116653827
chr8	31031723	31032291	T1_low	0.517655785667731
chr1	158748256	158748954	T3_high	0.750552542780336
chr19	29334389	29334701	T1_low	0.467712129770251
chr17	53577890	53578005	T3_high	1.04520885942335
chr10	93742154	93742340	T2_mid	0.575347514030969
chr18	63899791	63900281	T1_low	0.538094421418109
chr13	43919351	43919485	T2_mid	0.612666471949764
chr14	103440280	103440560	T3_high	0.816793597754786
chr8	39314092	39314219	T3_high	0.733610282569758
chr8	93563643	93563855	T3_high	0.758385554038777
chr1	186682717	186682860	T1_low	0.518217652406295
chr2	138600201	138600458	T2_mid	0.601690153750685
chr17	79948767	79949140	T1_low	0.478648614268388
chr15	8443714	8443888	T1_low	0.540275708227851
chr13	92844647	92845152	T3_high	0.684870481009581
chr17	9235144	9235629	T1_low	0.480747838891392
chr12	25865095	25865397	T1_low	0.494951231811214
chr17	14648295	14648586	T2_mid	0.552838153268428
chr6	52505881	52506138	T3_high	0.842367574200666
chr14	103469577	103470027	T2_mid	0.681460008505735
chr8	81707519	81707816	T2_mid	0.58865788374666
chrX	10449405	10449934	T1_low	0.485441492544286
chr2	54558335	54559110	T3_high	0.71383014656902
chr6	28279830	28280213	T3_high	1.19117360094144
chr1	162458790	162458968	T3_high	0.917467050575712
chr1	194540974	194541239	T1_low	0.506320876092225
chr6	12262697	12262984	T2_mid	0.556671762763995
chr15	68239195	68239709	T3_high	0.696338530091672
chr2	109502306	109502600	T1_low	0.417384780668654
chr18	25575947	25576267	T1_low	0.512864598550554
chr13	113615092	113615246	T1_low	0.447350392593973
chr10	115012974	115013783	T3_high	0.936871252977446
chr1	28214211	28214557	T1_low	0.50858908690846
chr13	91179672	91180052	T3_high	0.974338409292013
chr11	51617828	51617965	T2_mid	0.585427534492522
chr3	55540512	55540654	T3_high	0.914026154009769
chr10	96697846	96698096	T1_low	0.534199964401439
chr1	37572599	37573214	T1_low	0.519105670889257
chr6	31899161	31899341	T1_low	0.525732612011434
chr15	34879429	34879870	T3_high	0.880467113083432
chr18	47304988	47305096	T3_high	1.05461627880164
chr10	111798861	111799098	T1_low	0.415662447639546
chr12	39048448	39049202	T3_high	0.717452696663624
chr4	25213582	25213679	T1_low	0.512466066128118
chr12	8884454	8884993	T1_low	0.387189731241077
chr17	11881206	11881666	T1_low	0.456294645919288
chr14	39043817	39044076	T3_high	0.822651843086473
chr10	111904059	111904243	T1_low	0.360514782028842
chr17	86160745	86161051	T1_low	0.538205935149609
chr2	17538550	17538983	T3_high	0.687924297714443
chr10	42005331	42005508	T3_high	0.827635151841008
chr14	70099844	70100338	T3_high	0.764461632632652
chr5	14750988	14751247	T2_mid	0.611817945639776
chr8	40187212	40187449	T3_high	0.715435965416355
chr19	21037525	21037671	T3_high	0.693213561190737
chr1	193700337	193700455	T2_mid	0.606675711269323
chr19	33224275	33224507	T2_mid	0.606251397956915
chr16	42350220	42350383	T3_high	1.12272327612407
chr2	124401872	124402318	T3_high	1.09587046821981
chr5	32102626	32102742	T3_high	0.73649968502365
chr4	53263790	53264214	T1_low	0.43815729579947
chr16	88408202	88408430	T2_mid	0.597396312637516
chr10	29146317	29147311	T1_low	0.466139812799354
chr13	92751083	92751469	T2_mid	0.597657368510556
chr10	40256817	40256924	T3_high	1.21724877367815
chr10	90599598	90600436	T1_low	0.449378834738369
chr1	43098261	43099046	T2_mid	0.646996947288258
chr16	42319833	42320178	T2_mid	0.553910792777487
chr3	144531181	144531617	T2_mid	0.5768681928083
chrX	74282542	74283144	T2_mid	0.576365185104538
chr13	70738884	70739106	T2_mid	0.661867116614886
chr16	34441231	34441385	T1_low	0.504276932714247
chr8	31096936	31097408	T2_mid	0.570384911958425
chr16	82660995	82661133	T2_mid	0.582179288674388
chr16	43574077	43574298	T1_low	0.445843443335716
chr4	68022880	68023300	T2_mid	0.636397846506636
chr10	118869721	118870051	T1_low	0.527857980308204
chr18	30680265	30680389	T2_mid	0.666720417003386
chr1	83505408	83505758	T3_high	0.990552543279329
chr9	7855506	7855660	T2_mid	0.609252841516399
chr2	131174780	131174920	T3_high	0.737359221892235
chr1	6819917	6820257	T1_low	0.531426301016604
chr3	81932556	81933103	T1_low	0.547772702140004
chr15	62903045	62903416	T1_low	0.540844567713653
chr4	33261266	33261677	T2_mid	0.589960966577883
chr13	73158179	73158280	T2_mid	0.568474412728134
chr5	41707747	41708642	T1_low	0.495395024035952
chr1	124148412	124148998	T2_mid	0.66719903826291
chr15	65630438	65630778	T1_low	0.485304779245225
chr2	65007442	65007689	T3_high	0.80315643901986
chr18	55040538	55041077	T1_low	0.352652977725012
chr5	76855052	76855210	T1_low	0.486428631638433
chr13	67399351	67399926	T3_high	0.779044338864033
chr19	27211174	27211331	T1_low	0.45391957719474
chr5	76115425	76115804	T2_mid	0.647496616220934
chr9	35267479	35268437	T1_low	0.545609896216043
chr17	84876197	84876427	T3_high	1.06033062411342
chr4	14201869	14201970	T2_mid	0.628296098652548
chr1	42950926	42951432	T2_mid	0.626617140254618
chr3	35764800	35764907	T3_high	0.75644970909874
chr3	47863649	47863919	T3_high	0.686311945785718
chr3	138819919	138820657	T1_low	0.481061245012628
chr1	162109424	162109783	T1_low	0.530738456729141
chr18	69196809	69197040	T2_mid	0.570504180163991
chr14	77250704	77250948	T3_high	0.694473387771965
chr4	9081662	9082248	T2_mid	0.58442413702104
chr4	32431173	32431284	T2_mid	0.570561647861373
chr10	74023177	74023379	T2_mid	0.59020652300781
chr1	185000141	185000559	T1_low	0.51186686974836
chr1	188082970	188083185	T1_low	0.408246636337208
chr16	33056149	33056784	T3_high	0.703281039275896
chr16	77151081	77151192	T2_mid	0.595134762836065
chr1	160286463	160287346	T2_mid	0.646334986848704
chr15	8582631	8583058	T3_high	0.774609249572961
chr8	11183481	11184029	T1_low	0.428971856972622
chr2	138004361	138004373	T2_mid	0.557580031917244
chrX	61116057	61116432	T3_high	0.985496872841249
chr5	60599877	60600418	T1_low	0.504889904418898
chr13	38204769	38205390	T3_high	0.705465926366565
chr5	48599609	48599953	T2_mid	0.562380729390722
chr11	62977230	62977542	T2_mid	0.592650132031726
chr16	45659629	45659949	T2_mid	0.574490238033955
chr16	90580452	90580784	T3_high	1.02629923986778
chr15	64118323	64118825	T2_mid	0.597798703189883
chr16	24483307	24484122	T3_high	0.73665435684885
chr14	121825615	121826161	T3_high	0.689421864832446
chr2	42284298	42284517	T2_mid	0.662076422228068
chr10	21883677	21883980	T1_low	0.5094251780423
chr17	66454698	66454840	T2_mid	0.6145881058139
chr3	123516902	123517111	T1_low	0.503303842118319
chr18	55015420	55015866	T3_high	0.907732665881727
chr15	44753449	44753799	T3_high	0.71879597027911
chr2	146278559	146278657	T2_mid	0.572701367464387
chr15	52179503	52179665	T1_low	0.519371839226515
chr3	137991185	137991470	T1_low	0.521065874232196
chr12	102661661	102661762	T2_mid	0.571100884552532
chr1	189679525	189679946	T1_low	0.406292650628196
chr18	12524880	12525314	T2_mid	0.55122021572494
chr1	6734849	6735002	T2_mid	0.557604566571155
chr10	115269963	115270139	T3_high	0.725466335978445
chr4	11321934	11322418	T2_mid	0.569190643904501
chr14	75758401	75758771	T1_low	0.549167879411633
chr13	23533723	23533880	T1_low	0.477814074941898
chr7	109001806	109002237	T3_high	0.976644447937149
chr19	8840385	8840606	T1_low	0.538572263421061
chr18	49549906	49550432	T2_mid	0.678670988953042
chr15	36960237	36960708	T2_mid	0.620742058023299
chr2	19701493	19701676	T3_high	1.20580634498277
chr14	19859347	19859598	T3_high	0.784071807992366
chr12	73873919	73874556	T3_high	0.983878552678968
chr14	50944343	50944882	T2_mid	0.620483756656652
chr12	91088383	91088683	T3_high	0.695427445919977
chr14	103078546	103078944	T1_low	0.518305071346824
chr10	83354403	83354592	T2_mid	0.5549141042376
chr1	156997992	156998250	T1_low	0.443661420803452
chr13	108153105	108153337	T2_mid	0.59628699371903
chr3	63975986	63976727	T1_low	0.418938254003142
chr1	170694826	170695320	T1_low	0.549913543385852
chr1	152904656	152904810	T1_low	0.500349461274704
chr6	62340390	62340594	T2_mid	0.570153668947886
chr10	40753035	40753394	T1_low	0.460218744741838
chr1	175580482	175580589	T2_mid	0.606541375692277
chr19	14258654	14258956	T1_low	0.506921775232529
chr3	7503166	7503688	T1_low	0.487497632571076
chr13	57089484	57089925	T1_low	0.514049974889791
chr10	37692020	37692268	T1_low	0.419749137775787
chr6	34895678	34895842	T3_high	1.0560280132638
chr2	108032355	108032960	T2_mid	0.568520888424966
chr17	15395966	15396544	T1_low	0.506705244892863
chr4	5754676	5754852	T3_high	0.790610430437355
chr2	76342262	76342481	T1_low	0.404269489609552
chr11	24144664	24144872	T1_low	0.460292095659256
chr1	39280461	39280752	T1_low	0.415504531732137
chr4	47620816	47621038	T2_mid	0.678249678909744
chr15	36938367	36939148	T2_mid	0.649190799361735
chr10	10107342	10107572	T3_high	1.24680700707873
chr10	65771991	65772207	T3_high	0.705021533622175
chr1	80852870	80853151	T1_low	0.44715032269101
chr14	29014859	29014994	T2_mid	0.63326024271427
chr12	11398812	11399439	T1_low	0.424098151663692
chr4	94602800	94603552	T2_mid	0.603830276551931
chr8	31033405	31033517	T1_low	0.546809076879264
chr13	83732831	83732922	T3_high	0.708992546525308
chr19	44400224	44401330	T1_low	0.460589293490951
chr7	141908663	141908785	T3_high	0.733354816663297
chr5	49095062	49095358	T2_mid	0.552297368244704
chr3	96102709	96102825	T3_high	1.07198118624442
chr15	22020006	22020300	T3_high	0.810920443852893
chr12	14082836	14083045	T1_low	0.510379529732867
chr10	63880395	63880825	T2_mid	0.561623867641657
chr16	42467054	42467151	T3_high	0.92309651258933
chr19	36083573	36083926	T3_high	0.755514246360006
chr14	57664651	57665457	T2_mid	0.648939649984603
chr17	49977485	49977641	T2_mid	0.616930205965715
chr14	33952327	33952812	T1_low	0.479630827673257
chr17	70875793	70875950	T2_mid	0.587169606919934
chr10	30810288	30810533	T1_low	0.528065062986092
chr1	146027694	146028011	T3_high	0.700860992633711
chr8	128219634	128219874	T2_mid	0.671936616901907
chr3	85049948	85050549	T1_low	0.448510715574908
chr16	77444023	77444469	T1_low	0.439390801027128
chr6	73248179	73248902	T3_high	0.774136904395086
chr6	140799471	140799950	T1_low	0.549486295593789
chr2	132815778	132816338	T3_high	0.696522447997427
chr10	18234704	18235605	T1_low	0.531354370790192
chr4	40279079	40279698	T2_mid	0.676648677529605
chr1	51265141	51265356	T3_high	0.80644118343804
chr8	128617986	128618096	T2_mid	0.584108777117066
chr1	51267214	51267388	T3_high	0.75320588324114
