gene_symbol	gene_class	log2FoldChange	padj	baseMean	max_delta_abc	sum_delta_abc	max_delta_unnorm	n_enhancers	n_gained	n_lost	sum_abc_wt	sum_abc_ko	sum_delta_unnorm
Ntf3	DEG_down	-0.533825880362052	0.0145598404641612	1376.73503238737	-0.028889	-0.017824	-0.285282	10	3	2	0.647105	0.629281	-0.547582
Tspan9	DEG_down	-0.608562195919056	0.00281287052351919	3495.5976985284	-0.022773	-0.007585	-0.174359	16	2	1	0.518708	0.511123	-0.08151
Tead4	DEG_down	-1.01323631410076	6.33442170807226e-4	186.72832178518	-0.011973	0.009392	-0.108003	7	2	1	0.464	0.473392	0.121612
Magohb	DEG_up	0.393803226469737	0.0385191471290513	115.255174889805	0.037292	-0.050297	0.068665	10	1	5	0.529574	0.479277	-0.14549
Lmo3	DEG_down	-0.652598276615435	8.04979136386456e-5	115.429444731199	0.022729	0.019755	0.006052	5	2	1	0.075399	0.095154	0.00947
Pde3a	DEG_down	-0.620311352304133	5.61450038392516e-6	4125.89548002473	0.060242	-0.015049	0.113977	7	1	3	0.647614	0.632565	-0.28497
Slco1a4	DEG_down	-0.926756547881244	9.80620550552082e-7	130.716214258285	-0.094402	-0.162342	-0.030316	14	2	6	0.472216	0.309874	-0.082754
Sox5	DEG_down	-0.542821235357148	0.00369706944519785	10508.6523920023	0.053124	-0.016588	0.061801	11	4	6	0.297654	0.281066	0.010554
Rassf8	DEG_down	-1.0764190983145	6.50942992239642e-16	1331.36011281013	-0.024576	-0.054802	-0.119535	9	1	4	0.263248	0.208446	-0.404087
Caprin2	DEG_down	-0.356322289856213	0.0171069321247236	222.581993822868	0.01692	0.013217	0.062058	9	3	2	0.325399	0.338616	0.137361
Syt5	DEG_up	0.704563149308544	1.19404168887804e-5	162.058757114722	-0.019628	-0.068828	-0.181386	17	2	6	0.614298	0.54547	-0.920296
Il11	DEG_down	-1.18617617240452	0.0122065748503973	14.216920559699	-0.117943	-0.056793	-1.611335	9	4	2	0.733245	0.676452	-2.496647
Tmem190	DEG_down	-1.29948978651863	0.00653583749806501	14.5483978119736	-0.117897	-0.056771	-1.611335	9	4	2	0.73338	0.676609	-2.497795
Tmem238	DEG_down	-0.911624670448477	8.0468575768592e-4	38.5171464629455	-0.093725	-0.044993	-1.56582	10	2	2	0.674471	0.629478	-2.807594
Zfp583	DEG_up	0.514691627935011	0.00527989637546828	86.9797966861218	-0.021166	-0.039043	-0.065741	7	1	3	0.424953	0.38591	-0.003858
Peg3	DEG_up	0.305473120983999	5.61500393595956e-4	6038.21567129082	-0.040853	0.002496	-0.260447	4	2	1	0.47965	0.482146	-0.106445
Ehd2	DEG_up	0.610123034716227	0.0241901759337211	46.9671450734542	0.020821	0.045222	0.168363	9	2	1	0.362281	0.407503	0.349889
Bbc3	DEG_up	0.898153842328013	7.56610888761163e-5	108.000776425749	0.01966	0.02417	0.265481	14	3	2	0.676419	0.700589	0.558196
Hif3a	DEG_down	-1.37836266358181	7.5560085903614e-11	106.734950255337	-0.016769	0.010092	-0.354324	13	4	1	0.627991	0.638083	-0.819655
Psg16	DEG_down	-0.607300084789233	0.0174910846362849	519.996671284082	-0.012559	-0.011445	-0.230129	13	0	1	0.431062	0.419617	-0.86175
Pou2f2	DEG_up	0.610385502842588	0.00776182615230252	798.17527483576	0.017614	0.023889	0.189827	13	2	2	0.393458	0.417347	0.645069
Nfkbid	DEG_down	-1.04636301480964	7.61019045360517e-4	31.2350859651696	-0.009131	0.00873	-0.101259	6	0	0	0.277505	0.286235	-0.101379
Fxyd7	DEG_up	0.630584938168433	0.00601717919645063	196.121009712943	0.010474	0.031773	0.096864	13	2	0	0.409546	0.441319	0.680647
Plekhf1	DEG_down	-0.752903834813097	0.0420919404448751	82.5523244310037	-0.081475	0.004674	-1.393035	7	4	1	0.469059	0.473733	-2.164936
Atf5	DEG_up	0.543680599768739	0.0409609644537227	119.289748903273	0.023214	0.018215	0.304228	7	1	0	0.240353	0.258568	0.305877
Ano5	DEG_down	-1.44851877265495	1.12116401045815e-27	244.052589173546	-0.012534	-0.022072	-0.029866	3	0	1	0.123677	0.101605	-0.059326
Slc17a6	DEG_down	-1.11495997001541	1.84589043914782e-14	1274.11917277323	0.068537	0.049032	0.155406	11	2	3	0.528379	0.577411	0.188155
Lrrc28	DEG_down	-0.360408251677859	0.031602284117914	1012.55527681278	-0.015831	-0.020514	-0.095386	8	2	2	0.242261	0.221747	-0.121224
B130024G19Rik	DEG_down	-0.933337187697116	1.04428523499565e-7	159.85768421123	0.037304	0.020011	0.114421	10	4	4	0.558029	0.57804	0.143076
St8sia2	DEG_up	0.661707333473804	0.0140888082374122	954.729267558342	0.050398	0.101416	0.122574	11	5	2	0.295795	0.397211	0.440394
Mfge8	DEG_up	0.329485557773183	0.0420086241478206	433.597850779718	-0.016802	-0.008402	-0.035922	7	1	2	0.338024	0.329622	-0.034582
Homer2	DEG_down	-0.478530770478428	0.00135360828014946	2223.45438244948	0.017866	0.04094	0.100853	10	3	1	0.48251	0.52345	0.33032
Stard5	DEG_down	-0.398464927405422	0.049508454732203	921.930837540255	0.019849	0.00229	0.281407	11	2	1	0.428747	0.431037	0.603509
Fah	DEG_down	-0.384384053148831	0.041318714381299	282.489218084322	-0.022717	-0.036412	-0.070676	7	1	3	0.247519	0.211107	-0.201338
Me3	DEG_down	-0.934528845741923	9.87337691863387e-8	2341.07721937171	0.024809	0.017729	0.111115	3	1	1	0.074682	0.092411	0.045378
Ccdc81	DEG_down	-0.780176487179849	0.0012856867540388	119.058020505766	0.077131	0.023631	0.176105	15	3	5	0.613457	0.637088	0.037926
Sytl2	DEG_down	-0.526976355858756	0.00367080617572247	814.569091923757	-0.025045	0.013191	-0.092056	14	5	5	0.526885	0.540076	-0.330426
Dlg2	DEG_down	-0.334084766387399	0.0480968129174446	28570.133273462	0.013595	0.018717	0.118304	4	1	0	0.151797	0.170514	0.056573
Aamdc	DEG_down	-0.407111421901862	0.0410891735205382	114.632711274149	0.019206	-0.022457	0.120679	7	1	3	0.328947	0.30649	-0.405345
Arrb1	DEG_down	-0.316754258687585	0.0102223597245299	2656.51459501348	-0.009988	-0.020708	-0.07002	10	0	0	0.318099	0.297391	-0.011588
Chrdl2	DEG_down	-1.28664780881389	1.11140832375849e-4	70.0968314649398	-0.026321	-0.009723	-0.089686	8	1	2	0.451059	0.441336	0.059947
Ucp2	DEG_up	1.19965193109344	7.71940061103192e-6	208.713178304883	0.066238	0.077264	0.296798	9	4	1	0.363401	0.440665	0.475783
Stk33	DEG_down	-0.917215421116699	0.0144450511178015	24.683878268728	-0.024256	-0.02367	-0.070504	15	4	5	0.409752	0.386082	-0.232661
Swap70	DEG_down	-0.396401848401066	0.00710160575765489	194.504307462873	-0.018968	0.015645	-0.05534	8	2	2	0.245369	0.261014	-0.014879
Mical2	DEG_down	-0.96153032338338	0.00303954387503711	1739.14936999146	-0.025814	-0.043685	-0.4734	10	1	3	0.448352	0.404667	-1.853709
Parva	DEG_down	-1.21067086665061	2.7427936487346e-35	732.194932971489	-0.023083	-0.016298	-0.130723	5	1	2	0.169431	0.153133	-0.222578
Gpr139	DEG_up	0.69903947810721	0.0407164081781106	29.2055185602904	-0.027947	-0.015258	-0.004476	10	4	4	0.299798	0.28454	0.068301
Eef2k	DEG_down	-0.732243554076285	8.24725188921153e-13	720.806755726439	-0.046387	-0.006497	-0.634311	7	2	1	0.609804	0.603307	-0.435232
Arhgap17	DEG_down	-0.452101686845315	0.0489643024830346	1866.57766537305	-0.047486	-0.106499	-0.400723	8	1	3	0.463439	0.35694	-1.311843
Zkscan2	DEG_down	-0.470418791826785	0.00244366932460535	349.967143966806	-0.0152	-0.047392	-0.075457	7	0	4	0.188548	0.141156	-0.2862
Tufm	DEG_up	0.312629021153116	0.0336271706369773	304.136825344342	-0.027545	-0.011275	-0.325035	5	1	2	0.31155	0.300275	0.105847
Doc2a	DEG_up	1.36604565163345	7.92691229982144e-7	45.7153482723489	-0.014169	0.03202	-0.02999	15	1	2	0.507877	0.539897	1.137497
Septin1	DEG_up	0.737107526319769	0.0370123411628855	78.6691023974212	0.016556	0.00726	0.289233	7	2	1	0.338014	0.345274	0.308353
Orai3	DEG_up	0.542895204600699	0.0457998414001246	111.167013497648	0.011985	0.015933	0.249097	13	2	0	0.548062	0.563995	0.711019
Dhx32	DEG_down	-0.315625837960475	0.034349310173143	631.522252665859	-0.022411	-0.041901	-0.112545	9	1	4	0.558766	0.516865	-0.257367
Ptpre	DEG_down	-0.635417526474682	0.00939750400778835	1528.05641298415	-0.032329	-0.064698	-0.195188	5	0	3	0.455264	0.390566	-0.381428
Tcerg1l	DEG_down	-0.766077504883483	0.0016261911625578	2091.69866052096	0.060583	0.002678	0.201027	8	1	2	0.472323	0.475001	0.063915
Zfp941	DEG_down	-0.671261970360365	0.022085434928322	51.6563018418936	0.021111	0.013912	-0.001429	8	3	1	0.31499	0.32890200000000003	-0.231109
Lsp1	DEG_up	0.527628153108169	0.0150622430992585	85.6043267760297	-0.044511	-0.03354	-0.416281	11	0	2	0.587	0.55346	-0.540631
H19	DEG_up	0.765966339809459	0.0153908096722361	74.7269799467543	-0.022729	-5.9e-4	-0.272693	8	1	2	0.581774	0.581184	-0.654686
Cdkn1c	DEG_up	1.76763603697494	6.58902846771691e-7	123.253891506351	-0.043228	0.061082	-0.103079	10	4	1	0.51751	0.578592	0.833682
Osbpl5	DEG_up	0.743628714589705	1.96235322931676e-6	195.064270616321	0.075547	0.023916	0.776598	11	2	4	0.473402	0.497318	1.377627
Gas6	DEG_down	-0.407390721857497	0.0438923579448981	692.012411351517	-0.061217	-0.071937	-0.399224	10	2	3	0.443728	0.371791	-0.47243
Zmat4	DEG_down	-0.776385471505706	9.99983836033359e-4	2953.48086411204	-0.030585	-0.034972	-0.018808	13	2	5	0.353144	0.318172	0.032659
Fut10	DEG_down	-0.778629147482351	6.07815761928023e-8	243.870060484413	-0.028649	0.003499	-0.165257	9	3	3	0.625505	0.629004	-0.643878
Dusp4	DEG_down	-0.658530213725817	1.78478821953388e-6	302.015867376155	0.057156	0.029376	0.292134	6	1	2	0.333869	0.363245	0.058663
Prag1	DEG_down	-0.647465771008337	0.0124494040864056	796.78274325499	0.031778	-0.029536	0.048322	6	1	2	0.530819	0.501283	-1.105459
Lonrf1	DEG_down	-0.379358092792282	0.00814549906448445	342.471006549186	0.022888	0.003585	0.100867	9	1	2	0.333611	0.337196	-0.277947
Dlc1	DEG_down	-0.459272380795927	0.00192067748176277	1059.26215635486	0.042219	0.103853	0.039289	15	9	5	0.432182	0.536035	0.107586
Slc7a2	DEG_down	-0.31385822321634	0.0292963946199402	292.860041260358	-0.047427	-0.00124	-0.113285	12	4	3	0.504617	0.503377	-0.089742
Acsl1	DEG_down	-0.304512971604399	1.50314063634553e-4	779.396112937596	0.018942	0.023564	0.113166	8	2	1	0.275212	0.298776	0.175554
Primpol	DEG_down	-0.484446749510873	0.0389028932628162	81.343540883741	0.024625	0.011702	0.108141	11	2	2	0.362862	0.374564	0.051849
Dctd	DEG_down	-0.737684552682436	0.022901541128985	42.5909110855557	-0.025538	0.005607	-0.028945	11	3	2	0.722767	0.728374	0.329439
Tenm3	DEG_down	-0.856145403475599	3.00491984553724e-8	2030.08414877197	0.057091	0.07235	0.046349	13	8	5	0.265911	0.338261	0.150343
Asb5	DEG_up	0.568684673363676	0.0017708660238598	98.105949117394	-0.027743	0.01734	-0.099084	7	4	3	0.181584	0.198924	0.080675
Galnt7	DEG_down	-0.655543637480752	0.00242774127367187	2094.35754974438	0.096971	0.054606	0.272879	14	3	5	0.683722	0.738328	-1.376698
Galntl6	DEG_down	-1.55716346439833	1.53824749577434e-28	3134.37593844366	-0.03207	-0.053285	-0.057002	9	2	5	0.286866	0.233581	-0.131697
BC030500	DEG_down	-1.14417451829713	5.8254785165816e-5	36.8403201980416	-0.032067	-0.067805	-0.056996	8	1	5	0.240465	0.17266	-0.138037
Marchf1	DEG_down	-0.431595611366664	0.0122755759833873	4429.51118918472	-0.045627	-0.071731	-0.018632	10	3	6	0.24245	0.170719	0.003594
Psd3	DEG_down	-0.32186298426436	0.0361501998454844	11554.1112951319	0.12402	0.323544	0.115125	7	7	0	0	0.323544	0.300339
Gmip	DEG_up	0.690351162991856	0.00565366858393857	73.562762604173	-0.024716	-0.012236	-0.061203	8	2	1	0.481132	0.468896	0.382771
Lpar2	DEG_up	1.64221669563683	5.53056880930924e-5	22.8860498274565	-0.013665	-0.044383	-0.072061	9	1	5	0.485767	0.441384	-0.13657
Ifi30	DEG_up	0.707881151184014	0.0226503816665617	48.6911580106637	0.01427	0.004582	0.227765	9	1	0	0.659857	0.664439	-0.359908
Kcnn1	DEG_up	0.511099614383959	0.041444941850676	57.981369136393504	-0.016646	-0.028688	-0.196377	14	0	2	0.584484	0.555796	-0.268175
Zfp709	DEG_up	0.491024512568208	0.01168027650246	130.317871733718	-0.022558	-0.034734	-0.058602	4	0	1	0.292228	0.257494	0.01272
Mcm5	DEG_up	0.633441038947421	0.0333920754128607	318.328876106848	0.036372	0.01322	0.183608	9	2	4	0.400826	0.414046	0.094119
Rasd2	DEG_down	-1.58880247073364	9.27370271953199e-15	125.15126002226	-0.043185	-0.068079	-0.27219	9	0	3	0.680372	0.612293	-0.722449
Iqcm	DEG_down	-1.19364136933193	5.74046424751614e-7	69.1155318385046	0.061523	0.253279	0.018911	8	8	0	0	0.253279	0.077854
Rbmxl1	DEG_up	0.450537334273653	0.0231066799748322	276.724037225251	-0.014405	-0.014352	-0.038656	2	0	1	0.061196	0.046844	-0.017327
Clgn	DEG_up	0.507418006466132	2.93521920896586e-5	267.495747297179	-0.018798	9.06e-4	-0.055041	9	2	2	0.305091	0.305997	0.078378
Samd1	DEG_up	0.711191611871903	0.00509371775752141	421.192473867324	-0.01146	-0.011351	-0.148911	9	0	1	0.417142	0.405791	-0.247241
Nfix	DEG_up	0.734289938588615	0.00309340228923596	16193.5370389855	0.012263	0.028469	0.360441	16	1	0	0.491775	0.520244	2.142222
Phkb	DEG_down	-0.398401845039319	5.27583158976973e-4	1468.12537074671	0.014989	0.018309	0.085792	8	2	1	0.324364	0.342673	-8.06e-4
Cyld	DEG_down	-0.537698373459685	0.00904703488984527	1021.31482417179	0.004086	0.004743	0.065756	2	0	0	0.102627	0.10737	0.081773
Lpcat2	DEG_down	-0.775202447409764	1.79046318085122e-5	122.721135593331	0.016435	0.042015	0.029179	4	2	0	0.361404	0.403419	0.208627
Ogfod1	DEG_down	-0.359681835895817	0.0162415416422087	340.10205910016	-0.016929	-0.011331	-0.115996	10	2	3	0.33073	0.319399	0.010913
Adgrg1	DEG_up	0.602676714730935	0.039194955638277	1484.97959631583	0.055873	0.015266	0.290573	13	1	3	0.560732	0.575998	0.657771
Setd6	DEG_up	0.431563980562188	0.0178724479869431	128.588957613021	0.029782	0.014171	0.183557	6	1	1	0.487117	0.501288	0.602261
Cdh8	DEG_down	-0.818525492368636	1.23498921956691e-5	8854.07259186734	0.029328	-0.016966	-0.139419	5	1	2	0.383606	0.36664	-0.66483
A330008L17Rik	DEG_down	-1.96472414016397	1.69473055224709e-12	77.8172294937326	0.029297	-0.016913	-0.139419	5	1	2	0.383952	0.367039	-0.66541
Exoc3l	DEG_down	-0.832416012076811	0.00265457676563279	79.9751707362911	-0.081715	-0.039663	-2.08282	10	2	2	0.774817	0.735154	-4.370476
Slc9a5	DEG_down	-0.462231779083042	0.00699665414331386	432.934472924618	-0.03294	-0.042348	-0.48056	12	3	3	0.673988	0.63164	-2.249521
Hydin	DEG_down	-0.874733475286678	7.66713032820897e-5	85.3399796105561	-0.046298	-0.054911	-0.193588	7	1	3	0.511808	0.456897	-0.287647
Mlkl	DEG_down	-1.08142145874984	0.0051024232196677	22.9131234134789	-0.055021	-0.043918	-0.254147	9	3	3	0.347186	0.303268	-0.360922
Fa2h	DEG_down	-0.447441619093015	6.58902846771691e-7	791.206658441849	-0.050166	-0.036701	-0.352354	6	2	2	0.154592	0.117891	-0.423223
Tmem170	DEG_down	-0.482125068955287	0.0265198069189651	74.0597333566505	0.013594	0.012753	0.081941	10	1	1	0.299553	0.312306	-0.22125
Wwox	DEG_down	-0.792722173448893	3.67003844376165e-4	3216.26963751646	-0.027967	-0.042583	-0.277032	8	1	4	0.246224	0.203641	-0.670215
Maf	DEG_down	-0.748723575101324	0.00956376848111328	364.129436790976	-0.029531	-0.052123	-0.271088	11	2	3	0.413739	0.361616	-1.157137
Cdyl2	DEG_down	-0.536902723932122	0.00575514370111171	1372.81891780827	0.044311	0.024866	0.061552	8	3	3	0.407488	0.432354	-0.360554
Hsdl1	DEG_up	0.366223587654514	0.00791714951697844	416.704094046212	0.014964	0.005313	0.084056	5	1	0	0.250488	0.255801	0.044243
Pgbd5	DEG_down	-0.417570620733274	0.014547188448275	2138.59090751417	-0.042331	0.004354	-0.620668	13	4	2	0.547689	0.552043	-0.932416
Sipa1l2	DEG_down	-0.316764852769764	0.00219108288320058	2900.99018549214	0.009895	-0.015633	0.079089	7	0	0	0.268826	0.253193	-0.011712
Nrp1	DEG_up	0.486349820027588	5.5893368126428e-4	524.67089082243206	0.052988	0.049777	0.184718	8	1	1	0.432091	0.481868	0.315949
Gucy1a2	DEG_up	0.340619150595313	0.0135489158959058	1896.28597504934	-0.027328	-0.030531	-0.030653	3	0	1	0.172677	0.142146	0.046796
Pgr	DEG_up	0.32230437808178	0.0410890893377632	756.992024723826	0.092356	0.044638	0.596962	7	3	3	0.665339	0.709977	0.716076
Cntn5	DEG_down	-1.00985172014745	6.03215805602591e-9	1126.54817175701	0.074912	0.234544	0.044067	15	9	3	0.258652	0.493196	0.17609
Fat3	DEG_up	0.575127564295433	0.0302780011683148	6334.79279773596	0.067527	0.036098	0.951272	4	1	2	0.344818	0.380916	1.094372
Olfm2	DEG_up	0.377985852794048	0.0275579371694835	192.449998385816	-0.020745	-0.061707	-0.038435	11	1	2	0.439822	0.378115	7.36e-4
Kank2	DEG_down	-0.613117584117799	0.0334096097337825	198.539889738828	0.039181	0.012925	0.990606	9	2	2	0.722053	0.734978	1.271332
Rgl3	DEG_down	-0.520301566776	0.0275139177961598	228.655337976314	0.022405	-0.011913	0.221667	11	1	3	0.510557	0.498644	-0.409173
Bbs9	DEG_down	-0.895586845926778	2.93881523632491e-7	752.757967945846	0.010548	0.011062	-0.055437	2	1	0	0.132615	0.143677	-0.113235
Dpy19l1	DEG_down	-0.582630402982295	3.78464936581707e-7	1251.51037347085	-0.023939	-0.020971	-0.073582	9	3	2	0.34787	0.326899	-0.12638
Acad8	DEG_down	-0.414564570461497	0.015991819913425	256.165914575886	0.009944	0.027587	0.049461	6	0	0	0.199136	0.226723	0.135876
Igsf9b	DEG_down	-0.322506377833461	0.0264705935381874	2669.49573365865	0.021095	-0.007453	0.239777	6	1	1	0.352613	0.34516	-0.234369
Opcml	DEG_down	-0.865898345642139	4.32832544087381e-10	26321.4493081087	-0.034721	-0.033336	-0.038047	10	4	5	0.257559	0.224223	-0.034953
Snx19	DEG_down	-0.356625015116664	0.00511896598393062	1236.4994876578	-0.081429	-0.082883	-0.583525	7	1	2	0.352081	0.269198	-0.754852
Dcps	DEG_down	-0.655233230897598	1.22078746046141e-4	158.161691619707	0.022626	-0.010651	0.131807	6	1	2	0.207791	0.19714	-0.095956
Cdon	DEG_down	-0.775556110433694	1.0697290893948e-4	928.680667680801	0.019488	-0.024934	0.046552	9	2	3	0.486622	0.461688	-0.388071
Siae	DEG_down	-0.50161960439685	0.0398316167675709	106.341952868049	-0.032646	-0.035817	-0.081592	17	4	6	0.639221	0.603404	-0.231651
Crtam	DEG_down	-2.57997299241395	5.7036114608456e-11	75.5229813935324	-0.02927	-0.033539	-0.183334	13	1	3	0.559088	0.525549	-0.343937
Mcam	DEG_down	-1.11278913922059	2.70072193762738e-14	272.843482491737	-0.026501	-0.008809	-0.387168	12	1	2	0.451148	0.442339	-1.227933
Cadm1	DEG_down	-0.475742322041725	0.0149922953513475	15485.6746112285	0.038385	1.43e-4	0.221716	4	1	2	0.238697	0.23884	-0.046951
Nxpe2	DEG_down	-0.582021935447444	0.0267898836530241	70.3521777816093	-0.028481	0.025802	-0.030151	8	3	2	0.276158	0.30196	0.0674
Usp28	DEG_down	-0.362355206249406	0.0440613330771517	756.970355805461	-0.02268	-0.017523	-0.313577	2	0	1	0.213952	0.196429	-0.314604
Zw10	DEG_down	-0.354133977467752	0.027615890482866	270.52346166891	-0.004859	-0.005094	-0.035329	3	0	0	0.128194	0.1231	-0.080273
Exph5	DEG_down	-0.813913174740143	0.0140888082374122	727.877074599296	0.045434	0.014258	0.159571	7	2	2	0.532412	0.54667	-0.438796
Sh2d7	DEG_down	-1.48678787566866	0.00309340228923596	11.8424978447185	-0.02461	-0.005012	-0.077584	10	2	2	0.395107	0.390095	-0.150167
Cib2	DEG_down	-0.735042772990446	3.32473019518693e-5	141.781386798357	-0.012658	-2.15e-4	-0.067948	6	0	1	0.298045	0.29783	-0.082417
Dnaja4	DEG_down	-0.823597252013603	5.20988651028912e-5	145.219718882186	-0.015923	-0.018877	-0.072781	7	1	1	0.198977	0.1801	-0.098039
Nrg4	DEG_down	-0.872644746256316	2.76263774476636e-5	66.7422240546364	-0.008086	-0.025753	-0.127316	9	0	0	0.563831	0.538078	-0.445029
Peak1	DEG_down	-0.552877462926335	3.46192463562672e-4	1764.55348258697	-0.026548	-0.043885	-0.22188	3	0	2	0.209	0.165115	-0.36149
Islr	DEG_up	0.728801487820377	9.39250151832081e-4	93.1248376041371	0.01725	0.078074	0.149951	11	6	0	0.427089	0.505163	0.912384
Pml	DEG_down	-0.369141940676685	0.0325566049674781	209.661656104521	-0.032228	-0.008798	-0.30674	7	2	2	0.365201	0.356403	-0.448891
Cd276	DEG_down	-0.677838526982527	2.70259492948716e-4	159.643381804648	0.037573	-0.044245	-0.151742	8	2	5	0.408277	0.364032	-1.279609
Hcn4	DEG_up	0.800684782445705	9.57721366042371e-6	206.342555556118	0.063724	0.007352	0.195438	4	1	2	0.195162	0.202514	-0.010114
Celf6	DEG_up	0.499712240937492	0.0189384158694757	179.461403174356	-0.021581	-0.01068	-0.138914	10	0	1	0.336357	0.325677	-0.055331
Map2k5	DEG_down	-0.443738146263083	0.0176503581144414	2659.65760860952	-0.024172	-0.022033	-0.178555	7	1	3	0.326975	0.304942	-0.384735
Ankdd1a	DEG_down	-1.14332734892124	0.0392200143061884	21.2042462498442	-0.056827	-0.018249	-0.381439	6	2	1	0.387802	0.369553	-0.278488
Rbpms2	DEG_up	0.917231937590517	0.010328226558517	24.0579898642539	0.029303	-0.018005	0.080726	11	2	2	0.317813	0.299808	0.017983
Car12	DEG_down	-0.749013946422905	0.032847414713933	52.1326496797985	-0.080497	-0.071946	-0.493721	15	3	4	0.634751	0.562805	-1.009767
Fam81a	DEG_up	0.598866478895212	0.0318937418297045	45.0132535365111	0.050809	0.341347	0.049631	11	11	0	0	0.341347	0.333434
Lipc	DEG_down	-0.666353219196371	0.0176503581144414	69.107213146785	-0.042198	-0.022234	-1.196191	9	2	3	0.823639	0.801405	-2.721765
Cgnl1	DEG_down	-0.490050879574793	0.00571351235525122	302.263534822295	-0.108869	-0.112482	-0.554609	5	1	2	0.43489	0.322408	-0.588363
Rab27a	DEG_down	-0.560310342271983	0.00637534542504746	355.638887064395	-0.05535	-0.045749	-0.443011	7	0	1	0.464749	0.419	-0.714776
Bmp5	DEG_down	-3.0000457427573	7.66333649760705e-105	235.62673945709	-0.075073	-0.106552	-0.331682	10	3	4	0.616963	0.510411	-1.366607
Hmgcll1	DEG_down	-0.452987759276324	0.00339570046215743	2279.403663692	-0.024396	-0.031666	-0.123508	3	1	2	0.120126	0.08846	-0.264555
Mlip	DEG_down	-1.25551353684774	1.23649372479709e-22	264.750512880964	-0.143254	-0.43891	-0.070337	11	0	11	0.43891	0	-0.215503
Lrrc1	DEG_down	-0.461868548987378	0.034941127389661	673.537437114745	0.02216	-0.018618	0.123281	7	1	3	0.345331	0.326713	0.113675
Col12a1	DEG_up	1.06556106957963	5.08147772777925e-8	1255.03066991044	0.03147	-0.096277	-0.018949	17	3	6	0.706255	0.609978	-0.481466
Lca5	DEG_down	-0.602918116195272	1.1966481159209e-4	516.811629509291	-0.022549	-0.035046	-0.350952	7	0	3	0.404365	0.369319	-0.585599
Sh3bgrl2	DEG_down	-1.27571101626376	1.03154263872967e-39	444.911386226159	0.028244	0.054167	0.062541	9	4	1	0.367959	0.422126	-0.179633
Bckdhb	DEG_down	-0.441602162360416	0.0217276175200907	1379.04919001769	0.013506	0.014067	0.04869	5	2	1	0.121788	0.135855	0.033368
Tpbg	DEG_down	-0.740299403184736	2.69599802396175e-4	104.774122852656	-0.040858	-0.001125	-0.270617	11	2	2	0.630235	0.62911	-0.436416
Mthfs	DEG_down	-0.383398436037527	0.0330420020610742	611.33325514564	-0.020434	-0.034	-0.059762	4	0	2	0.095262	0.061262	-0.073115
Minar1	DEG_down	-0.322085043261165	0.00575514370111171	1178.46740385263	0.037122	-9.89e-4	0.11119	7	1	2	0.510079	0.50909	0.163646
Rasgrf1	DEG_down	-0.875810414813265	1.30993578309366e-7	1450.52131292427	0.031987	0.004439	0.098174	7	1	1	0.447986	0.452425	-0.034247
Plod2	DEG_down	-0.520911098883164	9.96243712185942e-9	748.585356309598	0.024925	0.091953	0.056181	10	6	2	0.229102	0.321055	0.165864
Slc9a9	DEG_down	-0.600601616843675	1.81566310419103e-4	1322.75192957806	0.022699	-0.050973	0.029025	13	2	5	0.492858	0.44188499999999997	-0.838324
Pcolce2	DEG_down	-1.16247092172434	1.05952158991733e-4	33.4213331249816	-0.027454	-0.097562	-0.08095	11	0	4	0.457076	0.359514	-0.329541
Pxylp1	DEG_down	-1.02543127179571	6.75020849770219e-6	600.449776863506	-0.187328	-0.722313	-1.527717	9	0	9	0.722313	0	-5.890674
Clstn2	DEG_up	0.772786764903437	0.0397148244346443	2873.73291650211	-0.075691	-0.06037	-0.206963	7	2	2	0.380064	0.319694	-0.133956
Dzip1l	DEG_down	-0.485184132644458	0.041444941850676	231.122500989581	-0.015339	-0.014081	0.021822	5	1	1	0.302399	0.288318	0.092375
Slc35g2	DEG_down	-0.764125264674785	1.08060941112814e-4	155.056003961758	0.037982	-0.01646	0.017718	9	1	2	0.722314	0.705854	-1.223623
Ky	DEG_down	-0.538155115195857	1.02196853561327e-6	382.633208202272	-0.014585	-0.003765	-0.053554	9	2	1	0.39195	0.388185	0.17914
Topbp1	DEG_up	0.307720751401493	0.013356255237249001	643.223427300209	0.011828	0.006915	0.059608	10	1	0	0.309564	0.316479	0.046874
Grm2	DEG_up	0.573395707640925	0.00694578338478284	169.852356851475	0.020517	0.05786	0.110105	8	3	0	0.238466	0.296326	0.465904
Hemk1	DEG_down	-0.631371558904166	8.96868549738492e-4	131.204815239475	0.011802	0.012532	0.166047	4	1	1	0.481132	0.493664	0.03193
6430571L13Rik	DEG_down	-1.13054740752802	7.33496701680141e-18	287.677118044166	0.016266	0.01786	0.229445	4	2	0	0.338928	0.356788	0.231462
Impdh2	DEG_up	0.392249917626883	0.0065056991818156	360.466458510097	-0.012575	0.010729	-0.214817	7	0	1	0.431335	0.442064	-0.037517
Trank1	DEG_up	0.590714761231282	0.0105321587648413	2169.17513329958	0.030933	0.01507	0.249064	4	1	1	0.335102	0.350172	0.54243
Susd5	DEG_up	0.765860072473977	0.024202063506939	24.765597395517	-0.035431	0.02379	-0.027722	12	5	4	0.439081	0.462871	0.090736
Rbms3	DEG_down	-0.60134335731299	0.0203527747205037	2565.30966632041	-0.023603	-0.050623	-0.066431	5	1	3	0.370754	0.320131	-0.141033
