top_enh_chr	top_enh_start	top_enh_end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	top_enh_distance	top_enh_class	max_delta_abc	max_delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either	log2FC	padj	baseMean	n_enhancers	mean_delta_abc	sum_delta_unnorm	n_gained	n_lost	sum_abc_wt	sum_abc_ko	dysregulated
chrX	163908599	163909266	Frmpd4	0.004908	0.006949	121.498896	0.000057	0.000000	0.094824	0.222079	128.112458	0.001733	0.000298	4668298.500000	promoter	0.089916	0.215130	False	True	True	0.077860	0.827803	2605.416159	11	-0.001132	0.734504	2	4	0.824658	0.812207	False
chr4	56864822	56865438	Frrs1l	0.067310	0.517313	36.737893	0.014081	0.003651	0.042969	0.325791	39.006944	0.008352	0.001872	125261.000000	promoter	-0.024341	-0.191522	True	True	True	0.229590	0.020478	2286.566187	7	-0.003018	-0.201238	0	1	0.396352	0.375225	False
chr10	115384193	115385208	Frs2	0.079881	0.451155	77.140595	0.005848	0.001176	0.035758	0.190774	79.030583	0.002414	0.000467	1763833.500000	promoter	-0.044123	-0.260381	True	True	True	-0.018232	0.937971	1093.190302	11	-0.004944	-0.417234	1	3	0.406415	0.352031	False
chr17	48409556	48410263	Frs3	0.045279	0.826988	148.717694	0.005561	0.001227	0.025806	0.489347	148.328055	0.003299	0.000690	720880.500000	promoter	-0.019473	-0.337641	True	True	True	-0.146394	0.688419	59.397397	6	-0.002377	0.043626	0	2	0.449666	0.435406	False
chr5	150120626	150121126	Fry	0.127139	0.747117	4.584219	0.162976	0.051031	0.079799	0.418239	2.484770	0.168321	0.053759	2232.000000	genic	-0.047340	-0.328878	True	True	True	0.081470	0.724024	6811.968674	8	-0.006924	-0.539324	2	3	0.392019	0.336628	False
chr5	73490643	73491143	Fryl	0.070096	0.979845	86.227782	0.011363	0.002859	0.057942	0.784606	81.221738	0.009660	0.002379	234274.000000	genic	-0.012154	-0.195239	True	True	True	-0.034546	0.836399	1417.741260	2	-0.001325	-0.106373	0	1	0.161224	0.158575	False
chr2	80446482	80446982	Frzb	0.199636	0.584441	4.053954	0.144166	0.041428	0.267611	0.827165	5.508564	0.150160	0.044488	893.000000	genic	0.067975	0.242724	True	True	True	-0.375872	0.486623	17.039280	10	0.002316	0.152860	3	3	0.497349	0.520513	False
chr5	142894918	142895671	Fscn1	0.034867	0.214570	13.303642	0.016129	0.003978	0.020183	0.145430	13.637750	0.010664	0.002100	65047.500000	promoter	-0.014684	-0.069140	True	True	True	-0.096929	0.896425	58.139493	12	-0.001918	0.254498	0	2	0.399706	0.376686	False
chr11	116843027	116843783	Fscn2	0.000651	0.007933	103.812023	0.000076	0.000000	0.021264	0.253469	103.440051	0.002450	0.000441	3518128.000000	promoter	0.020613	0.245536	False	True	True	0.101294	0.963714	4.003236	13	0.000659	-0.019262	1	2	0.444533	0.453103	False
chr6	28429858	28430358	Fscn3	0.041890	0.391343	2.557241	0.153033	0.045955	0.066193	0.588071	3.816992	0.154067	0.046482	2320.000000	genic	0.024303	0.196728	True	True	True	-0.837939	0.573199	2.876124	11	0.003429	0.033099	3	0	0.659565	0.697284	False
chr17	56008999	56009499	Fsd1	0.134973	2.408795	39.260924	0.061353	0.019398	0.119222	2.229068	40.220844	0.055421	0.017000	22741.000000	genic	-0.015751	-0.179727	True	True	True	-0.001008	0.998620	130.456575	13	-0.000630	0.397442	1	3	0.647568	0.639376	False
chr4	53439891	53441079	Fsd1l	0.045024	0.214711	26.278006	0.008171	0.001939	0.079035	0.373414	28.046786	0.013314	0.003436	190985.000000	promoter	0.034011	0.158703	True	True	True	-0.237991	0.005940	544.062025	12	-0.001588	-0.107417	2	3	0.393931	0.374876	False
chr2	118388366	118388867	Fsip1	0.183914	0.652401	53.723449	0.012144	0.003062	0.210462	0.651393	53.521155	0.012171	0.003070	131650.500000	promoter	0.026548	-0.001008	True	True	True	-0.922267	0.191417	6.654337	10	-0.000924	-0.258836	2	3	0.509099	0.499861	False
chr16	37539539	37540134	Fstl1	0.053317	0.308826	42.356982	0.007291	0.001712	0.032567	0.193581	41.859828	0.004625	0.000961	237035.500000	promoter	-0.020750	-0.115245	True	True	True	-0.218937	0.221863	241.885021	9	0.001611	0.158868	3	2	0.479038	0.493537	False
chr11	52765779	52766279	Fstl4	0.128338	0.568145	4.276323	0.132858	0.035655	0.173660	1.006324	6.779434	0.148438	0.043609	1396.000000	genic	0.045322	0.438179	True	True	True	1.021347	0.000000	1376.841758	9	0.005638	0.769980	3	3	0.347963	0.398703	True
chr3	79286267	79287647	Fstl5	0.079510	0.253220	47.056661	0.005381	0.000998	0.020972	0.059569	45.790760	0.001301	0.000229	3212688.000000	promoter	-0.058538	-0.193651	True	True	True	-0.166640	0.786685	1822.453343	5	-0.001552	-0.123228	2	2	0.293890	0.286132	False
chr10	76961637	76962342	Ftcd	0.058943	0.231423	81.878761	0.002826	0.000546	0.029508	0.121074	80.196278	0.001510	0.000203	386342.500000	promoter	-0.029435	-0.110349	True	True	True	3.612836	0.000001	6.909115	6	-0.002028	0.007225	1	2	0.323080	0.310914	True
chr7	45451371	45451871	Ftl1	0.053381	1.766429	10.400018	0.169849	0.062446	0.071793	2.403348	12.919051	0.186031	0.070092	8263.000000	genic	0.018412	0.636919	True	True	True	0.022291	0.974456	44.106649	11	0.000146	0.196463	1	3	0.369865	0.371475	False
chr8	91133888	91134388	Fto	0.076145	1.670930	109.649204	0.015239	0.004005	0.051630	1.141225	115.504551	0.009880	0.002430	179386.000000	genic	-0.024515	-0.529705	True	True	True	-0.047510	0.788676	4739.492541	1	-0.024515	-0.529705	0	1	0.076145	0.051630	False
chrX	8192808	8193762	Ftsj1	0.126008	2.619602	55.891545	0.046869	0.014596	0.166205	3.522868	61.545165	0.057240	0.018213	59121.000000	promoter	0.040197	0.903266	True	True	True	0.096867	0.727242	119.787272	10	0.001301	0.555951	3	2	0.688727	0.701737	False
chr11	106216094	106217175	Ftsj3	0.169936	2.975132	91.812660	0.032404	0.009209	0.192770	3.471767	89.903095	0.038617	0.011515	39444.500000	promoter	0.022834	0.496635	True	True	True	0.033596	0.921441	181.478890	6	0.001688	0.471419	2	1	0.575074	0.585204	False
chrX	106186647	106187349	Ftx	0.000746	0.009933	93.985032	0.000106	0.000000	0.045570	0.666408	83.211307	0.008009	0.001541	2563208.000000	promoter	0.044824	0.656475	False	True	True	0.054645	0.894582	1933.827695	8	-0.003289	0.573614	2	3	0.731256	0.704941	False
chr3	152145118	152145618	Fubp1	0.024253	0.232229	11.725678	0.019805	0.005242	0.013889	0.133623	6.959109	0.019201	0.005034	65053.000000	genic	-0.010364	-0.098606	True	True	True	-0.000527	0.998482	2111.980720	4	-0.000574	-0.014761	0	1	0.160240	0.157945	False
chr2	31688074	31688625	Fubp3	0.059178	0.430833	55.331347	0.007786	0.001655	0.076527	0.613489	56.527420	0.010853	0.002619	115699.500000	promoter	0.017349	0.182656	True	True	True	0.202345	0.159735	480.578825	3	0.010926	0.340245	2	0	0.105205	0.137983	False
chr4	135949872	135950372	Fuca1	0.072363	0.932121	21.193458	0.043982	0.013095	0.033974	0.411170	10.828689	0.037970	0.010760	29388.000000	genic	-0.038389	-0.520951	True	True	True	-0.357142	0.202823	64.451182	9	-0.001446	-0.449071	1	1	0.374473	0.361462	False
chrX	17590718	17591218	Fundc1	0.166671	2.357887	42.027705	0.056103	0.016557	0.078752	1.023245	22.866895	0.044748	0.011825	18643.000000	intergenic	-0.087919	-1.334642	True	True	True	-0.034757	0.894582	196.090902	7	-0.010826	-1.461967	1	2	0.413720	0.337939	False
chrX	74270243	74271061	Fundc2	0.013360	0.101164	81.438300	0.001242	0.000220	0.050136	0.446413	85.288522	0.005234	0.001106	1111746.000000	promoter	0.036776	0.345249	True	True	True	0.096558	0.758803	129.122036	11	0.001461	0.907078	5	5	0.573694	0.589764	False
chr7	140856081	140857827	Fuom	0.026621	0.295837	37.058617	0.007983	0.001793	0.014896	0.167179	36.684319	0.004557	0.000986	754513.000000	promoter	-0.011725	-0.128658	True	True	True	0.240289	0.476578	68.764146	11	-0.001895	-0.181690	0	1	0.473520	0.452673	False
chr7	80639916	80640416	Furin	0.026671	0.260365	16.900029	0.015406	0.003999	0.010317	0.102060	13.515045	0.007552	0.001784	234730.000000	genic	-0.016354	-0.158305	True	True	True	0.012695	0.978463	292.999028	11	-0.002146	-0.156832	1	3	0.588212	0.564601	False
chr7	127745446	127745946	Fus	0.074710	1.631171	131.133452	0.012439	0.003169	0.043379	0.870148	124.041292	0.007015	0.001627	221760.000000	genic	-0.031331	-0.761023	True	True	True	0.123122	0.636569	2073.735919	10	-0.004907	-1.649784	1	3	0.375072	0.326002	False
chr8	31121006	31121506	Fut10	0.169993	1.131357	52.945158	0.021368	0.005790	0.133863	0.743978	46.776780	0.015905	0.003917	66074.000000	genic	-0.036130	-0.387379	True	True	True	-1.454036	0.000000	103.552240	8	-0.001504	-0.725430	3	2	0.600048	0.588020	True
chr7	45643425	45643925	Fut2	0.142890	2.954351	75.267565	0.039251	0.010461	0.158946	3.245547	68.924976	0.047088	0.013629	22719.000000	genic	0.016056	0.291196	True	True	True	-0.754497	0.120773	10.948766	12	-0.002596	-0.778759	1	4	0.556127	0.524975	False
chr12	77197098	77197598	Fut8	0.068080	1.206767	36.477037	0.033083	0.009506	0.035723	0.600345	18.795729	0.031941	0.009084	40776.000000	intergenic	-0.032357	-0.606422	True	True	True	-0.113977	0.469602	3379.418363	7	-0.007701	-1.199788	0	4	0.319362	0.265456	False
chr4	26402131	26402631	Fut9	0.053831	0.550723	37.127038	0.014833	0.003503	0.019430	0.179164	23.182421	0.007728	0.001771	602137.000000	intergenic	-0.034401	-0.371559	True	True	True	-0.217835	0.483235	5016.413926	4	-0.009416	-0.535294	1	2	0.186234	0.148571	False
chr7	44848740	44849568	Fuz	0.060783	2.580534	87.630416	0.029448	0.008344	0.071118	2.940417	88.106348	0.033373	0.009763	46924.000000	promoter	0.010335	0.359883	True	True	True	-0.191649	0.682239	33.571172	7	-0.002690	-1.346720	1	0	0.512180	0.493349	False
chr4	151861626	151862534	Fv1	0.025065	0.244203	159.370015	0.001532	0.000267	0.001195	0.010788	160.725611	0.000067	0.000000	3993102.000000	promoter	-0.023870	-0.233415	True	False	True	0.336492	0.836816	3.168917	4	0.000178	-0.089320	2	1	0.133250	0.133964	False
chr19	21742078	21742578	Fxn	0.025853	0.200671	50.550417	0.003970	0.000754	0.007737	0.060705	40.483782	0.001499	0.000272	2538277.000000	intergenic	-0.018116	-0.139966	True	True	True	-0.002419	0.996741	67.412389	9	0.000335	0.054537	2	2	0.367669	0.370680	False
chr3	37419182	37420461	Fxr1	0.047892	0.209654	51.007984	0.004110	0.000753	0.008528	0.037498	53.179335	0.000705	0.000117	3399879.500000	promoter	-0.039364	-0.172156	True	True	True	-0.003202	0.994300	1086.605727	8	0.006057	0.218851	4	1	0.296242	0.344696	False
chr11	69921339	69922208	Fxr2	0.017077	0.773945	94.156085	0.008220	0.001975	0.028883	1.325708	90.998673	0.014568	0.003708	288784.500000	promoter	0.011806	0.551763	True	True	True	0.099020	0.621066	459.962680	8	0.000648	0.377845	1	0	0.242004	0.247184	False
chr6	117942731	117943231	Fxyd4	0.107278	0.899795	5.674681	0.158563	0.050140	0.120432	1.149607	7.235194	0.158891	0.050306	5289.000000	intergenic	0.013154	0.249812	True	True	True	0.077159	0.866556	66.262185	12	0.003656	1.116394	2	0	0.602363	0.646232	False
chr7	30308394	30308966	Fxyd5	0.005920	0.032872	86.381730	0.000381	0.000000	0.047805	0.302140	84.639940	0.003570	0.000754	733801.000000	promoter	0.041885	0.269268	False	True	True	0.056590	0.960455	16.467122	16	0.001855	0.499292	2	3	0.405913	0.435588	False
chr9	45363583	45364083	Fxyd6	0.110589	1.309174	11.554625	0.113303	0.031478	0.060168	0.519220	5.057186	0.102670	0.026246	6351.000000	intergenic	-0.050421	-0.789954	True	True	True	-1.800747	0.000000	328.868566	11	-0.008271	-2.437415	2	4	0.514946	0.423966	True
chr7	27178549	27179146	Fxyd7	0.026210	0.216018	91.641607	0.002357	0.000419	0.011186	0.113368	95.100515	0.001192	0.000205	3872619.500000	promoter	-0.015024	-0.102650	True	True	True	0.099104	0.881139	21.604411	10	-0.002303	0.460725	0	1	0.366665	0.343633	False
chr4	101647224	101647967	Fyb2	0.003200	0.006095	73.911971	0.000082	0.000000	0.039075	0.099469	74.543097	0.001334	0.000235	3265859.500000	promoter	0.035875	0.093374	False	True	True	-0.289587	0.520048	74.297827	9	0.002905	0.258392	3	3	0.299274	0.325417	False
chr9	124424270	124424770	Fyco1	0.057958	0.843923	35.844141	0.023544	0.005665	0.035626	0.460092	35.645712	0.012907	0.003051	572621.000000	genic	-0.022332	-0.383831	True	True	True	-0.144530	0.132077	662.870884	5	-0.009075	-0.904153	0	2	0.193216	0.147839	False
chr10	39369471	39369971	Fyn	0.675668	9.704833	57.307008	0.169348	0.054284	0.680136	10.574142	60.576675	0.174558	0.056943	867.000000	genic	0.004468	0.869309	True	True	True	0.019665	0.922931	3760.738460	2	0.000984	0.859557	0	0	0.700248	0.702217	False
chr16	32608669	32609248	Fyttd1	0.032599	0.444421	42.292837	0.010508	0.002608	0.024432	0.324975	40.659075	0.007993	0.001913	268540.500000	promoter	-0.008167	-0.119446	True	True	True	0.004746	0.987365	501.803959	4	-0.002739	-0.234125	0	0	0.266345	0.255388	False
chr5	4486084	4486584	Fzd1	0.254832	2.400588	87.181402	0.027536	0.007300	0.168852	1.088380	57.333765	0.018983	0.004943	271701.000000	intergenic	-0.085980	-1.312208	True	True	True	-0.389442	0.080328	145.080028	5	-0.025552	-2.122000	2	2	0.436535	0.308776	False
chr5	125465576	125466076	Fzd10	0.002453	0.002904	33.765848	0.000086	0.000000	0.057834	0.082962	33.068913	0.002509	0.000458	3135017.000000	intergenic	0.055381	0.080058	False	True	True	-0.515762	0.783507	2.237995	15	0.003602	0.165075	7	6	0.349334	0.403358	False
chr5	125465576	125466076	Fzd10os	0.002453	0.002904	33.765848	0.000086	0.000000	0.057834	0.082962	33.068913	0.002509	0.000458	3134867.000000	intergenic	0.055381	0.080058	False	True	True	0.028315	0.988510	6.138657	15	0.003602	0.165079	7	6	0.349349	0.403372	False
chr11	103027939	103028583	Fzd2	0.027686	0.252293	63.242545	0.003989	0.000855	0.050763	0.478669	62.881770	0.007612	0.001787	423866.000000	promoter	0.023077	0.226376	True	True	True	-0.208481	0.884640	4.632931	5	0.003389	0.204574	1	0	0.141471	0.158415	False
chr14	67715585	67716186	Fzd3	0.052831	0.706967	225.896776	0.003130	0.000593	0.017701	0.201843	223.852790	0.000902	0.000155	2453422.500000	promoter	-0.035130	-0.505124	True	True	True	-0.264445	0.008637	386.892564	6	-0.007510	-1.351575	1	3	0.423328	0.378266	False
chr7	92741228	92741852	Fzd4	0.045013	0.349712	94.429770	0.003703	0.000678	0.007868	0.067242	94.745548	0.000710	0.000118	3337186.000000	promoter	-0.037145	-0.282470	True	True	True	0.248126	0.352800	70.389675	5	-0.004631	-0.059365	2	2	0.178288	0.155133	False
chr1	64690204	64690997	Fzd5	0.188944	0.933631	39.795464	0.023461	0.006187	0.153556	0.851032	40.115668	0.021214	0.005376	47150.500000	promoter	-0.035388	-0.082599	True	True	True	-0.110635	0.934619	8.623908	10	-0.004021	0.097187	3	3	0.532621	0.492414	False
chr15	39734998	39735498	Fzd6	0.072146	0.137274	91.077133	0.001507	0.000266	0.011050	0.030168	78.767645	0.000383	0.000000	729215.000000	intergenic	-0.061096	-0.107106	True	False	True	-0.019506	0.979795	39.680774	12	0.010269	0.663766	6	2	0.395669	0.518894	False
chr1	59376387	59376887	Fzd7	0.187200	4.186785	85.073175	0.049214	0.014809	0.136170	2.364261	57.303089	0.041259	0.012273	105786.000000	intergenic	-0.051030	-1.822524	True	True	True	-1.445745	0.000000	387.156777	6	-0.009700	-3.157653	0	3	0.429207	0.371008	True
chr18	9213040	9213902	Fzd8	0.186179	0.603821	3.985533	0.151503	0.045174	0.233992	1.047474	7.537574	0.138967	0.038774	1309.000000	genic	0.047813	0.443653	True	True	True	0.801160	0.086246	13.054346	10	-0.001684	0.677033	4	3	0.610077	0.593239	False
chr5	135544870	135545646	Fzd9	0.116307	0.947018	190.061187	0.004983	0.001093	0.145043	1.352232	183.943091	0.007351	0.001738	294028.000000	promoter	0.028736	0.405214	True	True	True	0.420973	0.589146	10.744005	12	-0.004584	0.198671	2	3	0.602697	0.547690	False
chr10	81400521	81401021	Fzr1	0.015286	0.685052	20.744444	0.033023	0.007853	0.020512	0.924430	26.754004	0.034553	0.008474	22255.000000	genic	0.005226	0.239378	True	True	True	-0.186935	0.460585	170.092300	7	0.001881	0.684404	0	0	0.360747	0.373913	False
chr12	54656323	54656837	G2e3	0.000897	0.004955	60.890567	0.000081	0.000000	0.049247	0.261322	63.311236	0.004128	0.000759	3308520.000000	promoter	0.048350	0.256367	False	True	True	-0.057986	0.779448	264.947260	4	0.004195	0.029099	2	2	0.277435	0.294214	False
chr11	55341851	55342351	G3bp1	0.023827	1.117238	103.987352	0.010744	0.002621	0.020981	0.964280	98.974477	0.009743	0.002311	127583.000000	intergenic	-0.002846	-0.152958	True	True	True	0.151119	0.393426	364.915465	2	-0.001576	-0.250672	0	0	0.113849	0.110698	False
chr5	92042383	92042883	G3bp2	0.099078	1.190349	28.771103	0.041373	0.012574	0.080899	0.993263	27.814523	0.035710	0.010485	41086.000000	genic	-0.018179	-0.197086	True	True	True	0.183991	0.081481	353.869879	4	-0.009140	-0.387675	0	2	0.232195	0.195635	False
chr11	102218696	102219196	G6pc3	0.047118	0.870121	17.426017	0.049932	0.015404	0.064907	1.134326	23.506712	0.048255	0.014752	29327.000000	genic	0.017789	0.264205	True	True	True	-0.251425	0.236304	84.964154	8	0.001219	-0.136568	2	2	0.309937	0.319688	False
chr11	119522465	119522965	Gaa	0.027364	0.449029	60.296158	0.007447	0.001760	0.011149	0.172855	51.724408	0.003342	0.000617	254829.000000	intergenic	-0.016215	-0.276174	True	True	True	-0.001255	0.998044	376.366613	7	0.000216	-0.149241	0	1	0.190841	0.192354	False
chr8	84066342	84067083	Gab1	0.001503	0.010128	119.749880	0.000085	0.000000	0.031746	0.242328	114.755176	0.002112	0.000382	3186193.500000	promoter	0.030243	0.232200	False	True	True	0.155661	0.366436	773.628776	6	-0.001820	0.319725	1	1	0.451080	0.440157	False
chr7	92669684	92670301	Gab2	0.001132	0.004730	78.047176	0.000061	0.000000	0.046721	0.221529	75.226738	0.002945	0.000517	4411592.500000	promoter	0.045589	0.216799	False	True	True	-0.098793	0.461710	433.866749	11	-0.000158	0.289249	2	2	0.528671	0.526934	False
chrX	75095603	75096172	Gab3	0.430945	3.828757	45.833633	0.083536	0.024547	0.379184	3.404289	45.593556	0.074666	0.020504	10429.500000	promoter	-0.051761	-0.424468	True	True	True	-0.731000	0.000040	110.636126	7	0.000474	0.084875	4	2	0.590326	0.593642	True
chr11	69995327	69996026	Gabarap	0.188510	6.581588	42.998430	0.153066	0.045971	0.203497	6.821273	43.459371	0.156957	0.047958	4534.500000	promoter	0.014987	0.239685	True	True	True	0.030947	0.947319	147.412085	10	0.004873	0.948371	3	0	0.491720	0.540454	False
chr6	128803008	128803508	Gabarapl1	0.125553	0.579027	59.060300	0.009804	0.002230	0.075044	0.286346	51.527204	0.005557	0.001225	729901.000000	genic	-0.050509	-0.292681	True	True	True	0.194599	0.247031	565.265052	9	-0.015213	-0.918489	1	6	0.497495	0.360577	False
chr8	111947942	111948442	Gabarapl2	0.051020	0.974251	5.850010	0.166538	0.059900	0.063840	1.202889	6.753140	0.178123	0.065456	7490.000000	genic	0.012820	0.228638	True	True	True	0.024582	0.951396	255.990096	7	0.000664	-0.009590	1	0	0.383559	0.388204	False
chr17	33915648	33916239	Gabbr1	0.003153	0.042982	82.327775	0.000522	0.000082	0.024670	0.398819	82.378668	0.004841	0.000899	3130021.500000	promoter	0.021517	0.355837	True	True	True	0.110137	0.341753	3048.058931	14	0.000914	1.638515	2	3	0.564544	0.577345	False
chr4	46989913	46990413	Gabbr2	0.196702	2.573849	16.147397	0.159397	0.049204	0.205859	3.060372	18.177823	0.168357	0.053778	1710.000000	genic	0.009157	0.486523	True	True	True	0.414631	0.000014	8138.683990	7	0.000712	0.900291	0	0	0.463817	0.468801	False
chr16	84735172	84735992	Gabpa	0.082716	1.099284	24.003002	0.045798	0.013795	0.075568	1.036422	23.651328	0.043821	0.013158	99342.000000	promoter	-0.007148	-0.062862	True	True	True	0.083065	0.544380	608.759654	1	-0.007148	-0.062862	0	0	0.082716	0.075568	False
chr2	128967013	128967651	Gabpb1	0.016713	0.153927	61.100107	0.002519	0.000476	0.049540	0.421465	62.040366	0.006793	0.001324	2290995.000000	promoter	0.032827	0.267538	True	True	True	-0.026525	0.902226	703.136745	9	-0.003119	-0.529663	2	4	0.413915	0.385840	False
chr3	95015198	95016236	Gabpb2	0.069994	1.542059	172.635170	0.008932	0.002166	0.051880	1.154368	170.441193	0.006773	0.001543	202199.000000	promoter	-0.018114	-0.387691	True	True	True	0.212315	0.009137	663.630416	11	-0.000177	0.079308	2	2	0.559022	0.557073	False
chr11	42310787	42311287	Gabra1	0.081380	0.673998	16.575029	0.040663	0.011884	0.140907	1.157274	26.079128	0.044375	0.013033	128107.000000	genic	0.059527	0.483276	True	True	True	0.023115	0.960498	3217.635682	10	0.004280	0.313457	4	4	0.550908	0.593711	False
chr5	73490643	73491143	Gabra2	0.179419	0.216005	86.227782	0.002505	0.000471	0.044571	0.071910	81.221738	0.000885	0.000152	2395044.000000	genic	-0.134848	-0.144095	True	True	True	-0.259534	0.419704	304.032770	10	-0.014702	-0.087801	3	4	0.364838	0.217822	False
chrX	73007964	73008464	Gabra3	0.135383	0.139716	74.262630	0.001881	0.000284	0.036543	0.063301	78.241767	0.000809	0.000000	351366.000000	genic	-0.098840	-0.076415	True	False	True	1.296794	0.000000	73.348485	16	0.006212	0.549995	8	6	0.539551	0.638947	True
chr5	73490643	73491143	Gabra4	0.008317	0.012851	86.227782	0.000149	0.000000	0.045355	0.091072	81.221738	0.001121	0.000200	1832585.000000	genic	0.037038	0.078221	False	True	True	-0.394316	0.175807	242.293386	7	0.005177	0.176498	2	1	0.224091	0.260333	False
chr11	42310787	42311287	Gabra6	0.116454	1.264189	16.575029	0.076271	0.020814	0.166812	1.849764	26.079128	0.070929	0.018365	10035.000000	genic	0.050358	0.585575	True	True	True	-0.055391	0.866224	5839.316086	8	0.004361	0.518751	3	3	0.565385	0.600277	False
chr5	73490643	73491143	Gabrb1	0.008317	0.012849	86.227782	0.000149	0.000000	0.045358	0.091072	81.221738	0.001121	0.000200	1832781.000000	genic	0.037041	0.078223	False	True	True	-0.314507	0.133353	2350.650527	7	0.005181	0.176508	2	1	0.224012	0.260276	False
chr11	42755112	42755612	Gabrb2	0.107129	0.807718	49.588244	0.016289	0.004120	0.073699	0.584618	37.613369	0.015543	0.003921	335606.000000	intergenic	-0.033430	-0.223100	True	True	True	-0.167575	0.598942	8576.699377	11	0.001267	0.307103	4	3	0.500319	0.514253	False
chr4	155396669	155397169	Gabrd	0.240489	7.749220	41.805336	0.185364	0.062460	0.206406	6.055075	32.735858	0.184968	0.062257	1193.000000	genic	-0.034083	-1.694145	True	True	True	0.107250	0.720105	612.266118	10	-0.002159	-2.066547	1	1	0.496454	0.474868	False
chr5	73490643	73491143	Gabrg1	0.159612	0.094755	86.227782	0.001099	0.000193	0.011507	0.008302	81.221738	0.000102	0.000000	2648276.000000	genic	-0.148105	-0.086453	True	False	True	-0.490093	0.079009	38.208999	16	-0.006467	-0.020626	8	7	0.422653	0.319177	False
chr11	40755005	40755561	Gabrg2	0.065476	0.266016	48.322453	0.005505	0.001152	0.021509	0.074210	40.172638	0.001847	0.000354	1245574.000000	promoter	-0.043967	-0.191806	True	True	True	-0.430683	0.017137	266.682962	11	-0.001402	-0.380685	3	3	0.534531	0.519112	False
chr7	59228427	59228999	Gabrg3	0.076696	0.036735	52.705684	0.000697	0.000113	0.180161	0.131271	55.804339	0.002352	0.000452	1841525.000000	promoter	0.103465	0.094536	True	True	True	0.002930	0.996215	85.947954	10	0.008142	0.190579	5	3	0.525734	0.607151	False
chr4	33068875	33069375	Gabrr2	0.557220	6.112834	35.754339	0.170968	0.059268	0.603456	6.590780	39.370675	0.167403	0.057505	6127.000000	genic	0.046236	0.477946	True	True	True	0.320296	0.492993	47.185411	6	0.004503	0.256778	2	1	0.789830	0.816847	False
chr16	59639086	59639641	Gabrr3	0.000000	0.000000	0.000000	0.000000	0.000000	0.143670	0.164218	21.942227	0.007484	0.001764	232032.500000	promoter	0.143670	0.164218	False	True	True	0.039496	0.988479	2.189618	11	0.068395	0.859955	11	0	0.000000	0.752348	False
chr2	21367291	21367964	Gad2	0.018684	0.026232	33.954007	0.000773	0.000120	0.047762	0.084403	33.691201	0.002505	0.000498	1254576.500000	promoter	0.029078	0.058171	True	True	True	-0.013645	0.954696	523.760890	12	0.003248	0.185867	6	3	0.322141	0.361114	False
chr6	67266601	67267101	Gadd45a	0.057640	0.947125	62.327411	0.015196	0.003946	0.071194	1.115988	59.875505	0.018638	0.004920	229394.000000	genic	0.013554	0.168863	True	True	True	-0.197520	0.862072	8.714509	2	0.010578	0.253188	1	0	0.103660	0.124815	False
chr10	80900492	80901219	Gadd45b	0.088480	2.727928	92.154766	0.029602	0.007492	0.079038	2.485964	94.342375	0.026350	0.006228	29216.500000	promoter	-0.009442	-0.241964	True	True	True	-0.489584	0.252630	23.367698	6	-0.003456	-0.501937	0	0	0.241797	0.221060	False
chr13	51902551	51903051	Gadd45g	0.058351	0.862407	18.790164	0.045897	0.014275	0.040977	0.636112	15.390674	0.041331	0.012670	56124.000000	intergenic	-0.017374	-0.226295	True	True	True	0.067106	0.916160	33.513529	9	-0.000171	0.252714	3	2	0.371741	0.370203	False
chr5	108460942	108461842	Gak	0.050607	0.521061	27.637877	0.018853	0.005085	0.067822	0.727119	26.964355	0.026966	0.007493	168363.000000	promoter	0.017215	0.206058	True	True	True	0.063146	0.711322	1339.817970	10	0.004528	0.631106	3	1	0.342830	0.388113	False
chr11	5541913	5542437	Gal3st1	0.020304	0.119029	40.535268	0.002936	0.000581	0.001186	0.007569	43.021140	0.000176	0.000000	1558540.000000	promoter	-0.019118	-0.111460	True	False	True	0.149947	0.777381	46.499790	9	-0.002719	-0.001999	1	2	0.297502	0.273031	False
chr19	5295205	5295769	Gal3st3	0.205202	5.354970	28.437550	0.188306	0.063962	0.232865	5.723021	30.860229	0.185450	0.062504	2843.000000	promoter	0.027663	0.368051	True	True	True	-0.414351	0.016111	91.456795	8	0.001836	-0.239892	1	1	0.395443	0.410131	False
chr12	100187170	100187670	Galc	0.032301	0.201912	70.661965	0.002857	0.000553	0.011266	0.069568	73.955868	0.000941	0.000163	1927961.000000	promoter	-0.021035	-0.132344	True	True	True	-0.231797	0.055430	266.195289	8	-0.000242	-0.029824	2	1	0.234927	0.232994	False
chr4	135949872	135950372	Gale	0.101275	2.146044	21.193458	0.101260	0.034409	0.051575	1.015760	10.828689	0.093803	0.031146	13604.000000	genic	-0.049700	-1.130284	True	True	True	0.115561	0.839942	33.694580	8	-0.005091	-1.283626	0	1	0.321983	0.281255	False
chr11	116024184	116024684	Galk1	0.161387	5.521867	50.892523	0.108501	0.036778	0.147534	5.108018	51.027621	0.100103	0.033019	11715.000000	genic	-0.013853	-0.413849	True	True	True	-0.472971	0.393354	15.212708	7	-0.002792	-0.405520	0	1	0.665361	0.645816	False
