chr1	x1	x2	chr2	y1	y2	name	score	strand1	strand2	color	direction	direction_confidence	logFC	FDR	source	pval_ctrl	pval_mut	detection_confidence	in_10kb	nearest_gene	distance_to_tss	nearest_coding_gene	nearest_coding_dist	body_genes	body_gene_count	anchor_type	h3k27ac	h3k27me3	h3k4me1	stripe_length_kb	anchor_width_kb	stripe_idx	se_P60_overlap	se_ENCODE_overlap	k27ac_class	concordant
chr8	114490001	114510000	chr8	114490001	115490000	stripe_6806	2.99435025218724	.	.	0,0,139	lost	high	-0.1385	0.001013	control_only	0.0515	NA	high	NA	Wwox	50345	Wwox	50345	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	1000	20	1068	TRUE	FALSE	lost_k27ac	TRUE
chr8	114585001	114605000	chr8	113630001	114605000	stripe_6809	1.30631702790445	.	.	255,160,122	gained	low	-0.0893	0.04939	mutant_only	NA	0.087	low	NA	Wwox	145345	Wwox	145345	Adamts18,Clec3a,Mon1b,Nudt7,Syce1l,Vat1l,Wwox	7	Active_Enhancer	TRUE	FALSE	TRUE	975	20	1069	TRUE	FALSE	lost_k27ac	FALSE
chr9	22045001	22065000	chr9	21750001	22065000	stripe_6946	1.58880605988317	.	.	0,0,139	lost	high	-0.0832	0.02577	control_only	0.045	NA	high	NA	Elavl3	0	Elavl3	0	Angptl8,Ccdc159,Dock6,Elavl3,Epor,Kank2,Odad3,Plppr2,Prkcsh,Rab3d,Rgl3,Spc24,Swsap1,Tmem205	14	Active_Promoter	TRUE	FALSE	TRUE	315	20	1092	TRUE	FALSE	lost_k27ac	TRUE
chr9	22045001	22065000	chr9	21745001	22065000	stripe_6947	1.60031028347272	.	.	255,160,122	gained	low	-0.0838	0.0251	mutant_only	NA	0.0415	low	NA	Elavl3	0	Elavl3	0	Angptl8,Ccdc159,Dock6,Elavl3,Epor,Kank2,Odad3,Plppr2,Prkcsh,Rab3d,Rgl3,Spc24,Swsap1,Tmem205	14	Active_Promoter	TRUE	FALSE	TRUE	320	20	1093	TRUE	FALSE	lost_k27ac	FALSE
chr9	29575001	29600000	chr9	29130001	29600000	stripe_6974	1.55848076507111	.	.	0,0,139	lost	high	-0.0647	0.02764	control_only	0.0795	NA	high	NA	Ntm	363140	Ntm	363140	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	470	25	1100	TRUE	FALSE	lost_k27ac	TRUE
chr9	40320001	40340000	chr9	40320001	41165000	stripe_7007	2.81822786509535	.	.	0,0,139	lost	high	-0.1164	0.00152	control_only	0.053	NA	high	NA	1700110K17Rik	0	Scn3b	50783	Bsx,Clmp,Crtam,Gramd1b,Hspa8,Jhy,Ubash3b	7	Other	TRUE	FALSE	TRUE	845	20	1105	TRUE	FALSE	stable_k27ac	FALSE
chr9	40325001	40345000	chr9	40325001	41200000	stripe_7008	2.97147025203479	.	.	255,160,122	gained	low	-0.1265	0.001068	mutant_only	NA	0.081	low	NA	1700110K17Rik	1574	Scn3b	55783	Bsx,Clmp,Crtam,Gramd1b,Hspa8,Jhy,Ubash3b	7	Active_Promoter	TRUE	FALSE	TRUE	875	20	1106	TRUE	FALSE	stable_k27ac	FALSE
chr9	45580001	45605000	chr9	45580001	45845000	stripe_7043	1.92945899245367	.	.	255,160,122	gained	low	-0.0719	0.01176	mutant_only	NA	0.085	low	NA	4833428L15Rik	148270	Dscaml1	153372	Bace1,Cep164	2	Active_Enhancer	TRUE	FALSE	TRUE	265	25	1116	TRUE	FALSE	lost_k27ac	FALSE
chr9	70955001	70970000	chr9	70425001	70970000	stripe_7191	1.97565112462176	.	.	255,160,122	gained	low	-0.0982	0.01058	mutant_only	NA	0.033	low	NA	Lipc	2774	Lipc	2774	Adam10,Lipc,Mindy2,Rnf111,Sltm	5	Active_Enhancer	TRUE	FALSE	TRUE	545	15	1127	TRUE	FALSE	lost_k27ac	FALSE
chr9	91340001	91355000	chr9	89820001	91355000	stripe_7238	5.40506915612734	.	.	0,0,139	lost	high	-0.2565	3.935e-6	control_only	0.044	NA	high	NA	Zic4	7412	Zic4	7412	Adamts7,Ctsh,Morf4l1,Rasgrf1,Tbc1d2b	5	Active_Enhancer	TRUE	FALSE	TRUE	1535	15	1137	TRUE	TRUE	stable_k27ac	FALSE
chr14	60360001	60410000	chr14	57520001	60410000	stripe_1061	2.07058639729423	.	.	0,0,139	lost	high	-0.0683	0.0085	control_only	0.095	NA	high	NA	Fnip1	0	Fnip1	0	Acsl6,Csf2,Fnip1,Il13,Il3,Il4,Il5,Irf1,Kif3a,Meikin,P4ha2,Pdlim4,Rad50,Septin8,Slc22a21,Slc22a4,Slc22a5	17	Active_Promoter	TRUE	FALSE	TRUE	2890	50	1224	TRUE	FALSE	lost_k27ac	TRUE
chr15	88510001	88550000	chr15	86110001	88550000	stripe_1278	2.28582403006095	.	.	139,0,0	gained	high	0.0796	0.005178	mutant_only	NA	0.0165	high	NA	Arl4d	0	Arl4d	0	Adam11,Arl4d,Asb16,Atxn7l3,C1ql1,Ccdc103,Ccdc43,Cd300lg,Cfap97d1,Dcakd,Dhx8,Dusp3,Eftud2,Etv4,Fam171a2,Fam187a,Fzd2,G6pc3,Gfap,Gjc1,Gpatch8,Grn,Hdac5,Higd1b,Hrob,Itga2b,Kif18b,Lsm12,Meioc,Meox1,Mpp2,Mpp3,Nags,Nmt1,Ppy,Pyy,Rundc3a,Slc25a39,Slc4a1,Sost,Tmem101,Tmub2,Ubtf	43	Other	FALSE	FALSE	FALSE	2440	40	1240	TRUE	FALSE	no_diffbind_peak	FALSE
chr18	38930001	38980000	chr18	38930001	39980000	stripe_1681	3.32002305935751	.	.	0,0,139	lost	high	-0.1161	4.786e-4	control_only	0.068	NA	high	NA	Ak7	9024	Ak7	9024	Ak7,Atg2b,Bdkrb1,Bdkrb2,D430019H16Rik,Gskip,Tcl1,Tcl1b1,Tcl1b2,Tcl1b3,Tcl1b4,Tcl1b5,Tunar	13	Other	FALSE	FALSE	FALSE	1050	50	1255	TRUE	FALSE	lost_k27ac	TRUE
chr2	139360001	139400000	chr2	139360001	140210000	stripe_2059	1.47889889789032	.	.	255,160,122	gained	low	-0.0643	0.0332	mutant_only	NA	0.097	low	NA	Ube2e1	128141	Ube2e1	128141	Ube2e2	1	Poised_Enhancer	FALSE	FALSE	TRUE	850	40	1271	TRUE	FALSE	lost_k27ac	FALSE
chr7	74350001	74390000	chr7	74350001	75380000	stripe_3027	2.30298485728863	.	.	255,160,122	gained	low	-0.1257	0.004978	mutant_only	NA	0.015	low	NA	Pacrg	10310	Pacrg	10310	Pacrg,Prkn	2	Active_Enhancer	TRUE	FALSE	TRUE	1030	40	1368	TRUE	FALSE	lost_k27ac	FALSE
chr8	116840001	116890000	chr8	113640001	116890000	stripe_3305	2.48985598793622	.	.	255,160,122	gained	low	-0.0931	0.003237	mutant_only	NA	0.031	low	NA	Gm4719	410759	Fshr	589325	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	3250	50	1383	TRUE	FALSE	lost_k27ac	FALSE
chr9	90660001	90700000	chr9	89810001	90700000	stripe_3491	1.50627534670284	.	.	0,0,139	lost	high	-0.0924	0.03117	control_only	0.083	NA	high	NA	Spmip10	6650	Spmip10	6650	C330018D20Rik,Lmnb1,Marchf3,Megf10	4	Other	FALSE	FALSE	FALSE	890	40	1393	TRUE	FALSE	lost_k27ac	TRUE
